date,symbol,rs_score,reason
2022-01-17 00:00:00+05:30,OMAXE,0.1,daily entry cap
2022-01-17 00:00:00+05:30,AVANTIFEED,0.09,daily entry cap
2022-01-17 00:00:00+05:30,UPL,0.09,daily entry cap
2022-01-17 00:00:00+05:30,RPOWER,0.07,daily entry cap
2022-01-17 00:00:00+05:30,KNRCON,0.04,daily entry cap
2022-01-17 00:00:00+05:30,GRANULES,0,daily entry cap
2022-01-18 00:00:00+05:30,RPOWER,0.14,max positions (RS gap too small)
2022-01-18 00:00:00+05:30,OMAXE,0.1,max positions (RS gap too small)
2022-01-18 00:00:00+05:30,AVANTIFEED,0.08,max positions (RS gap too small)
2022-01-18 00:00:00+05:30,UPL,0.07,max positions (RS gap too small)
2022-01-18 00:00:00+05:30,KNRCON,0.05,max positions (RS gap too small)
2022-01-19 00:00:00+05:30,RPOWER,0.12,max positions (RS gap too small)
2022-01-19 00:00:00+05:30,OMAXE,0.12,max positions (RS gap too small)
2022-01-19 00:00:00+05:30,UPL,0.09,max positions (RS gap too small)
2022-01-19 00:00:00+05:30,AVANTIFEED,0.07,max positions (RS gap too small)
2022-01-19 00:00:00+05:30,KNRCON,0.03,max positions (RS gap too small)
2022-01-20 00:00:00+05:30,RPOWER,0.19,max positions (RS gap too small)
2022-01-20 00:00:00+05:30,OMAXE,0.19,max positions (RS gap too small)
2022-01-20 00:00:00+05:30,AVANTIFEED,0.09,max positions (RS gap too small)
2022-01-20 00:00:00+05:30,UPL,0.06,max positions (RS gap too small)
2022-01-20 00:00:00+05:30,KNRCON,0.06,max positions (RS gap too small)
2022-04-11 00:00:00+05:30,CONCOR,0.09,max positions (RS gap too small)
2022-04-11 00:00:00+05:30,YESBANK,0.07,max positions (RS gap too small)
2022-04-11 00:00:00+05:30,VARROC,-0.04,max positions (RS gap too small)
2022-04-12 00:00:00+05:30,YESBANK,0.07,max positions (RS gap too small)
2022-04-12 00:00:00+05:30,CONCOR,0.05,max positions (RS gap too small)
2022-04-12 00:00:00+05:30,VARROC,-0.06,max positions (RS gap too small)
2022-04-13 00:00:00+05:30,BAJAJHLDNG,0.05,max positions (RS gap too small)
2022-04-13 00:00:00+05:30,CONCOR,0.03,max positions (RS gap too small)
2022-04-13 00:00:00+05:30,VARROC,-0.01,max positions (RS gap too small)
