symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,exit_reason
DEEPAKFERT,17-01-2022,19-01-2022,564.95,510.8,101,-5469.15,
NBCC,17-01-2022,24-01-2022,35.07,30.07,851,-4255,
REDINGTON,10-01-2022,24-01-2022,170.55,152.8,413,-7330.75,
RAIN,17-01-2022,24-01-2022,248.4,215.25,134,-4442.1,
INDIACEM,10-01-2022,24-01-2022,250.1,212.5,286,-10753.6,
SHARDACROP,07-01-2022,25-01-2022,350.45,525.35,53,9269.7,
DEEPAKFERT,19-01-2022,04-02-2022,510.8,653.45,15,2139.75,
GREAVESCOT,10-01-2022,09-02-2022,209.4,193.65,506,-7969.5,
PRAJIND,17-01-2022,14-02-2022,427.15,349.85,96,-7420.8,
DEEPAKFERT,19-01-2022,14-02-2022,510.8,533.6,48,1094.4,
SHARDACROP,07-01-2022,18-02-2022,350.45,561.05,290,61074,
CCL,07-01-2022,18-02-2022,425.3,456.9,274,8658.4,
AAVAS,10-01-2022,21-02-2022,2733.5,3017.2,18,5106.6,
BALRAMCHIN,10-01-2022,21-02-2022,419.9,393,180,-4842,
SPARC,17-01-2022,22-02-2022,321,282.2,118,-4578.4,
HSCL,01-02-2022,22-02-2022,56.8,53.35,864,-2980.8,
KARURVYSYA,10-02-2022,22-02-2022,46.15,40.25,1041,-6141.9,
CHOLAFIN,01-02-2022,15-03-2022,653.95,685.8,63,2006.55,
CHENNPETRO,21-03-2022,06-04-2022,126.85,164,220,8173,
SUNDRMFAST,04-04-2022,11-04-2022,906.05,856,27,-1351.35,RS replacement
BAJAJHLDNG,11-04-2022,13-04-2022,6150.4,5517.05,6,-3800.1,
RCF,28-03-2022,18-04-2022,81.15,108.2,143,3868.15,
TNPL,21-03-2022,18-04-2022,160.75,212.55,194,10049.2,
PHOENIXLTD,04-04-2022,21-04-2022,539,506.9,57,-1829.7,RS replacement
VOLTAS,21-03-2022,02-05-2022,1288.7,1230.95,87,-5024.25,
TNPL,21-03-2022,02-05-2022,160.75,216.95,716,40239.2,
CHENNPETRO,21-03-2022,02-05-2022,126.85,307.15,654,117916.2,
YESBANK,13-04-2022,06-05-2022,14.55,13.2,2229,-3009.15,
JSWSTEEL,28-03-2022,09-05-2022,730.1,678.35,100,-5175,
THOMASCOOK,04-04-2022,09-05-2022,76.95,67.4,493,-4708.15,
MHRIL,28-03-2022,09-05-2022,232.35,234.05,369,627.3,
UFLEX,28-03-2022,09-05-2022,595.65,611.05,146,2248.4,
RCF,28-03-2022,09-05-2022,81.15,89.7,453,3873.15,
ADANIPORTS,04-04-2022,10-05-2022,818.55,769.1,58,-2868.1,
CRISIL,04-04-2022,16-05-2022,3286.3,3673.3,14,5418,
MRPL,21-04-2022,18-05-2022,67.28,87.5,136,2749.92,
MRPL,21-04-2022,02-06-2022,67.28,80.45,505,6650.85,
SIEMENS,11-07-2022,22-08-2022,2038.25,2190.65,85,12954,
TIINDIA,11-07-2022,22-08-2022,2056.4,2112.35,47,2629.65,
HSCL,11-07-2022,22-08-2022,91.2,97.35,1102,6777.3,
GALAXYSURF,18-07-2022,29-08-2022,3028.05,3249.6,31,6868.05,
ITI,18-07-2022,29-08-2022,117.35,112.7,577,-2683.05,
BRIGADE,08-08-2022,29-08-2022,519.15,497.5,98,-2121.7,RS replacement
FEDERALBNK,25-07-2022,05-09-2022,107.35,123.55,1104,17884.8,
RPOWER,29-08-2022,05-09-2022,16.3,23.3,769,5383,
NAVINFLUOR,08-08-2022,05-09-2022,4462.15,4252.15,14,-2940,RS replacement
BEML,22-08-2022,08-09-2022,915.9,768.6,83,-12225.9,
KARURVYSYA,01-08-2022,08-09-2022,48.95,61.6,404,5110.6,
YESBANK,01-08-2022,12-09-2022,15.25,17.55,4979,11451.7,
KARURVYSYA,01-08-2022,12-09-2022,48.95,62.6,1209,16502.85,
RPOWER,29-08-2022,15-09-2022,16.3,18.1,3027,5448.6,
SUNDRMFAST,08-08-2022,19-09-2022,827.55,883.8,41,2306.25,
GRINDWELL,08-08-2022,19-09-2022,1997.9,2196.8,20,3978,
ITDC,29-08-2022,26-09-2022,392.2,350.7,167,-6930.5,
JSWENERGY,05-09-2022,26-09-2022,355.9,296.15,178,-10635.5,
VAKRANGEE,12-09-2022,26-09-2022,40.3,35.95,2140,-9309,
CENTURYPLY,22-08-2022,03-10-2022,666.8,629.25,116,-4355.8,
TATACHEM,22-08-2022,03-10-2022,1087.5,1093.7,64,396.8,
REDINGTON,29-08-2022,10-10-2022,149.05,140.95,400,-3240,
INOXWIND,05-09-2022,17-10-2022,31.54,37.21,2229,12638.43,
ALLCARGO,09-09-2022,21-10-2022,83.89,91.11,857,6187.54,
HUDCO,07-11-2022,23-11-2022,42,50.85,1157,10239.45,
ICRA,17-10-2022,28-11-2022,3982.35,4241.05,49,12676.3,
PFC,21-11-2022,08-12-2022,100.05,115.65,432,6739.2,
BBTC,05-12-2022,16-12-2022,1036.1,966.2,130,-9087,
HUDCO,07-11-2022,19-12-2022,42,57.9,3889,61835.1,
IRB,15-11-2022,20-12-2022,12.8,15.92,2574,8030.88,
ITDC,28-11-2022,22-12-2022,385.1,346.55,299,-11526.45,
MOIL,05-12-2022,23-12-2022,166,152.7,464,-6171.2,
IRB,15-11-2022,27-12-2022,12.8,14.78,7887,15616.26,
PFC,21-11-2022,02-01-2023,100.05,119.75,1316,25925.2,
DABUR,05-12-2022,06-01-2023,587.1,552.85,184,-6302,
BALMLAWRIE,05-12-2022,16-01-2023,115.65,117.05,937,1311.8,
ECLERX,16-02-2023,20-03-2023,735.8,679.2,240,-13584,
PGHL,15-02-2023,29-03-2023,4513.5,4438,69,-5209.5,
JAGRAN,03-05-2023,08-05-2023,73.15,72.1,349,-366.45,RS replacement
JBCHEPHARM,17-04-2023,08-05-2023,1071.9,1042.55,155,-4549.25,RS replacement
ICICIBANK,02-05-2023,08-05-2023,922.1,937.9,62,979.6,RS replacement
PRSMJOHNSN,24-04-2023,12-05-2023,123.55,116.5,749,-5280.45,RS replacement
FDC,02-05-2023,16-05-2023,295.35,294.45,190,-171,RS replacement
JKTYRE,08-05-2023,18-05-2023,201.55,180.95,222,-4573.2,
MINDACORP,10-04-2023,22-05-2023,254.45,279.3,649,16127.65,
OBEROIRLTY,17-04-2023,29-05-2023,916.8,929.65,211,2711.35,
GREAVESCOT,18-05-2023,29-05-2023,153.85,133.05,364,-7571.2,
DLF,17-04-2023,29-05-2023,415.35,482.65,553,37216.9,
GULFOILLUB,29-05-2023,05-06-2023,442.8,446.8,471,1884,RS replacement
PRAJIND,29-05-2023,05-06-2023,386.15,384.4,435,-761.25,RS replacement
LEMONTREE,02-05-2023,06-06-2023,87.9,93.3,701,3785.4,RS replacement
SUZLON,05-06-2023,07-06-2023,11.4,14.45,1888,5758.4,
GSFC,02-05-2023,13-06-2023,158.99,153.82,565,-2921.05,
EIHOTEL,02-05-2023,13-06-2023,188.6,213.85,281,7095.25,
AUBANK,03-05-2023,14-06-2023,684.8,772.2,43,3758.2,
ENGINERSIN,08-05-2023,19-06-2023,98.9,114,503,7595.3,
HSCL,08-05-2023,19-06-2023,118.75,131.65,207,2670.3,
CHOLAHLDNG,12-05-2023,23-06-2023,776.4,869.1,73,6767.1,
CEATLTD,16-05-2023,27-06-2023,1862.4,2081.75,32,7019.2,
NESCO,22-05-2023,03-07-2023,623.15,627.35,166,697.2,
TIMETECHNO,06-06-2023,10-07-2023,53.1,65.2,510,6171,
BLISSGVS,19-06-2023,17-07-2023,81.9,100.45,283,5249.65,
KOLTEPATIL,05-06-2023,17-07-2023,344.05,385.05,300,12300,
REPCOHOME,05-06-2023,17-07-2023,276.25,314.1,270,10219.5,
SUZLON,05-06-2023,17-07-2023,11.4,18.2,5625,38250,
TIMETECHNO,06-06-2023,18-07-2023,53.1,68.4,1529,23393.7,
JAGRAN,19-06-2023,20-07-2023,78.5,102.1,155,3658,
JSWSTEEL,13-06-2023,25-07-2023,756.65,800.55,230,10097,
CASTROLIND,27-06-2023,26-07-2023,118.19,140.94,162,3685.5,
TCS,18-07-2023,28-07-2023,3496.85,3355.4,40,-5658,
ASTRAZEN,19-06-2023,31-07-2023,3650.55,3866,27,5817.15,
JAGRAN,19-06-2023,31-07-2023,78.5,103.85,645,16350.75,
MOTILALOFS,19-06-2023,31-07-2023,179.65,209.6,617,18479.15,
BLISSGVS,19-06-2023,31-07-2023,81.9,99.65,866,15371.5,
MFSL,26-06-2023,07-08-2023,745.8,785.25,92,3629.4,
CASTROLIND,27-06-2023,08-08-2023,118.19,143.46,712,17992.24,
GILLETTE,03-07-2023,14-08-2023,5014.5,5350.5,17,5712,
ASHOKA,17-07-2023,28-08-2023,93.75,100.2,767,4947.15,
JINDALSTEL,17-07-2023,28-08-2023,637.9,655.85,158,2836.1,
MPHASIS,17-07-2023,28-08-2023,2028.2,2231,63,12776.4,
SOLARINDS,14-08-2023,28-08-2023,4162.25,4889.9,11,8004.15,
NMDC,07-08-2023,31-08-2023,32.7,37.5,1848,8870.4,
ZYDUSWELL,28-08-2023,12-09-2023,332.4,312.8,526,-10309.6,
PETRONET,11-09-2023,12-09-2023,229.65,216.4,522,-6916.5,
IRB,11-09-2023,14-09-2023,17.08,15.92,6152,-7136.32,
GODFRYPHLP,07-08-2023,18-09-2023,685,685,295,0,
NMDC,07-08-2023,18-09-2023,32.7,45.4,6161,78244.7,
IRB,14-09-2023,21-09-2023,15.92,14.75,5530,-6470.1,
SOLARINDS,14-08-2023,25-09-2023,4162.25,4612.55,42,18912.6,
VIPIND,14-08-2023,25-09-2023,664.65,654.9,180,-1755,
KRBL,14-08-2023,25-09-2023,399.15,402.75,209,752.4,
INDOCO,18-09-2023,04-10-2023,356.55,329.9,444,-11832.6,
TNPL,28-08-2023,09-10-2023,265.4,249.6,517,-8168.6,
MGL,10-10-2023,20-10-2023,1108.65,1030.05,251,-19728.6,
BALRAMCHIN,11-09-2023,23-10-2023,420.2,402.75,175,-3053.75,
PETRONET,12-09-2023,23-10-2023,216.4,202.7,618,-8466.6,
YESBANK,17-11-2023,22-11-2023,20.8,19.2,7596,-12153.6,
HINDPETRO,20-11-2023,04-12-2023,179.1,224.15,126,5676.3,
RADICO,12-11-2023,05-12-2023,1386.6,1720.85,40,13370,
BDL,04-12-2023,18-12-2023,616.8,764.6,43,6355.4,
BASF,12-11-2023,26-12-2023,2855.15,3084.95,83,19073.4,
JKCEMENT,12-11-2023,26-12-2023,3495.5,3765.4,49,13225.1,
RADICO,12-11-2023,26-12-2023,1386.6,1615.15,139,31768.45,
WABAG,12-11-2023,26-12-2023,566.8,598.05,437,13656.25,
SAIL,11-12-2023,28-12-2023,100.8,122.85,130,2866.5,
NFL,11-12-2023,01-01-2024,79.4,99.8,157,3202.8,
HINDPETRO,20-11-2023,01-01-2024,179.1,239.15,389,23359.45,
BDL,04-12-2023,15-01-2024,616.8,877.85,133,34719.65,
SUDARSCHEM,26-12-2023,17-01-2024,548.5,504.1,219,-9723.6,
CASTROLIND,26-12-2023,17-01-2024,177.43,163.24,1074,-15240.06,
ABB,11-12-2023,23-01-2024,4786.85,4770.55,17,-277.1,
GSPL,12-12-2023,23-01-2024,293.9,347.65,151,8116.25,
INDIACEM,11-12-2023,23-01-2024,269.5,235.35,290,-9903.5,
AMBUJACEM,11-12-2023,23-01-2024,504,525.05,290,6104.5,
AVANTIFEED,15-01-2024,23-01-2024,552.25,512.05,213,-8562.6,
SAIL,11-12-2023,23-01-2024,100.8,108.8,476,3808,
NFL,11-12-2023,23-01-2024,79.4,112.05,465,15182.25,
DCBBANK,01-01-2024,25-01-2024,145.3,135.25,851,-8552.55,
INDOSTAR,17-01-2024,05-02-2024,201.55,183.9,519,-9160.35,
HFCL,26-12-2023,06-02-2024,85.8,103.5,1315,23275.5,
HERITGFOOD,26-12-2023,06-02-2024,303.4,316.5,710,9301,
RAIN,29-01-2024,12-02-2024,186,170.9,1292,-19509.2,
PNCINFRA,17-01-2024,28-02-2024,413.85,430.65,350,5880,
JAGRAN,19-02-2024,11-03-2024,114.3,103.5,787,-8499.6,
JAMNAAUTO,12-02-2024,13-03-2024,115.75,109.45,2125,-13387.5,
VGUARD,12-02-2024,13-03-2024,307,306.1,894,-804.6,
ASTRAL,26-02-2024,19-03-2024,2084.45,1951.75,48,-6369.6,
TATACHEM,11-03-2024,20-03-2024,1175.4,1031.3,75,-10807.5,
ABCAPITAL,12-02-2024,26-03-2024,180.4,177.1,1531,-5052.3,
TRITURBINE,12-02-2024,26-03-2024,428.35,537.6,258,28186.5,
MHRIL,13-02-2024,26-03-2024,398.9,395.4,307,-1074.5,
SHILPAMED,26-02-2024,08-04-2024,216.05,253,329,12156.55,
HEG,18-03-2024,15-04-2024,373.05,488.05,68,7820,
LINDEINDIA,26-03-2024,24-04-2024,6390.7,8245.15,5,9272.25,
ICICIPRULI,18-03-2024,29-04-2024,565.85,559.9,321,-1909.95,
HEG,18-03-2024,29-04-2024,373.05,477.45,201,20984.4,
COFFEEDAY,22-04-2024,06-05-2024,64.2,59.85,680,-2958,RS replacement
MHRIL,29-04-2024,06-05-2024,433.7,405,118,-3386.6,RS replacement
DMART,26-03-2024,07-05-2024,4486.2,4660.45,81,14114.25,
LINDEINDIA,26-03-2024,07-05-2024,6390.7,7983.1,24,38217.6,
CHOLAFIN,06-05-2024,09-05-2024,1326,1222.5,38,-3933,
HINDZINC,15-04-2024,10-05-2024,407.25,525.5,74,8750.5,
MUTHOOTFIN,08-04-2024,21-05-2024,1674.2,1703.4,97,2832.4,
BHARATFORG,29-04-2024,24-05-2024,1282,1573.5,26,7579,
SYMPHONY,15-04-2024,27-05-2024,951.7,1054.65,131,13486.45,
HINDZINC,15-04-2024,27-05-2024,407.25,706.9,358,107274.7,
DEEPAKNTR,29-04-2024,29-05-2024,2443.85,2267.65,36,-6343.2,
GILLETTE,16-05-2024,03-06-2024,6681.5,7064,16,6120,RS replacement
JISLJALEQS,21-05-2024,04-06-2024,64.55,55,890,-8499.5,
LUXIND,06-05-2024,04-06-2024,1467.3,1300.75,38,-6328.9,
BALKRISIND,27-05-2024,04-06-2024,3101.95,2897.55,55,-11242,
WHIRLPOOL,29-04-2024,10-06-2024,1476.7,1702.6,76,17168.4,
