symbol,instrument_token
ABB,3329
ACC,5633
GODREJAGRO,36865
APOLLOHOSP,40193
APOLLOTYRE,41729
MASFIN,50945
ASHOKLEY,54273
IEX,56321
ASIANPAINT,60417
ATUL,67329
AUROPHARMA,70401
GICRE,70913
BAJAJHLDNG,78081
TIINDIA,79873
BAJFINANCE,81153
BALKRISIND,85761
BALMLAWRIE,86529
BALRAMCHIN,87297
BASF,94209
BATAINDIA,94977
BBTC,97281
BEL,98049
MAHLOG,98561
BEML,101121
NIACL,102145
BERGEPAINT,103425
BHARATFORG,108033
BHEL,112129
HDFCLIFE,119553
3MINDIA,121345
BIRLACORPN,122881
BLUEDART,126721
BOMDYEING,131329
BPCL,134657
BRITANNIA,140033
CANFINHOME,149249
GRAPHITE,151553
CARBORUNIV,152321
CESC,160769
CHAMBLFERT,163073
EXIDEIND,173057
CHOLAFIN,175361
CIPLA,177665
COROMANDEL,189185
CRISIL,193793
CGPOWER,194561
DABUR,197633
DCMSHRIRAM,207617
DEEPAKFERT,211713
DRREDDY,225537
EICHERMOT,232961
EIDPARRY,234497
EIHOTEL,235265
ELGIEQUIP,239873
PGHL,240641
ESCORTS,245249
SCHAEFFLER,258817
FEDERALBNK,261889
FINCABLES,265729
FINPIPE,266497
UFLEX,269569
ZENSARTECH,275457
GHCL,288513
GLAXO,295169
GNFC,300545
GODFRYPHLP,302337
KANSAINER,306177
GRASIM,315393
GREAVESCOT,316161
GSFC,319233
CASTROLIND,320001
GUJALKALI,324353
AMBUJACEM,325121
GALAXYSURF,336641
HDFCBANK,341249
HEG,342017
HEROMOTOCO,345089
HIMATSEIDE,348161
HINDALCO,348929
HINDUNILVR,356865
HINDPETRO,359937
HINDZINC,364545
SANOFI,369153
IDBI,377857
IFBIND,380161
IFCI,381697
ASTERDM,386049
INDHOTEL,387073
INDIACEM,387841
GILLETTE,403457
INFY,408065
TATAINVEST,414977
IOC,415745
LINDEINDIA,416513
IPCALAB,418049
ITC,424961
ITI,428801
JBCHEPHARM,441857
KAJARIACER,462849
KARURVYSYA,470529
CUMMINSIND,486657
KOTAKBANK,492033
TRENT,502785
LICHSGFIN,511233
M&M,519937
RAMCOCEM,523009
CHENNPETRO,524545
VTL,530689
MAHSCOOTER,533761
MAHSEAMLES,534529
MFSL,548353
BDL,548865
BOSCHLTD,558337
BANDHANBNK,579329
MRF,582913
MRPL,584449
HAL,589569
HEIDELBERG,592897
NCC,593665
NILKAMAL,619777
ONGC,633601
PGHH,648961
LEMONTREE,667137
PFIZER,676609
PIDILITIND,681985
PRAJIND,692481
PRSMJOHNSN,701185
RALLIS,720897
RAYMOND,731905
RCF,733697
RELIANCE,738561
SAIL,758529
ORIENTELEC,760833
JINDALSAW,774145
SBIN,779521
SCI,780289
VEDL,784129
INDOSTAR,790529
SHREECEM,794369
SIEMENS,806401
SKFINDIA,815617
SRF,837889
SUDARSCHEM,851713
SUNDARMFIN,854785
SUNDRMFAST,856321
SUNPHARMA,857857
SUPREMEIND,860929
TATACHEM,871681
TATAELXSI,873217
HONAUT,874753
TATAPOWER,877057
THERMAX,889601
THOMASCOOK,891137
TATASTEEL,895745
TITAN,897537
TORNTPHARM,900609
TTKPRESTIG,907777
ADANIGREEN,912129
VIPIND,947969
VOLTAS,951809
VSTIND,953345
FINEORG,958465
VENKEYS,961793
RITES,962817
WIPRO,969473
ZEEL,975873
VARROC,987393
