date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,9.95,10.1,9.95,10.05,20633985
2021-01-04 00:00:00+05:30,10.15,10.2,10.0,10.05,32788745
2021-01-05 00:00:00+05:30,10.0,10.05,9.8,9.95,29321300
2021-01-06 00:00:00+05:30,10.0,10.35,9.8,10.15,54459555
2021-01-07 00:00:00+05:30,10.25,10.35,10.15,10.2,36058195
2021-01-08 00:00:00+05:30,10.3,10.7,10.25,10.7,91751630
2021-01-11 00:00:00+05:30,10.9,11.2,10.7,11.2,84690410
2021-01-12 00:00:00+05:30,11.35,11.5,11.0,11.15,66362855
2021-01-13 00:00:00+05:30,11.25,11.35,10.6,10.75,45360430
2021-01-14 00:00:00+05:30,10.55,10.95,10.55,10.8,21917620
2021-01-15 00:00:00+05:30,10.8,11.0,10.55,10.8,27246045
2021-01-18 00:00:00+05:30,10.85,11.0,10.5,10.7,33757245
2021-01-19 00:00:00+05:30,10.8,11.15,10.8,11.05,35709075
2021-01-20 00:00:00+05:30,11.1,11.2,11.0,11.1,22861335
2021-01-21 00:00:00+05:30,11.2,11.25,10.6,10.75,25851395
2021-01-22 00:00:00+05:30,10.75,10.9,10.5,10.55,24028615
2021-01-25 00:00:00+05:30,10.65,10.75,10.1,10.25,19722055
2021-01-27 00:00:00+05:30,10.2,10.25,9.9,9.9,21260595
2021-01-28 00:00:00+05:30,9.8,9.95,9.7,9.8,14131795
2021-01-29 00:00:00+05:30,10.0,10.3,9.9,10.25,26494415
2021-02-01 00:00:00+05:30,10.4,10.6,10.2,10.45,25295485
2021-02-02 00:00:00+05:30,10.6,10.75,10.3,10.5,20331525
2021-02-03 00:00:00+05:30,10.6,10.65,10.45,10.5,19681310
2021-02-04 00:00:00+05:30,10.55,10.95,10.5,10.65,48773930
2021-02-05 00:00:00+05:30,10.6,10.8,10.4,10.45,29473090
2021-02-08 00:00:00+05:30,10.55,10.9,10.5,10.6,22050595
2021-02-09 00:00:00+05:30,10.65,10.7,10.5,10.55,19485990
2021-02-10 00:00:00+05:30,10.6,10.6,10.4,10.4,21315235
2021-02-11 00:00:00+05:30,10.45,11.05,10.4,10.75,48658765
2021-02-12 00:00:00+05:30,10.8,11.7,10.65,11.45,181636825
2021-02-15 00:00:00+05:30,11.5,11.8,11.2,11.4,135713730
2021-02-16 00:00:00+05:30,11.45,11.8,10.9,11.05,153363280
2021-02-17 00:00:00+05:30,11.05,11.1,10.55,10.85,66870140
2021-02-18 00:00:00+05:30,10.85,11.35,10.85,11.15,60758890
2021-02-19 00:00:00+05:30,11.2,11.7,10.9,11.15,94105590
2021-02-22 00:00:00+05:30,11.2,11.45,10.95,11.1,40375600
2021-02-23 00:00:00+05:30,11.2,11.35,11.0,11.05,26637005
2021-02-24 00:00:00+05:30,11.15,11.25,11.0,11.05,14371035
2021-02-25 00:00:00+05:30,11.15,11.45,11.1,11.3,48001070
2021-02-26 00:00:00+05:30,11.2,11.25,11.0,11.05,28189640
2021-03-01 00:00:00+05:30,11.15,11.3,11.1,11.15,23162795
2021-03-02 00:00:00+05:30,11.25,12.25,11.2,12.25,166400055
2021-03-03 00:00:00+05:30,12.8,13.35,12.65,13.0,185833940
2021-03-04 00:00:00+05:30,12.75,14.25,12.65,14.25,145481375
2021-03-05 00:00:00+05:30,14.6,15.0,13.65,14.85,262079475
2021-03-08 00:00:00+05:30,15.25,15.6,15.2,15.6,44970640
2021-03-09 00:00:00+05:30,16.35,16.4,15.2,16.35,278848360
2021-03-10 00:00:00+05:30,16.6,16.85,15.55,15.55,160234165
2021-03-12 00:00:00+05:30,15.1,15.85,14.8,15.1,191955005
2021-03-15 00:00:00+05:30,15.4,15.85,14.8,15.85,122388680
2021-03-16 00:00:00+05:30,16.3,16.65,16.0,16.6,168183955
2021-03-17 00:00:00+05:30,16.9,17.45,16.8,17.45,196271870
2021-03-18 00:00:00+05:30,18.05,18.3,17.1,17.85,249621590
2021-03-19 00:00:00+05:30,17.6,18.6,16.95,18.45,204284155
2021-03-22 00:00:00+05:30,18.7,19.35,18.7,19.35,134230485
2021-03-23 00:00:00+05:30,20.3,20.3,20.0,20.3,54517855
2021-03-24 00:00:00+05:30,21.2,21.35,19.9,20.85,119499560
2021-03-25 00:00:00+05:30,21.1,21.75,19.85,19.85,242877475
2021-03-26 00:00:00+05:30,19.85,20.6,18.85,18.85,140281640
2021-03-30 00:00:00+05:30,19.0,19.1,17.9,17.9,112506340
2021-03-31 00:00:00+05:30,17.25,17.55,17.0,17.0,79469355
2021-04-01 00:00:00+05:30,16.65,17.85,16.25,17.85,217391785
2021-04-05 00:00:00+05:30,18.5,18.75,17.85,18.75,130597715
2021-04-06 00:00:00+05:30,19.6,19.7,19.5,19.7,16835960
2021-04-07 00:00:00+05:30,20.65,20.65,19.1,20.0,304963960
2021-04-08 00:00:00+05:30,20.1,20.4,19.35,19.5,99529465
2021-04-09 00:00:00+05:30,19.5,19.95,18.9,19.55,93023955
2021-04-12 00:00:00+05:30,18.9,18.9,18.55,18.55,79268515
2021-04-13 00:00:00+05:30,17.9,19.0,17.65,18.1,140642190
2021-04-15 00:00:00+05:30,17.7,18.5,17.7,18.15,105495080
2021-04-16 00:00:00+05:30,18.35,18.9,18.15,18.35,82197165
2021-04-19 00:00:00+05:30,17.6,18.0,17.45,17.5,76906070
2021-04-20 00:00:00+05:30,18.0,18.15,17.0,17.45,59369130
2021-04-22 00:00:00+05:30,17.2,17.65,17.05,17.45,64092205
2021-04-23 00:00:00+05:30,17.35,18.15,17.3,17.55,55625140
2021-04-26 00:00:00+05:30,17.7,17.95,17.4,17.55,35263610
2021-04-27 00:00:00+05:30,17.65,18.15,17.55,18.0,44581860
2021-04-28 00:00:00+05:30,18.25,18.9,18.05,18.9,59991155
2021-04-29 00:00:00+05:30,19.4,19.85,19.15,19.4,206709740
2021-04-30 00:00:00+05:30,19.0,19.65,18.9,18.95,86726395
2021-05-03 00:00:00+05:30,18.8,19.55,18.4,19.1,67063760
2021-05-04 00:00:00+05:30,19.35,19.8,18.85,19.15,106963065
2021-05-05 00:00:00+05:30,19.35,19.75,19.2,19.4,96372575
2021-05-06 00:00:00+05:30,19.6,19.8,19.2,19.35,41087110
2021-05-07 00:00:00+05:30,19.8,20.0,19.35,19.4,64647700
2021-05-10 00:00:00+05:30,19.6,19.95,19.4,19.7,69583050
2021-05-11 00:00:00+05:30,19.6,20.2,19.45,19.8,69385075
2021-05-12 00:00:00+05:30,20.0,20.15,19.4,19.5,45772815
2021-05-14 00:00:00+05:30,19.7,19.7,18.8,19.15,58664505
2021-05-17 00:00:00+05:30,19.25,19.7,19.25,19.4,36777455
2021-05-18 00:00:00+05:30,19.6,20.4,19.4,20.4,122211235
2021-05-19 00:00:00+05:30,20.75,21.4,20.25,20.5,196348435
2021-05-20 00:00:00+05:30,20.6,20.8,19.8,20.0,95651010
2021-05-21 00:00:00+05:30,20.2,20.55,20.1,20.2,64646940
2021-05-24 00:00:00+05:30,20.35,20.6,20.2,20.2,45679455
2021-05-25 00:00:00+05:30,20.4,20.5,20.0,20.1,42903045
2021-05-26 00:00:00+05:30,20.25,20.25,19.8,19.85,31769885
2021-05-27 00:00:00+05:30,20.0,20.0,18.85,19.05,172749750
2021-05-28 00:00:00+05:30,19.2,19.4,18.15,18.4,130924555
2021-05-31 00:00:00+05:30,18.55,18.85,18.45,18.5,49124395
2021-06-01 00:00:00+05:30,18.8,19.4,18.35,19.05,158721500
2021-06-02 00:00:00+05:30,19.2,19.9,19.1,19.3,153788695
2021-06-03 00:00:00+05:30,19.5,20.25,19.4,20.15,252347030
2021-06-04 00:00:00+05:30,20.3,21.15,19.85,21.15,282495740
2021-06-07 00:00:00+05:30,22.5,25.4,22.25,25.4,575751000
2021-06-08 00:00:00+05:30,26.8,30.45,26.3,30.35,1106974700
2021-06-09 00:00:00+05:30,31.2,33.4,27.7,30.45,962186980
2021-06-10 00:00:00+05:30,31.45,32.8,30.6,30.8,288468315
2021-06-11 00:00:00+05:30,31.8,31.9,29.4,29.65,171298415
2021-06-14 00:00:00+05:30,28.2,28.2,28.2,28.2,10649595
2021-06-15 00:00:00+05:30,26.8,27.6,26.8,26.8,29625545
2021-06-16 00:00:00+05:30,25.45,25.45,25.45,25.45,4019480
2021-06-17 00:00:00+05:30,24.2,24.2,24.2,24.2,3097380
2021-06-18 00:00:00+05:30,23.0,23.0,23.0,23.0,8559785
2021-06-21 00:00:00+05:30,21.85,24.1,21.85,24.1,60716195
2021-06-22 00:00:00+05:30,25.15,25.3,24.8,25.3,20418370
2021-06-23 00:00:00+05:30,26.6,26.6,24.05,25.2,75528985
2021-06-24 00:00:00+05:30,25.2,25.2,23.95,23.95,31600410
2021-06-25 00:00:00+05:30,23.0,24.3,22.8,23.35,22943335
2021-06-28 00:00:00+05:30,22.7,24.2,22.25,23.65,26929125
2021-06-29 00:00:00+05:30,23.9,23.95,23.2,23.25,13438610
2021-06-30 00:00:00+05:30,23.3,23.6,22.5,22.7,18620230
2021-07-01 00:00:00+05:30,22.7,23.0,21.55,21.55,33902230
2021-07-02 00:00:00+05:30,20.5,22.4,20.5,21.9,34087975
2021-07-05 00:00:00+05:30,22.0,22.3,21.0,21.35,22719865
2021-07-06 00:00:00+05:30,21.1,22.4,20.65,22.4,34236940
2021-07-07 00:00:00+05:30,22.15,22.2,21.4,21.95,15185045
2021-07-08 00:00:00+05:30,21.95,22.1,21.4,21.75,11875855
2021-07-09 00:00:00+05:30,21.75,22.2,21.4,21.9,11246340
2021-07-12 00:00:00+05:30,22.15,22.2,21.6,21.65,9937765
2021-07-13 00:00:00+05:30,21.8,21.95,21.2,21.35,10247250
2021-07-14 00:00:00+05:30,21.55,21.7,20.95,21.0,11195955
2021-07-15 00:00:00+05:30,21.0,21.2,20.65,20.8,11757980
2021-07-16 00:00:00+05:30,20.8,21.6,20.4,21.15,17100230
2021-07-19 00:00:00+05:30,21.15,21.55,20.1,20.45,25365170
2021-07-20 00:00:00+05:30,19.4,19.75,19.4,19.4,24402340
2021-07-22 00:00:00+05:30,18.45,20.4,18.45,20.35,30389720
2021-07-23 00:00:00+05:30,20.3,20.9,19.45,20.1,17877980
2021-07-26 00:00:00+05:30,20.1,20.1,19.5,19.6,8018120
2021-07-27 00:00:00+05:30,19.4,19.55,18.8,18.95,13207060
2021-07-28 00:00:00+05:30,18.95,19.8,18.3,19.4,14081565
2021-07-29 00:00:00+05:30,19.7,19.7,19.0,19.1,6971065
2021-07-30 00:00:00+05:30,19.05,19.4,18.8,19.15,6527460
2021-08-02 00:00:00+05:30,19.3,19.55,18.4,18.55,32563400
2021-08-03 00:00:00+05:30,18.9,19.25,18.25,18.35,32613380
2021-08-04 00:00:00+05:30,18.7,18.8,18.0,18.05,26437705
2021-08-05 00:00:00+05:30,18.4,18.6,17.4,17.65,20689645
2021-08-06 00:00:00+05:30,18.45,18.5,17.8,18.5,21608160
2021-08-09 00:00:00+05:30,18.95,19.1,17.9,18.05,16926525
2021-08-10 00:00:00+05:30,18.2,18.25,17.15,17.15,18600885
2021-08-11 00:00:00+05:30,16.35,17.0,16.3,16.7,26760765
2021-08-12 00:00:00+05:30,16.4,17.35,16.2,17.0,16810165
2021-08-13 00:00:00+05:30,17.3,17.3,16.9,17.0,8891230
2021-08-16 00:00:00+05:30,17.0,17.0,16.45,16.6,8480490
2021-08-17 00:00:00+05:30,16.6,16.65,15.8,16.0,23456475
2021-08-18 00:00:00+05:30,16.0,16.0,15.3,15.45,26684215
2021-08-20 00:00:00+05:30,15.05,15.95,14.85,15.5,18745120
2021-08-23 00:00:00+05:30,15.5,15.6,14.7,14.7,16663485
2021-08-24 00:00:00+05:30,14.4,15.45,14.05,15.45,18230140
2021-08-25 00:00:00+05:30,16.2,16.2,15.8,16.2,8994305
2021-08-26 00:00:00+05:30,17.05,17.05,17.05,17.05,4087410
2021-08-27 00:00:00+05:30,17.9,17.9,17.05,17.9,43947805
2021-08-30 00:00:00+05:30,18.25,18.75,18.0,18.75,25717745
2021-08-31 00:00:00+05:30,19.6,19.7,19.2,19.7,40383135
2021-09-01 00:00:00+05:30,20.4,20.7,20.2,20.7,19258495
2021-09-02 00:00:00+05:30,21.7,21.7,21.3,21.7,30508070
2021-09-03 00:00:00+05:30,22.65,22.65,20.65,20.65,58004130
2021-09-06 00:00:00+05:30,19.6,20.45,19.6,19.6,23925790
2021-09-07 00:00:00+05:30,19.05,19.2,18.6,18.6,13802955
2021-09-08 00:00:00+05:30,18.0,19.55,17.85,19.55,17202205
2021-09-09 00:00:00+05:30,20.0,20.5,19.1,20.5,30784140
2021-09-13 00:00:00+05:30,20.0,20.4,19.65,20.1,18881090
2021-09-14 00:00:00+05:30,19.8,20.4,19.55,19.85,13648625
2021-09-15 00:00:00+05:30,20.0,20.3,19.6,19.9,15028550
2021-09-16 00:00:00+05:30,20.05,20.1,19.65,19.7,9947285
2021-09-17 00:00:00+05:30,19.9,20.2,19.15,20.1,23561250
2021-09-20 00:00:00+05:30,19.2,19.7,19.1,19.1,27263230
2021-09-21 00:00:00+05:30,18.7,19.3,18.2,18.9,18516855
2021-09-22 00:00:00+05:30,19.0,19.5,18.95,19.2,14544010
2021-09-23 00:00:00+05:30,19.4,19.75,19.15,19.4,23619175
2021-09-24 00:00:00+05:30,19.6,19.7,19.1,19.15,17126815
2021-09-27 00:00:00+05:30,19.2,19.7,19.0,19.4,21094790
2021-09-28 00:00:00+05:30,19.5,19.55,19.05,19.2,17225990
2021-09-29 00:00:00+05:30,19.15,20.15,18.9,19.65,60607890
2021-09-30 00:00:00+05:30,19.85,19.9,19.4,19.4,27012400
2021-10-01 00:00:00+05:30,19.2,19.8,19.0,19.4,18995565
2021-10-04 00:00:00+05:30,19.55,20.35,19.5,20.35,81068955
2021-10-05 00:00:00+05:30,20.55,21.35,20.35,21.3,91940280
2021-10-06 00:00:00+05:30,21.45,21.8,20.25,20.3,60338165
2021-10-07 00:00:00+05:30,20.45,20.95,20.3,20.4,25612575
2021-10-08 00:00:00+05:30,20.6,20.7,20.2,20.3,21345720
2021-10-11 00:00:00+05:30,20.6,20.95,20.2,20.35,31058995
2021-10-12 00:00:00+05:30,20.6,20.7,20.25,20.35,21683960
2021-10-13 00:00:00+05:30,20.5,21.35,20.35,21.35,54703280
2021-10-14 00:00:00+05:30,21.7,22.4,21.5,22.4,55633930
2021-10-18 00:00:00+05:30,23.7,24.65,23.45,24.65,39663785
2021-10-19 00:00:00+05:30,26.7,27.1,23.0,24.95,359026825
2021-10-20 00:00:00+05:30,24.45,25.6,23.0,24.2,102903830
2021-10-21 00:00:00+05:30,24.6,25.3,24.0,24.65,52293195
2021-10-22 00:00:00+05:30,24.0,24.6,23.4,23.4,18256195
