date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,29.55,30.21,29.46,29.99,1110380
2021-01-04 00:00:00+05:30,30.12,30.25,29.37,29.55,3396457
2021-01-05 00:00:00+05:30,29.55,29.55,29.02,29.37,912622
2021-01-06 00:00:00+05:30,29.37,29.59,29.06,29.24,1023038
2021-01-07 00:00:00+05:30,29.37,31.48,29.24,30.52,13152937
2021-01-08 00:00:00+05:30,31.09,31.09,29.81,29.99,1966414
2021-01-11 00:00:00+05:30,30.74,30.74,29.46,29.55,1101137
2021-01-12 00:00:00+05:30,29.68,29.9,29.46,29.59,726359
2021-01-13 00:00:00+05:30,29.77,29.9,29.2,29.33,1423698
2021-01-14 00:00:00+05:30,29.37,29.55,29.33,29.37,848729
2021-01-15 00:00:00+05:30,29.37,29.5,29.37,29.37,689902
2021-01-18 00:00:00+05:30,29.37,29.9,28.93,29.33,2425895
2021-01-19 00:00:00+05:30,29.46,29.64,29.28,29.46,780905
2021-01-20 00:00:00+05:30,29.68,29.72,29.37,29.46,879964
2021-01-21 00:00:00+05:30,29.68,29.68,29.37,29.46,1091026
2021-01-22 00:00:00+05:30,29.42,29.46,28.76,29.15,1875906
2021-01-25 00:00:00+05:30,29.28,29.33,28.67,28.89,1352945
2021-01-27 00:00:00+05:30,28.76,29.02,28.58,28.67,1808479
2021-01-28 00:00:00+05:30,28.76,28.89,28.32,28.67,535597
2021-01-29 00:00:00+05:30,28.67,28.98,28.58,28.71,656780
2021-02-01 00:00:00+05:30,28.84,28.93,28.18,28.76,791230
2021-02-02 00:00:00+05:30,28.89,29.15,28.36,28.54,1006477
2021-02-03 00:00:00+05:30,28.67,28.76,28.4,28.49,607601
2021-02-04 00:00:00+05:30,28.49,28.93,28.49,28.62,905531
2021-02-05 00:00:00+05:30,28.58,28.89,28.49,28.67,759795
2021-02-08 00:00:00+05:30,28.8,29.68,28.8,29.42,1775420
2021-02-09 00:00:00+05:30,29.64,29.64,28.84,28.84,1084062
2021-02-10 00:00:00+05:30,28.93,29.33,28.27,29.11,1561465
2021-02-11 00:00:00+05:30,29.37,29.99,29.02,29.11,14619928
2021-02-12 00:00:00+05:30,29.24,29.28,28.4,28.67,2226418
2021-02-15 00:00:00+05:30,28.67,28.93,28.14,28.23,2176293
2021-02-16 00:00:00+05:30,28.18,29.11,28.18,28.67,1630780
2021-02-17 00:00:00+05:30,28.8,29.37,28.45,28.67,1909220
2021-02-18 00:00:00+05:30,28.58,28.8,28.4,28.49,1105149
2021-02-19 00:00:00+05:30,28.49,28.93,28.36,28.49,708483
2021-02-22 00:00:00+05:30,28.4,28.58,27.96,28.05,762352
2021-02-23 00:00:00+05:30,27.96,28.98,27.96,28.71,1655993
2021-02-24 00:00:00+05:30,28.93,29.15,28.58,28.76,620751
2021-02-25 00:00:00+05:30,28.93,28.98,28.67,28.76,609129
2021-02-26 00:00:00+05:30,28.49,29.02,28.23,28.32,865131
2021-03-01 00:00:00+05:30,28.76,28.76,28.18,28.32,752322
2021-03-02 00:00:00+05:30,28.36,28.58,28.14,28.23,1081387
2021-03-03 00:00:00+05:30,28.23,30.03,28.23,29.86,6193373
2021-03-04 00:00:00+05:30,29.99,30.78,29.5,29.64,6977480
2021-03-05 00:00:00+05:30,29.64,30.52,29.42,29.86,4237599
2021-03-08 00:00:00+05:30,30.21,30.34,29.28,29.37,1615838
2021-03-09 00:00:00+05:30,29.46,29.72,29.11,29.42,837344
2021-03-10 00:00:00+05:30,29.68,30.03,29.46,29.77,1444835
2021-03-12 00:00:00+05:30,30.21,30.34,29.06,29.2,1528046
2021-03-15 00:00:00+05:30,29.46,29.72,28.84,29.28,1243780
2021-03-16 00:00:00+05:30,29.46,29.81,29.02,29.11,881910
2021-03-17 00:00:00+05:30,29.24,29.55,28.93,28.93,979891
2021-03-18 00:00:00+05:30,29.11,29.2,28.58,28.8,1170598
2021-03-19 00:00:00+05:30,28.49,28.98,27.96,28.76,1070735
2021-03-22 00:00:00+05:30,28.4,29.15,28.4,28.76,831794
2021-03-23 00:00:00+05:30,28.76,29.11,28.58,28.67,382711
2021-03-24 00:00:00+05:30,28.67,28.67,28.36,28.4,368206
2021-03-25 00:00:00+05:30,28.49,28.49,27.53,27.57,893855
2021-03-26 00:00:00+05:30,27.7,28.23,27.26,27.39,1257608
2021-03-30 00:00:00+05:30,27.44,27.53,27.0,27.09,768065
2021-03-31 00:00:00+05:30,27.09,27.44,27.04,27.13,478030
2021-04-01 00:00:00+05:30,27.17,28.01,27.17,27.88,1142597
2021-04-05 00:00:00+05:30,27.96,28.27,27.35,27.92,974915
2021-04-06 00:00:00+05:30,27.96,28.58,27.92,28.32,710876
2021-04-07 00:00:00+05:30,28.4,28.4,28.05,28.23,361660
2021-04-08 00:00:00+05:30,28.32,28.67,28.14,28.23,562493
2021-04-09 00:00:00+05:30,28.27,28.49,28.14,28.23,469779
2021-04-12 00:00:00+05:30,27.7,27.92,26.95,27.09,684185
2021-04-13 00:00:00+05:30,27.22,27.57,26.95,27.22,297225
2021-04-15 00:00:00+05:30,27.22,27.39,27.04,27.22,359754
2021-04-16 00:00:00+05:30,27.04,27.26,27.04,27.13,185185
2021-04-19 00:00:00+05:30,27.09,27.48,26.65,26.87,983775
2021-04-20 00:00:00+05:30,26.87,27.53,26.73,27.09,584467
2021-04-22 00:00:00+05:30,27.22,27.57,26.47,27.13,938999
2021-04-23 00:00:00+05:30,27.26,27.26,26.82,26.95,425390
2021-04-26 00:00:00+05:30,27.44,27.44,26.95,27.0,244612
2021-04-27 00:00:00+05:30,26.87,27.22,26.87,27.13,196097
2021-04-28 00:00:00+05:30,27.26,27.31,26.95,27.09,562229
2021-04-29 00:00:00+05:30,27.09,27.35,26.95,27.17,432672
2021-04-30 00:00:00+05:30,27.17,27.88,27.13,27.44,1637626
2021-05-03 00:00:00+05:30,26.95,28.62,26.95,27.7,2253264
2021-05-04 00:00:00+05:30,28.14,28.14,27.31,27.35,1308074
2021-05-05 00:00:00+05:30,27.48,27.66,27.09,27.22,640291
2021-05-06 00:00:00+05:30,27.17,27.35,27.09,27.17,553118
2021-05-07 00:00:00+05:30,27.09,27.35,27.09,27.13,1167169
2021-05-10 00:00:00+05:30,27.17,27.88,27.09,27.61,1303179
2021-05-11 00:00:00+05:30,27.44,29.2,27.26,28.67,5013573
2021-05-12 00:00:00+05:30,28.8,29.11,27.7,27.96,2804963
2021-05-14 00:00:00+05:30,28.54,28.54,27.7,27.75,729588
