date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,92.5,94.0,92.15,93.45,1283612
2021-01-04 00:00:00+05:30,94.2,94.5,92.05,92.9,902367
2021-01-05 00:00:00+05:30,92.0,93.85,91.1,93.35,1404207
2021-01-06 00:00:00+05:30,94.0,95.1,92.05,93.65,1283103
2021-01-07 00:00:00+05:30,94.5,96.5,93.5,95.25,2360912
2021-01-08 00:00:00+05:30,96.0,96.35,94.4,94.85,1202749
2021-01-11 00:00:00+05:30,95.8,97.9,94.05,96.5,1791834
2021-01-12 00:00:00+05:30,96.9,97.7,94.8,95.75,1038894
2021-01-13 00:00:00+05:30,95.85,96.5,93.2,94.15,1376513
2021-01-14 00:00:00+05:30,94.7,95.45,93.0,95.0,763223
2021-01-15 00:00:00+05:30,94.5,95.75,93.1,93.85,725781
2021-01-18 00:00:00+05:30,94.0,94.0,90.5,91.15,703549
2021-01-19 00:00:00+05:30,91.15,94.85,91.15,92.05,781343
2021-01-20 00:00:00+05:30,92.1,95.0,91.95,93.65,589386
2021-01-21 00:00:00+05:30,94.0,96.5,92.6,93.55,1768411
2021-01-22 00:00:00+05:30,93.7,95.65,92.1,92.5,835693
2021-01-25 00:00:00+05:30,92.6,93.6,86.2,90.45,1098492
2021-01-27 00:00:00+05:30,89.9,90.0,87.55,87.85,672176
2021-01-28 00:00:00+05:30,86.0,90.5,85.15,88.0,764021
2021-01-29 00:00:00+05:30,88.85,90.7,87.0,87.4,693429
2021-02-01 00:00:00+05:30,88.6,98.3,87.8,96.65,3588037
2021-02-02 00:00:00+05:30,98.4,102.0,94.3,100.7,3164484
2021-02-03 00:00:00+05:30,101.7,109.4,100.0,107.15,5620724
2021-02-04 00:00:00+05:30,107.85,110.0,101.4,102.45,4382618
2021-02-05 00:00:00+05:30,103.45,105.35,97.6,103.95,2917928
2021-02-08 00:00:00+05:30,108.5,108.9,102.2,104.75,4445775
2021-02-09 00:00:00+05:30,105.9,114.3,105.6,110.7,8373160
2021-02-10 00:00:00+05:30,111.9,113.05,109.0,111.8,2891204
2021-02-11 00:00:00+05:30,111.8,112.5,110.0,110.9,1357621
2021-02-12 00:00:00+05:30,111.35,113.7,108.1,109.85,1654885
2021-02-15 00:00:00+05:30,110.95,111.4,106.0,106.8,1174702
2021-02-16 00:00:00+05:30,107.8,118.1,107.15,116.75,3673550
2021-02-17 00:00:00+05:30,116.5,118.6,113.4,114.35,1757665
2021-02-18 00:00:00+05:30,115.2,118.0,111.7,112.35,2061398
2021-02-19 00:00:00+05:30,111.9,114.7,108.2,110.9,1203635
2021-02-22 00:00:00+05:30,111.8,111.9,106.05,107.5,1010405
2021-02-23 00:00:00+05:30,107.5,111.5,105.15,109.55,1074830
2021-02-24 00:00:00+05:30,109.4,114.95,109.1,114.1,834395
2021-02-25 00:00:00+05:30,115.1,115.8,111.0,113.3,894987
2021-02-26 00:00:00+05:30,109.7,114.7,108.9,113.1,1019078
2021-03-01 00:00:00+05:30,114.2,114.45,111.1,111.85,944045
2021-03-02 00:00:00+05:30,112.8,113.45,110.2,110.7,1097255
2021-03-03 00:00:00+05:30,111.4,114.0,111.0,112.25,864468
2021-03-04 00:00:00+05:30,110.25,118.4,110.25,116.25,2203348
2021-03-05 00:00:00+05:30,115.95,115.95,111.5,113.55,958590
2021-03-08 00:00:00+05:30,114.95,116.75,113.25,113.85,1089967
2021-03-09 00:00:00+05:30,115.4,115.5,110.25,111.7,570899
2021-03-10 00:00:00+05:30,112.3,113.0,110.6,111.1,723455
2021-03-12 00:00:00+05:30,112.0,112.9,108.9,109.4,884392
2021-03-15 00:00:00+05:30,111.0,111.0,106.2,107.4,721842
2021-03-16 00:00:00+05:30,108.0,109.7,106.2,107.95,675742
2021-03-17 00:00:00+05:30,110.85,112.7,108.25,109.55,2075090
2021-03-18 00:00:00+05:30,111.2,111.8,102.3,104.55,1029134
2021-03-19 00:00:00+05:30,103.0,103.9,96.3,103.15,1403921
2021-03-22 00:00:00+05:30,104.45,104.6,102.3,102.7,771374
2021-03-23 00:00:00+05:30,103.0,104.85,101.55,102.2,702837
2021-03-24 00:00:00+05:30,101.6,103.95,97.0,97.55,966015
2021-03-25 00:00:00+05:30,97.55,98.7,92.25,94.15,977628
2021-03-26 00:00:00+05:30,94.6,97.95,94.55,95.2,729843
2021-03-30 00:00:00+05:30,95.5,102.8,95.5,101.0,1617052
2021-03-31 00:00:00+05:30,101.45,103.4,99.6,101.9,744957
2021-04-01 00:00:00+05:30,102.3,103.95,100.0,100.6,705285
2021-04-05 00:00:00+05:30,100.0,100.6,95.0,96.25,956392
2021-04-06 00:00:00+05:30,96.55,97.75,95.25,96.05,466045
2021-04-07 00:00:00+05:30,95.6,97.4,95.6,96.55,355258
2021-04-08 00:00:00+05:30,96.55,98.5,96.55,96.9,530467
2021-04-09 00:00:00+05:30,96.9,97.55,96.0,96.95,373386
2021-04-12 00:00:00+05:30,94.2,95.0,85.05,87.35,1776375
2021-04-13 00:00:00+05:30,87.35,92.65,86.75,90.85,1257101
2021-04-15 00:00:00+05:30,90.0,90.2,86.3,88.85,681772
2021-04-16 00:00:00+05:30,93.95,98.75,90.0,91.25,8092640
2021-04-19 00:00:00+05:30,86.95,88.5,84.0,84.9,2382281
2021-04-20 00:00:00+05:30,85.5,88.2,83.1,83.95,1825864
2021-04-22 00:00:00+05:30,83.85,84.0,81.4,83.65,1172971
2021-04-23 00:00:00+05:30,83.0,85.45,82.25,84.05,802450
2021-04-26 00:00:00+05:30,86.0,89.0,83.2,83.95,1269926
2021-04-27 00:00:00+05:30,84.0,84.95,82.35,82.9,1674239
2021-04-28 00:00:00+05:30,83.9,84.5,82.3,83.2,1609140
2021-04-29 00:00:00+05:30,84.3,87.25,82.95,83.4,3050884
2021-04-30 00:00:00+05:30,82.85,85.9,82.0,82.55,2021987
2021-05-03 00:00:00+05:30,82.4,83.95,81.5,81.85,1252825
2021-05-04 00:00:00+05:30,82.45,83.35,79.7,79.85,2140403
2021-05-05 00:00:00+05:30,80.7,80.8,78.7,78.9,1196773
2021-05-06 00:00:00+05:30,79.5,80.0,78.4,78.65,759701
2021-05-07 00:00:00+05:30,79.5,80.85,78.75,78.9,1719489
2021-05-10 00:00:00+05:30,79.8,84.1,79.0,83.2,2763156
2021-05-11 00:00:00+05:30,82.7,85.25,82.1,84.2,2729061
2021-05-12 00:00:00+05:30,85.5,89.9,84.3,87.45,3505353
2021-05-14 00:00:00+05:30,88.15,90.0,85.0,85.75,1650375
2021-05-17 00:00:00+05:30,86.0,87.85,84.65,85.25,1382081
2021-05-18 00:00:00+05:30,85.6,86.5,84.4,84.65,1644393
2021-05-19 00:00:00+05:30,85.1,88.4,84.65,87.9,1922616
2021-05-20 00:00:00+05:30,88.2,88.8,86.0,86.3,1248872
2021-05-21 00:00:00+05:30,86.9,88.3,86.4,87.3,1165575
2021-05-24 00:00:00+05:30,87.6,93.5,87.5,91.0,6029827
2021-05-25 00:00:00+05:30,92.1,94.8,92.1,93.75,3455140
2021-05-26 00:00:00+05:30,94.5,95.75,91.15,91.75,2688324
2021-05-27 00:00:00+05:30,92.45,94.4,91.65,92.4,1368059
2021-05-28 00:00:00+05:30,95.0,95.2,91.8,93.15,2371198
2021-05-31 00:00:00+05:30,94.0,94.95,93.1,94.0,1534757
2021-06-01 00:00:00+05:30,94.4,94.5,91.25,92.05,1170907
2021-06-02 00:00:00+05:30,91.85,93.5,91.3,93.15,902218
2021-06-03 00:00:00+05:30,94.0,94.5,93.35,93.55,928497
2021-06-04 00:00:00+05:30,94.0,94.5,92.0,93.0,904346
2021-06-07 00:00:00+05:30,94.25,95.7,93.35,94.3,1597225
2021-06-08 00:00:00+05:30,94.7,95.4,93.0,93.4,903965
2021-06-09 00:00:00+05:30,93.75,99.5,93.55,98.15,8917829
2021-06-10 00:00:00+05:30,99.2,101.85,96.0,97.05,4911781
2021-06-11 00:00:00+05:30,97.8,101.8,96.55,100.45,7566848
2021-06-14 00:00:00+05:30,101.0,101.0,95.1,98.8,2719045
2021-06-15 00:00:00+05:30,99.6,102.65,99.05,99.9,2623527
2021-06-16 00:00:00+05:30,100.7,102.0,98.6,100.95,2872322
2021-06-17 00:00:00+05:30,100.45,103.35,99.05,100.05,3277843
2021-06-18 00:00:00+05:30,101.0,102.25,88.0,99.4,3123540
2021-06-21 00:00:00+05:30,97.8,101.7,96.15,98.55,2199502
2021-06-22 00:00:00+05:30,99.7,100.45,97.25,97.6,1193580
2021-06-23 00:00:00+05:30,99.8,104.0,99.2,101.65,6619664
2021-06-24 00:00:00+05:30,103.0,104.0,102.15,103.5,3966382
2021-06-25 00:00:00+05:30,104.2,107.5,103.3,104.4,4623268
2021-06-28 00:00:00+05:30,105.2,108.35,104.1,105.9,3654780
2021-06-29 00:00:00+05:30,106.0,109.75,106.0,108.95,3484835
2021-06-30 00:00:00+05:30,109.35,112.5,107.55,110.65,5441426
2021-07-01 00:00:00+05:30,111.6,112.5,108.75,109.25,2733018
2021-07-02 00:00:00+05:30,109.45,112.8,109.15,112.2,3162607
2021-07-05 00:00:00+05:30,112.55,117.65,112.0,115.25,6058002
2021-07-06 00:00:00+05:30,115.55,116.55,110.05,111.65,3033783
2021-07-07 00:00:00+05:30,111.25,111.5,109.1,110.05,1391136
2021-07-08 00:00:00+05:30,110.05,112.8,109.25,110.85,1656946
2021-07-09 00:00:00+05:30,111.35,115.8,109.5,114.8,4560265
2021-07-12 00:00:00+05:30,115.7,116.55,111.15,111.8,2593028
2021-07-13 00:00:00+05:30,114.75,116.95,111.15,112.0,4442031
2021-07-14 00:00:00+05:30,112.0,113.45,109.4,109.85,2173760
2021-07-15 00:00:00+05:30,110.7,111.95,107.1,107.85,2043925
2021-07-16 00:00:00+05:30,108.7,112.0,107.15,107.6,2579660
2021-07-19 00:00:00+05:30,107.6,109.9,107.4,108.0,1898992
2021-07-20 00:00:00+05:30,108.9,109.5,100.95,104.55,2295725
2021-07-22 00:00:00+05:30,105.75,106.8,105.05,105.95,1280078
2021-07-23 00:00:00+05:30,106.9,106.9,104.1,104.4,929835
2021-07-26 00:00:00+05:30,104.4,104.4,102.15,102.65,992280
