date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,45.4,47.5,45.4,47.1,54298768
2021-01-04 00:00:00+05:30,47.5,50.4,47.3,49.55,140626548
2021-01-05 00:00:00+05:30,49.4,50.1,48.75,49.9,54608574
2021-01-06 00:00:00+05:30,50.0,50.9,49.25,50.1,61217968
2021-01-07 00:00:00+05:30,51.0,53.4,50.9,53.05,106476080
2021-01-08 00:00:00+05:30,53.7,54.4,53.05,53.9,80365784
2021-01-11 00:00:00+05:30,54.3,56.6,54.1,56.0,90850640
2021-01-12 00:00:00+05:30,55.6,60.3,55.3,58.3,167238074
2021-01-13 00:00:00+05:30,59.1,60.25,56.7,58.35,102682148
2021-01-14 00:00:00+05:30,58.75,59.3,56.8,57.1,56257674
2021-01-15 00:00:00+05:30,56.9,58.3,56.2,57.3,66458616
2021-01-18 00:00:00+05:30,57.0,57.15,53.85,54.7,73270910
2021-01-19 00:00:00+05:30,55.5,57.4,55.4,56.85,55916264
2021-01-20 00:00:00+05:30,57.5,58.65,56.85,58.4,48497570
2021-01-21 00:00:00+05:30,58.8,59.4,56.5,57.3,67353844
2021-01-22 00:00:00+05:30,57.5,61.15,57.45,58.65,143267554
2021-01-25 00:00:00+05:30,59.3,59.7,55.9,56.2,53373666
2021-01-27 00:00:00+05:30,54.4,55.6,52.5,55.1,86781450
2021-01-28 00:00:00+05:30,53.8,55.15,53.0,53.9,56816544
2021-01-29 00:00:00+05:30,54.8,55.8,52.3,52.9,59197908
2021-02-01 00:00:00+05:30,53.5,59.25,51.8,58.55,118087616
2021-02-02 00:00:00+05:30,59.55,64.5,59.5,63.7,153316476
2021-02-03 00:00:00+05:30,65.0,66.1,64.0,64.75,107830526
2021-02-04 00:00:00+05:30,64.5,67.0,64.05,65.5,76400672
2021-02-05 00:00:00+05:30,65.9,66.2,62.6,63.35,55639120
2021-02-08 00:00:00+05:30,64.1,65.9,64.1,65.45,45445984
2021-02-09 00:00:00+05:30,65.8,66.05,64.4,64.9,36810810
2021-02-10 00:00:00+05:30,64.9,65.1,63.1,64.5,45707982
2021-02-11 00:00:00+05:30,64.0,65.3,64.0,65.05,34247574
2021-02-12 00:00:00+05:30,60.9,64.0,60.5,61.65,159256510
2021-02-15 00:00:00+05:30,62.6,63.0,61.5,62.7,60409308
2021-02-16 00:00:00+05:30,63.2,63.6,61.4,61.9,45574508
2021-02-17 00:00:00+05:30,62.0,63.9,61.5,63.6,46044076
2021-02-18 00:00:00+05:30,63.95,63.95,61.95,62.25,45524980
2021-02-19 00:00:00+05:30,62.0,62.0,58.3,59.2,59780296
2021-02-22 00:00:00+05:30,59.4,60.3,58.0,58.6,51046286
2021-02-23 00:00:00+05:30,58.8,61.65,57.8,60.45,67447482
2021-02-24 00:00:00+05:30,60.9,61.4,60.0,60.8,17868540
2021-02-25 00:00:00+05:30,61.6,63.4,61.2,63.1,48176864
2021-02-26 00:00:00+05:30,61.9,62.8,59.8,61.95,59329252
2021-03-01 00:00:00+05:30,62.9,64.7,60.8,62.35,69795492
2021-03-02 00:00:00+05:30,62.9,64.5,61.9,63.8,53712482
2021-03-03 00:00:00+05:30,64.0,64.5,62.9,63.25,36491522
2021-03-04 00:00:00+05:30,62.2,63.7,61.7,63.0,39206900
2021-03-05 00:00:00+05:30,62.65,63.1,60.0,60.6,52588100
2021-03-08 00:00:00+05:30,61.5,61.5,59.85,60.4,39900468
2021-03-09 00:00:00+05:30,61.0,61.5,58.25,59.2,49283028
2021-03-10 00:00:00+05:30,59.8,60.7,59.1,59.5,32785386
2021-03-12 00:00:00+05:30,60.1,60.4,57.9,58.55,33679072
2021-03-15 00:00:00+05:30,59.3,59.3,56.05,58.3,41015214
2021-03-16 00:00:00+05:30,58.3,59.5,57.55,59.15,25448294
2021-03-17 00:00:00+05:30,59.3,59.4,55.55,56.1,59441284
2021-03-18 00:00:00+05:30,57.0,57.4,52.7,54.1,96049702
2021-03-19 00:00:00+05:30,53.25,56.0,51.5,55.7,71876572
2021-03-22 00:00:00+05:30,55.6,55.9,53.8,54.4,32784338
2021-03-23 00:00:00+05:30,54.5,55.9,54.4,54.9,34559802
2021-03-24 00:00:00+05:30,54.65,55.0,53.4,53.6,31786578
2021-03-25 00:00:00+05:30,53.75,53.9,51.15,52.4,71160814
2021-03-26 00:00:00+05:30,53.3,55.2,53.1,54.55,47307636
2021-03-30 00:00:00+05:30,55.3,55.4,53.4,54.35,33971236
2021-03-31 00:00:00+05:30,54.4,55.5,53.8,54.3,32966912
2021-04-01 00:00:00+05:30,55.15,56.9,54.3,56.6,43877468
2021-04-05 00:00:00+05:30,56.2,56.3,52.9,54.2,44723816
2021-04-06 00:00:00+05:30,54.7,54.9,53.5,53.8,31223162
2021-04-07 00:00:00+05:30,54.0,56.1,53.8,55.9,43842646
2021-04-08 00:00:00+05:30,56.5,59.9,56.15,58.9,108031852
2021-04-09 00:00:00+05:30,59.65,60.3,57.7,58.1,54981324
2021-04-12 00:00:00+05:30,56.2,56.2,52.9,53.6,72217578
2021-04-13 00:00:00+05:30,54.05,55.4,53.3,55.2,47245584
2021-04-15 00:00:00+05:30,54.1,54.95,52.55,53.5,45025684
2021-04-16 00:00:00+05:30,53.8,55.45,53.5,54.35,38027786
2021-04-19 00:00:00+05:30,52.25,52.7,50.6,52.5,72906514
2021-04-20 00:00:00+05:30,53.05,54.7,52.9,53.95,64153668
2021-04-22 00:00:00+05:30,53.0,54.9,52.6,54.1,45227982
