date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,415.7,415.7,408.05,409.65,84406
2021-01-04 00:00:00+05:30,412.5,422.05,403.95,410.9,391976
2021-01-05 00:00:00+05:30,413.8,419.75,404.0,416.85,150920
2021-01-06 00:00:00+05:30,418.8,433.8,417.15,422.25,448690
2021-01-07 00:00:00+05:30,425.75,435.95,423.5,427.45,201352
2021-01-08 00:00:00+05:30,431.25,450.8,429.2,446.25,608821
2021-01-11 00:00:00+05:30,450.7,477.95,444.65,472.6,1638501
2021-01-12 00:00:00+05:30,478.85,486.05,468.15,477.95,749407
2021-01-13 00:00:00+05:30,477.95,562.05,476.25,548.8,4119291
2021-01-14 00:00:00+05:30,549.95,575.45,497.85,514.65,3542273
2021-01-15 00:00:00+05:30,510.4,518.25,492.95,497.65,489805
2021-01-18 00:00:00+05:30,497.75,502.3,469.5,480.75,205895
2021-01-19 00:00:00+05:30,482.9,513.1,482.85,503.45,392347
2021-01-20 00:00:00+05:30,506.3,506.4,490.3,493.9,144603
2021-01-21 00:00:00+05:30,498.15,534.55,498.15,513.5,745371
2021-01-22 00:00:00+05:30,516.45,533.2,501.0,510.05,244539
2021-01-25 00:00:00+05:30,510.2,517.1,491.1,499.1,141826
2021-01-27 00:00:00+05:30,498.35,523.15,484.0,489.8,412840
2021-01-28 00:00:00+05:30,483.55,507.6,477.2,484.55,435524
2021-01-29 00:00:00+05:30,490.9,501.45,483.55,486.35,250292
2021-02-01 00:00:00+05:30,487.05,506.05,478.35,496.35,239457
2021-02-02 00:00:00+05:30,501.7,510.8,482.0,492.65,386975
2021-02-03 00:00:00+05:30,502.35,507.7,492.65,494.15,249441
2021-02-04 00:00:00+05:30,501.7,536.5,496.3,515.35,2965868
2021-02-05 00:00:00+05:30,537.25,618.4,537.25,618.4,6636450
2021-02-08 00:00:00+05:30,632.95,742.1,629.0,684.35,8127799
2021-02-09 00:00:00+05:30,695.7,731.05,689.95,702.65,3434235
2021-02-10 00:00:00+05:30,712.9,721.0,679.1,685.7,1149106
2021-02-11 00:00:00+05:30,685.8,754.25,685.7,704.45,3267368
2021-02-12 00:00:00+05:30,708.95,723.7,704.9,717.0,921860
