date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,530.0,536.65,526.0,530.25,78253
2021-01-04 00:00:00+05:30,532.8,535.2,522.25,526.15,109398
2021-01-05 00:00:00+05:30,525.0,533.75,518.9,528.6,230720
2021-01-06 00:00:00+05:30,531.0,534.0,509.0,514.15,416914
2021-01-07 00:00:00+05:30,518.2,522.0,510.4,513.3,118231
2021-01-08 00:00:00+05:30,513.55,521.8,511.0,513.6,194505
2021-01-11 00:00:00+05:30,540.0,547.0,526.0,528.9,1364595
2021-01-12 00:00:00+05:30,528.0,535.25,520.25,523.65,317307
2021-01-13 00:00:00+05:30,518.1,527.5,509.2,513.85,277825
2021-01-14 00:00:00+05:30,515.0,517.4,501.0,512.65,93264
2021-01-15 00:00:00+05:30,513.0,517.4,505.0,506.6,111683
2021-01-18 00:00:00+05:30,510.0,511.4,495.0,500.7,142699
2021-01-19 00:00:00+05:30,506.05,518.95,504.45,513.35,135070
2021-01-20 00:00:00+05:30,516.0,516.6,508.5,510.1,77041
2021-01-21 00:00:00+05:30,509.5,513.9,495.0,498.7,170109
2021-01-22 00:00:00+05:30,496.0,503.3,486.2,493.5,106754
2021-01-25 00:00:00+05:30,498.0,499.25,478.65,490.4,76635
2021-01-27 00:00:00+05:30,489.0,490.0,474.5,477.85,197231
2021-01-28 00:00:00+05:30,461.25,493.45,461.25,483.3,96933
2021-01-29 00:00:00+05:30,491.9,491.95,480.65,484.1,50835
2021-02-01 00:00:00+05:30,487.95,501.45,478.0,495.6,115872
2021-02-02 00:00:00+05:30,493.15,521.9,493.15,516.0,302715
2021-02-03 00:00:00+05:30,519.8,523.9,512.0,520.2,165048
2021-02-04 00:00:00+05:30,523.0,532.2,520.2,526.2,167247
2021-02-05 00:00:00+05:30,530.0,549.3,524.9,536.55,392950
2021-02-08 00:00:00+05:30,535.0,535.0,507.0,509.25,543946
2021-02-09 00:00:00+05:30,514.0,514.0,487.0,489.35,293828
2021-02-10 00:00:00+05:30,491.0,495.75,471.8,474.65,302581
2021-02-11 00:00:00+05:30,478.0,488.85,473.3,484.15,136092
2021-02-12 00:00:00+05:30,486.7,490.0,480.8,482.15,92427
2021-02-15 00:00:00+05:30,485.0,492.1,480.0,482.55,114371
2021-02-16 00:00:00+05:30,486.0,491.5,483.25,489.7,148360
2021-02-17 00:00:00+05:30,492.0,492.45,481.5,484.05,75896
2021-02-18 00:00:00+05:30,485.5,498.0,485.5,488.5,172307
2021-02-19 00:00:00+05:30,493.95,497.8,483.65,488.35,86781
2021-02-22 00:00:00+05:30,483.9,489.45,475.0,476.35,87254
2021-02-23 00:00:00+05:30,478.0,483.9,473.6,476.45,63639
2021-02-24 00:00:00+05:30,475.0,482.35,472.5,473.35,44273
2021-02-25 00:00:00+05:30,476.5,479.0,472.6,474.85,124752
2021-02-26 00:00:00+05:30,470.0,487.75,461.0,465.0,181463
2021-03-01 00:00:00+05:30,470.25,472.7,465.55,468.45,70402
2021-03-02 00:00:00+05:30,472.0,476.2,466.0,469.7,76935
2021-03-03 00:00:00+05:30,472.2,479.8,467.0,467.75,140222
2021-03-04 00:00:00+05:30,467.0,475.0,465.45,472.7,148750
2021-03-05 00:00:00+05:30,470.0,475.0,463.0,463.6,142674
2021-03-08 00:00:00+05:30,464.6,469.25,455.0,455.6,122643
2021-03-09 00:00:00+05:30,460.0,471.0,455.05,460.4,239258
2021-03-10 00:00:00+05:30,464.1,467.5,457.0,459.0,72040
2021-03-12 00:00:00+05:30,462.6,463.35,456.05,457.35,70855
2021-03-15 00:00:00+05:30,459.0,459.0,450.3,453.9,75531
2021-03-16 00:00:00+05:30,456.3,457.75,448.0,449.3,99700
2021-03-17 00:00:00+05:30,449.0,453.0,433.7,438.25,120463
2021-03-18 00:00:00+05:30,442.0,447.95,437.0,439.75,322617
2021-03-19 00:00:00+05:30,437.5,454.8,428.05,447.8,274480
2021-03-22 00:00:00+05:30,449.0,454.8,436.0,438.2,156424
2021-03-23 00:00:00+05:30,439.9,444.0,435.75,439.0,154675
2021-03-24 00:00:00+05:30,439.0,458.7,430.1,432.6,530439
