date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,538.85,563.0,531.95,557.8,220127
2021-01-04 00:00:00+05:30,568.45,591.3,562.55,583.6,266316
2021-01-05 00:00:00+05:30,575.8,594.0,572.55,592.95,299216
2021-01-06 00:00:00+05:30,594.95,597.5,574.55,586.5,508077
2021-01-07 00:00:00+05:30,589.45,595.0,577.45,580.6,494543
2021-01-08 00:00:00+05:30,593.7,595.0,570.55,577.65,266781
2021-01-11 00:00:00+05:30,577.65,592.0,552.7,579.25,101101
2021-01-12 00:00:00+05:30,579.25,593.9,571.5,584.75,533041
2021-01-13 00:00:00+05:30,587.8,587.8,560.0,567.2,192952
2021-01-14 00:00:00+05:30,562.25,576.0,560.05,575.0,39248
2021-01-15 00:00:00+05:30,577.0,580.0,546.0,559.25,76437
2021-01-18 00:00:00+05:30,555.55,562.05,532.15,544.7,91137
2021-01-19 00:00:00+05:30,548.0,557.0,541.3,546.0,1205382
2021-01-20 00:00:00+05:30,549.8,557.95,544.8,552.9,521853
2021-01-21 00:00:00+05:30,555.0,564.5,549.05,555.0,504162
2021-01-22 00:00:00+05:30,550.05,560.0,542.2,555.55,249073
2021-01-25 00:00:00+05:30,558.35,563.85,536.15,544.5,129907
2021-01-27 00:00:00+05:30,536.45,541.6,515.6,523.1,342648
2021-01-28 00:00:00+05:30,519.0,522.55,510.75,516.8,32923
2021-01-29 00:00:00+05:30,520.0,522.95,434.1,499.85,438806
2021-02-01 00:00:00+05:30,499.85,516.8,487.6,504.8,446938
2021-02-02 00:00:00+05:30,508.1,561.2,508.1,529.4,529133
2021-02-03 00:00:00+05:30,535.75,548.65,523.1,541.05,145949
2021-02-04 00:00:00+05:30,543.7,565.85,538.2,558.95,107535
2021-02-05 00:00:00+05:30,565.4,574.95,551.1,556.3,125022
2021-02-08 00:00:00+05:30,559.0,563.6,545.0,550.2,45630
2021-02-09 00:00:00+05:30,552.9,558.2,537.45,544.25,69684
2021-02-10 00:00:00+05:30,546.8,549.95,531.55,540.05,39297
2021-02-11 00:00:00+05:30,542.0,567.55,536.6,546.8,139114
2021-02-12 00:00:00+05:30,536.95,552.25,536.95,548.95,59923
2021-02-15 00:00:00+05:30,551.8,575.0,545.15,571.25,336187
2021-02-16 00:00:00+05:30,575.1,600.0,575.1,589.75,217340
2021-02-17 00:00:00+05:30,605.0,605.0,581.15,592.45,130199
2021-02-18 00:00:00+05:30,588.5,607.0,582.0,584.15,202837
2021-02-19 00:00:00+05:30,585.0,595.0,583.25,589.6,39942
2021-02-22 00:00:00+05:30,597.0,602.7,584.35,588.9,137058
2021-02-23 00:00:00+05:30,589.5,601.0,586.65,599.0,29010
2021-02-24 00:00:00+05:30,599.0,618.9,584.95,603.4,21333
2021-02-25 00:00:00+05:30,604.0,614.95,588.2,607.1,147771
2021-02-26 00:00:00+05:30,600.0,609.0,580.55,599.95,49234
2021-03-01 00:00:00+05:30,599.5,619.95,587.0,605.45,90706
2021-03-02 00:00:00+05:30,605.45,611.05,592.55,601.15,48595
2021-03-03 00:00:00+05:30,596.05,612.0,589.0,602.5,112412
2021-03-04 00:00:00+05:30,605.7,608.15,596.55,604.3,63914
2021-03-05 00:00:00+05:30,609.95,609.95,593.05,602.65,63843
2021-03-08 00:00:00+05:30,617.9,617.9,590.3,600.35,134742
2021-03-09 00:00:00+05:30,604.0,609.2,593.0,598.1,34400
2021-03-10 00:00:00+05:30,597.85,610.0,585.65,591.5,71732
2021-03-12 00:00:00+05:30,594.6,612.0,583.35,603.7,331330
2021-03-15 00:00:00+05:30,608.0,619.0,595.0,604.35,132368
2021-03-16 00:00:00+05:30,607.5,612.0,587.7,600.5,96742
2021-03-17 00:00:00+05:30,600.0,608.0,587.85,592.4,49800
2021-03-18 00:00:00+05:30,595.5,609.0,588.2,596.4,70122
2021-03-19 00:00:00+05:30,593.4,605.0,574.4,588.35,297694
2021-03-22 00:00:00+05:30,599.0,606.55,591.15,599.6,116287
2021-03-23 00:00:00+05:30,600.0,609.4,586.8,593.25,76466
2021-03-24 00:00:00+05:30,593.25,597.45,587.1,593.45,76334
2021-03-25 00:00:00+05:30,588.1,594.5,575.0,586.25,363069
2021-03-26 00:00:00+05:30,589.3,602.8,583.0,586.5,48663
2021-03-30 00:00:00+05:30,589.6,603.0,588.1,597.3,51001
2021-03-31 00:00:00+05:30,600.4,602.0,583.05,599.2,53862
2021-04-01 00:00:00+05:30,593.8,606.05,590.1,600.85,24420
2021-04-05 00:00:00+05:30,592.05,594.55,570.5,580.3,33035
2021-04-06 00:00:00+05:30,582.85,586.85,571.0,571.5,50454
2021-04-07 00:00:00+05:30,570.5,594.25,566.55,590.2,80560
2021-04-08 00:00:00+05:30,599.75,601.0,581.3,599.75,241557
2021-04-09 00:00:00+05:30,600.0,603.0,586.5,596.4,337564
2021-04-12 00:00:00+05:30,583.95,584.5,562.8,567.5,36897
2021-04-13 00:00:00+05:30,567.5,579.5,567.5,575.85,23178
2021-04-15 00:00:00+05:30,571.0,592.0,562.45,583.6,88460
2021-04-16 00:00:00+05:30,586.65,586.65,555.0,571.65,237482
2021-04-19 00:00:00+05:30,579.7,580.0,541.55,555.05,54835
2021-04-20 00:00:00+05:30,555.1,566.7,555.1,562.9,43272
2021-04-22 00:00:00+05:30,557.8,588.8,557.8,583.85,33223
2021-04-23 00:00:00+05:30,590.0,590.0,555.3,565.15,42183
2021-04-26 00:00:00+05:30,565.15,579.0,560.1,564.7,36647
2021-04-27 00:00:00+05:30,567.7,574.3,561.0,565.0,51685
2021-04-28 00:00:00+05:30,569.9,574.95,565.85,572.7,206759
2021-04-29 00:00:00+05:30,580.0,592.9,565.3,568.9,130011
2021-04-30 00:00:00+05:30,568.0,574.0,564.55,568.25,82999
2021-05-03 00:00:00+05:30,561.0,576.85,561.0,570.1,81366
2021-05-04 00:00:00+05:30,570.1,577.95,567.05,570.25,252195
2021-05-05 00:00:00+05:30,570.25,579.7,568.85,573.2,37123
2021-05-06 00:00:00+05:30,579.0,589.95,570.25,573.65,53904
2021-05-07 00:00:00+05:30,577.5,584.7,571.6,575.2,40988
2021-05-10 00:00:00+05:30,580.0,580.0,562.9,566.15,65933
2021-05-11 00:00:00+05:30,566.0,572.0,562.6,564.65,20352
2021-05-12 00:00:00+05:30,572.75,576.4,553.65,560.75,42768
2021-05-14 00:00:00+05:30,566.95,569.7,561.95,565.15,43967
2021-05-17 00:00:00+05:30,562.05,579.9,557.0,576.1,456957
2021-05-18 00:00:00+05:30,581.0,585.0,565.3,580.85,169701
