date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,81.9,83.75,81.4,83.3,152454
2021-01-04 00:00:00+05:30,83.95,85.0,83.25,83.6,339454
2021-01-05 00:00:00+05:30,84.35,86.25,82.95,84.35,427412
2021-01-06 00:00:00+05:30,84.1,85.2,82.75,83.8,265988
2021-01-07 00:00:00+05:30,83.95,86.0,83.6,84.65,870154
2021-01-08 00:00:00+05:30,85.05,86.65,84.0,84.35,354883
2021-01-11 00:00:00+05:30,85.45,86.65,83.05,83.8,235048
2021-01-12 00:00:00+05:30,83.85,84.75,83.8,84.05,159625
2021-01-13 00:00:00+05:30,84.15,86.2,83.05,83.8,274810
2021-01-14 00:00:00+05:30,83.8,84.85,83.25,83.4,107539
2021-01-15 00:00:00+05:30,83.4,85.8,82.9,83.6,524714
2021-01-18 00:00:00+05:30,84.0,84.5,81.05,81.45,152227
2021-01-19 00:00:00+05:30,82.15,83.55,81.55,81.85,232306
2021-01-20 00:00:00+05:30,82.9,82.9,82.0,82.2,79941
2021-01-21 00:00:00+05:30,82.85,83.15,79.8,80.4,245216
2021-01-22 00:00:00+05:30,80.7,81.3,78.5,80.1,244107
2021-01-25 00:00:00+05:30,80.95,82.0,79.5,80.25,234633
2021-01-27 00:00:00+05:30,80.8,80.95,79.0,79.55,148144
2021-01-28 00:00:00+05:30,79.0,83.4,78.9,80.35,1449888
2021-01-29 00:00:00+05:30,83.25,87.5,80.8,81.85,2391174
2021-02-01 00:00:00+05:30,81.95,84.85,80.7,84.25,522320
2021-02-02 00:00:00+05:30,85.9,86.2,83.45,85.05,368291
2021-02-03 00:00:00+05:30,85.4,93.9,84.4,92.2,1956796
2021-02-04 00:00:00+05:30,92.9,94.8,91.05,92.15,728661
2021-02-05 00:00:00+05:30,91.95,92.6,86.35,87.3,722334
2021-02-08 00:00:00+05:30,87.0,89.1,86.25,86.65,379067
2021-02-09 00:00:00+05:30,87.0,90.65,86.8,88.15,707206
2021-02-10 00:00:00+05:30,88.1,90.0,87.25,87.95,278765
2021-02-11 00:00:00+05:30,88.0,89.2,86.4,87.8,193354
2021-02-12 00:00:00+05:30,87.8,88.5,85.8,86.65,792755
2021-02-15 00:00:00+05:30,86.65,89.3,86.65,87.65,288611
2021-02-16 00:00:00+05:30,87.65,88.3,85.0,85.4,263627
2021-02-17 00:00:00+05:30,86.5,93.25,85.5,90.0,1781254
2021-02-18 00:00:00+05:30,91.1,93.95,88.1,92.15,921388
2021-02-19 00:00:00+05:30,94.9,95.0,89.5,91.8,973874
2021-02-22 00:00:00+05:30,93.1,95.1,90.6,91.75,700739
2021-02-23 00:00:00+05:30,91.8,93.9,91.55,92.0,396004
2021-02-24 00:00:00+05:30,91.3,100.4,91.3,97.0,904244
2021-02-25 00:00:00+05:30,98.5,99.5,96.6,97.85,330617
2021-02-26 00:00:00+05:30,95.85,104.75,94.6,99.95,1704765
2021-03-01 00:00:00+05:30,101.75,104.0,99.9,100.5,728121
2021-03-02 00:00:00+05:30,101.0,104.9,100.5,101.45,494207
2021-03-03 00:00:00+05:30,102.2,104.9,101.25,101.55,463575
2021-03-04 00:00:00+05:30,100.55,104.4,99.85,102.5,638522
2021-03-05 00:00:00+05:30,102.0,104.15,97.1,98.7,548996
2021-03-08 00:00:00+05:30,100.0,101.4,98.1,98.4,240851
2021-03-09 00:00:00+05:30,99.9,100.6,95.6,97.45,366992
2021-03-10 00:00:00+05:30,99.0,100.65,97.0,98.05,141131
2021-03-12 00:00:00+05:30,98.6,99.3,96.2,97.1,315235
2021-03-15 00:00:00+05:30,98.3,98.3,92.85,94.4,315880
2021-03-16 00:00:00+05:30,94.0,98.6,94.0,97.7,208691
2021-03-17 00:00:00+05:30,98.0,99.7,94.0,94.85,294270
2021-03-18 00:00:00+05:30,95.3,97.05,92.3,94.05,169190
2021-03-19 00:00:00+05:30,94.05,94.5,90.3,93.65,187305
2021-03-22 00:00:00+05:30,94.8,94.8,91.1,92.3,168289
2021-03-23 00:00:00+05:30,92.5,94.2,92.4,93.0,65245
2021-03-24 00:00:00+05:30,92.5,93.5,91.5,91.9,87869
2021-03-25 00:00:00+05:30,91.9,92.1,88.0,89.45,170072
2021-03-26 00:00:00+05:30,90.9,92.15,89.15,90.3,121767
2021-03-30 00:00:00+05:30,91.0,94.25,90.1,92.4,328567
2021-03-31 00:00:00+05:30,92.75,94.25,88.8,89.85,223360
2021-04-01 00:00:00+05:30,90.3,92.35,89.9,91.5,149266
2021-04-05 00:00:00+05:30,91.5,92.0,88.0,89.95,116936
2021-04-06 00:00:00+05:30,91.7,96.0,90.15,94.65,272252
2021-04-07 00:00:00+05:30,94.95,96.9,94.0,95.0,139138
2021-04-08 00:00:00+05:30,95.5,96.4,93.0,93.65,139829
2021-04-09 00:00:00+05:30,93.65,94.4,91.35,91.85,113726
2021-04-12 00:00:00+05:30,90.9,91.45,85.0,85.8,317774
2021-04-13 00:00:00+05:30,85.0,88.85,85.0,86.55,216950
2021-04-15 00:00:00+05:30,86.0,87.8,86.0,87.15,92305
2021-04-16 00:00:00+05:30,87.5,88.45,86.0,86.3,96766
2021-04-19 00:00:00+05:30,85.0,85.8,81.7,82.55,252255
2021-04-20 00:00:00+05:30,82.55,84.3,79.8,80.15,359836
2021-04-22 00:00:00+05:30,78.0,78.0,76.6,77.5,682570
2021-04-23 00:00:00+05:30,77.6,78.0,75.6,76.45,397334
2021-04-26 00:00:00+05:30,77.0,77.6,76.0,76.25,350475
2021-04-27 00:00:00+05:30,77.2,82.9,76.75,81.15,952477
2021-04-28 00:00:00+05:30,81.15,83.75,81.15,82.75,345415
2021-04-29 00:00:00+05:30,83.2,83.7,81.8,82.25,168858
2021-04-30 00:00:00+05:30,81.05,82.8,81.05,81.25,182561
2021-05-03 00:00:00+05:30,81.0,84.6,79.1,83.7,212718
2021-05-04 00:00:00+05:30,83.9,85.6,82.1,82.75,181798
2021-05-05 00:00:00+05:30,82.75,83.5,81.0,81.2,165349
2021-05-06 00:00:00+05:30,81.9,82.9,81.35,82.55,93003
2021-05-07 00:00:00+05:30,82.7,84.55,82.45,82.9,126223
2021-05-10 00:00:00+05:30,84.0,84.6,83.15,83.6,127433
2021-05-11 00:00:00+05:30,83.0,86.1,82.85,85.25,204321
2021-05-12 00:00:00+05:30,86.1,86.9,84.05,84.7,168738
2021-05-14 00:00:00+05:30,84.7,89.7,84.0,84.4,378206
2021-05-17 00:00:00+05:30,85.0,87.3,85.0,86.65,155174
2021-05-18 00:00:00+05:30,87.0,92.4,87.0,90.05,1111733
2021-05-19 00:00:00+05:30,91.3,92.8,90.0,91.15,433510
2021-05-20 00:00:00+05:30,92.45,92.7,90.15,90.9,225143
2021-05-21 00:00:00+05:30,91.4,92.75,90.2,90.55,202390
2021-05-24 00:00:00+05:30,91.7,94.95,90.6,93.75,636039
2021-05-25 00:00:00+05:30,94.7,102.4,94.3,98.4,3462953
2021-05-26 00:00:00+05:30,100.75,101.6,96.0,97.8,768768
2021-05-27 00:00:00+05:30,97.7,99.8,95.75,97.8,348903
2021-05-28 00:00:00+05:30,97.9,98.35,94.5,94.95,279243
2021-05-31 00:00:00+05:30,95.5,97.9,94.8,96.2,276626
2021-06-01 00:00:00+05:30,96.9,97.8,93.0,93.75,308745
2021-06-02 00:00:00+05:30,93.25,96.3,93.15,94.35,269998
2021-06-03 00:00:00+05:30,96.0,96.0,93.15,94.0,318909
2021-06-04 00:00:00+05:30,95.55,96.15,94.3,95.4,275529
2021-06-07 00:00:00+05:30,96.9,100.0,96.0,97.7,553522
2021-06-08 00:00:00+05:30,98.5,117.2,95.7,117.2,7790553
2021-06-09 00:00:00+05:30,120.7,125.0,106.85,107.95,6244332
2021-06-10 00:00:00+05:30,111.0,117.85,109.2,115.35,2705420
2021-06-11 00:00:00+05:30,116.9,118.5,110.1,111.9,1127511
2021-06-14 00:00:00+05:30,112.4,116.5,107.55,114.15,1091623
2021-06-15 00:00:00+05:30,114.5,118.4,113.85,115.95,1169806
2021-06-16 00:00:00+05:30,116.4,117.4,112.35,113.3,756775
2021-06-17 00:00:00+05:30,112.5,119.4,111.75,113.2,4366517
2021-06-18 00:00:00+05:30,114.0,114.95,104.0,107.75,1280218
2021-06-21 00:00:00+05:30,104.0,108.8,104.0,106.2,786053
2021-06-22 00:00:00+05:30,107.25,110.0,106.7,107.4,779441
2021-06-23 00:00:00+05:30,108.0,111.0,107.25,108.85,804923
2021-06-24 00:00:00+05:30,109.05,110.4,106.75,107.35,1046058
2021-06-25 00:00:00+05:30,108.4,109.85,106.8,108.15,330742
2021-06-28 00:00:00+05:30,107.5,108.05,105.8,106.0,272197
2021-06-29 00:00:00+05:30,105.95,107.35,101.0,102.45,470821
2021-06-30 00:00:00+05:30,103.5,103.5,100.3,100.85,427224
2021-07-01 00:00:00+05:30,101.8,104.0,101.1,103.25,348827
2021-07-02 00:00:00+05:30,103.0,103.8,100.8,101.2,255950
2021-07-05 00:00:00+05:30,102.55,113.5,102.55,111.6,3408768
2021-07-06 00:00:00+05:30,112.2,112.65,108.0,109.55,1008075
2021-07-07 00:00:00+05:30,109.0,109.95,107.05,107.65,610479
2021-07-08 00:00:00+05:30,107.0,109.8,106.0,106.4,1060507
2021-07-09 00:00:00+05:30,106.0,108.65,106.0,107.85,577794
2021-07-12 00:00:00+05:30,108.7,118.85,108.1,115.55,3491849
2021-07-13 00:00:00+05:30,116.45,120.0,115.9,117.15,1445011
2021-07-14 00:00:00+05:30,117.15,119.45,112.8,113.85,603084
2021-07-15 00:00:00+05:30,114.25,114.7,111.05,111.4,632845
2021-07-16 00:00:00+05:30,112.85,114.7,110.6,111.75,317203
2021-07-19 00:00:00+05:30,111.0,116.0,110.1,114.45,743482
2021-07-20 00:00:00+05:30,115.8,115.8,108.1,109.05,527401
2021-07-22 00:00:00+05:30,110.0,112.4,103.8,104.75,1841471
2021-07-23 00:00:00+05:30,104.75,106.1,99.0,100.25,1020856
2021-07-26 00:00:00+05:30,95.2,96.0,90.5,94.15,2833138
2021-07-27 00:00:00+05:30,91.85,98.0,91.65,97.0,1348191
2021-07-28 00:00:00+05:30,97.0,97.85,94.4,95.45,672464
2021-07-29 00:00:00+05:30,94.4,95.65,92.2,93.5,532138
2021-07-30 00:00:00+05:30,93.0,96.25,92.0,92.65,1044986
2021-08-02 00:00:00+05:30,93.1,94.9,93.0,93.5,422779
2021-08-03 00:00:00+05:30,93.5,94.5,92.85,93.35,361876
2021-08-04 00:00:00+05:30,93.35,94.95,92.5,92.65,245221
2021-08-05 00:00:00+05:30,92.0,93.0,89.8,90.5,289000
2021-08-06 00:00:00+05:30,91.0,91.95,90.0,91.55,163727
2021-08-09 00:00:00+05:30,92.0,97.3,91.9,94.15,699855
2021-08-10 00:00:00+05:30,93.05,95.4,89.3,90.6,470289
2021-08-11 00:00:00+05:30,91.9,92.8,85.95,91.9,590142
2021-08-12 00:00:00+05:30,93.25,94.9,89.95,93.05,319578
2021-08-13 00:00:00+05:30,93.5,95.45,86.2,91.3,817630
