date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,91.32,92.13,90.0,90.38,559006
2021-01-04 00:00:00+05:30,91.22,91.8,87.88,89.86,743595
2021-01-05 00:00:00+05:30,89.25,91.8,89.2,89.67,718976
2021-01-06 00:00:00+05:30,89.86,90.38,86.65,87.22,714064
2021-01-07 00:00:00+05:30,88.26,89.58,87.55,88.92,846638
2021-01-08 00:00:00+05:30,89.34,90.99,88.59,90.19,692847
2021-01-11 00:00:00+05:30,90.89,90.89,87.6,88.72,376961
2021-01-12 00:00:00+05:30,88.26,89.53,87.5,87.64,438857
2021-01-13 00:00:00+05:30,87.96,88.54,85.89,86.69,734909
2021-01-14 00:00:00+05:30,87.12,87.5,85.66,86.27,520111
2021-01-15 00:00:00+05:30,86.55,86.55,83.81,84.24,487009
2021-01-18 00:00:00+05:30,84.67,85.18,82.16,82.59,324879
2021-01-19 00:00:00+05:30,83.25,85.33,82.97,84.39,1858052
2021-01-20 00:00:00+05:30,85.61,85.99,82.87,83.44,1173500
2021-01-21 00:00:00+05:30,83.91,85.56,83.11,83.77,1422831
2021-01-22 00:00:00+05:30,84.01,85.56,81.36,82.49,1182867
2021-01-25 00:00:00+05:30,84.01,85.42,81.46,83.86,701152
2021-01-27 00:00:00+05:30,83.53,86.36,82.26,84.47,1202293
2021-01-28 00:00:00+05:30,83.73,84.39,82.68,83.06,310014
2021-01-29 00:00:00+05:30,84.39,84.72,81.51,81.64,1039042
2021-02-01 00:00:00+05:30,82.97,83.53,81.18,82.73,593029
2021-02-02 00:00:00+05:30,83.35,87.26,83.3,86.98,1099924
2021-02-03 00:00:00+05:30,87.64,88.63,85.33,88.16,667285
2021-02-04 00:00:00+05:30,87.96,91.46,87.96,90.14,1808802
2021-02-05 00:00:00+05:30,90.05,91.04,88.77,90.28,796724
2021-02-08 00:00:00+05:30,90.99,91.32,87.83,90.99,592991
2021-02-09 00:00:00+05:30,90.99,92.83,89.81,91.27,1006045
2021-02-10 00:00:00+05:30,91.51,92.16,89.05,91.93,534182
2021-02-11 00:00:00+05:30,92.16,93.16,89.81,91.65,524929
2021-02-12 00:00:00+05:30,90.8,90.94,87.22,89.43,1042942
2021-02-15 00:00:00+05:30,91.51,91.84,88.26,88.82,687529
2021-02-16 00:00:00+05:30,89.53,90.28,87.35,89.76,544614
2021-02-17 00:00:00+05:30,90.61,90.61,88.39,89.43,670116
2021-02-18 00:00:00+05:30,89.43,91.13,88.67,90.14,539324
2021-02-19 00:00:00+05:30,89.67,91.46,89.67,90.33,1188752
2021-02-22 00:00:00+05:30,92.13,92.41,90.23,90.61,419981
2021-02-23 00:00:00+05:30,91.93,96.28,90.71,92.13,2298074
2021-02-24 00:00:00+05:30,93.54,93.54,89.67,92.16,208803
2021-02-25 00:00:00+05:30,92.87,94.29,92.13,93.25,399955
2021-02-26 00:00:00+05:30,92.97,96.0,92.08,93.35,1142039
2021-03-01 00:00:00+05:30,96.0,96.0,92.03,93.25,510963
