date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,73.25,76.66,72.27,75.15,5549160
2021-01-04 00:00:00+05:30,76.76,80.38,75.2,79.64,4929863
2021-01-05 00:00:00+05:30,80.08,81.94,79.35,81.06,3773583
2021-01-06 00:00:00+05:30,81.06,82.38,79.35,80.18,2701788
2021-01-07 00:00:00+05:30,81.06,85.21,81.06,83.89,6136643
2021-01-08 00:00:00+05:30,84.87,86.04,82.13,82.62,2122488
2021-01-11 00:00:00+05:30,82.91,83.16,79.84,80.38,1612066
2021-01-12 00:00:00+05:30,80.81,84.97,80.28,82.18,1974704
2021-01-13 00:00:00+05:30,82.67,83.5,79.84,81.55,1326945
2021-01-14 00:00:00+05:30,81.99,83.45,79.3,81.11,1252760
2021-01-15 00:00:00+05:30,80.91,81.89,79.2,79.69,966246
2021-01-18 00:00:00+05:30,79.11,79.84,75.49,77.25,1094235
2021-01-19 00:00:00+05:30,77.84,79.3,76.27,76.71,1134378
2021-01-20 00:00:00+05:30,76.47,77.79,74.91,75.49,1468405
2021-01-21 00:00:00+05:30,78.62,78.62,75.39,75.79,1452848
2021-01-22 00:00:00+05:30,75.88,76.57,73.83,74.42,740989
2021-01-25 00:00:00+05:30,75.2,75.44,72.27,72.66,747553
2021-01-27 00:00:00+05:30,72.71,72.71,70.95,71.2,504023
2021-01-28 00:00:00+05:30,70.41,75.98,69.44,74.81,1290557
2021-01-29 00:00:00+05:30,75.39,75.98,74.32,74.86,879390
2021-02-01 00:00:00+05:30,75.59,77.64,73.54,76.47,1174607
2021-02-02 00:00:00+05:30,77.05,77.98,75.59,76.22,1121996
2021-02-03 00:00:00+05:30,78.62,80.57,76.66,78.52,3952478
2021-02-04 00:00:00+05:30,78.52,83.45,77.59,80.42,3699450
2021-02-05 00:00:00+05:30,81.5,81.94,78.52,79.11,1292892
2021-02-08 00:00:00+05:30,80.08,80.38,77.74,78.03,648540
2021-02-09 00:00:00+05:30,78.76,79.4,76.66,77.25,1040994
2021-02-10 00:00:00+05:30,77.15,77.25,75.59,75.88,609979
2021-02-11 00:00:00+05:30,76.08,77.3,75.25,76.37,580205
2021-02-12 00:00:00+05:30,75.98,78.42,74.03,74.95,1989380
2021-02-15 00:00:00+05:30,75.39,75.93,74.37,75.0,419473
2021-02-16 00:00:00+05:30,75.0,75.69,74.22,74.86,464565
2021-02-17 00:00:00+05:30,74.22,75.98,73.88,75.79,570913
2021-02-18 00:00:00+05:30,76.18,78.52,74.32,74.56,2171608
2021-02-19 00:00:00+05:30,74.95,77.54,74.42,75.25,1989603
2021-02-22 00:00:00+05:30,74.81,76.76,74.56,75.35,1212446
2021-02-23 00:00:00+05:30,75.88,77.64,75.35,76.42,1274637
2021-02-24 00:00:00+05:30,76.86,82.04,76.71,79.4,1771787
2021-02-25 00:00:00+05:30,80.72,89.26,80.13,86.43,16812887
2021-02-26 00:00:00+05:30,84.97,90.04,83.16,86.87,9391610
2021-03-01 00:00:00+05:30,88.73,100.49,86.63,98.25,22446656
2021-03-02 00:00:00+05:30,99.42,104.84,95.02,96.39,13132458
2021-03-03 00:00:00+05:30,96.59,99.42,94.05,96.93,4940677
2021-03-04 00:00:00+05:30,95.61,100.35,94.73,96.54,4487868
2021-03-05 00:00:00+05:30,97.22,99.81,92.24,93.9,3983027
2021-03-08 00:00:00+05:30,94.44,96.34,93.02,93.61,2238554
2021-03-09 00:00:00+05:30,95.02,95.02,88.97,90.14,2058709
2021-03-10 00:00:00+05:30,91.51,98.34,91.46,95.9,7857449
2021-03-12 00:00:00+05:30,97.08,98.05,92.97,93.75,3564713
2021-03-15 00:00:00+05:30,94.1,94.15,89.36,90.34,3301089
2021-03-16 00:00:00+05:30,90.43,91.61,88.53,89.12,1944183
2021-03-17 00:00:00+05:30,89.12,89.6,83.65,84.62,2132555
2021-03-18 00:00:00+05:30,85.16,86.58,80.47,82.04,1915973
2021-03-19 00:00:00+05:30,80.96,84.67,78.62,83.6,1796143
2021-03-22 00:00:00+05:30,83.79,86.72,82.28,85.06,2255446
2021-03-23 00:00:00+05:30,85.06,86.63,84.23,85.16,1106068
2021-03-24 00:00:00+05:30,84.48,85.5,81.35,81.84,675033
2021-03-25 00:00:00+05:30,82.38,82.87,78.18,79.06,1007480
2021-03-26 00:00:00+05:30,80.08,81.69,79.69,80.38,1329231
2021-03-30 00:00:00+05:30,81.21,81.94,79.59,79.89,1461727
2021-03-31 00:00:00+05:30,80.28,80.62,79.11,79.4,1128259
2021-04-01 00:00:00+05:30,79.84,85.84,79.84,85.11,2663260
2021-04-05 00:00:00+05:30,85.21,87.41,83.01,83.99,1735435
2021-04-06 00:00:00+05:30,84.18,88.33,83.65,86.63,2592325
2021-04-07 00:00:00+05:30,88.38,90.14,87.9,89.26,2107765
2021-04-08 00:00:00+05:30,90.14,92.97,86.53,89.36,3502899
2021-04-09 00:00:00+05:30,88.87,91.41,87.02,87.99,1178281
2021-04-12 00:00:00+05:30,85.55,85.55,79.98,81.35,1461151
2021-04-13 00:00:00+05:30,81.69,84.48,81.4,83.94,765413
