date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,711.0,714.65,702.5,709.9,27831
2021-01-04 00:00:00+05:30,714.55,720.55,691.05,705.7,87614
2021-01-05 00:00:00+05:30,705.7,711.4,701.9,707.05,33191
2021-01-06 00:00:00+05:30,715.6,715.6,703.85,704.9,40480
2021-01-07 00:00:00+05:30,714.65,715.65,705.0,712.3,32172
2021-01-08 00:00:00+05:30,720.55,720.55,707.45,714.8,33435
2021-01-11 00:00:00+05:30,722.5,729.4,705.2,710.6,65318
2021-01-12 00:00:00+05:30,714.6,720.05,707.8,716.7,37383
2021-01-13 00:00:00+05:30,720.35,722.5,706.8,709.0,31267
2021-01-14 00:00:00+05:30,712.55,719.55,705.2,716.5,29151
2021-01-15 00:00:00+05:30,707.8,720.1,707.8,716.2,26944
2021-01-18 00:00:00+05:30,710.85,718.6,704.85,708.9,28801
2021-01-19 00:00:00+05:30,715.3,762.75,692.1,739.15,843507
2021-01-20 00:00:00+05:30,762.35,775.15,742.95,761.35,358527
2021-01-21 00:00:00+05:30,762.25,775.2,724.5,728.15,158089
2021-01-22 00:00:00+05:30,745.7,745.7,726.45,728.5,48060
2021-01-25 00:00:00+05:30,728.4,734.7,689.2,713.35,40142
2021-01-27 00:00:00+05:30,713.35,715.2,692.1,694.15,47108
2021-01-28 00:00:00+05:30,687.15,697.95,673.5,690.2,32747
2021-01-29 00:00:00+05:30,692.55,705.55,679.3,683.15,29408
2021-02-01 00:00:00+05:30,686.6,708.75,683.25,703.05,26059
2021-02-02 00:00:00+05:30,704.25,714.55,693.25,699.0,23020
2021-02-03 00:00:00+05:30,699.0,710.0,692.1,704.65,20480
2021-02-04 00:00:00+05:30,707.8,734.3,701.7,712.15,18823
2021-02-05 00:00:00+05:30,704.85,715.65,702.4,710.75,41136
2021-02-08 00:00:00+05:30,714.15,724.25,705.95,715.3,32876
2021-02-09 00:00:00+05:30,718.85,719.5,709.5,712.55,36450
2021-02-10 00:00:00+05:30,707.85,719.55,707.85,714.45,23596
2021-02-11 00:00:00+05:30,711.7,715.55,682.25,696.85,40186
2021-02-12 00:00:00+05:30,701.9,721.55,699.45,701.85,31238
2021-02-15 00:00:00+05:30,705.4,708.65,697.0,699.45,19287
2021-02-16 00:00:00+05:30,699.0,702.4,693.1,695.5,15665
2021-02-17 00:00:00+05:30,699.15,706.35,691.15,694.35,21991
2021-02-18 00:00:00+05:30,697.95,734.2,697.45,711.65,127960
2021-02-19 00:00:00+05:30,706.7,712.7,693.95,703.8,33975
2021-02-22 00:00:00+05:30,702.7,707.35,694.05,699.65,18968
