date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,720.0,721.5,710.3,712.5,8810938
2021-01-04 00:00:00+05:30,719.0,719.0,699.5,708.0,15740192
2021-01-05 00:00:00+05:30,709.6,715.4,704.5,713.4,14386824
2021-01-06 00:00:00+05:30,717.5,720.0,706.6,710.3,22134050
2021-01-07 00:00:00+05:30,716.2,716.3,706.3,708.1,19894842
2021-01-08 00:00:00+05:30,716.0,721.0,711.6,715.8,13768764
2021-01-11 00:00:00+05:30,725.0,732.4,718.2,725.7,17331392
2021-01-12 00:00:00+05:30,726.2,743.8,724.6,740.5,20388156
2021-01-13 00:00:00+05:30,746.4,748.4,731.0,735.3,16934650
2021-01-14 00:00:00+05:30,735.6,744.0,728.0,734.4,12297166
2021-01-15 00:00:00+05:30,734.6,735.8,722.5,733.3,14165236
2021-01-18 00:00:00+05:30,735.0,751.4,733.5,741.6,42825632
2021-01-19 00:00:00+05:30,745.9,755.8,733.5,751.9,17360254
2021-01-20 00:00:00+05:30,750.5,750.5,743.0,746.0,13346052
2021-01-21 00:00:00+05:30,746.0,747.2,734.1,737.4,26333054
2021-01-22 00:00:00+05:30,734.0,734.0,720.1,721.8,15392364
2021-01-25 00:00:00+05:30,732.6,740.5,727.6,731.4,20344718
2021-01-27 00:00:00+05:30,734.0,736.0,703.1,704.8,23556276
2021-01-28 00:00:00+05:30,695.0,700.6,671.0,685.7,42704446
2021-01-29 00:00:00+05:30,695.7,704.4,682.2,695.2,28704502
2021-02-01 00:00:00+05:30,705.1,741.2,700.5,738.4,26370544
2021-02-02 00:00:00+05:30,750.5,789.2,748.7,780.3,42420206
2021-02-03 00:00:00+05:30,789.5,790.8,771.0,787.4,20237254
2021-02-04 00:00:00+05:30,783.0,794.0,771.7,789.6,24484684
2021-02-05 00:00:00+05:30,774.0,809.1,774.0,798.8,27054716
2021-02-08 00:00:00+05:30,810.0,815.8,797.8,802.6,17447580
2021-02-09 00:00:00+05:30,805.0,814.0,793.4,805.9,18421366
2021-02-10 00:00:00+05:30,804.2,807.4,783.5,790.9,19788006
2021-02-11 00:00:00+05:30,791.0,798.9,782.1,786.2,13648618
2021-02-12 00:00:00+05:30,787.0,796.2,786.5,791.0,9910106
2021-02-15 00:00:00+05:30,800.0,812.5,798.4,808.3,10355244
2021-02-16 00:00:00+05:30,810.6,820.5,804.2,813.3,13897358
2021-02-17 00:00:00+05:30,810.0,810.9,791.5,793.2,12794426
2021-02-18 00:00:00+05:30,803.0,803.0,774.0,777.2,14720560
2021-02-19 00:00:00+05:30,772.5,782.1,766.5,769.6,17139508
2021-02-22 00:00:00+05:30,772.5,787.0,769.7,774.0,29451838
2021-02-23 00:00:00+05:30,776.9,778.8,761.3,764.6,18239906
2021-02-24 00:00:00+05:30,763.2,807.0,758.1,803.2,14314332
2021-02-25 00:00:00+05:30,804.9,818.1,801.0,803.2,20109570
2021-02-26 00:00:00+05:30,793.5,794.4,760.5,767.2,27912846
2021-03-01 00:00:00+05:30,782.0,786.3,770.4,779.4,13536018
2021-03-02 00:00:00+05:30,787.8,793.8,775.5,784.1,16110038
2021-03-03 00:00:00+05:30,792.0,798.0,782.5,793.4,11222410
2021-03-04 00:00:00+05:30,774.3,785.5,769.6,776.0,16291438
2021-03-05 00:00:00+05:30,765.5,772.8,760.6,765.0,17445822
2021-03-08 00:00:00+05:30,771.0,777.5,756.2,759.8,15117050
2021-03-09 00:00:00+05:30,772.5,782.8,769.1,781.2,15066696
2021-03-10 00:00:00+05:30,786.0,787.5,776.1,777.9,11055016
2021-03-12 00:00:00+05:30,800.0,800.0,767.5,776.0,15631204
2021-03-15 00:00:00+05:30,774.2,774.2,757.6,764.3,12230484
2021-03-16 00:00:00+05:30,765.4,770.2,755.0,756.1,13722366
2021-03-17 00:00:00+05:30,762.1,769.5,745.1,747.7,21064428
2021-03-18 00:00:00+05:30,755.9,761.0,740.6,745.5,18065540
2021-03-19 00:00:00+05:30,742.5,755.6,737.0,748.8,21235020
