date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,220.25,224.51,216.86,218.41,317972
2021-01-04 00:00:00+05:30,219.66,223.63,216.81,222.76,400162
2021-01-05 00:00:00+05:30,222.47,226.93,219.57,222.47,353735
2021-01-06 00:00:00+05:30,222.57,224.36,217.83,221.5,303519
2021-01-07 00:00:00+05:30,222.47,226.44,218.84,220.25,401947
2021-01-08 00:00:00+05:30,221.46,235.93,220.25,227.99,1609268
2021-01-11 00:00:00+05:30,229.68,229.68,220.88,224.31,284676
2021-01-12 00:00:00+05:30,225.76,225.76,218.75,219.37,206332
2021-01-13 00:00:00+05:30,219.91,221.7,214.05,217.54,203663
2021-01-14 00:00:00+05:30,218.65,220.92,215.94,216.95,435621
2021-01-15 00:00:00+05:30,216.95,219.28,213.08,214.44,128323
2021-01-18 00:00:00+05:30,213.08,214.73,206.26,208.53,153821
2021-01-19 00:00:00+05:30,209.11,217.73,209.11,211.53,168749
2021-01-20 00:00:00+05:30,212.79,215.5,212.07,212.5,126522
2021-01-21 00:00:00+05:30,216.66,218.79,213.08,214.29,214632
2021-01-22 00:00:00+05:30,215.21,216.66,209.16,213.81,138657
2021-01-25 00:00:00+05:30,216.66,219.18,209.21,214.05,237460
2021-01-27 00:00:00+05:30,210.86,213.95,209.45,211.19,181157
2021-01-28 00:00:00+05:30,208.73,213.61,207.22,209.94,105648
2021-01-29 00:00:00+05:30,211.24,215.55,210.27,213.66,272749
2021-02-01 00:00:00+05:30,215.16,218.79,210.32,216.86,453533
2021-02-02 00:00:00+05:30,218.79,226.3,218.79,224.84,482698
2021-02-03 00:00:00+05:30,226.01,230.22,223.83,227.36,568537
2021-02-04 00:00:00+05:30,228.77,233.22,227.7,231.28,289344
2021-02-05 00:00:00+05:30,232.35,233.32,227.65,231.62,299228
2021-02-08 00:00:00+05:30,235.25,235.25,231.86,233.94,287695
2021-02-09 00:00:00+05:30,234.43,235.25,219.76,222.38,753205
2021-02-10 00:00:00+05:30,221.55,226.34,218.5,225.09,331625
2021-02-11 00:00:00+05:30,224.7,226.05,220.73,220.97,379283
2021-02-12 00:00:00+05:30,222.52,224.22,220.49,222.81,165051
2021-02-15 00:00:00+05:30,224.02,230.9,221.12,230.17,227546
2021-02-16 00:00:00+05:30,231.19,233.94,225.76,226.83,249582
2021-02-17 00:00:00+05:30,227.99,231.57,220.88,224.89,259033
2021-02-18 00:00:00+05:30,226.05,229.39,222.76,223.3,127077
2021-02-19 00:00:00+05:30,223.63,227.07,220.25,221.26,162005
