date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,138.7,141.45,136.85,139.6,146207
2021-01-04 00:00:00+05:30,139.6,145.25,139.5,144.2,536183
2021-01-05 00:00:00+05:30,143.0,152.0,139.9,149.35,664059
2021-01-06 00:00:00+05:30,150.0,153.8,145.0,150.8,460827
2021-01-07 00:00:00+05:30,154.4,154.4,147.0,148.1,185149
2021-01-08 00:00:00+05:30,149.0,161.95,146.8,157.05,1628043
2021-01-11 00:00:00+05:30,159.6,159.7,150.8,154.05,382596
2021-01-12 00:00:00+05:30,154.15,154.5,147.55,148.75,236863
2021-01-13 00:00:00+05:30,149.8,151.65,142.95,147.45,213326
2021-01-14 00:00:00+05:30,148.0,150.7,145.55,148.2,150755
2021-01-15 00:00:00+05:30,148.4,148.4,135.1,142.35,167018
2021-01-18 00:00:00+05:30,144.6,144.9,137.0,141.1,152949
2021-01-19 00:00:00+05:30,144.0,144.95,142.0,142.45,106466
2021-01-20 00:00:00+05:30,144.05,149.4,141.75,148.15,154228
2021-01-21 00:00:00+05:30,150.0,150.0,142.55,143.5,103254
2021-01-22 00:00:00+05:30,143.95,147.95,140.0,140.8,119443
2021-01-25 00:00:00+05:30,141.0,142.5,134.05,135.6,111754
2021-01-27 00:00:00+05:30,139.0,141.85,135.25,138.9,141459
2021-01-28 00:00:00+05:30,134.0,142.0,134.0,138.45,70236
2021-01-29 00:00:00+05:30,139.95,148.45,139.0,147.0,303165
2021-02-01 00:00:00+05:30,144.35,152.45,141.6,149.9,433470
2021-02-02 00:00:00+05:30,153.75,153.75,144.0,148.35,144078
2021-02-03 00:00:00+05:30,148.0,152.0,145.85,148.2,113235
2021-02-04 00:00:00+05:30,149.9,154.9,148.1,152.05,267356
2021-02-05 00:00:00+05:30,154.9,156.7,142.5,146.7,261517
2021-02-08 00:00:00+05:30,158.0,159.65,147.3,153.5,753198
2021-02-09 00:00:00+05:30,153.55,153.55,147.75,151.15,406398
2021-02-10 00:00:00+05:30,152.0,153.95,148.45,151.65,153823
2021-02-11 00:00:00+05:30,152.0,156.9,149.35,153.7,272565
2021-02-12 00:00:00+05:30,151.0,155.15,150.05,151.0,113338
2021-02-15 00:00:00+05:30,151.8,154.25,150.2,152.45,145641
2021-02-16 00:00:00+05:30,153.05,156.4,150.0,155.05,250797
2021-02-17 00:00:00+05:30,157.9,178.9,155.4,169.2,2298998
2021-02-18 00:00:00+05:30,169.35,173.8,165.2,167.35,431085
2021-02-19 00:00:00+05:30,168.4,174.2,161.0,163.1,452055
2021-02-22 00:00:00+05:30,163.0,164.7,151.5,152.55,370711
2021-02-23 00:00:00+05:30,153.6,157.95,147.6,154.55,265960
2021-02-24 00:00:00+05:30,155.0,168.5,153.5,163.65,572130
2021-02-25 00:00:00+05:30,165.5,166.5,160.1,160.95,340766
2021-02-26 00:00:00+05:30,159.9,159.9,152.95,155.5,224348
