date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,239.15,240.0,237.2,239.05,658536
2021-01-04 00:00:00+05:30,241.0,245.85,240.5,244.05,886735
2021-01-05 00:00:00+05:30,244.4,259.0,243.15,256.9,3891253
2021-01-06 00:00:00+05:30,257.25,279.9,256.95,275.1,8436991
2021-01-07 00:00:00+05:30,281.0,328.4,280.05,308.15,5200956
2021-01-08 00:00:00+05:30,312.0,324.9,298.2,304.0,9070406
2021-01-11 00:00:00+05:30,300.7,301.0,286.5,292.25,2359429
2021-01-12 00:00:00+05:30,293.65,303.0,286.0,290.65,1455335
2021-01-13 00:00:00+05:30,296.7,299.6,283.0,285.4,1119073
2021-01-14 00:00:00+05:30,289.0,290.0,279.0,279.75,790536
2021-01-15 00:00:00+05:30,280.6,285.0,270.0,274.2,1324117
2021-01-18 00:00:00+05:30,277.4,277.6,267.3,268.6,849339
2021-01-19 00:00:00+05:30,270.05,306.4,268.6,298.8,4529372
2021-01-20 00:00:00+05:30,303.35,315.0,291.55,296.4,6769649
2021-01-21 00:00:00+05:30,301.0,302.5,282.0,283.2,3043234
2021-01-22 00:00:00+05:30,286.8,286.8,274.0,275.65,1791445
2021-01-25 00:00:00+05:30,277.4,280.0,264.0,268.05,1807602
2021-01-27 00:00:00+05:30,265.4,266.85,261.15,264.0,1310896
2021-01-28 00:00:00+05:30,258.9,265.45,258.7,263.3,1066770
2021-01-29 00:00:00+05:30,276.0,278.4,267.35,274.75,2254295
2021-02-01 00:00:00+05:30,290.0,292.5,281.6,288.75,3511591
2021-02-02 00:00:00+05:30,293.1,294.0,284.55,292.4,3147425
2021-02-03 00:00:00+05:30,289.5,290.6,283.0,289.2,1472275
2021-02-04 00:00:00+05:30,289.4,298.0,288.25,294.75,1264818
2021-02-05 00:00:00+05:30,295.0,295.0,287.5,293.25,1113508
2021-02-08 00:00:00+05:30,293.0,306.4,290.05,297.3,2464990
2021-02-09 00:00:00+05:30,298.0,301.75,294.0,297.15,879542
2021-02-10 00:00:00+05:30,297.9,301.0,294.25,298.6,771602
2021-02-11 00:00:00+05:30,297.0,300.65,296.0,296.95,516828
2021-02-12 00:00:00+05:30,296.25,302.9,294.95,300.1,1120805
2021-02-15 00:00:00+05:30,300.1,302.35,295.5,297.1,942670
2021-02-16 00:00:00+05:30,298.0,309.85,297.45,304.7,2691599
2021-02-17 00:00:00+05:30,304.95,308.9,301.5,305.6,848324
2021-02-18 00:00:00+05:30,306.0,312.0,298.35,300.55,1393494
2021-02-19 00:00:00+05:30,302.9,307.85,298.05,300.5,811948
2021-02-22 00:00:00+05:30,302.45,311.9,302.0,304.55,2311972
2021-02-23 00:00:00+05:30,306.2,309.55,298.55,304.4,1086718
2021-02-24 00:00:00+05:30,304.5,311.0,303.0,305.15,647686
2021-02-25 00:00:00+05:30,309.0,309.75,302.2,304.45,1014557
2021-02-26 00:00:00+05:30,302.0,309.75,291.0,297.5,1988515
2021-03-01 00:00:00+05:30,300.1,304.55,298.25,300.15,843480
2021-03-02 00:00:00+05:30,302.0,322.9,301.7,315.3,4031034
2021-03-03 00:00:00+05:30,319.5,326.0,313.6,318.05,2427924
2021-03-04 00:00:00+05:30,315.25,334.4,310.2,325.9,2619084
2021-03-05 00:00:00+05:30,322.05,322.75,310.0,311.45,1237997
2021-03-08 00:00:00+05:30,314.8,317.35,308.05,309.2,599511
2021-03-09 00:00:00+05:30,310.0,315.9,293.7,297.65,1095282
2021-03-10 00:00:00+05:30,301.0,307.55,295.25,305.45,726204
2021-03-12 00:00:00+05:30,308.0,313.1,301.1,301.95,1066538
2021-03-15 00:00:00+05:30,304.25,306.2,298.5,300.75,344567
2021-03-16 00:00:00+05:30,300.75,308.85,297.5,303.7,504158
2021-03-17 00:00:00+05:30,305.0,306.4,293.75,295.1,488782
2021-03-18 00:00:00+05:30,298.0,298.5,283.1,286.35,909476
2021-03-19 00:00:00+05:30,285.0,289.7,272.3,283.35,998832
2021-03-22 00:00:00+05:30,284.5,289.7,277.35,278.25,1128743
2021-03-23 00:00:00+05:30,280.95,283.7,269.0,270.45,1795545
2021-03-24 00:00:00+05:30,270.45,275.8,264.0,265.05,1286577
2021-03-25 00:00:00+05:30,268.0,269.8,261.0,266.7,1011565
2021-03-26 00:00:00+05:30,271.85,287.9,270.2,278.05,2231711
2021-03-30 00:00:00+05:30,281.4,283.0,257.0,262.25,2786711
2021-03-31 00:00:00+05:30,264.5,275.0,264.45,272.9,1783503
2021-04-01 00:00:00+05:30,276.0,283.0,274.25,280.25,1464491
2021-04-05 00:00:00+05:30,281.0,303.0,277.5,297.25,3945113
2021-04-06 00:00:00+05:30,297.8,309.0,290.0,301.35,2113161
2021-04-07 00:00:00+05:30,312.0,317.5,305.25,307.5,5173835
2021-04-08 00:00:00+05:30,307.5,323.5,306.6,319.1,3354406
2021-04-09 00:00:00+05:30,317.5,317.5,308.0,308.85,2143386
2021-04-12 00:00:00+05:30,303.0,303.0,288.0,294.15,1570309
2021-04-13 00:00:00+05:30,298.35,302.45,291.0,291.95,1055168
2021-04-15 00:00:00+05:30,291.5,297.9,290.0,291.75,1015424
2021-04-16 00:00:00+05:30,293.0,298.75,291.1,292.1,866946
2021-04-19 00:00:00+05:30,286.0,290.0,278.65,282.9,1180792
2021-04-20 00:00:00+05:30,286.0,290.15,281.1,284.4,738454
