date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,39.9,41.3,39.7,41.1,4070136
2021-01-04 00:00:00+05:30,41.3,42.0,40.35,41.05,2533244
2021-01-05 00:00:00+05:30,40.85,43.95,40.5,42.9,8804929
2021-01-06 00:00:00+05:30,43.15,45.3,42.5,43.35,9427009
2021-01-07 00:00:00+05:30,43.8,44.5,43.25,43.75,4531828
2021-01-08 00:00:00+05:30,44.15,44.65,43.1,43.3,3181007
2021-01-11 00:00:00+05:30,43.65,43.65,42.05,42.25,1780085
2021-01-12 00:00:00+05:30,42.1,43.5,41.55,42.7,1914323
2021-01-13 00:00:00+05:30,42.8,51.2,42.8,47.05,42831248
2021-01-14 00:00:00+05:30,46.85,47.15,45.4,46.15,5405026
2021-01-15 00:00:00+05:30,46.0,46.2,44.25,44.7,3486958
2021-01-18 00:00:00+05:30,44.5,44.65,42.9,43.15,2132475
2021-01-19 00:00:00+05:30,43.45,45.25,43.35,44.3,2666075
2021-01-20 00:00:00+05:30,44.3,44.65,43.85,44.0,1438267
2021-01-21 00:00:00+05:30,44.2,46.15,43.0,44.0,3899869
2021-01-22 00:00:00+05:30,43.9,44.75,42.6,43.1,1975673
2021-01-25 00:00:00+05:30,43.8,43.9,41.8,41.85,2412211
2021-01-27 00:00:00+05:30,41.9,42.05,41.2,41.65,1255466
2021-01-28 00:00:00+05:30,41.2,42.1,40.75,41.7,1589877
2021-01-29 00:00:00+05:30,42.2,43.6,42.15,42.8,2235543
2021-02-01 00:00:00+05:30,43.5,44.2,42.5,43.1,2970310
2021-02-02 00:00:00+05:30,43.6,44.4,42.9,43.05,2084038
2021-02-03 00:00:00+05:30,43.25,43.7,42.85,43.05,1555411
2021-02-04 00:00:00+05:30,43.0,44.35,42.85,43.45,1965590
2021-02-05 00:00:00+05:30,43.75,44.3,42.4,42.95,1858398
2021-02-08 00:00:00+05:30,43.2,44.2,43.0,43.7,1801988
2021-02-09 00:00:00+05:30,44.0,44.0,42.3,43.05,1488416
2021-02-10 00:00:00+05:30,43.1,44.1,43.05,43.6,1295513
2021-02-11 00:00:00+05:30,43.8,47.7,43.65,46.5,12981762
2021-02-12 00:00:00+05:30,46.8,46.8,44.6,44.75,3509058
2021-02-15 00:00:00+05:30,45.25,45.8,44.05,44.3,1873985
2021-02-16 00:00:00+05:30,44.4,44.85,43.75,44.15,1420764
2021-02-17 00:00:00+05:30,44.0,45.35,43.85,44.4,1757746
2021-02-18 00:00:00+05:30,44.5,48.6,44.3,47.25,11440808
2021-02-19 00:00:00+05:30,47.15,47.8,44.2,45.15,4840566
2021-02-22 00:00:00+05:30,45.15,45.4,43.45,43.7,2313945
2021-02-23 00:00:00+05:30,44.0,45.1,43.5,44.35,2453461
2021-02-24 00:00:00+05:30,44.45,46.2,44.4,45.7,2509598
2021-02-25 00:00:00+05:30,47.0,49.4,46.6,47.85,13121663
2021-02-26 00:00:00+05:30,46.6,51.6,46.0,49.0,12881353
2021-03-01 00:00:00+05:30,49.65,54.6,49.1,53.75,21861123
2021-03-02 00:00:00+05:30,54.5,54.9,51.6,52.7,10579400
2021-03-03 00:00:00+05:30,52.95,53.3,51.2,51.6,5075866
2021-03-04 00:00:00+05:30,51.3,52.85,50.55,52.05,5090567
2021-03-05 00:00:00+05:30,52.25,52.55,49.5,50.45,3819143
2021-03-08 00:00:00+05:30,50.9,51.6,50.0,50.4,3121666
2021-03-09 00:00:00+05:30,50.75,50.9,47.5,48.1,3437718
2021-03-10 00:00:00+05:30,48.45,51.9,47.8,50.95,7522890
2021-03-12 00:00:00+05:30,51.55,51.55,48.6,49.55,2800872
2021-03-15 00:00:00+05:30,49.85,50.65,48.3,50.0,2914503
2021-03-16 00:00:00+05:30,50.0,50.3,48.8,48.95,1752194
2021-03-17 00:00:00+05:30,49.2,49.4,47.1,47.3,2502411
2021-03-18 00:00:00+05:30,48.0,48.55,45.3,46.7,3746237
2021-03-19 00:00:00+05:30,46.0,46.8,44.6,46.4,2619292
2021-03-22 00:00:00+05:30,46.55,48.05,45.6,47.65,3921360
2021-03-23 00:00:00+05:30,47.9,48.85,47.65,48.1,2165369
