date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,316.0,317.4,308.4,309.4,123444
2021-01-04 00:00:00+05:30,314.7,318.0,306.15,315.9,238525
2021-01-05 00:00:00+05:30,314.05,331.65,312.5,328.75,638210
2021-01-06 00:00:00+05:30,333.0,342.5,321.5,324.1,729416
2021-01-07 00:00:00+05:30,326.8,340.3,326.0,340.3,560738
2021-01-08 00:00:00+05:30,350.0,357.0,346.3,348.35,600767
2021-01-11 00:00:00+05:30,353.0,364.2,340.55,344.7,429915
2021-01-12 00:00:00+05:30,344.7,352.6,332.8,336.4,249248
2021-01-13 00:00:00+05:30,338.9,343.6,319.6,321.8,283939
2021-01-14 00:00:00+05:30,322.9,333.5,314.0,324.5,340389
2021-01-15 00:00:00+05:30,327.0,340.0,324.65,334.5,432850
2021-01-18 00:00:00+05:30,336.0,338.2,318.9,324.05,216343
2021-01-19 00:00:00+05:30,323.1,334.5,318.0,326.35,219216
2021-01-20 00:00:00+05:30,329.0,335.35,324.5,329.85,233037
2021-01-21 00:00:00+05:30,333.0,335.0,325.4,330.3,239861
2021-01-22 00:00:00+05:30,327.9,335.0,313.8,317.15,375276
2021-01-25 00:00:00+05:30,320.1,329.1,311.75,325.65,277091
2021-01-27 00:00:00+05:30,326.0,327.35,316.0,317.95,127162
2021-01-28 00:00:00+05:30,317.95,331.0,313.55,325.7,235166
2021-01-29 00:00:00+05:30,328.0,334.5,322.5,328.9,180487
2021-02-01 00:00:00+05:30,329.9,345.3,323.5,344.95,401634
2021-02-02 00:00:00+05:30,349.0,362.15,348.05,362.15,717659
2021-02-03 00:00:00+05:30,380.25,380.25,380.25,380.25,206123
2021-02-04 00:00:00+05:30,399.25,399.25,399.25,399.25,271732
2021-02-05 00:00:00+05:30,421.75,459.0,385.35,450.1,2659382
2021-02-08 00:00:00+05:30,453.7,502.3,433.0,480.1,2931683
2021-02-09 00:00:00+05:30,480.0,481.9,436.1,441.15,716667
2021-02-10 00:00:00+05:30,441.0,451.5,433.1,447.35,381153
2021-02-11 00:00:00+05:30,446.0,456.0,441.0,447.6,168009
2021-02-12 00:00:00+05:30,447.0,464.0,444.1,446.15,261605
2021-02-15 00:00:00+05:30,451.7,451.7,435.0,437.9,142451
2021-02-16 00:00:00+05:30,438.0,446.0,424.75,428.25,185603
2021-02-17 00:00:00+05:30,430.85,454.0,425.05,444.2,286245
2021-02-18 00:00:00+05:30,448.7,454.9,436.0,445.15,542662
2021-02-19 00:00:00+05:30,447.0,454.0,428.8,433.25,354006
2021-02-22 00:00:00+05:30,437.2,461.55,436.05,448.85,979622
2021-02-23 00:00:00+05:30,452.0,454.5,438.15,441.2,525970
2021-02-24 00:00:00+05:30,445.0,447.4,432.25,440.9,180012
2021-02-25 00:00:00+05:30,441.6,447.0,436.5,439.4,342536
2021-02-26 00:00:00+05:30,438.8,442.0,431.3,434.05,391375
2021-03-01 00:00:00+05:30,436.0,447.95,421.45,426.8,542258
2021-03-02 00:00:00+05:30,431.0,440.0,424.95,435.95,520084
2021-03-03 00:00:00+05:30,436.1,465.0,436.1,459.65,1061491
2021-03-04 00:00:00+05:30,460.0,492.0,454.0,479.75,1133841
2021-03-05 00:00:00+05:30,479.7,494.7,455.1,460.6,506787
2021-03-08 00:00:00+05:30,461.9,470.85,460.1,467.3,242336
2021-03-09 00:00:00+05:30,474.8,484.5,463.1,471.35,477961
2021-03-10 00:00:00+05:30,476.0,488.9,476.0,484.2,382645
2021-03-12 00:00:00+05:30,487.1,509.0,483.35,498.05,966441
2021-03-15 00:00:00+05:30,502.0,527.0,501.25,522.6,1081788
2021-03-16 00:00:00+05:30,529.0,627.0,529.0,614.9,4688811
2021-03-17 00:00:00+05:30,605.8,647.9,580.0,588.5,3469313
2021-03-18 00:00:00+05:30,603.6,613.9,565.05,590.75,1303577
2021-03-19 00:00:00+05:30,580.0,694.0,565.25,673.3,3940784
2021-03-22 00:00:00+05:30,699.0,732.0,670.3,682.0,1806164
2021-03-23 00:00:00+05:30,689.9,697.3,622.3,651.2,1881104
2021-03-24 00:00:00+05:30,651.0,682.15,650.0,655.95,1698489
2021-03-25 00:00:00+05:30,664.7,664.7,588.0,616.6,962074
2021-03-26 00:00:00+05:30,622.9,638.25,611.7,623.4,319546
2021-03-30 00:00:00+05:30,644.7,713.35,630.65,695.2,1227419
2021-03-31 00:00:00+05:30,703.0,746.0,698.15,740.0,1909474
2021-04-01 00:00:00+05:30,754.0,773.8,715.5,730.75,1118716
2021-04-05 00:00:00+05:30,729.9,734.75,683.7,710.85,682379
2021-04-06 00:00:00+05:30,717.4,749.9,711.0,738.15,657638
2021-04-07 00:00:00+05:30,744.9,748.65,730.0,735.1,326916
2021-04-08 00:00:00+05:30,742.4,742.5,713.95,716.35,299683
2021-04-09 00:00:00+05:30,711.0,724.35,701.0,708.15,198001
2021-04-12 00:00:00+05:30,695.0,695.9,635.0,651.8,434865
2021-04-13 00:00:00+05:30,658.9,724.0,643.0,703.65,728888
2021-04-15 00:00:00+05:30,670.0,718.0,670.0,685.4,473646
2021-04-16 00:00:00+05:30,691.6,715.0,681.0,687.15,395177
2021-04-19 00:00:00+05:30,665.0,696.4,657.8,685.2,375339
2021-04-20 00:00:00+05:30,697.0,741.0,686.15,714.05,795133
2021-04-22 00:00:00+05:30,719.0,728.2,698.05,708.7,325044
2021-04-23 00:00:00+05:30,712.25,735.3,712.0,715.65,182032
2021-04-26 00:00:00+05:30,724.95,748.0,705.5,710.95,325883
2021-04-27 00:00:00+05:30,715.9,723.95,695.0,698.3,217439
2021-04-28 00:00:00+05:30,707.9,712.9,693.0,698.35,217899
2021-04-29 00:00:00+05:30,705.0,708.0,685.15,696.05,244963
2021-04-30 00:00:00+05:30,690.0,698.45,677.75,681.3,512062
2021-05-03 00:00:00+05:30,679.0,713.7,669.05,702.85,596566
2021-05-04 00:00:00+05:30,714.0,728.85,691.0,696.3,373798
2021-05-05 00:00:00+05:30,698.2,709.85,691.0,696.05,174607
2021-05-06 00:00:00+05:30,703.0,806.9,695.1,794.15,2382352
2021-05-07 00:00:00+05:30,800.0,825.0,765.1,795.85,945458
2021-05-10 00:00:00+05:30,804.0,848.5,793.0,822.55,1002220
2021-05-11 00:00:00+05:30,790.0,795.0,745.0,756.85,1221855
2021-05-12 00:00:00+05:30,772.45,778.8,700.0,709.6,1146398
2021-05-14 00:00:00+05:30,719.4,735.0,686.0,719.8,653613
2021-05-17 00:00:00+05:30,725.7,733.65,712.0,719.8,357896
2021-05-18 00:00:00+05:30,723.0,732.0,710.05,719.75,350488
2021-05-19 00:00:00+05:30,724.0,760.95,721.0,743.2,681399
2021-05-20 00:00:00+05:30,749.45,767.25,739.1,755.75,388126
2021-05-21 00:00:00+05:30,762.0,772.5,756.0,761.65,342103
2021-05-24 00:00:00+05:30,766.9,786.9,762.0,775.3,551188
2021-05-25 00:00:00+05:30,783.0,794.0,758.6,769.4,304380
2021-05-26 00:00:00+05:30,774.8,775.0,756.0,762.45,177276
2021-05-27 00:00:00+05:30,764.65,782.95,727.25,767.6,1809395
2021-05-28 00:00:00+05:30,769.95,788.0,760.0,765.6,318431
2021-05-31 00:00:00+05:30,772.0,782.7,755.75,773.75,443918
2021-06-01 00:00:00+05:30,775.0,779.9,730.0,746.15,302336
2021-06-02 00:00:00+05:30,746.15,764.2,741.0,758.15,266624
2021-06-03 00:00:00+05:30,759.0,768.5,749.65,752.3,145854
2021-06-04 00:00:00+05:30,752.3,755.9,731.3,735.4,238832
2021-06-07 00:00:00+05:30,745.0,750.0,731.1,735.65,224045
2021-06-08 00:00:00+05:30,741.0,774.9,722.0,768.95,845214
2021-06-09 00:00:00+05:30,776.8,784.0,742.0,747.8,557502
2021-06-10 00:00:00+05:30,761.95,774.0,752.0,764.1,275611
2021-06-11 00:00:00+05:30,775.0,784.0,764.1,767.5,380330
2021-06-14 00:00:00+05:30,765.0,774.9,739.0,763.25,268149
2021-06-15 00:00:00+05:30,768.9,773.65,756.0,769.55,232243
2021-06-16 00:00:00+05:30,773.5,814.0,760.0,763.9,1163175
2021-06-17 00:00:00+05:30,758.9,778.0,753.55,765.85,237227
2021-06-18 00:00:00+05:30,769.9,775.0,714.45,741.25,397673
2021-06-21 00:00:00+05:30,719.1,760.0,719.1,746.65,403994
2021-06-22 00:00:00+05:30,754.0,759.95,737.25,740.65,169785
2021-06-23 00:00:00+05:30,745.0,756.65,731.0,735.4,261412
2021-06-24 00:00:00+05:30,730.0,746.0,725.0,727.1,152138
2021-06-25 00:00:00+05:30,733.0,744.0,733.0,738.3,174432
2021-06-28 00:00:00+05:30,741.0,747.0,716.75,720.65,291395
2021-06-29 00:00:00+05:30,722.4,727.6,710.2,714.7,296504
2021-06-30 00:00:00+05:30,718.0,740.0,715.45,723.95,315725
2021-07-01 00:00:00+05:30,728.75,740.25,723.0,730.7,604041
2021-07-02 00:00:00+05:30,738.4,749.95,734.55,738.3,244019
2021-07-05 00:00:00+05:30,740.65,744.85,722.0,724.1,313892
2021-07-06 00:00:00+05:30,728.45,738.0,703.0,708.9,367452
2021-07-07 00:00:00+05:30,715.8,722.9,702.0,708.15,227329
2021-07-08 00:00:00+05:30,710.0,718.2,699.65,703.5,306836
2021-07-09 00:00:00+05:30,705.0,722.9,703.4,712.7,144417
2021-07-12 00:00:00+05:30,718.0,735.0,707.25,711.95,210082
2021-07-13 00:00:00+05:30,717.95,722.0,707.0,712.6,170101
2021-07-14 00:00:00+05:30,714.95,717.95,707.4,710.65,176244
2021-07-15 00:00:00+05:30,717.0,783.8,704.0,772.45,1676467
