date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,43.55,43.83,43.45,43.69,10716213
2021-01-04 00:00:00+05:30,44.02,45.3,44.02,45.16,31411359
2021-01-05 00:00:00+05:30,44.63,44.78,43.88,44.63,28072568
2021-01-06 00:00:00+05:30,44.87,46.3,44.78,45.35,37066479
2021-01-07 00:00:00+05:30,45.92,46.2,45.16,45.58,27214862
2021-01-08 00:00:00+05:30,45.97,46.78,45.68,46.63,33813062
2021-01-11 00:00:00+05:30,46.68,47.15,45.63,46.53,24338117
2021-01-12 00:00:00+05:30,46.3,48.67,46.01,47.77,47912310
2021-01-13 00:00:00+05:30,48.11,50.81,47.91,49.67,83906529
2021-01-14 00:00:00+05:30,50.19,51.34,49.24,51.09,46080657
2021-01-15 00:00:00+05:30,51.19,51.52,49.39,49.91,41757006
2021-01-18 00:00:00+05:30,50.05,50.24,47.48,48.01,42899784
2021-01-19 00:00:00+05:30,48.44,49.24,47.81,48.15,36623603
2021-01-20 00:00:00+05:30,48.39,48.96,47.63,48.01,28395798
2021-01-21 00:00:00+05:30,47.91,48.81,46.68,46.96,38452280
2021-01-22 00:00:00+05:30,46.86,47.39,46.06,46.35,33756312
2021-01-25 00:00:00+05:30,47.15,47.48,44.73,44.92,33799853
2021-01-27 00:00:00+05:30,44.63,45.16,42.88,43.64,41240343
2021-01-28 00:00:00+05:30,43.02,44.59,42.88,44.4,36206855
2021-01-29 00:00:00+05:30,45.16,46.73,44.5,44.78,111293214
2021-02-01 00:00:00+05:30,46.4,46.78,44.87,46.4,79766276
2021-02-02 00:00:00+05:30,47.53,48.58,47.01,48.29,57962112
2021-02-03 00:00:00+05:30,49.44,50.57,49.01,50.24,87238200
2021-02-04 00:00:00+05:30,50.86,51.8,50.67,51.34,76757127
2021-02-05 00:00:00+05:30,51.9,52.0,50.39,50.57,47134358
2021-02-08 00:00:00+05:30,51.62,51.85,50.62,51.67,56887466
2021-02-09 00:00:00+05:30,48.96,48.96,47.15,47.63,71867816
2021-02-10 00:00:00+05:30,47.86,48.29,46.58,47.01,34008033
2021-02-11 00:00:00+05:30,46.58,47.48,46.49,46.86,29268846
2021-02-12 00:00:00+05:30,46.86,47.25,45.63,45.97,28558101
2021-02-15 00:00:00+05:30,46.25,46.58,45.25,45.35,22194036
2021-02-16 00:00:00+05:30,45.35,46.86,45.25,46.3,37303716
2021-02-17 00:00:00+05:30,46.25,46.35,45.68,45.92,24688640
2021-02-18 00:00:00+05:30,46.11,48.96,46.11,48.44,81083085
2021-02-19 00:00:00+05:30,48.58,49.39,46.58,47.53,63290027
2021-02-22 00:00:00+05:30,47.48,48.11,45.97,46.3,29230623
2021-02-23 00:00:00+05:30,46.78,48.48,46.53,47.58,53269025
2021-02-24 00:00:00+05:30,48.06,49.01,47.15,47.77,29676167
2021-02-25 00:00:00+05:30,48.67,50.29,48.34,49.62,94125668
2021-02-26 00:00:00+05:30,48.77,50.29,47.3,47.81,68584740
2021-03-01 00:00:00+05:30,49.72,50.01,48.96,49.53,45069374
2021-03-02 00:00:00+05:30,50.47,51.67,50.19,50.47,68580371
2021-03-03 00:00:00+05:30,50.95,51.62,49.96,50.72,45034914
2021-03-04 00:00:00+05:30,50.01,51.05,49.81,50.01,25305614
2021-03-05 00:00:00+05:30,50.14,50.86,49.62,50.01,60217766
2021-03-08 00:00:00+05:30,50.47,52.24,50.39,51.34,74599173
2021-03-09 00:00:00+05:30,50.62,50.9,48.58,49.44,44887904
2021-03-10 00:00:00+05:30,50.29,50.29,48.24,48.34,31741065
2021-03-12 00:00:00+05:30,49.24,50.52,49.19,49.91,52481499
2021-03-15 00:00:00+05:30,50.09,50.76,49.06,49.72,31647600
2021-03-16 00:00:00+05:30,50.39,50.72,49.06,49.34,41291265
2021-03-17 00:00:00+05:30,49.86,49.86,47.81,47.91,31383500
2021-03-18 00:00:00+05:30,48.39,48.77,46.86,47.34,32120652
2021-03-19 00:00:00+05:30,47.15,48.81,46.16,48.29,51668046
2021-03-22 00:00:00+05:30,48.86,48.96,47.96,48.53,31878692
2021-03-23 00:00:00+05:30,47.3,47.48,46.78,47.01,33229980
2021-03-24 00:00:00+05:30,46.53,47.01,45.45,45.63,28562504
2021-03-25 00:00:00+05:30,45.5,45.73,43.02,43.3,41865563
2021-03-26 00:00:00+05:30,43.88,44.12,43.12,43.3,28462275
2021-03-30 00:00:00+05:30,43.35,43.97,42.79,43.73,30887742
2021-03-31 00:00:00+05:30,43.73,44.21,43.35,43.92,20242772
2021-04-01 00:00:00+05:30,44.02,44.87,43.5,44.73,22265912
2021-04-05 00:00:00+05:30,44.63,44.63,42.79,43.22,25774073
2021-04-06 00:00:00+05:30,43.3,43.92,43.02,43.45,16560441
2021-04-07 00:00:00+05:30,43.45,44.59,43.45,44.45,20614233
2021-04-08 00:00:00+05:30,44.63,45.07,44.3,44.59,19175106
2021-04-09 00:00:00+05:30,44.5,44.59,43.55,43.83,15445974
2021-04-12 00:00:00+05:30,42.79,43.02,40.69,40.84,29943737
2021-04-13 00:00:00+05:30,40.98,42.26,40.89,41.97,23964056
2021-04-15 00:00:00+05:30,41.6,42.97,41.55,42.79,23591249
2021-04-16 00:00:00+05:30,42.22,43.45,42.22,42.83,15435476
2021-04-19 00:00:00+05:30,41.46,41.97,40.74,41.55,22902362
2021-04-20 00:00:00+05:30,41.69,42.74,41.07,41.36,16299066
2021-04-22 00:00:00+05:30,41.46,41.64,41.07,41.36,14235285
2021-04-23 00:00:00+05:30,41.27,41.84,41.07,41.5,12005517
2021-04-26 00:00:00+05:30,41.93,41.97,41.31,41.6,10600022
2021-04-27 00:00:00+05:30,41.6,42.17,41.6,42.02,13128623
2021-04-28 00:00:00+05:30,42.22,42.45,42.12,42.36,9505056
2021-04-29 00:00:00+05:30,42.88,43.07,41.93,42.02,13435745
2021-04-30 00:00:00+05:30,41.84,44.68,41.46,43.26,44723547
2021-05-03 00:00:00+05:30,42.64,43.92,42.45,43.64,20483678
