date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,5.9,6.12,5.82,5.92,41109220
2021-01-04 00:00:00+05:30,5.95,6.0,5.85,5.88,24085260
2021-01-05 00:00:00+05:30,5.8,5.9,5.7,5.75,12909500
2021-01-06 00:00:00+05:30,5.75,5.85,5.65,5.7,15956920
2021-01-07 00:00:00+05:30,5.75,5.85,5.55,5.68,38191680
2021-01-08 00:00:00+05:30,5.75,5.82,5.7,5.72,21561420
2021-01-11 00:00:00+05:30,5.78,5.82,5.65,5.75,12275640
2021-01-12 00:00:00+05:30,5.75,5.88,5.7,5.8,25478480
2021-01-13 00:00:00+05:30,5.85,5.92,5.78,5.85,23632440
2021-01-14 00:00:00+05:30,5.85,5.9,5.78,5.85,10173560
2021-01-15 00:00:00+05:30,5.85,5.9,5.72,5.8,14252140
2021-01-18 00:00:00+05:30,5.8,5.85,5.65,5.7,11520500
2021-01-19 00:00:00+05:30,5.9,5.9,5.72,5.78,21784680
2021-01-20 00:00:00+05:30,5.9,6.08,5.82,5.9,58606580
2021-01-21 00:00:00+05:30,5.95,6.02,5.75,5.78,22666080
2021-01-22 00:00:00+05:30,5.8,5.82,5.65,5.68,14187580
2021-01-25 00:00:00+05:30,5.72,5.82,5.5,5.62,8108060
2021-01-27 00:00:00+05:30,5.75,5.75,5.58,5.68,11581900
2021-01-28 00:00:00+05:30,5.62,5.65,5.48,5.5,16155660
2021-01-29 00:00:00+05:30,5.6,5.6,5.32,5.42,10364720
2021-02-01 00:00:00+05:30,5.42,5.7,5.32,5.38,53235740
2021-02-02 00:00:00+05:30,5.45,5.62,5.45,5.52,21070940
2021-02-03 00:00:00+05:30,5.55,5.6,5.32,5.4,24976700
2021-02-04 00:00:00+05:30,5.42,5.58,5.4,5.45,23687160
2021-02-05 00:00:00+05:30,5.5,5.52,5.38,5.38,14194320
2021-02-08 00:00:00+05:30,5.4,5.52,5.4,5.45,19002600
2021-02-09 00:00:00+05:30,5.5,5.6,5.48,5.52,24402280
2021-02-10 00:00:00+05:30,5.55,5.65,5.52,5.6,15715240
2021-02-11 00:00:00+05:30,5.58,5.68,5.48,5.5,17763880
2021-02-12 00:00:00+05:30,5.52,5.55,5.4,5.45,6891900
2021-02-15 00:00:00+05:30,5.52,5.55,5.42,5.45,9575600
2021-02-16 00:00:00+05:30,5.48,5.5,5.38,5.4,11862540
2021-02-17 00:00:00+05:30,5.38,5.42,5.3,5.32,11201180
2021-02-18 00:00:00+05:30,5.38,5.52,5.35,5.4,33882060
2021-02-19 00:00:00+05:30,5.4,5.52,5.32,5.35,13091700
2021-02-22 00:00:00+05:30,5.38,5.5,5.25,5.3,9144220
2021-02-23 00:00:00+05:30,5.42,5.45,5.3,5.32,8396320
2021-02-24 00:00:00+05:30,5.35,5.4,5.25,5.3,8501040
2021-02-25 00:00:00+05:30,5.35,5.42,5.3,5.35,13142580
2021-02-26 00:00:00+05:30,5.32,5.48,5.25,5.4,13919540
2021-03-01 00:00:00+05:30,5.48,5.48,5.32,5.35,13544060
2021-03-02 00:00:00+05:30,5.4,5.7,5.38,5.62,78620140
2021-03-03 00:00:00+05:30,5.7,5.8,5.62,5.65,60528040
2021-03-04 00:00:00+05:30,5.58,5.82,5.52,5.68,21430080
2021-03-05 00:00:00+05:30,5.7,5.92,5.58,5.68,60501960
2021-03-08 00:00:00+05:30,5.72,6.6,5.68,6.2,399238220
2021-03-09 00:00:00+05:30,6.3,6.42,5.9,6.05,105484520
2021-03-10 00:00:00+05:30,6.12,6.22,6.0,6.1,39299920
2021-03-12 00:00:00+05:30,6.18,6.28,5.98,6.08,35784520
2021-03-15 00:00:00+05:30,6.1,6.1,5.75,5.85,33273360
2021-03-16 00:00:00+05:30,5.88,5.9,5.75,5.78,17434680
2021-03-17 00:00:00+05:30,5.8,6.18,5.62,5.7,123126080
2021-03-18 00:00:00+05:30,5.75,5.82,5.35,5.55,48964700
2021-03-19 00:00:00+05:30,5.58,5.6,5.3,5.52,61416200
2021-03-22 00:00:00+05:30,5.58,5.72,5.5,5.62,35488900
2021-03-23 00:00:00+05:30,5.68,5.68,5.48,5.5,31917140
2021-03-24 00:00:00+05:30,5.5,5.6,5.3,5.35,25149780
2021-03-25 00:00:00+05:30,5.45,5.45,5.15,5.2,29406600
2021-03-26 00:00:00+05:30,5.3,5.35,5.12,5.12,23962760
2021-03-30 00:00:00+05:30,5.18,5.25,5.12,5.18,23000300
2021-03-31 00:00:00+05:30,5.45,5.6,5.38,5.42,151794500
2021-04-01 00:00:00+05:30,5.5,5.75,5.45,5.7,62953100
2021-04-05 00:00:00+05:30,5.7,5.7,5.38,5.45,39576020
2021-04-06 00:00:00+05:30,5.5,5.55,5.4,5.45,20808920
2021-04-07 00:00:00+05:30,5.5,5.5,5.42,5.48,12301260
2021-04-08 00:00:00+05:30,5.48,5.58,5.4,5.45,13922180
2021-04-09 00:00:00+05:30,5.45,5.55,5.45,5.5,16545340
2021-04-12 00:00:00+05:30,5.32,5.4,5.02,5.2,23316780
2021-04-13 00:00:00+05:30,5.28,5.38,5.18,5.32,10927280
2021-04-15 00:00:00+05:30,5.25,5.48,5.25,5.45,17304980
2021-04-16 00:00:00+05:30,5.48,5.52,5.4,5.42,9414400
2021-04-19 00:00:00+05:30,5.15,5.3,5.02,5.1,18092220
2021-04-20 00:00:00+05:30,5.12,5.22,5.12,5.2,8831560
2021-04-22 00:00:00+05:30,5.22,5.3,5.15,5.25,10317220
2021-04-23 00:00:00+05:30,5.25,5.38,5.2,5.2,18458120
2021-04-26 00:00:00+05:30,5.22,5.3,5.22,5.25,11396760
2021-04-27 00:00:00+05:30,5.25,5.32,5.22,5.25,14717160
2021-04-28 00:00:00+05:30,5.28,5.35,5.22,5.3,11898600
2021-04-29 00:00:00+05:30,5.38,5.38,5.28,5.35,8538080
2021-04-30 00:00:00+05:30,5.3,5.32,5.2,5.22,19104120
2021-05-03 00:00:00+05:30,5.15,5.3,5.12,5.25,7602320
2021-05-04 00:00:00+05:30,5.25,5.3,5.2,5.22,17874880
2021-05-05 00:00:00+05:30,5.25,5.3,5.12,5.15,12923560
2021-05-06 00:00:00+05:30,5.2,5.22,5.15,5.15,11306840
2021-05-07 00:00:00+05:30,5.45,5.6,5.32,5.35,52274660
2021-05-10 00:00:00+05:30,5.35,5.4,5.3,5.32,15040260
2021-05-11 00:00:00+05:30,5.32,5.48,5.28,5.4,18180360
2021-05-12 00:00:00+05:30,5.42,5.45,5.32,5.35,12020500
2021-05-14 00:00:00+05:30,5.45,5.45,5.28,5.3,14499860
2021-05-17 00:00:00+05:30,5.35,5.35,5.25,5.3,7402780
