date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,43.75,44.65,43.55,43.7,1399060
2021-01-04 00:00:00+05:30,43.95,44.2,43.65,43.9,1187216
2021-01-05 00:00:00+05:30,43.9,45.3,43.5,45.15,6017658
2021-01-06 00:00:00+05:30,46.05,47.05,45.5,46.05,21983584
2021-01-07 00:00:00+05:30,46.5,46.8,45.75,45.9,3058388
2021-01-08 00:00:00+05:30,46.25,47.05,44.95,45.2,4889006
2021-01-11 00:00:00+05:30,45.95,46.75,45.2,46.55,8737950
2021-01-12 00:00:00+05:30,46.35,46.5,45.6,45.7,2283480
2021-01-13 00:00:00+05:30,46.0,46.85,45.5,45.75,3350180
2021-01-14 00:00:00+05:30,45.85,46.1,45.0,45.5,2264812
2021-01-15 00:00:00+05:30,46.5,46.75,45.5,45.65,5269894
2021-01-18 00:00:00+05:30,45.5,45.6,44.15,44.45,1625044
2021-01-19 00:00:00+05:30,44.5,45.15,44.4,44.55,941124
2021-01-20 00:00:00+05:30,44.6,44.9,44.35,44.45,785622
2021-01-21 00:00:00+05:30,44.7,44.75,43.55,43.75,1298628
2021-01-22 00:00:00+05:30,43.7,44.95,42.95,43.4,1486838
2021-01-25 00:00:00+05:30,44.0,44.0,42.45,42.55,1056292
2021-01-27 00:00:00+05:30,42.55,42.7,42.0,42.25,786236
2021-01-28 00:00:00+05:30,41.75,42.85,41.25,42.45,1323058
2021-01-29 00:00:00+05:30,42.8,43.15,41.9,41.95,956220
2021-02-01 00:00:00+05:30,41.75,44.0,41.6,42.35,4626000
2021-02-02 00:00:00+05:30,42.7,43.0,42.05,42.4,1396188
2021-02-03 00:00:00+05:30,42.5,43.1,42.1,42.6,1400868
2021-02-04 00:00:00+05:30,42.55,43.45,42.35,43.1,1581938
2021-02-05 00:00:00+05:30,43.1,43.35,42.65,42.8,1167898
2021-02-08 00:00:00+05:30,43.0,43.9,42.65,43.15,1854872
2021-02-09 00:00:00+05:30,43.4,47.8,42.75,46.4,34733814
2021-02-10 00:00:00+05:30,48.5,52.2,47.65,51.65,54177728
2021-02-11 00:00:00+05:30,52.2,54.25,51.95,53.2,21679974
2021-02-12 00:00:00+05:30,53.55,54.0,51.15,53.15,10668008
2021-02-15 00:00:00+05:30,53.85,53.95,47.0,47.6,18878444
2021-02-16 00:00:00+05:30,47.45,47.45,46.15,46.75,6450800
2021-02-17 00:00:00+05:30,46.5,48.9,46.25,48.0,6784892
2021-02-18 00:00:00+05:30,48.5,49.35,47.8,48.45,2907178
2021-02-19 00:00:00+05:30,49.0,49.0,47.5,47.75,2920462
2021-02-22 00:00:00+05:30,47.85,48.8,47.3,47.65,3311544
2021-02-23 00:00:00+05:30,47.3,47.6,46.8,46.95,1632864
2021-02-24 00:00:00+05:30,47.1,47.8,46.75,47.25,951346
2021-02-25 00:00:00+05:30,47.35,47.85,47.25,47.45,1704782
