date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,19.25,19.6,18.8,19.0,2063282
2021-01-04 00:00:00+05:30,19.05,19.8,18.5,19.4,4367766
2021-01-05 00:00:00+05:30,19.0,20.35,18.9,20.35,6507965
2021-01-06 00:00:00+05:30,21.35,21.35,21.35,21.35,1633150
2021-01-07 00:00:00+05:30,22.4,22.4,20.5,21.3,14789716
2021-01-08 00:00:00+05:30,21.6,22.35,21.05,22.3,13496001
2021-01-11 00:00:00+05:30,23.4,23.4,21.8,23.4,14588087
2021-01-12 00:00:00+05:30,23.75,24.3,22.85,23.6,7709878
2021-01-13 00:00:00+05:30,23.95,23.95,22.45,22.45,3785154
2021-01-14 00:00:00+05:30,22.35,22.9,21.4,22.45,4215553
2021-01-15 00:00:00+05:30,22.95,22.95,21.45,21.7,4349847
2021-01-18 00:00:00+05:30,21.7,21.9,20.65,20.8,2566624
2021-01-19 00:00:00+05:30,21.05,21.8,20.95,21.8,2533108
2021-01-20 00:00:00+05:30,22.05,22.55,21.4,21.6,3329700
2021-01-21 00:00:00+05:30,21.8,21.8,20.65,20.75,2693688
2021-01-22 00:00:00+05:30,20.35,21.1,19.85,20.1,2327959
2021-01-25 00:00:00+05:30,20.65,21.1,19.5,19.95,3870492
2021-01-27 00:00:00+05:30,20.0,20.75,19.35,20.0,2250216
2021-01-28 00:00:00+05:30,20.0,20.6,19.65,20.35,2730952
2021-01-29 00:00:00+05:30,20.45,21.2,20.45,20.95,2250394
2021-02-01 00:00:00+05:30,21.3,21.65,20.0,20.25,3340544
2021-02-02 00:00:00+05:30,20.5,21.1,20.2,20.3,2267854
2021-02-03 00:00:00+05:30,20.5,20.85,19.5,19.65,3321426
2021-02-04 00:00:00+05:30,19.7,20.2,19.35,19.95,2475054
2021-02-05 00:00:00+05:30,20.25,20.5,19.6,19.7,1763161
2021-02-08 00:00:00+05:30,19.75,21.65,19.65,21.2,7091888
2021-02-09 00:00:00+05:30,21.4,21.65,20.35,20.5,3506621
