date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,106.35,114.95,106.35,113.85,4211323
2021-01-04 00:00:00+05:30,114.7,123.4,113.1,122.4,7397355
2021-01-05 00:00:00+05:30,121.5,129.45,119.05,128.7,5822340
2021-01-06 00:00:00+05:30,128.7,132.0,123.6,125.35,4052295
2021-01-07 00:00:00+05:30,126.9,130.3,123.25,129.0,2886426
2021-01-08 00:00:00+05:30,129.0,130.0,124.4,128.3,2607564
2021-01-11 00:00:00+05:30,128.0,128.9,122.7,124.1,2105919
2021-01-12 00:00:00+05:30,124.0,129.5,123.0,128.6,1814184
2021-01-13 00:00:00+05:30,129.3,129.8,127.0,128.4,1372393
2021-01-14 00:00:00+05:30,128.0,129.55,127.3,127.85,658369
2021-01-15 00:00:00+05:30,127.55,128.45,125.0,126.0,750307
2021-01-18 00:00:00+05:30,125.1,126.95,121.25,124.0,890106
2021-01-19 00:00:00+05:30,124.75,128.9,124.15,127.9,723453
2021-01-20 00:00:00+05:30,127.95,129.8,126.0,126.35,1273757
2021-01-21 00:00:00+05:30,126.8,129.2,126.0,127.0,1035081
2021-01-22 00:00:00+05:30,127.35,128.55,123.5,124.2,1010325
2021-01-25 00:00:00+05:30,124.9,127.75,124.0,126.0,888455
2021-01-27 00:00:00+05:30,125.95,129.85,123.1,126.15,1662818
2021-01-28 00:00:00+05:30,116.0,129.5,116.0,128.15,3530851
2021-01-29 00:00:00+05:30,128.0,134.45,126.05,127.3,3224704
2021-02-01 00:00:00+05:30,129.0,133.6,124.2,130.15,1741967
2021-02-02 00:00:00+05:30,131.15,133.4,128.75,131.95,1221673
2021-02-03 00:00:00+05:30,132.45,132.45,130.0,130.95,848256
2021-02-04 00:00:00+05:30,130.95,135.7,128.85,134.9,1756834
2021-02-05 00:00:00+05:30,135.35,136.0,132.3,133.5,1498795
2021-02-08 00:00:00+05:30,133.8,135.45,133.0,133.55,793937
2021-02-09 00:00:00+05:30,133.05,135.0,131.95,133.85,826099
2021-02-10 00:00:00+05:30,133.85,140.0,133.5,138.65,2838908
2021-02-11 00:00:00+05:30,138.6,141.95,136.0,136.25,1593613
2021-02-12 00:00:00+05:30,136.85,142.45,136.15,139.9,1936423
2021-02-15 00:00:00+05:30,138.65,142.2,137.9,139.55,1158848
2021-02-16 00:00:00+05:30,139.95,142.95,138.2,140.65,1488136
2021-02-17 00:00:00+05:30,140.0,146.95,139.05,142.55,1874513
2021-02-18 00:00:00+05:30,143.55,147.4,142.25,145.9,2016751
2021-02-19 00:00:00+05:30,145.0,148.4,141.05,142.75,1533205
2021-02-22 00:00:00+05:30,142.05,142.9,138.75,139.65,1095499
2021-02-23 00:00:00+05:30,141.0,143.95,139.5,142.55,668383
2021-02-24 00:00:00+05:30,142.55,148.8,141.3,145.85,1551707
2021-02-25 00:00:00+05:30,146.7,149.5,145.35,146.05,1210611
2021-02-26 00:00:00+05:30,144.0,147.5,141.05,145.1,1067385
2021-03-01 00:00:00+05:30,146.1,149.5,145.3,146.3,981247
2021-03-02 00:00:00+05:30,146.4,161.9,146.4,160.0,5220940
2021-03-03 00:00:00+05:30,162.0,167.75,159.05,160.9,2969348
2021-03-04 00:00:00+05:30,159.9,164.7,158.1,163.35,1617649
2021-03-05 00:00:00+05:30,163.9,165.45,153.35,155.3,1571750
2021-03-08 00:00:00+05:30,157.9,159.2,154.25,156.9,926612
2021-03-09 00:00:00+05:30,157.1,157.85,151.35,152.9,734232
2021-03-10 00:00:00+05:30,151.65,154.65,149.55,150.55,571432
2021-03-12 00:00:00+05:30,152.3,154.0,148.25,151.0,717874
2021-03-15 00:00:00+05:30,152.9,159.5,149.65,157.65,1552405
2021-03-16 00:00:00+05:30,163.8,165.9,158.0,159.9,3941675
2021-03-17 00:00:00+05:30,159.5,159.7,152.7,153.7,699000
2021-03-18 00:00:00+05:30,155.0,155.95,142.05,147.35,992972
2021-03-19 00:00:00+05:30,145.6,150.85,138.45,148.0,1155613
2021-03-22 00:00:00+05:30,147.0,149.8,145.0,147.25,834284
2021-03-23 00:00:00+05:30,147.25,156.0,147.25,154.3,1334507
2021-03-24 00:00:00+05:30,155.0,157.85,150.0,151.5,1181314
2021-03-25 00:00:00+05:30,151.0,151.8,143.75,146.05,1331990
2021-03-26 00:00:00+05:30,147.5,153.6,146.7,152.45,919455
2021-03-30 00:00:00+05:30,152.5,153.6,146.3,148.65,730930
2021-03-31 00:00:00+05:30,149.3,151.65,147.3,149.85,791213
2021-04-01 00:00:00+05:30,150.5,155.5,149.25,154.55,926254
2021-04-05 00:00:00+05:30,153.0,153.0,143.6,146.05,1506737
2021-04-06 00:00:00+05:30,147.1,149.2,144.35,145.55,643077
2021-04-07 00:00:00+05:30,145.6,150.8,145.45,149.8,680231
2021-04-08 00:00:00+05:30,150.15,150.6,142.5,144.3,1106190
2021-04-09 00:00:00+05:30,145.6,149.4,144.8,146.3,1125164
2021-04-12 00:00:00+05:30,143.05,143.65,132.0,132.95,1165234
2021-04-13 00:00:00+05:30,132.85,139.6,132.25,138.55,606216
2021-04-15 00:00:00+05:30,136.75,137.95,132.75,136.05,622762
2021-04-16 00:00:00+05:30,136.95,138.35,134.75,135.4,466161
2021-04-19 00:00:00+05:30,130.1,132.0,127.05,127.7,597759
2021-04-20 00:00:00+05:30,128.0,130.0,127.6,128.75,484367
2021-04-22 00:00:00+05:30,128.0,129.6,125.2,127.7,375108
2021-04-23 00:00:00+05:30,126.6,133.55,126.6,131.8,454294
2021-04-26 00:00:00+05:30,133.0,135.5,131.85,132.45,388581
2021-04-27 00:00:00+05:30,133.0,135.35,133.0,134.9,301328
2021-04-28 00:00:00+05:30,136.0,144.4,135.5,143.25,1171570
2021-04-29 00:00:00+05:30,144.3,145.5,140.0,141.3,487764
2021-04-30 00:00:00+05:30,142.8,145.45,138.0,139.8,1023945
2021-05-03 00:00:00+05:30,137.8,139.0,133.4,134.15,879107
2021-05-04 00:00:00+05:30,134.95,151.8,134.55,143.2,3883709
2021-05-05 00:00:00+05:30,144.45,146.3,140.7,142.05,1504956
2021-05-06 00:00:00+05:30,142.65,145.25,141.35,144.25,611874
2021-05-07 00:00:00+05:30,144.25,148.5,141.75,142.65,1017711
2021-05-10 00:00:00+05:30,144.15,144.45,142.0,142.55,589941
2021-05-11 00:00:00+05:30,141.85,147.5,141.6,143.9,1062398
2021-05-12 00:00:00+05:30,143.0,144.6,141.15,141.6,381206
2021-05-14 00:00:00+05:30,142.0,145.9,140.0,144.15,867857
2021-05-17 00:00:00+05:30,145.3,150.2,142.5,149.6,1472952
2021-05-18 00:00:00+05:30,150.45,151.55,147.4,148.05,1004652
2021-05-19 00:00:00+05:30,148.05,150.2,146.5,147.3,463614
2021-05-20 00:00:00+05:30,148.3,166.55,145.8,155.45,7632734
2021-05-21 00:00:00+05:30,156.45,156.5,151.35,153.05,1067182
2021-05-24 00:00:00+05:30,154.1,156.0,144.7,151.4,1083140
2021-05-25 00:00:00+05:30,161.7,161.7,155.4,156.6,5760555
2021-05-26 00:00:00+05:30,157.0,157.25,152.0,152.8,1905608
2021-05-27 00:00:00+05:30,153.45,156.45,151.2,153.5,2170927
2021-05-28 00:00:00+05:30,155.0,155.25,151.05,151.95,792117
2021-05-31 00:00:00+05:30,152.0,152.7,149.3,150.25,1195749
2021-06-01 00:00:00+05:30,150.5,153.0,149.5,150.45,1389823
2021-06-02 00:00:00+05:30,151.4,154.7,150.65,152.05,1808212
2021-06-03 00:00:00+05:30,152.8,164.25,152.5,162.65,3888573
2021-06-04 00:00:00+05:30,163.0,163.4,158.45,159.35,1534849
2021-06-07 00:00:00+05:30,160.25,165.35,159.6,161.45,1724662
2021-06-08 00:00:00+05:30,161.4,163.75,157.4,162.7,1156620
2021-06-09 00:00:00+05:30,163.0,174.35,162.5,167.95,5820380
2021-06-10 00:00:00+05:30,168.8,179.1,168.25,176.0,2880519
2021-06-11 00:00:00+05:30,178.0,178.1,170.5,172.8,1478319
2021-06-14 00:00:00+05:30,173.0,173.15,166.2,171.05,815331
2021-06-15 00:00:00+05:30,171.2,181.7,170.1,178.35,3105095
2021-06-16 00:00:00+05:30,176.7,178.65,171.65,174.95,1115990
2021-06-17 00:00:00+05:30,171.4,175.0,169.6,172.1,869349
2021-06-18 00:00:00+05:30,172.9,173.25,160.5,168.0,1574023
2021-06-21 00:00:00+05:30,165.0,179.2,163.3,176.35,1853937
2021-06-22 00:00:00+05:30,177.0,208.95,176.9,200.05,19236308
2021-06-23 00:00:00+05:30,203.45,218.0,199.65,204.25,19663666
2021-06-24 00:00:00+05:30,203.5,206.8,195.7,198.9,3992103
2021-06-25 00:00:00+05:30,201.4,203.5,196.35,199.6,2276319
2021-06-28 00:00:00+05:30,201.55,203.6,192.35,195.25,2195743
2021-06-29 00:00:00+05:30,196.8,197.65,192.1,192.95,1210052
2021-06-30 00:00:00+05:30,194.8,217.8,191.25,211.9,10393928
2021-07-01 00:00:00+05:30,217.0,226.85,212.85,214.85,19266398
2021-07-02 00:00:00+05:30,216.1,222.4,210.8,219.6,4686554
2021-07-05 00:00:00+05:30,221.5,229.8,220.6,228.1,5772016
2021-07-06 00:00:00+05:30,228.7,229.0,216.0,220.2,2110909
2021-07-07 00:00:00+05:30,225.6,237.45,225.6,232.25,6084467
2021-07-08 00:00:00+05:30,232.3,232.35,220.8,224.7,2127454
2021-07-09 00:00:00+05:30,225.85,228.0,220.5,226.1,1558770
2021-07-12 00:00:00+05:30,227.1,227.65,221.2,222.75,866659
2021-07-13 00:00:00+05:30,224.7,230.85,222.65,227.45,2244177
2021-07-14 00:00:00+05:30,226.75,228.1,221.4,222.45,1179633
2021-07-15 00:00:00+05:30,223.7,224.9,218.2,219.45,908553
2021-07-16 00:00:00+05:30,221.0,221.65,218.1,219.1,775840
2021-07-19 00:00:00+05:30,218.0,234.7,213.25,223.15,2599952
2021-07-20 00:00:00+05:30,225.0,228.25,207.65,210.65,2887071
2021-07-22 00:00:00+05:30,213.75,223.0,211.0,220.6,2312635
2021-07-23 00:00:00+05:30,222.0,222.15,216.05,219.35,1075552
2021-07-26 00:00:00+05:30,217.0,223.0,214.8,221.85,1163005
2021-07-27 00:00:00+05:30,223.3,225.7,218.3,223.05,1180010
2021-07-28 00:00:00+05:30,222.0,267.65,220.3,252.95,9854499
2021-07-29 00:00:00+05:30,271.0,274.0,258.0,262.7,12428396
2021-07-30 00:00:00+05:30,260.0,268.0,255.1,261.15,3098473
2021-08-02 00:00:00+05:30,264.4,270.0,256.35,260.9,2162411
2021-08-03 00:00:00+05:30,260.0,264.95,256.0,256.7,1192568
2021-08-04 00:00:00+05:30,257.75,259.7,245.05,246.15,944252
2021-08-05 00:00:00+05:30,246.15,274.95,239.75,263.3,8593179
2021-08-06 00:00:00+05:30,260.0,265.7,255.1,258.75,2555587
2021-08-09 00:00:00+05:30,258.75,284.9,258.2,280.7,9537257
2021-08-10 00:00:00+05:30,279.0,279.45,258.0,261.95,4733680
