date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,85.0,87.45,84.1,86.3,1405431
2021-01-04 00:00:00+05:30,87.0,88.25,86.05,87.0,1567904
2021-01-05 00:00:00+05:30,86.1,87.7,85.5,86.85,1340155
2021-01-06 00:00:00+05:30,86.9,92.9,86.4,91.3,10553487
2021-01-07 00:00:00+05:30,93.1,95.75,92.6,94.45,5209867
2021-01-08 00:00:00+05:30,94.65,97.5,94.55,94.9,3538539
2021-01-11 00:00:00+05:30,95.5,95.55,90.1,93.05,1645873
2021-01-12 00:00:00+05:30,92.9,94.35,91.05,92.25,1128530
2021-01-13 00:00:00+05:30,92.75,93.2,90.25,90.95,1673091
2021-01-14 00:00:00+05:30,91.65,91.65,88.1,88.45,1192764
2021-01-15 00:00:00+05:30,88.9,89.55,86.6,87.05,980767
2021-01-18 00:00:00+05:30,87.05,87.65,83.0,84.05,1481928
2021-01-19 00:00:00+05:30,85.0,87.3,84.6,86.2,2143191
2021-01-20 00:00:00+05:30,86.0,89.85,85.7,89.25,1203312
2021-01-21 00:00:00+05:30,89.7,90.4,86.2,86.65,1137265
2021-01-22 00:00:00+05:30,86.4,88.0,84.25,86.25,837301
2021-01-25 00:00:00+05:30,87.3,88.7,81.0,83.05,1593689
2021-01-27 00:00:00+05:30,82.1,84.35,80.1,80.65,747663
2021-01-28 00:00:00+05:30,79.65,81.85,79.65,80.5,3133252
2021-01-29 00:00:00+05:30,81.4,82.6,79.8,80.0,1235318
2021-02-01 00:00:00+05:30,80.1,84.05,80.1,83.2,924433
2021-02-02 00:00:00+05:30,83.9,89.15,83.4,87.7,1841264
2021-02-03 00:00:00+05:30,87.35,88.5,85.55,86.35,1238932
2021-02-04 00:00:00+05:30,85.6,87.7,85.35,86.85,1901952
2021-02-05 00:00:00+05:30,87.2,87.65,84.2,84.95,622070
2021-02-08 00:00:00+05:30,85.25,88.3,85.25,88.0,1164110
2021-02-09 00:00:00+05:30,88.0,88.5,86.6,88.05,803710
2021-02-10 00:00:00+05:30,87.5,90.7,87.5,90.2,1810254
2021-02-11 00:00:00+05:30,89.15,91.7,89.15,91.05,835435
2021-02-12 00:00:00+05:30,91.0,92.5,89.75,92.1,1169015
2021-02-15 00:00:00+05:30,92.9,93.7,91.0,91.7,1184374
2021-02-16 00:00:00+05:30,92.2,94.1,89.9,93.4,1127430
2021-02-17 00:00:00+05:30,93.7,93.7,91.55,92.4,802874
2021-02-18 00:00:00+05:30,92.6,93.5,88.5,89.4,1156187
2021-02-19 00:00:00+05:30,89.5,95.0,89.0,91.75,3307092
2021-02-22 00:00:00+05:30,92.0,92.4,89.1,90.8,884152
2021-02-23 00:00:00+05:30,91.2,91.75,89.6,90.0,725435
2021-02-24 00:00:00+05:30,90.65,94.2,81.25,92.65,366864
2021-02-25 00:00:00+05:30,93.75,94.75,92.15,92.55,1058937
2021-02-26 00:00:00+05:30,91.7,92.8,89.5,90.9,868231
2021-03-01 00:00:00+05:30,91.5,94.0,91.0,91.5,792668
2021-03-02 00:00:00+05:30,92.0,93.1,91.8,92.65,1042991
2021-03-03 00:00:00+05:30,93.0,98.95,92.75,97.0,4673526
2021-03-04 00:00:00+05:30,95.0,98.3,94.75,97.0,2165884
2021-03-05 00:00:00+05:30,97.7,98.0,93.35,94.25,1291128
2021-03-08 00:00:00+05:30,95.0,96.9,92.15,92.6,1039786
2021-03-09 00:00:00+05:30,93.1,101.7,92.5,97.55,6331209
2021-03-10 00:00:00+05:30,98.45,98.45,94.0,94.55,2378594
2021-03-12 00:00:00+05:30,95.7,101.65,94.0,94.55,5906767
2021-03-15 00:00:00+05:30,95.25,98.0,92.9,96.75,2364242
2021-03-16 00:00:00+05:30,97.6,100.7,96.35,97.6,3411607
2021-03-17 00:00:00+05:30,97.15,98.4,94.8,95.05,929100
2021-03-18 00:00:00+05:30,95.6,99.0,93.2,94.1,1428293
2021-03-19 00:00:00+05:30,93.2,95.3,76.9,89.35,1607492
2021-03-22 00:00:00+05:30,89.4,94.25,86.05,93.15,2342659
2021-03-23 00:00:00+05:30,95.0,95.0,90.55,91.2,639494
2021-03-24 00:00:00+05:30,90.8,92.15,88.1,89.15,441920
2021-03-25 00:00:00+05:30,89.5,89.5,86.35,87.15,633857
2021-03-26 00:00:00+05:30,87.6,89.9,87.1,87.9,1146971
2021-03-30 00:00:00+05:30,88.4,89.8,86.35,87.45,407567
2021-03-31 00:00:00+05:30,87.4,88.2,84.2,84.55,842988
2021-04-01 00:00:00+05:30,85.1,86.5,84.25,85.4,913377
2021-04-05 00:00:00+05:30,85.0,85.35,82.5,83.7,507171
2021-04-06 00:00:00+05:30,84.3,86.8,84.1,84.75,983989
2021-04-07 00:00:00+05:30,84.85,86.8,84.85,85.5,578733
2021-04-08 00:00:00+05:30,86.0,86.7,85.4,85.7,330525
2021-04-09 00:00:00+05:30,85.7,85.95,84.0,84.2,486433
2021-04-12 00:00:00+05:30,83.1,83.5,78.65,79.9,1313014
2021-04-13 00:00:00+05:30,80.0,81.8,80.0,80.35,710114
2021-04-15 00:00:00+05:30,80.7,81.3,77.2,77.85,665080
2021-04-16 00:00:00+05:30,80.35,80.35,78.35,78.65,450402
2021-04-19 00:00:00+05:30,77.1,78.0,76.05,76.95,448242
2021-04-20 00:00:00+05:30,77.4,81.0,77.4,79.55,629415
2021-04-22 00:00:00+05:30,78.8,81.0,78.6,79.8,6614890
2021-04-23 00:00:00+05:30,80.4,81.8,79.35,80.05,6204539
2021-04-26 00:00:00+05:30,81.4,81.4,79.55,80.15,291187
2021-04-27 00:00:00+05:30,82.85,84.0,81.7,82.7,1026209
2021-04-28 00:00:00+05:30,83.3,83.3,81.9,82.15,444384
2021-04-29 00:00:00+05:30,82.2,85.35,81.35,82.25,1454277
2021-04-30 00:00:00+05:30,81.5,82.7,80.0,80.35,682802
2021-05-03 00:00:00+05:30,80.0,80.9,79.1,79.4,609332
2021-05-04 00:00:00+05:30,80.5,82.9,80.1,81.1,916033
2021-05-05 00:00:00+05:30,82.7,82.85,78.5,80.55,933117
2021-05-06 00:00:00+05:30,81.7,84.9,80.6,82.4,4205545
2021-05-07 00:00:00+05:30,82.85,83.5,80.15,81.1,1393946
2021-05-10 00:00:00+05:30,81.85,82.45,80.4,80.85,998522
2021-05-11 00:00:00+05:30,80.0,81.8,80.0,80.8,953673
2021-05-12 00:00:00+05:30,81.0,81.6,80.1,80.45,771464
2021-05-14 00:00:00+05:30,80.85,81.25,79.0,79.3,661551
2021-05-17 00:00:00+05:30,80.45,80.8,79.5,79.8,786492
2021-05-18 00:00:00+05:30,80.0,81.25,79.8,80.2,1141598
2021-05-19 00:00:00+05:30,80.2,80.6,79.5,80.05,902447
2021-05-20 00:00:00+05:30,80.05,80.45,79.35,79.85,717426
2021-05-21 00:00:00+05:30,80.3,85.9,79.75,84.35,5379644
2021-05-24 00:00:00+05:30,85.25,85.3,83.35,83.85,1549086
2021-05-25 00:00:00+05:30,84.45,84.55,81.3,82.0,1323371
2021-05-26 00:00:00+05:30,82.3,86.8,81.75,85.25,3609107
2021-05-27 00:00:00+05:30,85.65,87.95,84.3,87.5,2501903
2021-05-28 00:00:00+05:30,88.2,90.75,87.55,87.95,6675972
2021-05-31 00:00:00+05:30,88.9,89.5,86.5,88.05,883397
2021-06-01 00:00:00+05:30,88.7,88.7,85.0,85.55,885171
2021-06-02 00:00:00+05:30,86.0,86.8,85.3,86.35,666376
2021-06-03 00:00:00+05:30,87.0,89.45,86.75,87.5,1380792
2021-06-04 00:00:00+05:30,88.2,93.45,87.0,92.5,6383712
2021-06-07 00:00:00+05:30,93.0,93.2,90.55,90.85,1849003
2021-06-08 00:00:00+05:30,91.4,96.75,90.1,95.05,6186102
2021-06-09 00:00:00+05:30,95.95,99.35,91.85,92.55,5416786
2021-06-10 00:00:00+05:30,93.95,96.3,93.65,95.1,2051455
2021-06-11 00:00:00+05:30,95.1,96.95,92.1,93.15,1373858
2021-06-14 00:00:00+05:30,93.85,94.7,90.85,93.1,1330552
2021-06-15 00:00:00+05:30,93.7,97.4,93.45,96.35,3197393
2021-06-16 00:00:00+05:30,96.95,96.95,94.0,94.35,953517
2021-06-17 00:00:00+05:30,93.75,97.85,92.9,96.1,3672493
2021-06-18 00:00:00+05:30,96.75,99.6,93.5,94.15,5917935
2021-06-21 00:00:00+05:30,93.15,95.0,91.85,93.0,1195504
2021-06-22 00:00:00+05:30,93.2,95.4,93.2,94.25,1203036
2021-06-23 00:00:00+05:30,94.95,94.95,91.35,91.9,993288
2021-06-24 00:00:00+05:30,92.1,93.4,91.2,91.85,467239
2021-06-25 00:00:00+05:30,92.4,93.25,90.5,91.3,807601
2021-06-28 00:00:00+05:30,91.95,92.55,90.9,91.5,437984
2021-06-29 00:00:00+05:30,91.55,92.35,88.9,89.35,832208
