date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,147.2,149.9,146.35,147.05,337752
2021-01-04 00:00:00+05:30,147.1,149.55,145.0,147.65,380906
2021-01-05 00:00:00+05:30,147.0,150.8,146.05,149.8,878827
2021-01-06 00:00:00+05:30,149.95,151.5,146.6,147.4,322999
2021-01-07 00:00:00+05:30,148.15,149.4,146.0,146.65,265352
2021-01-08 00:00:00+05:30,149.3,151.0,148.15,149.3,742480
2021-01-11 00:00:00+05:30,151.0,152.0,149.3,149.7,372857
2021-01-12 00:00:00+05:30,152.4,156.5,150.2,153.65,2018273
2021-01-13 00:00:00+05:30,157.0,160.9,155.0,159.15,2105202
2021-01-14 00:00:00+05:30,160.5,162.9,159.2,161.8,1136091
2021-01-15 00:00:00+05:30,162.05,162.65,157.2,159.95,538739
2021-01-18 00:00:00+05:30,160.0,161.0,155.1,156.15,804870
2021-01-19 00:00:00+05:30,157.1,159.0,156.4,156.75,166279
2021-01-20 00:00:00+05:30,156.1,160.75,155.5,156.05,381466
2021-01-21 00:00:00+05:30,157.5,158.95,156.5,158.3,303859
2021-01-22 00:00:00+05:30,158.8,162.0,155.2,161.0,480947
2021-01-25 00:00:00+05:30,162.45,162.8,153.0,158.55,545032
2021-01-27 00:00:00+05:30,156.25,159.4,150.2,152.05,1210000
2021-01-28 00:00:00+05:30,152.05,158.25,151.1,157.5,1031545
2021-01-29 00:00:00+05:30,158.9,166.0,158.0,162.1,1898309
2021-02-01 00:00:00+05:30,162.95,163.95,157.45,162.6,619475
2021-02-02 00:00:00+05:30,166.0,166.0,160.05,160.45,716025
2021-02-03 00:00:00+05:30,161.5,161.6,154.0,155.45,938310
2021-02-04 00:00:00+05:30,155.9,161.35,155.9,157.6,705398
2021-02-05 00:00:00+05:30,158.3,159.5,153.35,155.6,397283
2021-02-08 00:00:00+05:30,156.55,157.9,154.05,154.55,269957
2021-02-09 00:00:00+05:30,154.6,157.15,152.7,153.3,238890
2021-02-10 00:00:00+05:30,153.75,155.85,152.5,153.3,252229
2021-02-11 00:00:00+05:30,152.85,154.8,152.0,153.6,401797
2021-02-12 00:00:00+05:30,153.75,154.25,151.3,152.0,205772
2021-02-15 00:00:00+05:30,152.8,153.0,151.25,151.95,419608
2021-02-16 00:00:00+05:30,152.25,152.75,151.0,151.95,625932
2021-02-17 00:00:00+05:30,152.0,153.7,151.15,152.0,483399
2021-02-18 00:00:00+05:30,152.8,153.5,149.65,152.0,628232
2021-02-19 00:00:00+05:30,151.95,152.75,148.5,149.55,937700
2021-02-22 00:00:00+05:30,149.5,150.5,145.0,147.25,276208
2021-02-23 00:00:00+05:30,147.3,148.55,146.0,146.45,135443
2021-02-24 00:00:00+05:30,148.05,153.1,145.55,148.6,281152
2021-02-25 00:00:00+05:30,150.95,150.95,148.5,148.95,669221
2021-02-26 00:00:00+05:30,148.0,149.9,144.0,148.85,351639
2021-03-01 00:00:00+05:30,148.15,150.9,147.1,147.9,250832
2021-03-02 00:00:00+05:30,148.25,154.5,148.25,151.2,979586
2021-03-03 00:00:00+05:30,152.0,154.0,149.5,149.75,447444
2021-03-04 00:00:00+05:30,151.0,151.45,148.1,148.4,347140
2021-03-05 00:00:00+05:30,148.4,151.2,147.55,148.05,211397
2021-03-08 00:00:00+05:30,148.75,149.5,147.1,147.55,270834
2021-03-09 00:00:00+05:30,148.5,149.65,146.7,147.55,396720
2021-03-10 00:00:00+05:30,148.55,150.85,147.65,148.65,788958
2021-03-12 00:00:00+05:30,149.05,149.85,148.15,148.8,278172
2021-03-15 00:00:00+05:30,148.8,149.9,146.3,147.1,265027
2021-03-16 00:00:00+05:30,147.85,148.25,146.1,146.7,101814
2021-03-17 00:00:00+05:30,146.65,150.5,146.0,146.9,507067
2021-03-18 00:00:00+05:30,149.05,149.7,144.05,145.6,228132
2021-03-19 00:00:00+05:30,144.9,145.05,141.0,143.65,176812
2021-03-22 00:00:00+05:30,144.65,145.75,142.05,142.5,482413
2021-03-23 00:00:00+05:30,142.9,144.2,142.3,142.55,134506
2021-03-24 00:00:00+05:30,143.0,143.0,139.65,140.15,212101
2021-03-25 00:00:00+05:30,140.05,140.85,137.8,138.25,179243
2021-03-26 00:00:00+05:30,139.05,140.75,137.5,137.65,202979
2021-03-30 00:00:00+05:30,138.2,141.7,136.8,137.0,249978
2021-03-31 00:00:00+05:30,137.95,137.95,136.0,136.8,274391
2021-04-01 00:00:00+05:30,137.5,145.0,137.35,144.2,399086
2021-04-05 00:00:00+05:30,145.65,146.0,141.0,143.1,345342
2021-04-06 00:00:00+05:30,142.25,143.9,141.0,142.2,144339
2021-04-07 00:00:00+05:30,142.6,143.4,142.0,142.6,99308
2021-04-08 00:00:00+05:30,142.9,149.35,142.9,145.9,522414
2021-04-09 00:00:00+05:30,146.0,148.6,145.7,146.75,293189
2021-04-12 00:00:00+05:30,142.0,144.55,140.0,140.5,272883
2021-04-13 00:00:00+05:30,140.5,145.0,139.2,143.75,119349
2021-04-15 00:00:00+05:30,145.0,145.0,138.25,140.5,201044
2021-04-16 00:00:00+05:30,139.0,141.2,138.35,139.3,240671
2021-04-19 00:00:00+05:30,139.3,141.8,136.45,140.9,389471
2021-04-20 00:00:00+05:30,141.65,144.2,140.35,142.15,345690
2021-04-22 00:00:00+05:30,140.5,142.65,140.5,141.95,283655
2021-04-23 00:00:00+05:30,142.55,150.9,142.15,149.5,1648357
2021-04-26 00:00:00+05:30,153.4,153.4,146.55,149.5,1641265
2021-04-27 00:00:00+05:30,152.3,156.8,148.0,151.1,5692407
2021-04-28 00:00:00+05:30,152.95,153.65,149.4,150.4,822507
2021-04-29 00:00:00+05:30,151.5,151.5,147.6,148.4,443546
2021-04-30 00:00:00+05:30,148.0,149.5,145.5,146.25,657849
2021-05-03 00:00:00+05:30,144.95,147.0,143.35,144.3,277810
2021-05-04 00:00:00+05:30,145.4,146.85,141.75,142.2,285235
2021-05-05 00:00:00+05:30,142.55,143.7,141.25,141.85,292232
2021-05-06 00:00:00+05:30,142.35,143.85,142.1,143.05,206108
2021-05-07 00:00:00+05:30,143.65,148.95,143.05,147.05,598485
2021-05-10 00:00:00+05:30,148.65,149.5,143.5,144.65,743545
2021-05-11 00:00:00+05:30,145.4,147.8,144.65,146.4,427604
2021-05-12 00:00:00+05:30,146.9,148.5,146.2,147.1,427573
2021-05-14 00:00:00+05:30,147.9,149.75,144.5,148.0,506396
2021-05-17 00:00:00+05:30,149.4,150.95,148.0,149.2,633538
2021-05-18 00:00:00+05:30,149.75,154.0,143.05,150.85,3369309
2021-05-19 00:00:00+05:30,148.45,150.85,144.0,144.45,3551900
