date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,244.95,246.9,241.8,244.45,60134
2021-01-04 00:00:00+05:30,245.95,247.0,241.0,244.3,76834
2021-01-05 00:00:00+05:30,240.3,256.95,237.55,253.9,339196
2021-01-06 00:00:00+05:30,253.75,270.0,252.05,257.8,789564
2021-01-07 00:00:00+05:30,274.0,283.95,261.35,274.35,822046
2021-01-08 00:00:00+05:30,277.0,285.6,270.25,274.55,328309
2021-01-11 00:00:00+05:30,274.0,278.9,257.5,268.7,339554
2021-01-12 00:00:00+05:30,267.0,275.9,262.6,264.65,216637
2021-01-13 00:00:00+05:30,265.6,269.2,250.7,255.25,404957
2021-01-14 00:00:00+05:30,256.0,258.75,252.05,256.9,93728
2021-01-15 00:00:00+05:30,256.35,257.35,248.1,250.15,176034
2021-01-18 00:00:00+05:30,249.0,251.95,240.8,244.35,92542
2021-01-19 00:00:00+05:30,244.2,258.0,242.35,247.35,369323
2021-01-20 00:00:00+05:30,248.0,250.8,245.35,247.75,80778
2021-01-21 00:00:00+05:30,249.4,255.9,239.7,241.45,110657
2021-01-22 00:00:00+05:30,241.85,246.0,228.3,241.7,170563
2021-01-25 00:00:00+05:30,246.7,246.7,230.25,240.65,80811
2021-01-27 00:00:00+05:30,242.0,242.2,235.05,240.2,51860
2021-01-28 00:00:00+05:30,226.15,245.0,226.15,241.5,102585
2021-01-29 00:00:00+05:30,243.0,245.5,237.0,240.2,61869
2021-02-01 00:00:00+05:30,241.35,257.9,238.25,255.4,443733
2021-02-02 00:00:00+05:30,257.2,274.9,255.4,263.2,1124784
2021-02-03 00:00:00+05:30,264.3,264.95,257.05,258.85,199882
2021-02-04 00:00:00+05:30,259.0,277.9,257.25,274.95,751803
2021-02-05 00:00:00+05:30,277.0,281.95,263.75,270.4,1301289
2021-02-08 00:00:00+05:30,268.8,272.7,261.5,263.95,246548
2021-02-09 00:00:00+05:30,263.0,267.3,256.85,259.95,103340
2021-02-10 00:00:00+05:30,261.0,261.65,252.4,254.15,123290
2021-02-11 00:00:00+05:30,255.5,260.75,251.1,252.5,114473
2021-02-12 00:00:00+05:30,254.0,256.25,246.2,247.05,81469
2021-02-15 00:00:00+05:30,249.9,257.8,240.0,246.15,273537
2021-02-16 00:00:00+05:30,247.35,254.45,246.4,250.1,178025
2021-02-17 00:00:00+05:30,249.3,257.5,247.85,251.85,264219
2021-02-18 00:00:00+05:30,253.0,254.1,248.0,249.55,70267
2021-02-19 00:00:00+05:30,249.65,252.5,242.2,243.55,103067
2021-02-22 00:00:00+05:30,244.5,244.75,236.5,237.2,55091
2021-02-23 00:00:00+05:30,238.35,250.0,237.3,245.25,142540
2021-02-24 00:00:00+05:30,244.7,248.7,235.0,246.0,49581
2021-02-25 00:00:00+05:30,247.0,248.9,244.9,246.05,51776
2021-02-26 00:00:00+05:30,245.0,245.6,241.0,242.65,46664
2021-03-01 00:00:00+05:30,243.9,247.0,240.65,244.05,60196
2021-03-02 00:00:00+05:30,246.0,251.7,242.0,247.85,116155
2021-03-03 00:00:00+05:30,255.0,257.6,251.5,253.55,341867
2021-03-04 00:00:00+05:30,252.4,255.0,246.0,248.9,74240
2021-03-05 00:00:00+05:30,249.8,251.95,241.5,242.9,62145
2021-03-08 00:00:00+05:30,244.0,250.3,235.0,240.5,155992
2021-03-09 00:00:00+05:30,242.7,243.8,237.15,238.85,56563
2021-03-10 00:00:00+05:30,240.0,248.0,239.15,245.6,103110
2021-03-12 00:00:00+05:30,245.2,262.7,241.6,244.35,101712
2021-03-15 00:00:00+05:30,245.45,248.15,237.55,244.4,65646
2021-03-16 00:00:00+05:30,243.1,246.3,237.5,239.35,39178
2021-03-17 00:00:00+05:30,240.35,243.55,232.5,235.0,32806
