date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,175.2,176.4,174.0,174.6,83270
2021-01-04 00:00:00+05:30,176.0,176.8,173.8,175.0,141660
2021-01-05 00:00:00+05:30,175.05,175.8,174.35,174.9,108275
2021-01-06 00:00:00+05:30,175.45,176.0,169.75,173.25,302535
2021-01-07 00:00:00+05:30,173.35,185.9,173.35,185.05,1014910
2021-01-08 00:00:00+05:30,186.0,196.0,186.0,191.55,1031955
2021-01-11 00:00:00+05:30,195.2,200.0,191.0,191.2,438335
2021-01-12 00:00:00+05:30,192.75,195.0,189.8,190.9,140470
2021-01-13 00:00:00+05:30,192.0,194.2,189.25,192.95,181060
2021-01-14 00:00:00+05:30,193.6,194.0,189.0,189.5,87050
2021-01-15 00:00:00+05:30,189.0,189.6,185.2,186.1,121330
2021-01-18 00:00:00+05:30,185.0,185.0,177.0,178.1,189700
2021-01-19 00:00:00+05:30,181.0,183.6,178.35,180.25,90405
2021-01-20 00:00:00+05:30,180.55,181.75,178.0,178.8,63910
2021-01-21 00:00:00+05:30,181.8,181.8,175.4,178.6,204115
2021-01-22 00:00:00+05:30,179.5,181.6,177.0,179.85,113100
2021-01-25 00:00:00+05:30,181.6,182.8,177.85,181.2,215935
2021-01-27 00:00:00+05:30,182.1,182.8,178.2,180.15,258850
2021-01-28 00:00:00+05:30,180.0,189.4,180.0,185.9,499420
2021-01-29 00:00:00+05:30,188.0,190.0,181.6,182.95,357110
2021-02-01 00:00:00+05:30,182.95,190.0,179.75,186.3,236095
2021-02-02 00:00:00+05:30,189.95,189.95,185.8,186.55,279840
2021-02-03 00:00:00+05:30,188.0,190.75,182.0,186.75,1307305
2021-02-04 00:00:00+05:30,187.0,189.6,183.5,184.85,208135
2021-02-05 00:00:00+05:30,186.2,187.7,182.8,184.3,211645
2021-02-08 00:00:00+05:30,186.2,188.6,186.0,186.45,185825
2021-02-09 00:00:00+05:30,188.8,189.4,186.6,187.6,152860
2021-02-10 00:00:00+05:30,186.2,189.6,186.05,187.3,98440
2021-02-11 00:00:00+05:30,188.0,188.1,186.0,186.45,69525
2021-02-12 00:00:00+05:30,185.6,188.05,181.25,183.7,122260
2021-02-15 00:00:00+05:30,185.35,186.5,183.2,184.05,53430
2021-02-16 00:00:00+05:30,184.05,187.3,182.0,184.5,82445
2021-02-17 00:00:00+05:30,185.2,185.2,179.6,180.4,197905
2021-02-18 00:00:00+05:30,181.95,189.4,180.4,188.0,395465
2021-02-19 00:00:00+05:30,187.9,189.0,183.1,184.15,158910
