date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,143.55,145.3,141.4,142.25,149870
2021-01-04 00:00:00+05:30,142.95,145.1,140.0,140.5,605264
2021-01-05 00:00:00+05:30,140.45,142.0,139.65,141.7,104913
2021-01-06 00:00:00+05:30,142.45,147.95,142.0,144.75,383781
2021-01-07 00:00:00+05:30,144.85,146.35,142.0,142.8,95415
2021-01-08 00:00:00+05:30,143.35,145.25,140.85,141.6,101394
2021-01-11 00:00:00+05:30,142.0,144.65,141.4,142.45,92291
2021-01-12 00:00:00+05:30,142.45,145.25,141.65,142.6,90557
2021-01-13 00:00:00+05:30,142.6,148.15,142.6,144.4,300159
2021-01-14 00:00:00+05:30,145.1,145.15,143.35,143.9,55715
2021-01-15 00:00:00+05:30,143.85,144.5,141.4,143.35,92009
2021-01-18 00:00:00+05:30,143.35,144.65,142.25,143.05,106344
2021-01-19 00:00:00+05:30,145.65,145.65,142.85,143.15,68379
2021-01-20 00:00:00+05:30,143.85,144.85,143.35,143.65,52160
2021-01-21 00:00:00+05:30,145.35,145.95,143.35,143.95,109469
2021-01-22 00:00:00+05:30,143.95,145.8,143.0,143.25,144326
2021-01-25 00:00:00+05:30,144.0,153.35,143.45,148.1,723530
2021-01-27 00:00:00+05:30,153.35,153.35,136.65,138.35,582372
2021-01-28 00:00:00+05:30,137.35,153.3,134.25,150.65,615941
2021-01-29 00:00:00+05:30,149.15,152.65,141.6,148.55,175305
2021-02-01 00:00:00+05:30,149.35,155.15,145.6,151.05,251133
2021-02-02 00:00:00+05:30,151.8,161.35,151.2,159.4,443429
2021-02-03 00:00:00+05:30,160.0,166.35,160.0,162.15,301058
2021-02-04 00:00:00+05:30,162.65,165.25,154.95,157.75,193758
2021-02-05 00:00:00+05:30,157.75,161.25,156.0,157.15,100067
2021-02-08 00:00:00+05:30,159.55,159.55,156.65,158.15,63692
2021-02-09 00:00:00+05:30,160.0,160.0,154.65,155.4,76925
2021-02-10 00:00:00+05:30,154.65,156.65,154.15,154.7,66290
2021-02-11 00:00:00+05:30,155.5,158.0,154.75,155.25,56712
2021-02-12 00:00:00+05:30,155.85,160.0,155.85,158.15,158246
2021-02-15 00:00:00+05:30,158.95,159.4,155.35,155.8,63990
2021-02-16 00:00:00+05:30,156.15,157.15,153.35,154.35,70148
2021-02-17 00:00:00+05:30,155.0,155.0,148.0,149.35,118631
2021-02-18 00:00:00+05:30,153.0,160.0,146.65,155.75,178410
2021-02-19 00:00:00+05:30,156.6,158.65,150.65,151.85,180689
2021-02-22 00:00:00+05:30,153.15,153.25,148.0,149.15,67983
2021-02-23 00:00:00+05:30,149.15,153.3,148.95,152.75,49635
2021-02-24 00:00:00+05:30,152.55,163.35,152.55,154.05,41424
2021-02-25 00:00:00+05:30,154.65,155.75,150.35,151.7,65408
2021-02-26 00:00:00+05:30,151.7,155.55,148.65,150.75,93528
2021-03-01 00:00:00+05:30,150.75,154.0,150.2,153.25,31968
2021-03-02 00:00:00+05:30,153.35,156.0,153.2,154.3,49953
2021-03-03 00:00:00+05:30,156.0,156.65,154.4,154.85,55707
2021-03-04 00:00:00+05:30,156.6,159.85,155.0,157.45,119526
2021-03-05 00:00:00+05:30,159.95,159.95,154.0,155.5,59774
2021-03-08 00:00:00+05:30,158.6,159.85,152.65,153.65,97713
2021-03-09 00:00:00+05:30,155.35,156.4,152.3,152.75,58920
2021-03-10 00:00:00+05:30,153.6,154.5,151.95,152.8,35990
2021-03-12 00:00:00+05:30,152.8,154.65,151.65,152.75,64070
2021-03-15 00:00:00+05:30,154.65,155.4,150.05,150.95,51764
2021-03-16 00:00:00+05:30,151.75,151.75,144.95,147.5,82788
2021-03-17 00:00:00+05:30,148.25,148.65,144.95,145.35,36240
2021-03-18 00:00:00+05:30,146.1,147.65,143.35,143.85,57020
2021-03-19 00:00:00+05:30,140.35,146.2,135.5,145.35,123120
2021-03-22 00:00:00+05:30,146.05,146.05,140.75,142.65,60027
2021-03-23 00:00:00+05:30,143.4,146.0,142.05,143.85,31286
2021-03-24 00:00:00+05:30,144.0,149.8,144.0,145.5,238628
2021-03-25 00:00:00+05:30,145.55,145.6,139.05,140.0,47241
2021-03-26 00:00:00+05:30,140.7,144.6,140.15,141.45,39866
2021-03-30 00:00:00+05:30,142.0,142.55,136.75,137.8,115376
2021-03-31 00:00:00+05:30,137.35,143.35,135.75,140.25,109311
2021-04-01 00:00:00+05:30,140.25,149.7,140.25,148.85,107471
2021-04-05 00:00:00+05:30,148.65,155.15,140.4,152.05,220940
2021-04-06 00:00:00+05:30,152.35,152.35,148.65,148.95,61769
2021-04-07 00:00:00+05:30,148.65,150.4,148.0,148.25,38420
2021-04-08 00:00:00+05:30,147.5,148.95,143.35,143.9,257123
2021-04-09 00:00:00+05:30,142.65,145.35,140.0,142.75,190913
2021-04-12 00:00:00+05:30,136.7,142.65,135.0,136.25,138090
2021-04-13 00:00:00+05:30,136.95,138.6,133.2,133.85,125474
2021-04-15 00:00:00+05:30,131.1,133.2,130.25,132.25,109248
2021-04-16 00:00:00+05:30,132.25,134.45,130.55,132.65,104286
2021-04-19 00:00:00+05:30,132.0,133.25,128.75,131.75,137609
2021-04-20 00:00:00+05:30,132.45,136.6,130.65,132.0,53222
2021-04-22 00:00:00+05:30,133.35,135.75,132.0,133.95,136922
2021-04-23 00:00:00+05:30,134.25,135.95,132.65,135.05,69929
2021-04-26 00:00:00+05:30,136.35,142.95,133.75,142.05,83393
2021-04-27 00:00:00+05:30,142.65,144.25,139.35,143.1,79017
2021-04-28 00:00:00+05:30,143.8,144.0,140.65,143.1,77393
2021-04-29 00:00:00+05:30,142.25,143.85,140.35,140.65,29126
2021-04-30 00:00:00+05:30,140.05,141.25,138.95,140.45,46250
2021-05-03 00:00:00+05:30,138.0,148.1,135.55,139.5,747215
2021-05-04 00:00:00+05:30,139.45,144.0,139.05,139.65,156680
2021-05-05 00:00:00+05:30,142.0,142.0,138.35,139.95,54611
2021-05-06 00:00:00+05:30,139.95,141.3,138.65,139.6,56807
2021-05-07 00:00:00+05:30,141.65,141.65,138.65,139.35,72945
2021-05-10 00:00:00+05:30,138.85,142.0,138.2,138.45,102098
2021-05-11 00:00:00+05:30,139.35,146.65,139.1,143.25,247910
2021-05-12 00:00:00+05:30,144.0,147.15,140.15,141.35,161457
2021-05-14 00:00:00+05:30,144.65,144.65,140.25,140.65,76598
2021-05-17 00:00:00+05:30,143.35,143.35,138.85,139.8,162449
2021-05-18 00:00:00+05:30,141.95,147.3,141.35,142.05,612795
2021-05-19 00:00:00+05:30,143.3,145.6,142.55,144.6,288881
2021-05-20 00:00:00+05:30,145.9,148.0,143.65,144.65,319736
2021-05-21 00:00:00+05:30,148.65,148.65,144.05,144.6,316308
2021-05-24 00:00:00+05:30,147.65,152.95,145.75,146.5,740114
2021-05-25 00:00:00+05:30,148.45,159.35,146.75,155.95,1639734
2021-05-26 00:00:00+05:30,159.25,187.1,158.65,178.45,11884371
2021-05-27 00:00:00+05:30,179.35,182.85,168.15,171.25,2942507
2021-05-28 00:00:00+05:30,173.25,175.75,168.65,172.05,1099010
2021-05-31 00:00:00+05:30,175.35,178.65,169.4,173.65,1362726
2021-06-01 00:00:00+05:30,175.2,176.6,165.7,166.75,756138
2021-06-02 00:00:00+05:30,167.65,177.6,165.5,174.05,997106
2021-06-03 00:00:00+05:30,174.05,177.3,168.9,171.9,858228
2021-06-04 00:00:00+05:30,172.85,181.35,171.65,174.1,2464815
2021-06-07 00:00:00+05:30,175.75,177.55,170.9,172.2,697152
2021-06-08 00:00:00+05:30,173.95,176.45,170.35,175.15,852920
2021-06-09 00:00:00+05:30,175.15,177.5,164.45,167.1,1286844
2021-06-10 00:00:00+05:30,170.65,173.35,169.55,170.65,659636
2021-06-11 00:00:00+05:30,172.25,173.35,170.1,170.8,640373
2021-06-14 00:00:00+05:30,170.8,172.35,166.1,171.4,662483
2021-06-15 00:00:00+05:30,172.85,182.8,171.4,178.45,3533445
2021-06-16 00:00:00+05:30,180.0,180.05,173.55,174.25,851978
2021-06-17 00:00:00+05:30,173.65,174.7,168.3,168.8,704313
2021-06-18 00:00:00+05:30,170.25,171.0,161.35,166.75,517451
2021-06-21 00:00:00+05:30,164.0,173.25,162.65,172.7,751445
2021-06-22 00:00:00+05:30,173.35,175.25,168.15,168.85,825974
2021-06-23 00:00:00+05:30,170.15,170.75,164.85,165.7,405174
2021-06-24 00:00:00+05:30,167.2,169.35,166.25,168.2,247775
2021-06-25 00:00:00+05:30,169.0,170.3,167.05,168.4,187734
2021-06-28 00:00:00+05:30,168.4,171.95,168.05,169.95,253866
2021-06-29 00:00:00+05:30,173.2,176.0,168.65,169.15,924728
2021-06-30 00:00:00+05:30,170.0,171.0,165.85,166.7,391542
2021-07-01 00:00:00+05:30,167.95,168.25,165.45,166.35,189458
2021-07-02 00:00:00+05:30,166.35,175.35,166.25,172.85,761889
2021-07-05 00:00:00+05:30,176.05,191.35,173.45,188.95,5962176
2021-07-06 00:00:00+05:30,191.35,206.0,188.35,189.75,8445866
2021-07-07 00:00:00+05:30,191.35,205.35,190.65,202.85,4866128
2021-07-08 00:00:00+05:30,203.6,203.6,193.4,197.1,1703051
2021-07-09 00:00:00+05:30,196.65,197.45,192.45,195.45,603129
2021-07-12 00:00:00+05:30,196.75,203.75,195.65,197.75,1485984
2021-07-13 00:00:00+05:30,199.55,224.65,199.2,218.45,7212101
2021-07-14 00:00:00+05:30,220.0,225.75,218.1,223.6,3621033
2021-07-15 00:00:00+05:30,222.4,222.9,210.15,213.25,1344611
2021-07-16 00:00:00+05:30,213.35,220.0,212.05,216.4,1157357
2021-07-19 00:00:00+05:30,212.65,213.55,204.4,209.05,749717
2021-07-20 00:00:00+05:30,207.35,209.8,198.85,203.05,706545
2021-07-22 00:00:00+05:30,204.95,209.3,204.05,206.75,385598
2021-07-23 00:00:00+05:30,206.7,225.95,201.8,216.2,4763885
2021-07-26 00:00:00+05:30,216.65,219.95,210.0,212.6,881231
2021-07-27 00:00:00+05:30,213.65,217.45,206.45,208.5,571157
2021-07-28 00:00:00+05:30,209.35,216.65,201.75,213.05,750158
