date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,34.91,35.5,34.67,35.21,1346047
2021-01-04 00:00:00+05:30,35.55,36.14,35.26,35.55,1743156
2021-01-05 00:00:00+05:30,35.55,39.66,34.96,38.68,18603395
2021-01-06 00:00:00+05:30,39.03,39.47,37.56,38.44,6525603
2021-01-07 00:00:00+05:30,38.88,39.17,37.8,37.95,1742358
2021-01-08 00:00:00+05:30,38.29,38.63,37.31,37.9,2079836
2021-01-11 00:00:00+05:30,38.15,40.35,37.51,40.01,11716391
2021-01-12 00:00:00+05:30,40.35,40.5,39.47,39.66,5825264
2021-01-13 00:00:00+05:30,39.57,42.41,39.27,39.91,11995094
2021-01-14 00:00:00+05:30,40.05,40.79,39.47,39.96,2824665
2021-01-15 00:00:00+05:30,39.86,40.1,38.49,38.68,1920132
2021-01-18 00:00:00+05:30,38.68,38.73,36.77,37.46,1849879
2021-01-19 00:00:00+05:30,37.61,39.96,37.61,39.27,1724678
2021-01-20 00:00:00+05:30,39.32,39.61,38.49,38.68,1845721
2021-01-21 00:00:00+05:30,38.98,39.47,37.36,37.51,1390302
2021-01-22 00:00:00+05:30,37.7,37.95,36.87,37.31,972713
2021-01-25 00:00:00+05:30,37.61,38.39,36.14,36.33,1216948
2021-01-27 00:00:00+05:30,36.04,36.04,33.84,34.33,1314166
2021-01-28 00:00:00+05:30,33.89,37.56,33.59,36.97,2111802
2021-01-29 00:00:00+05:30,37.36,37.7,34.57,35.16,1233055
2021-02-01 00:00:00+05:30,35.89,35.89,34.28,34.77,1826666
2021-02-02 00:00:00+05:30,34.08,34.42,33.1,33.4,4281950
2021-02-03 00:00:00+05:30,33.69,34.08,33.4,33.93,1888704
2021-02-04 00:00:00+05:30,33.84,35.6,33.69,35.35,2888362
2021-02-05 00:00:00+05:30,35.7,35.7,34.37,34.67,1187531
2021-02-08 00:00:00+05:30,34.91,35.4,34.13,34.28,1604349
2021-02-09 00:00:00+05:30,34.57,35.35,34.33,34.52,1288869
2021-02-10 00:00:00+05:30,34.72,35.11,33.89,34.13,1024435
2021-02-11 00:00:00+05:30,34.08,35.06,33.93,34.52,1252384
2021-02-12 00:00:00+05:30,34.37,34.72,33.98,34.08,757009
2021-02-15 00:00:00+05:30,34.62,34.62,33.59,33.69,558920
2021-02-16 00:00:00+05:30,33.98,34.28,33.64,33.79,693104
2021-02-17 00:00:00+05:30,33.84,38.98,33.84,38.05,12221790
2021-02-18 00:00:00+05:30,38.29,39.57,38.0,38.39,5114591
2021-02-19 00:00:00+05:30,38.19,38.39,35.89,36.82,2079962
2021-02-22 00:00:00+05:30,36.82,37.46,35.5,35.99,1190091
2021-02-23 00:00:00+05:30,36.28,38.29,36.28,37.51,3031048
2021-02-24 00:00:00+05:30,37.75,38.39,37.21,37.36,1200847
2021-02-25 00:00:00+05:30,37.7,39.61,37.66,38.39,3998498
2021-02-26 00:00:00+05:30,37.8,41.33,37.41,39.52,10178374
2021-03-01 00:00:00+05:30,40.3,43.87,40.05,42.5,11738101
2021-03-02 00:00:00+05:30,43.09,45.15,42.41,42.75,8317854
2021-03-03 00:00:00+05:30,43.09,43.48,41.77,42.06,4275157
2021-03-04 00:00:00+05:30,41.48,42.6,41.13,41.77,2415131
2021-03-05 00:00:00+05:30,42.6,44.36,40.74,41.52,6097872
2021-03-08 00:00:00+05:30,42.11,44.9,42.11,43.38,11007299
2021-03-09 00:00:00+05:30,43.83,44.02,40.25,41.48,3918577
2021-03-10 00:00:00+05:30,41.77,42.6,41.28,42.16,3240774
