date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,965.0,980.9,961.35,967.3,243829
2021-01-04 00:00:00+05:30,972.0,974.6,961.0,968.8,367721
2021-01-05 00:00:00+05:30,968.8,970.9,960.2,966.45,127821
2021-01-06 00:00:00+05:30,970.0,979.0,936.95,953.05,315429
2021-01-07 00:00:00+05:30,966.5,966.5,931.0,934.55,337497
2021-01-08 00:00:00+05:30,940.4,952.9,932.0,938.3,399488
2021-01-11 00:00:00+05:30,948.3,951.8,926.0,932.15,284731
2021-01-12 00:00:00+05:30,936.75,961.45,932.2,955.7,319682
2021-01-13 00:00:00+05:30,957.0,972.0,935.0,946.5,744466
2021-01-14 00:00:00+05:30,946.5,959.5,935.1,936.9,209489
2021-01-15 00:00:00+05:30,941.5,944.9,903.0,916.6,355432
2021-01-18 00:00:00+05:30,916.6,918.0,886.7,891.25,308537
2021-01-19 00:00:00+05:30,899.0,917.95,895.2,910.55,147706
2021-01-20 00:00:00+05:30,915.0,918.9,902.9,906.0,137210
2021-01-21 00:00:00+05:30,906.0,914.0,894.0,896.75,151788
2021-01-22 00:00:00+05:30,903.95,907.2,882.95,905.1,164070
2021-01-25 00:00:00+05:30,910.0,914.0,884.0,894.45,232043
2021-01-27 00:00:00+05:30,895.1,902.95,882.05,884.5,178033
2021-01-28 00:00:00+05:30,885.0,900.8,864.0,894.35,361342
2021-01-29 00:00:00+05:30,895.6,904.8,882.9,890.25,117665
2021-02-01 00:00:00+05:30,894.6,899.0,865.0,889.5,476314
2021-02-02 00:00:00+05:30,898.0,907.3,882.0,887.05,192797
2021-02-03 00:00:00+05:30,888.0,917.95,888.0,893.25,353992
2021-02-04 00:00:00+05:30,900.3,909.9,890.3,899.2,407377
2021-02-05 00:00:00+05:30,907.0,934.0,898.0,911.15,728820
2021-02-08 00:00:00+05:30,925.0,930.0,906.0,909.1,348231
2021-02-09 00:00:00+05:30,909.0,915.55,897.0,900.75,195941
2021-02-10 00:00:00+05:30,907.95,909.85,878.0,885.85,461312
2021-02-11 00:00:00+05:30,889.9,915.5,858.35,886.25,973523
2021-02-12 00:00:00+05:30,855.0,885.0,850.15,854.0,1172078
