date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,19.47,20.47,19.37,20.17,29538210
2021-01-04 00:00:00+05:30,20.37,20.73,20.0,20.57,21985131
2021-01-05 00:00:00+05:30,20.67,21.97,20.53,21.77,71593038
2021-01-06 00:00:00+05:30,21.97,22.47,21.0,21.6,45921294
2021-01-07 00:00:00+05:30,21.93,22.0,21.43,21.53,18532839
2021-01-08 00:00:00+05:30,21.67,21.93,21.27,21.47,15729513
2021-01-11 00:00:00+05:30,21.63,21.77,20.67,21.4,26480870
2021-01-12 00:00:00+05:30,22.33,22.53,22.07,22.23,51846094
2021-01-13 00:00:00+05:30,22.47,22.8,22.27,22.43,34650387
2021-01-14 00:00:00+05:30,22.63,22.63,22.03,22.33,16693708
2021-01-15 00:00:00+05:30,22.2,22.4,21.77,22.03,18408351
2021-01-18 00:00:00+05:30,22.03,22.13,21.33,21.43,16565841
2021-01-19 00:00:00+05:30,21.43,21.83,21.43,21.67,11336522
2021-01-20 00:00:00+05:30,21.7,21.9,21.57,21.63,8527066
2021-01-21 00:00:00+05:30,21.8,21.93,21.6,21.67,15345837
2021-01-22 00:00:00+05:30,21.63,21.73,20.7,20.97,14119653
2021-01-25 00:00:00+05:30,21.1,21.4,20.33,20.5,12239532
2021-01-27 00:00:00+05:30,20.37,20.43,19.93,20.17,10292097
2021-01-28 00:00:00+05:30,19.77,20.33,19.73,20.13,9244876
2021-01-29 00:00:00+05:30,20.47,21.13,20.43,20.8,14419900
2021-02-01 00:00:00+05:30,21.27,21.43,20.67,21.2,19937540
2021-02-02 00:00:00+05:30,21.5,22.53,21.3,21.57,22514806
2021-02-03 00:00:00+05:30,21.7,22.2,21.07,21.47,16265811
2021-02-04 00:00:00+05:30,21.47,22.2,21.27,21.77,16754236
2021-02-05 00:00:00+05:30,21.97,22.0,21.27,21.37,13433186
2021-02-08 00:00:00+05:30,21.67,22.1,21.47,21.73,22216822
2021-02-09 00:00:00+05:30,21.77,22.5,21.4,21.87,36392028
2021-02-10 00:00:00+05:30,21.97,22.07,21.37,21.7,15000040
2021-02-11 00:00:00+05:30,22.33,22.93,22.13,22.4,45065223
2021-02-12 00:00:00+05:30,22.5,22.53,21.67,21.77,15038428
2021-02-15 00:00:00+05:30,21.87,21.9,21.4,21.47,7798148
2021-02-16 00:00:00+05:30,21.53,21.8,21.2,21.6,10108464
2021-02-17 00:00:00+05:30,21.67,21.73,21.43,21.5,8828538
2021-02-18 00:00:00+05:30,21.6,25.13,21.5,24.43,153550602
2021-02-19 00:00:00+05:30,24.67,26.3,24.07,25.1,102834942
2021-02-22 00:00:00+05:30,25.2,25.77,23.73,24.2,38590216
2021-02-23 00:00:00+05:30,24.37,24.97,23.7,24.43,20669230
2021-02-24 00:00:00+05:30,24.67,26.6,24.4,26.1,40418272
2021-02-25 00:00:00+05:30,26.73,28.6,26.73,28.23,76557963
2021-02-26 00:00:00+05:30,27.33,29.3,27.0,28.57,64941165
2021-03-01 00:00:00+05:30,29.1,34.27,29.07,32.67,162465760
2021-03-02 00:00:00+05:30,33.33,36.03,33.2,34.87,99972512
2021-03-03 00:00:00+05:30,35.6,35.93,32.93,33.6,41534798
2021-03-04 00:00:00+05:30,33.17,35.23,32.4,34.63,46918419
2021-03-05 00:00:00+05:30,34.53,35.33,33.2,33.9,27657212
