date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,37.8,38.35,37.4,37.8,744348
2021-01-04 00:00:00+05:30,37.9,38.35,37.5,37.9,881425
2021-01-05 00:00:00+05:30,42.7,42.7,40.05,40.45,10049716
2021-01-06 00:00:00+05:30,40.65,40.85,39.25,39.45,1888500
2021-01-07 00:00:00+05:30,40.0,40.35,39.5,39.65,816433
2021-01-08 00:00:00+05:30,40.6,42.2,40.35,41.15,7662455
2021-01-11 00:00:00+05:30,41.7,48.0,41.1,45.0,10843587
2021-01-12 00:00:00+05:30,47.45,47.75,45.2,45.6,7564965
2021-01-13 00:00:00+05:30,45.35,45.35,43.1,43.85,2759289
2021-01-14 00:00:00+05:30,43.75,44.7,42.1,42.5,2564788
2021-01-15 00:00:00+05:30,42.15,42.9,41.75,42.1,1118383
2021-01-18 00:00:00+05:30,42.4,42.85,41.5,42.1,1323350
2021-01-19 00:00:00+05:30,42.6,43.0,42.2,42.3,610997
2021-01-20 00:00:00+05:30,42.3,42.45,41.05,41.5,687362
2021-01-21 00:00:00+05:30,41.7,44.55,41.5,42.75,4545355
2021-01-22 00:00:00+05:30,42.7,43.35,41.95,42.15,1205133
2021-01-25 00:00:00+05:30,42.3,42.55,39.35,40.25,1053464
2021-01-27 00:00:00+05:30,40.0,40.0,38.95,39.3,797620
2021-01-28 00:00:00+05:30,38.95,43.8,38.5,43.15,7600081
2021-01-29 00:00:00+05:30,43.8,43.8,41.9,42.1,1492361
2021-02-01 00:00:00+05:30,42.7,43.2,40.25,40.85,2724077
2021-02-02 00:00:00+05:30,42.45,42.8,41.0,41.65,1613725
2021-02-03 00:00:00+05:30,41.85,41.9,41.05,41.2,869858
2021-02-04 00:00:00+05:30,41.0,41.95,40.85,41.4,969369
2021-02-05 00:00:00+05:30,41.65,42.15,41.1,41.45,879100
2021-02-08 00:00:00+05:30,41.5,41.65,40.85,41.0,696677
2021-02-09 00:00:00+05:30,41.3,41.3,40.7,40.85,570831
2021-02-10 00:00:00+05:30,40.9,42.8,40.35,41.65,3813188
2021-02-11 00:00:00+05:30,41.95,42.25,41.2,41.4,1273661
2021-02-12 00:00:00+05:30,41.45,41.6,40.4,40.7,986045
2021-02-15 00:00:00+05:30,40.4,40.4,38.75,38.9,1476179
2021-02-16 00:00:00+05:30,39.0,39.2,38.75,38.85,603024
2021-02-17 00:00:00+05:30,39.1,39.15,38.55,38.7,734512
2021-02-18 00:00:00+05:30,39.15,41.25,38.65,39.9,2125320
2021-02-19 00:00:00+05:30,40.0,40.4,39.1,39.3,1266239
2021-02-22 00:00:00+05:30,39.35,39.6,37.75,37.95,792676
2021-02-23 00:00:00+05:30,38.25,38.65,37.4,38.0,890345
2021-02-24 00:00:00+05:30,38.1,40.2,38.1,39.45,1203490
2021-02-25 00:00:00+05:30,40.0,46.3,40.0,44.85,18335884
2021-02-26 00:00:00+05:30,47.0,53.8,46.1,52.95,37598621
2021-03-01 00:00:00+05:30,58.3,63.5,57.2,63.5,26197050
2021-03-02 00:00:00+05:30,68.5,69.85,58.75,64.65,32822535
2021-03-03 00:00:00+05:30,65.8,67.4,61.2,61.35,5722467
2021-03-04 00:00:00+05:30,60.0,66.45,58.75,63.55,9463922
2021-03-05 00:00:00+05:30,67.0,69.0,65.2,67.2,10679335
2021-03-08 00:00:00+05:30,68.0,68.2,64.35,64.95,3621073
2021-03-09 00:00:00+05:30,65.1,66.0,62.3,63.05,2667750
2021-03-10 00:00:00+05:30,63.6,63.9,61.3,61.6,2775347
2021-03-12 00:00:00+05:30,62.3,64.8,60.3,61.85,5761934
2021-03-15 00:00:00+05:30,61.25,61.8,60.05,60.6,1639303
2021-03-16 00:00:00+05:30,60.5,63.5,60.5,62.25,3135545
2021-03-17 00:00:00+05:30,62.3,62.45,57.75,58.15,1470217
2021-03-18 00:00:00+05:30,59.25,59.95,53.2,53.8,2641601
2021-03-19 00:00:00+05:30,53.05,53.4,49.6,52.35,2530960
2021-03-22 00:00:00+05:30,52.9,57.55,52.45,57.55,5236192
2021-03-23 00:00:00+05:30,58.0,61.75,57.4,59.15,5437892
2021-03-24 00:00:00+05:30,58.2,59.1,56.5,56.75,1177634
2021-03-25 00:00:00+05:30,57.0,57.7,53.0,54.0,1393174
2021-03-26 00:00:00+05:30,55.45,56.85,54.55,54.95,1130872
2021-03-30 00:00:00+05:30,55.65,57.4,54.05,55.6,2008188
2021-03-31 00:00:00+05:30,55.3,55.8,53.35,54.1,913765
2021-04-01 00:00:00+05:30,54.7,56.3,54.5,55.35,1368053
2021-04-05 00:00:00+05:30,56.25,56.3,54.0,54.3,1889989
2021-04-06 00:00:00+05:30,54.9,55.4,54.1,54.35,1158312
2021-04-07 00:00:00+05:30,54.45,55.25,54.3,54.5,992400
2021-04-08 00:00:00+05:30,56.6,64.15,55.6,60.4,14605122
2021-04-09 00:00:00+05:30,61.95,62.0,57.55,58.7,4543044
2021-04-12 00:00:00+05:30,55.6,56.95,51.7,53.2,2896448
2021-04-13 00:00:00+05:30,53.6,55.45,52.45,54.4,1652816
2021-04-15 00:00:00+05:30,54.0,57.0,53.2,54.75,2142649
2021-04-16 00:00:00+05:30,56.0,57.0,55.0,55.15,2375928
2021-04-19 00:00:00+05:30,52.8,53.9,51.15,51.95,1552683
2021-04-20 00:00:00+05:30,53.9,53.9,51.5,52.25,1236784
2021-04-22 00:00:00+05:30,52.0,52.4,51.5,51.85,1021886
2021-04-23 00:00:00+05:30,51.7,52.75,51.6,51.95,1113354
2021-04-26 00:00:00+05:30,52.15,52.7,51.6,51.8,719240
2021-04-27 00:00:00+05:30,52.1,55.85,51.65,54.75,4730279
2021-04-28 00:00:00+05:30,54.95,55.4,53.6,53.95,1174520
2021-04-29 00:00:00+05:30,54.2,59.4,53.25,57.95,7560750
2021-04-30 00:00:00+05:30,57.6,60.2,56.0,57.95,4292969
2021-05-03 00:00:00+05:30,58.0,60.45,56.65,59.15,3223038
2021-05-04 00:00:00+05:30,59.7,60.85,58.1,58.4,2396645
2021-05-05 00:00:00+05:30,59.0,60.9,58.4,59.8,3635800
2021-05-06 00:00:00+05:30,59.9,64.45,59.0,62.6,10004516
2021-05-07 00:00:00+05:30,62.8,63.55,60.65,61.5,3419034
2021-05-10 00:00:00+05:30,61.6,63.2,61.55,62.0,3116201
2021-05-11 00:00:00+05:30,61.5,64.25,60.6,62.7,4664285
2021-05-12 00:00:00+05:30,63.3,73.7,63.05,68.75,27035027
2021-05-14 00:00:00+05:30,69.9,72.5,68.2,68.9,11631134
