date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,2.55,2.66,2.52,2.6,53711350
2021-01-04 00:00:00+05:30,2.62,2.63,2.52,2.6,38923820
2021-01-05 00:00:00+05:30,2.63,2.72,2.54,2.66,80732010
2021-01-06 00:00:00+05:30,2.68,2.92,2.64,2.86,137751540
2021-01-07 00:00:00+05:30,2.97,3.06,2.89,2.94,89668180
2021-01-08 00:00:00+05:30,2.9,2.94,2.81,2.82,46531980
2021-01-11 00:00:00+05:30,2.84,2.88,2.76,2.79,38264460
2021-01-12 00:00:00+05:30,2.77,2.82,2.73,2.78,26889280
2021-01-13 00:00:00+05:30,2.78,2.84,2.76,2.8,29613130
2021-01-14 00:00:00+05:30,2.77,2.82,2.76,2.78,13017840
2021-01-15 00:00:00+05:30,2.78,2.8,2.69,2.72,21189120
2021-01-18 00:00:00+05:30,2.74,2.74,2.52,2.56,44622950
2021-01-19 00:00:00+05:30,2.6,2.7,2.56,2.67,22656920
2021-01-20 00:00:00+05:30,2.66,2.68,2.64,2.65,13431180
2021-01-21 00:00:00+05:30,2.68,2.72,2.6,2.62,17667220
2021-01-22 00:00:00+05:30,2.62,2.64,2.52,2.57,18252070
2021-01-25 00:00:00+05:30,2.58,2.62,2.42,2.58,34851410
2021-01-27 00:00:00+05:30,2.58,2.64,2.49,2.6,27847490
2021-01-28 00:00:00+05:30,2.55,2.68,2.52,2.64,30457660
2021-01-29 00:00:00+05:30,2.66,2.66,2.57,2.61,24213780
2021-02-01 00:00:00+05:30,2.6,2.79,2.58,2.72,59680000
2021-02-02 00:00:00+05:30,2.74,2.78,2.71,2.75,26721560
2021-02-03 00:00:00+05:30,2.76,2.77,2.72,2.74,19576090
2021-02-04 00:00:00+05:30,2.73,2.74,2.68,2.7,22552800
2021-02-05 00:00:00+05:30,2.72,2.75,2.66,2.67,26967080
2021-02-08 00:00:00+05:30,2.69,2.71,2.64,2.66,12805190
2021-02-09 00:00:00+05:30,2.7,2.72,2.64,2.66,15737940
2021-02-10 00:00:00+05:30,2.66,2.68,2.6,2.66,13454960
2021-02-11 00:00:00+05:30,2.68,3.06,2.68,2.94,105406250
2021-02-12 00:00:00+05:30,3.0,3.19,2.96,3.07,167970740
2021-02-15 00:00:00+05:30,3.17,3.24,3.13,3.17,59213220
2021-02-16 00:00:00+05:30,3.2,3.2,2.93,2.97,47021180
2021-02-17 00:00:00+05:30,2.97,3.19,2.94,3.06,57208780
2021-02-18 00:00:00+05:30,3.06,3.11,2.98,3.0,28323860
2021-02-19 00:00:00+05:30,3.03,3.03,2.92,2.95,18527240
2021-02-22 00:00:00+05:30,2.98,2.98,2.8,2.85,24991470
2021-02-23 00:00:00+05:30,2.87,3.08,2.82,3.02,42335570
2021-02-24 00:00:00+05:30,3.07,3.16,2.84,3.04,24107730
2021-02-25 00:00:00+05:30,3.06,3.09,3.02,3.04,17743270
2021-02-26 00:00:00+05:30,2.95,3.08,2.92,2.98,28726280
2021-03-01 00:00:00+05:30,3.02,3.07,2.96,2.99,22253540
2021-03-02 00:00:00+05:30,3.02,3.02,2.95,2.97,15287710
2021-03-03 00:00:00+05:30,2.97,3.02,2.96,2.98,18334020
2021-03-04 00:00:00+05:30,2.95,3.14,2.94,3.02,37260650
2021-03-05 00:00:00+05:30,3.0,3.04,2.94,2.98,20163470
2021-03-08 00:00:00+05:30,3.0,3.07,2.98,2.99,21807310
2021-03-09 00:00:00+05:30,3.02,3.06,2.86,2.93,19719410
2021-03-10 00:00:00+05:30,2.95,3.05,2.91,2.98,32254110
2021-03-12 00:00:00+05:30,3.12,3.3,3.02,3.12,130150970
2021-03-15 00:00:00+05:30,3.16,3.19,3.04,3.1,37637590
2021-03-16 00:00:00+05:30,3.14,3.15,3.03,3.06,21005760
2021-03-17 00:00:00+05:30,3.04,3.04,2.92,2.94,22453240
2021-03-18 00:00:00+05:30,2.98,2.98,2.68,2.77,39508770
2021-03-19 00:00:00+05:30,2.66,2.72,2.58,2.7,17816170
2021-03-22 00:00:00+05:30,2.71,2.84,2.7,2.82,14047870
2021-03-23 00:00:00+05:30,2.83,2.92,2.78,2.84,13955860
2021-03-24 00:00:00+05:30,2.84,2.86,2.3,2.7,11794740
2021-03-25 00:00:00+05:30,2.7,2.75,2.56,2.68,20975470
2021-03-26 00:00:00+05:30,2.7,2.76,2.69,2.73,12957460
2021-03-30 00:00:00+05:30,2.72,2.76,2.7,2.72,8737020
2021-03-31 00:00:00+05:30,2.71,2.74,2.7,2.71,8544400
2021-04-01 00:00:00+05:30,2.71,2.84,2.71,2.77,21695540
2021-04-05 00:00:00+05:30,2.76,2.8,2.68,2.72,10511450
2021-04-06 00:00:00+05:30,2.7,2.76,2.69,2.71,19970370
2021-04-07 00:00:00+05:30,2.72,2.74,2.65,2.66,9436480
2021-04-08 00:00:00+05:30,2.71,2.72,2.64,2.67,11081010
2021-04-09 00:00:00+05:30,2.68,2.72,2.63,2.64,9902400
2021-04-12 00:00:00+05:30,2.61,2.61,2.32,2.41,18766820
2021-04-13 00:00:00+05:30,2.38,2.5,2.38,2.44,10690380
2021-04-15 00:00:00+05:30,2.4,2.45,2.36,2.4,9583610
2021-04-16 00:00:00+05:30,2.4,2.43,2.35,2.38,6942480
2021-04-19 00:00:00+05:30,2.31,2.32,2.19,2.2,16666320
2021-04-20 00:00:00+05:30,2.25,2.28,2.19,2.22,8024720
2021-04-22 00:00:00+05:30,2.24,2.34,2.18,2.31,12278040
2021-04-23 00:00:00+05:30,2.31,2.35,2.28,2.3,8678460
2021-04-26 00:00:00+05:30,2.29,2.36,2.29,2.32,6718870
2021-04-27 00:00:00+05:30,2.32,2.4,2.32,2.38,5998420
2021-04-28 00:00:00+05:30,2.41,2.48,2.4,2.44,8526760
2021-04-29 00:00:00+05:30,2.48,2.48,2.34,2.38,6876600
2021-04-30 00:00:00+05:30,2.38,2.43,2.37,2.4,5433340
2021-05-03 00:00:00+05:30,2.43,2.43,2.32,2.39,6137290
2021-05-04 00:00:00+05:30,2.4,2.42,2.3,2.34,7888950
2021-05-05 00:00:00+05:30,2.36,2.36,2.3,2.32,6002160
2021-05-06 00:00:00+05:30,2.32,2.34,2.3,2.3,4397880
2021-05-07 00:00:00+05:30,2.3,2.4,2.3,2.34,11091440
2021-05-10 00:00:00+05:30,2.35,2.46,2.34,2.41,10689840
2021-05-11 00:00:00+05:30,2.4,2.6,2.36,2.53,24321250
2021-05-12 00:00:00+05:30,2.53,2.6,2.51,2.53,12088050
2021-05-14 00:00:00+05:30,2.56,2.56,2.44,2.46,8098870
