date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,886.4,892.2,881.3,885.4,1078116
2021-01-04 00:00:00+05:30,887.2,895.0,882.6,892.5,744322
2021-01-05 00:00:00+05:30,900.0,903.4,878.5,900.3,1081778
2021-01-06 00:00:00+05:30,900.3,900.3,885.0,897.7,1176260
2021-01-07 00:00:00+05:30,899.0,909.6,880.0,884.5,1945848
2021-01-08 00:00:00+05:30,891.2,912.0,885.8,909.5,1606724
2021-01-11 00:00:00+05:30,909.5,921.0,904.0,916.6,1264314
2021-01-12 00:00:00+05:30,916.4,916.4,898.4,900.0,1158804
2021-01-13 00:00:00+05:30,905.0,907.5,885.5,896.6,1060638
2021-01-14 00:00:00+05:30,897.0,902.0,887.3,895.0,914532
2021-01-15 00:00:00+05:30,892.5,897.8,870.7,873.5,1973286
2021-01-18 00:00:00+05:30,870.5,878.4,857.3,863.4,1536036
2021-01-19 00:00:00+05:30,869.0,880.8,864.6,868.2,1050052
2021-01-20 00:00:00+05:30,871.0,898.4,869.0,879.3,1769034
2021-01-21 00:00:00+05:30,880.0,909.8,880.0,887.8,1820080
2021-01-22 00:00:00+05:30,889.8,897.2,866.0,867.6,1394952
2021-01-25 00:00:00+05:30,874.9,889.9,871.1,882.8,1799690
2021-01-27 00:00:00+05:30,887.8,888.3,847.5,856.0,1539186
2021-01-28 00:00:00+05:30,852.5,864.0,849.4,858.1,1187746
2021-01-29 00:00:00+05:30,868.0,870.5,831.9,835.1,3387874
2021-02-01 00:00:00+05:30,849.0,866.0,832.5,858.2,1579168
2021-02-02 00:00:00+05:30,868.0,889.8,860.5,880.5,1740134
2021-02-03 00:00:00+05:30,882.5,889.4,867.5,869.7,952662
2021-02-04 00:00:00+05:30,874.0,885.8,865.5,880.0,1394428
2021-02-05 00:00:00+05:30,881.0,882.5,862.5,864.4,814332
2021-02-08 00:00:00+05:30,866.3,877.5,864.8,866.8,580014
2021-02-09 00:00:00+05:30,869.5,899.0,867.6,881.0,2735488
2021-02-10 00:00:00+05:30,882.4,891.0,871.5,878.6,824592
2021-02-11 00:00:00+05:30,876.1,897.0,875.2,885.9,1279566
2021-02-12 00:00:00+05:30,888.5,894.0,875.7,880.4,721042
2021-02-15 00:00:00+05:30,883.0,897.7,879.6,883.3,1450668
2021-02-16 00:00:00+05:30,885.5,897.5,882.9,894.6,2028424
2021-02-17 00:00:00+05:30,900.0,904.4,880.0,882.7,1846990
2021-02-18 00:00:00+05:30,885.2,899.2,882.5,895.9,1635784
2021-02-19 00:00:00+05:30,893.8,902.5,887.0,890.7,1447584
2021-02-22 00:00:00+05:30,889.0,895.3,865.0,871.1,1238494
2021-02-23 00:00:00+05:30,875.5,882.0,857.5,862.9,1001128
2021-02-24 00:00:00+05:30,864.0,867.5,853.4,862.6,465756
2021-02-25 00:00:00+05:30,860.0,867.2,848.0,859.6,3108264
2021-02-26 00:00:00+05:30,850.5,866.0,837.5,843.0,2091890
2021-03-01 00:00:00+05:30,853.0,855.5,842.3,849.1,1037868
2021-03-02 00:00:00+05:30,855.5,867.5,850.8,864.7,950074
2021-03-03 00:00:00+05:30,867.0,885.5,865.6,882.3,931650
2021-03-04 00:00:00+05:30,879.2,887.5,872.4,880.6,741662
2021-03-05 00:00:00+05:30,875.0,892.0,868.0,878.8,1440162
2021-03-08 00:00:00+05:30,878.9,880.0,857.1,858.6,1047900
2021-03-09 00:00:00+05:30,865.0,873.0,862.6,868.0,669222
2021-03-10 00:00:00+05:30,873.5,877.0,862.6,868.5,594746
2021-03-12 00:00:00+05:30,870.5,873.3,860.2,861.6,410686
2021-03-15 00:00:00+05:30,863.0,866.0,848.0,856.6,692782
2021-03-16 00:00:00+05:30,858.5,869.5,852.6,860.0,661378
