date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,272.4,272.4,267.5,269.2,18667
2021-01-04 00:00:00+05:30,283.0,283.0,273.0,277.95,43836
2021-01-05 00:00:00+05:30,277.95,280.85,274.0,277.15,22361
2021-01-06 00:00:00+05:30,277.15,281.0,272.4,274.65,40979
2021-01-07 00:00:00+05:30,278.0,278.85,272.0,273.45,20921
2021-01-08 00:00:00+05:30,273.55,283.0,272.75,276.3,37247
2021-01-11 00:00:00+05:30,281.0,284.0,277.1,280.45,46434
2021-01-12 00:00:00+05:30,280.45,281.15,275.0,276.45,37220
2021-01-13 00:00:00+05:30,276.0,278.2,272.0,274.45,36069
2021-01-14 00:00:00+05:30,276.95,284.0,274.15,277.45,48516
2021-01-15 00:00:00+05:30,279.65,280.0,272.3,275.8,26642
2021-01-18 00:00:00+05:30,277.2,278.1,265.5,268.8,31877
2021-01-19 00:00:00+05:30,270.55,275.15,268.0,272.05,46170
2021-01-20 00:00:00+05:30,272.55,284.9,271.25,276.05,130046
2021-01-21 00:00:00+05:30,274.5,281.4,271.0,272.5,38464
2021-01-22 00:00:00+05:30,271.4,273.3,258.7,267.8,48169
2021-01-25 00:00:00+05:30,275.8,294.4,269.0,286.05,386361
2021-01-27 00:00:00+05:30,295.3,321.0,261.05,275.05,1883518
2021-01-28 00:00:00+05:30,272.9,282.05,267.65,276.75,342803
2021-01-29 00:00:00+05:30,292.05,293.9,281.3,284.05,450092
2021-02-01 00:00:00+05:30,288.0,288.0,276.95,281.1,152597
2021-02-02 00:00:00+05:30,284.2,288.3,277.0,278.65,104907
2021-02-03 00:00:00+05:30,280.0,297.7,277.0,284.55,266448
2021-02-04 00:00:00+05:30,285.1,288.9,283.1,286.85,113425
2021-02-05 00:00:00+05:30,285.6,294.8,285.6,290.45,127950
2021-02-08 00:00:00+05:30,298.0,306.5,295.1,298.85,285507
2021-02-09 00:00:00+05:30,301.0,305.0,291.0,293.55,153202
2021-02-10 00:00:00+05:30,293.75,298.55,287.55,293.1,131491
2021-02-11 00:00:00+05:30,292.1,299.0,290.15,297.55,74635
2021-02-12 00:00:00+05:30,296.1,310.0,296.0,305.2,264240
2021-02-15 00:00:00+05:30,319.9,335.05,311.55,331.0,620153
2021-02-16 00:00:00+05:30,340.1,369.8,332.5,349.3,926065
2021-02-17 00:00:00+05:30,349.9,357.0,342.2,345.4,255209
2021-02-18 00:00:00+05:30,346.0,368.0,345.4,363.75,221278
2021-02-19 00:00:00+05:30,365.95,374.3,338.0,355.8,253966
2021-02-22 00:00:00+05:30,360.0,368.7,349.0,351.85,199532
2021-02-23 00:00:00+05:30,351.05,358.55,341.95,343.7,117210
2021-02-24 00:00:00+05:30,345.4,346.8,324.0,330.55,152443
2021-02-25 00:00:00+05:30,330.55,339.8,324.0,325.9,135309
2021-02-26 00:00:00+05:30,324.5,333.0,305.2,326.8,95772
2021-03-01 00:00:00+05:30,327.2,337.75,327.0,329.5,62322
2021-03-02 00:00:00+05:30,330.0,337.2,330.0,331.1,78821
2021-03-03 00:00:00+05:30,333.25,343.75,330.7,334.6,115399
2021-03-04 00:00:00+05:30,331.0,335.8,329.5,331.15,40859
2021-03-05 00:00:00+05:30,331.45,334.4,317.0,319.5,86611
2021-03-08 00:00:00+05:30,320.85,325.6,308.4,310.7,75982
2021-03-09 00:00:00+05:30,313.95,329.9,313.0,318.55,178200
2021-03-10 00:00:00+05:30,321.0,322.85,313.0,314.0,40154
2021-03-12 00:00:00+05:30,315.0,319.45,302.0,305.85,90599
2021-03-15 00:00:00+05:30,309.0,313.05,285.4,301.75,111278
2021-03-16 00:00:00+05:30,301.75,304.4,294.0,294.85,92341
2021-03-17 00:00:00+05:30,296.0,347.35,295.05,305.4,2015620
2021-03-18 00:00:00+05:30,307.9,334.7,304.1,308.3,1281888
2021-03-19 00:00:00+05:30,305.0,313.0,295.0,309.65,283077
2021-03-22 00:00:00+05:30,312.9,320.0,300.0,304.1,221068
2021-03-23 00:00:00+05:30,306.55,309.0,299.1,301.5,90868
2021-03-24 00:00:00+05:30,299.0,315.95,292.1,294.45,127356
2021-03-25 00:00:00+05:30,295.5,297.85,285.0,289.2,133604
2021-03-26 00:00:00+05:30,292.5,295.9,287.45,291.2,86470
2021-03-30 00:00:00+05:30,294.5,296.2,285.4,290.35,115660
2021-03-31 00:00:00+05:30,291.95,293.35,286.15,286.8,78024
2021-04-01 00:00:00+05:30,288.3,301.85,288.3,298.4,90980
2021-04-05 00:00:00+05:30,298.0,298.5,288.0,291.25,64073
2021-04-06 00:00:00+05:30,292.8,295.45,289.05,292.95,52203
2021-04-07 00:00:00+05:30,292.95,312.3,292.55,309.1,176337
2021-04-08 00:00:00+05:30,310.9,314.5,304.45,306.3,88832
2021-04-09 00:00:00+05:30,305.6,311.05,305.6,307.65,44082
2021-04-12 00:00:00+05:30,296.35,301.85,281.5,284.35,145840
2021-04-13 00:00:00+05:30,285.8,294.35,282.55,284.9,75609
2021-04-15 00:00:00+05:30,285.0,289.8,277.5,279.95,138830
2021-04-16 00:00:00+05:30,280.0,297.95,274.15,294.6,185025
2021-04-19 00:00:00+05:30,284.0,292.25,281.0,289.5,90087
2021-04-20 00:00:00+05:30,291.05,294.6,282.7,284.25,61282
2021-04-22 00:00:00+05:30,280.25,297.0,280.05,294.75,58558
2021-04-23 00:00:00+05:30,298.0,304.0,291.55,293.65,169732
2021-04-26 00:00:00+05:30,302.0,311.0,295.1,308.4,221735
2021-04-27 00:00:00+05:30,309.0,311.95,305.15,307.7,68998
2021-04-28 00:00:00+05:30,309.0,311.7,306.1,310.4,87645
2021-04-29 00:00:00+05:30,313.75,313.8,301.15,302.65,73554
2021-04-30 00:00:00+05:30,300.0,307.4,298.05,300.1,44430
2021-05-03 00:00:00+05:30,305.0,316.75,300.95,314.3,141763
2021-05-04 00:00:00+05:30,320.0,331.9,305.2,307.2,352238
2021-05-05 00:00:00+05:30,309.95,316.45,307.55,312.15,85186
2021-05-06 00:00:00+05:30,314.85,315.85,306.45,308.55,49468
2021-05-07 00:00:00+05:30,310.0,315.65,309.5,313.75,91287
2021-05-10 00:00:00+05:30,313.9,333.7,311.4,322.7,336958
2021-05-11 00:00:00+05:30,333.0,333.0,324.4,329.9,225759
2021-05-12 00:00:00+05:30,333.65,334.95,322.0,323.9,166984
2021-05-14 00:00:00+05:30,325.85,331.75,318.8,327.0,121539
2021-05-17 00:00:00+05:30,330.0,342.6,326.05,338.45,441765
2021-05-18 00:00:00+05:30,344.75,349.45,335.3,343.5,439801
2021-05-19 00:00:00+05:30,346.65,352.4,342.55,346.05,180769
2021-05-20 00:00:00+05:30,349.0,352.0,328.05,333.85,216646
2021-05-21 00:00:00+05:30,338.65,350.0,335.0,347.5,346434
2021-05-24 00:00:00+05:30,352.1,357.95,337.25,348.3,537402
2021-05-25 00:00:00+05:30,352.05,358.65,345.05,355.75,419466
2021-05-26 00:00:00+05:30,361.05,380.0,351.0,356.05,3001974
2021-05-27 00:00:00+05:30,357.35,364.75,350.1,352.9,592566
