date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,25.05,25.3,24.9,25.1,1115965
2021-01-04 00:00:00+05:30,25.3,25.8,25.2,25.6,2370307
2021-01-05 00:00:00+05:30,25.2,26.2,25.2,25.7,3838983
2021-01-06 00:00:00+05:30,25.9,26.15,25.5,25.65,2603559
2021-01-07 00:00:00+05:30,25.9,26.0,25.75,25.85,1445428
2021-01-08 00:00:00+05:30,25.95,27.25,25.85,26.75,5189758
2021-01-11 00:00:00+05:30,27.5,27.7,26.5,26.8,4575938
2021-01-12 00:00:00+05:30,26.75,27.45,26.5,27.05,4028256
2021-01-13 00:00:00+05:30,27.15,27.4,26.5,26.6,3214044
2021-01-14 00:00:00+05:30,26.65,26.8,26.4,26.6,1385515
2021-01-15 00:00:00+05:30,26.7,26.75,25.9,26.0,2460280
2021-01-18 00:00:00+05:30,25.95,25.95,24.95,25.05,4183865
2021-01-19 00:00:00+05:30,25.25,25.35,24.9,25.0,3329278
2021-01-20 00:00:00+05:30,25.1,25.15,24.9,24.95,2156730
2021-01-21 00:00:00+05:30,25.3,25.5,25.2,25.3,2556041
2021-01-22 00:00:00+05:30,25.4,25.8,24.9,25.2,2291386
2021-01-25 00:00:00+05:30,25.25,25.4,24.9,24.95,1194276
2021-01-27 00:00:00+05:30,24.9,25.25,24.85,24.9,2993011
2021-01-28 00:00:00+05:30,24.8,25.0,24.75,24.9,1150823
2021-01-29 00:00:00+05:30,24.95,25.45,24.8,24.9,2016497
2021-02-01 00:00:00+05:30,25.2,25.45,24.9,25.1,1727116
2021-02-02 00:00:00+05:30,25.4,25.6,25.1,25.2,1647830
2021-02-03 00:00:00+05:30,25.25,25.5,25.15,25.3,2435600
2021-02-04 00:00:00+05:30,25.6,26.6,25.45,26.35,5617903
2021-02-05 00:00:00+05:30,26.7,26.7,26.2,26.25,1563213
2021-02-08 00:00:00+05:30,26.25,26.8,26.25,26.4,1952088
2021-02-09 00:00:00+05:30,26.55,26.8,26.25,26.35,1382705
2021-02-10 00:00:00+05:30,26.35,26.7,26.3,26.55,1304793
2021-02-11 00:00:00+05:30,26.7,26.75,26.3,26.45,1351374
2021-02-12 00:00:00+05:30,26.65,27.8,26.55,27.3,7032513
2021-02-15 00:00:00+05:30,27.5,27.6,26.8,26.85,2935662
2021-02-16 00:00:00+05:30,26.9,27.25,26.75,26.9,2515590
2021-02-17 00:00:00+05:30,26.85,27.35,26.8,27.2,2662872
2021-02-18 00:00:00+05:30,27.35,28.3,27.3,27.9,8474815
2021-02-19 00:00:00+05:30,28.7,28.7,27.7,28.05,5579841
2021-02-22 00:00:00+05:30,28.6,28.6,27.85,27.95,7942800
2021-02-23 00:00:00+05:30,26.35,26.35,25.3,25.4,6831960
2021-02-24 00:00:00+05:30,25.5,25.65,25.15,25.4,1810100
2021-02-25 00:00:00+05:30,25.5,25.75,25.3,25.4,6992126
2021-02-26 00:00:00+05:30,25.3,26.05,25.2,25.5,5587230
2021-03-01 00:00:00+05:30,25.9,27.1,25.65,26.7,17964723
2021-03-02 00:00:00+05:30,27.1,27.55,26.85,27.15,6306972
2021-03-03 00:00:00+05:30,27.3,27.3,26.55,26.75,3034198
2021-03-04 00:00:00+05:30,26.5,27.25,26.4,26.9,5055082
2021-03-05 00:00:00+05:30,26.85,28.35,26.8,27.15,9531503
2021-03-08 00:00:00+05:30,27.35,27.35,26.75,26.85,3540243
