date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,8.35,8.4,8.3,8.35,8056559
2021-01-04 00:00:00+05:30,8.45,8.85,8.4,8.75,55791320
2021-01-05 00:00:00+05:30,8.65,8.75,8.45,8.6,27743039
2021-01-06 00:00:00+05:30,8.6,8.75,8.4,8.55,26034672
2021-01-07 00:00:00+05:30,8.6,8.9,8.45,8.6,32712136
2021-01-08 00:00:00+05:30,8.65,8.75,8.45,8.45,22855064
2021-01-11 00:00:00+05:30,8.55,8.55,8.25,8.3,14115559
2021-01-12 00:00:00+05:30,8.3,9.3,8.15,8.75,81335484
2021-01-13 00:00:00+05:30,8.8,9.0,8.55,8.7,28379033
2021-01-14 00:00:00+05:30,8.75,8.8,8.55,8.75,16319129
2021-01-15 00:00:00+05:30,8.75,8.85,8.5,8.55,15816559
2021-01-18 00:00:00+05:30,8.55,8.7,8.35,8.4,16284448
2021-01-19 00:00:00+05:30,8.45,8.75,8.45,8.55,17122554
2021-01-20 00:00:00+05:30,8.6,8.7,8.5,8.6,11290987
2021-01-21 00:00:00+05:30,8.65,8.75,8.2,8.3,19085754
2021-01-22 00:00:00+05:30,7.8,8.0,7.6,7.85,38966246
2021-01-25 00:00:00+05:30,7.95,8.05,7.55,7.6,17564752
2021-01-27 00:00:00+05:30,7.6,7.6,7.3,7.35,15821504
2021-01-28 00:00:00+05:30,7.15,7.55,7.0,7.5,17470349
2021-01-29 00:00:00+05:30,7.6,7.65,7.55,7.6,9729342
2021-02-01 00:00:00+05:30,7.65,7.95,7.6,7.85,15581389
2021-02-02 00:00:00+05:30,8.0,8.05,7.65,7.75,13923558
2021-02-03 00:00:00+05:30,7.8,7.9,7.6,7.75,10400875
2021-02-04 00:00:00+05:30,7.75,8.2,7.7,7.9,31995378
2021-02-05 00:00:00+05:30,7.95,8.1,7.6,7.7,26862014
2021-02-08 00:00:00+05:30,7.8,7.85,7.6,7.65,10532185
2021-02-09 00:00:00+05:30,7.65,7.7,7.55,7.6,13923871
2021-02-10 00:00:00+05:30,7.6,7.65,7.5,7.55,9141355
2021-02-11 00:00:00+05:30,7.55,7.65,7.5,7.6,11802572
2021-02-12 00:00:00+05:30,7.6,7.6,7.5,7.55,6046697
2021-02-15 00:00:00+05:30,7.55,7.6,7.35,7.4,16146281
2021-02-16 00:00:00+05:30,7.45,7.65,7.45,7.5,9462987
2021-02-17 00:00:00+05:30,7.5,8.15,7.5,8.0,55236727
2021-02-18 00:00:00+05:30,8.15,8.5,7.95,8.2,70258166
2021-02-19 00:00:00+05:30,8.2,8.45,7.8,8.0,38792226
2021-02-22 00:00:00+05:30,8.15,8.3,7.85,7.95,23573699
2021-02-23 00:00:00+05:30,7.95,8.1,7.8,7.95,14997460
2021-02-24 00:00:00+05:30,7.9,8.3,7.9,8.25,23779701
2021-02-25 00:00:00+05:30,8.35,8.4,8.15,8.2,23401209
2021-02-26 00:00:00+05:30,8.35,9.4,8.25,9.05,185864146
2021-03-01 00:00:00+05:30,9.3,9.95,9.1,9.65,154175153
2021-03-02 00:00:00+05:30,9.75,9.85,9.2,9.4,59409083
2021-03-03 00:00:00+05:30,9.4,9.6,9.25,9.3,28825138
2021-03-04 00:00:00+05:30,9.2,9.3,9.0,9.05,27262763
2021-03-05 00:00:00+05:30,9.1,9.1,8.75,8.75,20207371
2021-03-08 00:00:00+05:30,8.9,9.4,8.85,9.0,31446999
2021-03-09 00:00:00+05:30,9.1,9.2,8.4,8.75,21135657
2021-03-10 00:00:00+05:30,8.8,9.0,8.65,8.75,22084976
