date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,788.8,798.05,782.95,787.55,291826
2021-01-04 00:00:00+05:30,793.45,845.25,784.55,836.95,2513734
2021-01-05 00:00:00+05:30,837.2,875.65,795.2,868.3,1713582
2021-01-06 00:00:00+05:30,866.5,878.75,826.5,847.85,1094364
2021-01-07 00:00:00+05:30,864.9,888.65,850.6,870.05,1499428
2021-01-08 00:00:00+05:30,892.6,892.6,838.2,843.35,2381157
2021-01-11 00:00:00+05:30,848.85,861.15,828.25,837.7,711478
2021-01-12 00:00:00+05:30,839.0,839.8,814.0,819.0,470736
2021-01-13 00:00:00+05:30,822.65,844.05,797.0,829.25,1102947
2021-01-14 00:00:00+05:30,830.4,841.7,812.2,824.05,639084
2021-01-15 00:00:00+05:30,829.15,838.95,805.05,811.5,537628
2021-01-18 00:00:00+05:30,816.4,816.5,787.15,791.25,351717
2021-01-19 00:00:00+05:30,796.1,822.0,795.2,811.05,371607
2021-01-20 00:00:00+05:30,810.1,816.65,795.2,797.5,331726
2021-01-21 00:00:00+05:30,803.25,803.75,779.3,785.35,352674
2021-01-22 00:00:00+05:30,789.5,792.2,753.2,757.05,411743
2021-01-25 00:00:00+05:30,763.95,781.65,722.85,748.4,749036
2021-01-27 00:00:00+05:30,746.9,759.5,725.5,729.7,391967
2021-01-28 00:00:00+05:30,720.95,741.6,717.95,730.75,296695
2021-01-29 00:00:00+05:30,737.15,743.4,721.05,727.45,344687
2021-02-01 00:00:00+05:30,730.9,733.55,694.55,714.45,513158
2021-02-02 00:00:00+05:30,721.05,820.25,721.05,811.65,2044976
2021-02-03 00:00:00+05:30,815.75,819.1,791.75,800.15,933520
2021-02-04 00:00:00+05:30,803.25,839.9,773.85,793.0,2437366
2021-02-05 00:00:00+05:30,793.45,797.9,771.1,774.95,586752
2021-02-08 00:00:00+05:30,774.95,780.75,746.05,749.15,566442
2021-02-09 00:00:00+05:30,752.9,782.15,751.45,759.4,631389
2021-02-10 00:00:00+05:30,763.05,766.6,753.2,756.35,270941
2021-02-11 00:00:00+05:30,755.85,789.25,755.0,774.0,640223
2021-02-12 00:00:00+05:30,776.15,805.95,774.05,793.65,964339
2021-02-15 00:00:00+05:30,798.8,813.1,795.4,808.7,411727
2021-02-16 00:00:00+05:30,808.6,812.2,795.3,802.4,319061
2021-02-17 00:00:00+05:30,795.2,805.9,789.0,795.95,193529
2021-02-18 00:00:00+05:30,799.65,826.5,789.0,798.4,560968
2021-02-19 00:00:00+05:30,795.2,803.1,761.05,773.65,353402
2021-02-22 00:00:00+05:30,773.75,788.85,765.9,780.9,315459
2021-02-23 00:00:00+05:30,780.9,784.8,760.45,762.8,257736
2021-02-24 00:00:00+05:30,769.3,776.1,741.6,746.65,451060
2021-02-25 00:00:00+05:30,753.4,773.75,751.45,761.35,539225
2021-02-26 00:00:00+05:30,762.05,771.4,737.15,744.85,394612
2021-03-01 00:00:00+05:30,753.1,764.4,740.0,746.5,365738
2021-03-02 00:00:00+05:30,753.25,796.0,743.5,787.25,733651
2021-03-03 00:00:00+05:30,793.15,810.4,790.75,795.5,751412
2021-03-04 00:00:00+05:30,790.75,793.85,770.8,774.3,446781
2021-03-05 00:00:00+05:30,777.35,787.15,764.8,775.05,405782
2021-03-08 00:00:00+05:30,782.1,794.3,768.4,773.6,336924
2021-03-09 00:00:00+05:30,780.85,784.5,756.35,760.8,186868
2021-03-10 00:00:00+05:30,763.95,772.6,753.25,758.6,196413
2021-03-12 00:00:00+05:30,765.75,767.85,743.95,748.7,335697
2021-03-15 00:00:00+05:30,752.45,758.6,731.8,754.85,327867
2021-03-16 00:00:00+05:30,753.2,759.2,743.65,749.7,221220
2021-03-17 00:00:00+05:30,749.55,760.35,713.0,722.0,310612
2021-03-18 00:00:00+05:30,729.1,735.5,688.35,690.7,540887
2021-03-19 00:00:00+05:30,690.7,710.35,663.55,684.3,1450586
2021-03-22 00:00:00+05:30,688.0,726.35,688.0,716.7,556420
2021-03-23 00:00:00+05:30,714.7,732.6,709.15,722.15,384936
2021-03-24 00:00:00+05:30,718.3,726.0,700.5,703.95,309189
2021-03-25 00:00:00+05:30,704.1,705.75,661.2,664.4,611357
2021-03-26 00:00:00+05:30,672.8,797.0,671.0,761.55,2359930
2021-03-30 00:00:00+05:30,756.55,802.2,746.05,775.7,1363352
2021-03-31 00:00:00+05:30,777.25,777.25,746.3,754.75,396666
2021-04-01 00:00:00+05:30,763.05,780.65,753.2,759.65,427060
2021-04-05 00:00:00+05:30,756.8,762.8,736.3,747.75,327900
2021-04-06 00:00:00+05:30,751.5,755.0,734.05,740.6,288379
2021-04-07 00:00:00+05:30,740.7,756.8,737.25,740.15,288514
2021-04-08 00:00:00+05:30,743.95,780.65,739.85,756.35,672545
2021-04-09 00:00:00+05:30,755.9,801.3,748.6,770.9,977650
2021-04-12 00:00:00+05:30,758.6,796.9,727.35,779.5,2988030
2021-04-13 00:00:00+05:30,798.8,820.25,777.45,782.8,1975905
2021-04-15 00:00:00+05:30,784.5,784.5,760.05,763.3,462285
2021-04-16 00:00:00+05:30,767.9,830.5,762.15,823.95,2787289
2021-04-19 00:00:00+05:30,817.35,835.4,795.2,803.2,1804576
2021-04-20 00:00:00+05:30,816.65,828.25,799.4,805.5,913902
2021-04-22 00:00:00+05:30,826.5,841.35,815.2,818.75,1312353
2021-04-23 00:00:00+05:30,821.15,846.15,806.85,818.25,1272290
2021-04-26 00:00:00+05:30,826.75,829.15,808.7,811.9,642769
2021-04-27 00:00:00+05:30,815.2,817.2,804.15,806.5,272219
2021-04-28 00:00:00+05:30,808.35,812.85,786.35,788.65,437315
2021-04-29 00:00:00+05:30,794.75,804.15,780.95,784.75,487685
2021-04-30 00:00:00+05:30,782.7,795.15,769.3,772.65,418650
2021-05-03 00:00:00+05:30,769.3,788.95,764.5,767.6,584465
2021-05-04 00:00:00+05:30,774.55,776.45,746.05,750.8,328002
2021-05-05 00:00:00+05:30,753.05,780.9,750.55,761.2,1148967
2021-05-06 00:00:00+05:30,769.3,787.35,758.05,762.2,821899
2021-05-07 00:00:00+05:30,768.4,771.2,737.65,743.5,558526
2021-05-10 00:00:00+05:30,751.5,759.5,744.85,749.15,476448
2021-05-11 00:00:00+05:30,746.95,759.3,746.5,748.55,339773
2021-05-12 00:00:00+05:30,751.35,753.85,721.15,723.35,676415
2021-05-14 00:00:00+05:30,726.35,741.4,719.25,722.25,544887
2021-05-17 00:00:00+05:30,727.9,729.8,707.75,711.9,340395
2021-05-18 00:00:00+05:30,728.1,745.9,707.65,711.8,1359408
2021-05-19 00:00:00+05:30,716.55,739.45,713.0,715.2,739136
2021-05-20 00:00:00+05:30,721.5,730.45,700.45,705.45,624444
2021-05-21 00:00:00+05:30,716.6,720.15,704.15,710.05,391766
2021-05-24 00:00:00+05:30,713.0,721.0,709.55,713.35,419128
2021-05-25 00:00:00+05:30,719.25,725.3,710.35,713.55,438704
2021-05-26 00:00:00+05:30,719.2,732.65,714.8,726.3,755306
2021-05-27 00:00:00+05:30,728.2,745.9,716.6,721.7,2030114
2021-05-28 00:00:00+05:30,728.3,731.2,706.65,710.2,755976
2021-05-31 00:00:00+05:30,715.6,718.35,676.3,684.15,907266
2021-06-01 00:00:00+05:30,691.55,694.9,674.6,681.95,622322
2021-06-02 00:00:00+05:30,686.1,686.2,671.8,677.55,746161
2021-06-03 00:00:00+05:30,682.1,718.35,679.9,700.0,1677957
2021-06-04 00:00:00+05:30,705.9,712.6,697.9,703.8,591482
2021-06-07 00:00:00+05:30,709.45,709.9,688.15,695.75,525361
2021-06-08 00:00:00+05:30,699.95,754.0,690.7,732.2,3761060
2021-06-09 00:00:00+05:30,738.85,748.75,711.05,722.6,1094553
2021-06-10 00:00:00+05:30,727.3,736.5,721.3,727.55,462721
2021-06-11 00:00:00+05:30,732.65,757.5,726.75,739.45,2153964
2021-06-14 00:00:00+05:30,738.05,743.4,716.2,730.7,493125
2021-06-15 00:00:00+05:30,740.55,752.35,723.75,726.0,865681
2021-06-16 00:00:00+05:30,729.45,733.1,701.4,707.4,781204
2021-06-17 00:00:00+05:30,701.4,711.8,693.95,705.85,577986
2021-06-18 00:00:00+05:30,709.45,709.9,686.2,690.95,540865
2021-06-21 00:00:00+05:30,684.4,707.95,680.15,702.85,356134
2021-06-22 00:00:00+05:30,708.45,723.75,597.5,694.25,514839
2021-06-23 00:00:00+05:30,697.8,699.45,682.6,685.35,354279
2021-06-24 00:00:00+05:30,687.8,689.15,675.5,679.0,235191
2021-06-25 00:00:00+05:30,681.75,688.0,677.1,678.2,318844
2021-06-28 00:00:00+05:30,680.85,703.2,678.35,690.9,620857
2021-06-29 00:00:00+05:30,693.35,698.9,681.4,682.7,256451
2021-06-30 00:00:00+05:30,684.35,688.85,675.5,678.45,221743
2021-07-01 00:00:00+05:30,680.9,684.25,675.55,681.25,196835
2021-07-02 00:00:00+05:30,686.2,712.8,686.05,698.55,884282
2021-07-05 00:00:00+05:30,704.1,723.3,702.4,719.1,838581
2021-07-06 00:00:00+05:30,723.75,730.9,701.6,705.75,670777
2021-07-07 00:00:00+05:30,706.75,712.7,695.55,700.45,262933
2021-07-08 00:00:00+05:30,702.35,705.8,685.7,692.7,326488
2021-07-09 00:00:00+05:30,693.35,695.7,688.7,691.2,210081
2021-07-12 00:00:00+05:30,695.25,699.95,687.75,689.85,314218
2021-07-13 00:00:00+05:30,713.9,723.55,703.9,710.0,1157444
2021-07-14 00:00:00+05:30,707.65,709.4,701.6,705.05,186016
2021-07-15 00:00:00+05:30,702.85,704.95,693.45,698.1,203954
2021-07-16 00:00:00+05:30,698.1,713.45,697.8,705.65,325110
2021-07-19 00:00:00+05:30,699.8,708.05,695.7,701.4,193997
2021-07-20 00:00:00+05:30,701.35,704.5,673.9,684.4,376798
2021-07-22 00:00:00+05:30,688.0,697.8,683.6,693.85,293206
