date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,6.15,6.15,6.15,6.15,2611390
2021-01-04 00:00:00+05:30,6.45,6.45,6.45,6.45,4813375
2021-01-05 00:00:00+05:30,6.6,6.75,6.1,6.75,62043248
2021-01-06 00:00:00+05:30,7.0,7.05,7.0,7.05,12930305
2021-01-07 00:00:00+05:30,7.4,7.4,7.4,7.4,4247151
2021-01-08 00:00:00+05:30,7.75,7.75,7.0,7.0,92706725
2021-01-11 00:00:00+05:30,6.7,6.7,6.7,6.7,11461334
2021-01-12 00:00:00+05:30,6.4,6.4,6.4,6.4,5022591
2021-01-13 00:00:00+05:30,6.1,6.1,6.1,6.1,5746290
2021-01-14 00:00:00+05:30,5.85,5.85,5.85,5.85,5321750
2021-01-15 00:00:00+05:30,5.7,6.1,5.65,6.1,24576268
2021-01-18 00:00:00+05:30,6.3,6.4,6.15,6.4,41261592
2021-01-19 00:00:00+05:30,6.45,6.5,6.1,6.25,30579240
2021-01-20 00:00:00+05:30,6.05,6.15,5.95,6.0,22835575
2021-01-21 00:00:00+05:30,5.95,6.3,5.75,6.1,28173286
2021-01-22 00:00:00+05:30,6.0,6.05,5.85,5.85,14368516
2021-01-25 00:00:00+05:30,5.75,5.85,5.55,5.55,8044086
2021-01-27 00:00:00+05:30,5.45,5.85,5.3,5.55,19367026
2021-01-28 00:00:00+05:30,5.5,5.7,5.35,5.5,10324989
2021-01-29 00:00:00+05:30,5.7,5.8,5.65,5.8,10920401
2021-02-01 00:00:00+05:30,6.05,6.05,6.0,6.05,8535714
2021-02-02 00:00:00+05:30,6.35,6.35,5.9,6.35,59700135
2021-02-03 00:00:00+05:30,6.45,6.45,6.15,6.2,32964354
2021-02-04 00:00:00+05:30,6.2,6.45,6.2,6.45,57856665
2021-02-05 00:00:00+05:30,6.3,6.3,5.9,6.0,55114727
2021-02-08 00:00:00+05:30,6.1,6.3,5.95,6.0,22443568
2021-02-09 00:00:00+05:30,6.0,6.0,5.7,5.75,23905374
2021-02-10 00:00:00+05:30,5.7,5.75,5.5,5.6,26070014
2021-02-11 00:00:00+05:30,5.6,5.8,5.6,5.75,19183941
2021-02-12 00:00:00+05:30,5.75,5.8,5.55,5.6,13107989
2021-02-15 00:00:00+05:30,5.55,5.65,5.35,5.35,29125915
2021-02-16 00:00:00+05:30,5.35,5.4,5.05,5.15,26111796
2021-02-17 00:00:00+05:30,5.15,5.15,4.7,4.8,55934841
2021-02-18 00:00:00+05:30,4.85,5.0,4.75,4.8,39642279
2021-02-19 00:00:00+05:30,4.85,4.85,4.75,4.75,17075028
2021-02-22 00:00:00+05:30,4.75,4.75,4.5,4.6,32584139
2021-02-23 00:00:00+05:30,4.65,4.8,4.55,4.8,72700867
2021-02-24 00:00:00+05:30,4.9,5.05,4.85,5.05,15397267
2021-02-25 00:00:00+05:30,5.3,5.3,5.05,5.3,38246442
2021-02-26 00:00:00+05:30,5.3,5.4,5.05,5.35,65276269
2021-03-01 00:00:00+05:30,5.45,5.55,5.35,5.4,26452717
2021-03-02 00:00:00+05:30,5.4,5.55,5.35,5.45,32024799
2021-03-03 00:00:00+05:30,5.45,5.45,5.25,5.25,31185763
2021-03-04 00:00:00+05:30,5.15,5.35,5.1,5.25,25909160
2021-03-05 00:00:00+05:30,5.25,5.3,5.05,5.1,15775325
2021-03-08 00:00:00+05:30,5.15,5.35,5.15,5.2,22196504
2021-03-09 00:00:00+05:30,5.25,5.35,5.0,5.1,24242886
2021-03-10 00:00:00+05:30,5.15,5.3,5.15,5.2,23695462
2021-03-12 00:00:00+05:30,5.25,5.3,5.05,5.1,20423545
2021-03-15 00:00:00+05:30,5.15,5.25,5.1,5.15,17868177
2021-03-16 00:00:00+05:30,5.15,5.3,5.15,5.25,31928899
2021-03-17 00:00:00+05:30,5.25,5.3,5.0,5.05,17109863
2021-03-18 00:00:00+05:30,5.15,5.15,4.85,4.9,24761854
2021-03-19 00:00:00+05:30,4.85,5.05,4.7,4.9,42362712
2021-03-22 00:00:00+05:30,4.95,5.15,4.85,5.1,34045086
2021-03-23 00:00:00+05:30,5.25,5.25,4.95,5.1,33445255
2021-03-24 00:00:00+05:30,4.95,5.25,4.85,5.2,46366555
2021-03-25 00:00:00+05:30,5.15,5.25,4.95,5.0,18751582
2021-03-26 00:00:00+05:30,5.0,5.15,4.85,5.05,22081657
2021-03-30 00:00:00+05:30,5.1,5.2,4.8,4.8,37207160
2021-03-31 00:00:00+05:30,4.75,4.75,4.6,4.6,29558444
2021-04-01 00:00:00+05:30,4.6,4.8,4.45,4.7,43011479
2021-04-05 00:00:00+05:30,4.7,4.7,4.45,4.55,22124129
2021-04-06 00:00:00+05:30,4.55,4.75,4.55,4.7,18657952
2021-04-07 00:00:00+05:30,4.75,4.75,4.6,4.65,23653516
2021-04-08 00:00:00+05:30,4.75,4.75,4.55,4.6,10129793
2021-04-09 00:00:00+05:30,4.6,4.75,4.55,4.7,12782882
2021-04-12 00:00:00+05:30,4.55,4.6,4.2,4.3,25438822
2021-04-13 00:00:00+05:30,4.25,4.5,4.25,4.45,10556134
2021-04-15 00:00:00+05:30,4.4,4.45,4.25,4.3,15180699
2021-04-16 00:00:00+05:30,4.3,4.45,4.25,4.35,7510576
2021-04-19 00:00:00+05:30,4.2,4.25,4.05,4.1,15077830
2021-04-20 00:00:00+05:30,4.15,4.35,4.15,4.2,13150338
2021-04-22 00:00:00+05:30,4.2,4.25,4.15,4.2,8877224
2021-04-23 00:00:00+05:30,4.2,4.2,4.1,4.15,6690072
2021-04-26 00:00:00+05:30,4.15,4.3,4.15,4.3,9876195
2021-04-27 00:00:00+05:30,4.3,4.45,4.3,4.35,11714424
2021-04-28 00:00:00+05:30,4.4,4.4,4.3,4.3,7125352
2021-04-29 00:00:00+05:30,4.35,4.4,4.2,4.2,9109415
2021-04-30 00:00:00+05:30,4.2,4.65,4.15,4.4,37632968
2021-05-03 00:00:00+05:30,4.35,4.75,4.3,4.75,32498391
2021-05-04 00:00:00+05:30,4.75,4.85,4.6,4.65,23437734
2021-05-05 00:00:00+05:30,4.65,4.75,4.6,4.65,9692853
2021-05-06 00:00:00+05:30,4.7,4.7,4.55,4.6,10552099
2021-05-07 00:00:00+05:30,4.65,4.75,4.6,4.7,10119833
2021-05-10 00:00:00+05:30,4.75,5.15,4.75,5.15,47643746
2021-05-11 00:00:00+05:30,5.2,5.65,5.05,5.65,206455109
2021-05-12 00:00:00+05:30,5.8,5.85,5.2,5.25,94671910
2021-05-14 00:00:00+05:30,5.35,5.4,5.1,5.2,27888491
2021-05-17 00:00:00+05:30,5.25,5.3,5.05,5.1,18747593
2021-05-18 00:00:00+05:30,5.15,5.2,5.05,5.1,19241550
2021-05-19 00:00:00+05:30,5.1,5.25,5.05,5.15,12429272
2021-05-20 00:00:00+05:30,5.2,5.2,5.05,5.05,12368618
2021-05-21 00:00:00+05:30,5.1,5.1,4.95,5.0,19435483
2021-05-24 00:00:00+05:30,5.0,5.05,4.9,5.0,26658523
2021-05-25 00:00:00+05:30,5.05,5.05,4.95,4.95,21524109
2021-05-26 00:00:00+05:30,4.95,5.4,4.9,5.4,60645198
2021-05-27 00:00:00+05:30,5.55,5.65,5.15,5.3,66088819
2021-05-28 00:00:00+05:30,5.35,5.35,5.2,5.25,26551384
2021-05-31 00:00:00+05:30,5.25,5.35,5.2,5.25,22982463
2021-06-01 00:00:00+05:30,5.3,5.55,5.2,5.4,50231870
