date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,317.4,322.25,316.05,320.85,440526
2021-01-04 00:00:00+05:30,322.0,323.2,319.0,320.0,496576
2021-01-05 00:00:00+05:30,319.5,321.8,316.8,320.55,848595
2021-01-06 00:00:00+05:30,321.0,333.8,320.55,330.1,2667351
2021-01-07 00:00:00+05:30,332.0,334.95,330.65,332.05,1326330
2021-01-08 00:00:00+05:30,336.0,348.75,333.6,335.95,4637625
2021-01-11 00:00:00+05:30,339.4,341.85,332.0,334.55,1378351
2021-01-12 00:00:00+05:30,334.0,340.9,330.8,337.45,1138957
2021-01-13 00:00:00+05:30,336.0,340.2,326.65,331.1,1358744
2021-01-14 00:00:00+05:30,331.1,335.35,327.7,333.0,976978
2021-01-15 00:00:00+05:30,334.0,343.8,329.95,332.05,3509396
2021-01-18 00:00:00+05:30,334.0,340.0,325.0,327.5,1095184
2021-01-19 00:00:00+05:30,328.6,341.0,327.6,339.1,2541204
2021-01-20 00:00:00+05:30,341.8,343.7,331.55,333.55,2093618
2021-01-21 00:00:00+05:30,335.6,338.35,326.1,327.0,1803090
2021-01-22 00:00:00+05:30,327.0,328.75,316.6,319.2,871155
2021-01-25 00:00:00+05:30,321.0,322.25,308.0,314.35,1001146
2021-01-27 00:00:00+05:30,314.2,314.2,303.6,305.1,1294789
2021-01-28 00:00:00+05:30,300.15,308.85,296.5,305.9,1221989
2021-01-29 00:00:00+05:30,308.0,311.25,302.15,308.8,2256133
2021-02-01 00:00:00+05:30,314.7,315.35,304.15,307.45,1786964
2021-02-02 00:00:00+05:30,311.5,318.0,308.55,314.85,2270968
2021-02-03 00:00:00+05:30,317.0,326.4,313.95,322.65,1019000
2021-02-04 00:00:00+05:30,321.8,327.0,320.0,321.15,2326160
2021-02-05 00:00:00+05:30,321.9,322.25,316.4,318.5,1528572
2021-02-08 00:00:00+05:30,319.85,324.9,319.0,322.6,1337801
2021-02-09 00:00:00+05:30,323.0,331.75,322.2,326.0,2018962
2021-02-10 00:00:00+05:30,323.75,335.7,315.1,330.5,3692386
2021-02-11 00:00:00+05:30,328.4,334.5,327.5,333.9,1067865
2021-02-12 00:00:00+05:30,333.0,337.0,325.7,329.35,1227410
2021-02-15 00:00:00+05:30,331.0,335.0,327.55,333.35,1175165
2021-02-16 00:00:00+05:30,329.95,346.9,327.85,345.05,5483054
2021-02-17 00:00:00+05:30,345.75,353.9,342.25,345.45,4874185
2021-02-18 00:00:00+05:30,345.0,375.75,342.75,372.8,4841048
2021-02-19 00:00:00+05:30,374.9,378.0,360.35,365.4,2710274
2021-02-22 00:00:00+05:30,371.0,385.6,368.0,380.25,9015836
2021-02-23 00:00:00+05:30,383.0,384.05,369.1,370.0,2912324
2021-02-24 00:00:00+05:30,370.0,383.65,362.05,368.8,2100901
2021-02-25 00:00:00+05:30,369.55,395.75,365.8,393.25,5586051
2021-02-26 00:00:00+05:30,382.0,392.3,374.2,381.8,2677311
2021-03-01 00:00:00+05:30,385.0,388.45,379.65,385.15,1376124
2021-03-02 00:00:00+05:30,390.0,395.5,384.85,388.95,1463776
2021-03-03 00:00:00+05:30,394.15,409.0,391.55,404.75,3176233
2021-03-04 00:00:00+05:30,397.0,429.7,395.4,417.5,5802085
2021-03-05 00:00:00+05:30,410.25,417.9,399.0,403.55,2234595
2021-03-08 00:00:00+05:30,407.0,420.5,406.75,417.2,1617572
2021-03-09 00:00:00+05:30,418.25,426.4,413.15,417.9,2011976
2021-03-10 00:00:00+05:30,419.8,420.0,414.75,417.5,866937
2021-03-12 00:00:00+05:30,418.0,420.0,409.75,412.25,1747283
2021-03-15 00:00:00+05:30,411.0,416.95,403.8,414.15,1297309
2021-03-16 00:00:00+05:30,417.8,425.9,414.25,423.8,1735911
2021-03-17 00:00:00+05:30,424.0,434.45,414.4,417.0,3277772
2021-03-18 00:00:00+05:30,419.9,423.15,412.75,417.9,1547730
2021-03-19 00:00:00+05:30,418.35,429.0,407.0,425.8,2374864
2021-03-22 00:00:00+05:30,425.8,429.15,418.7,427.45,1751625
2021-03-23 00:00:00+05:30,430.8,430.8,417.35,421.1,1665520
2021-03-24 00:00:00+05:30,419.6,423.85,415.85,418.25,906713
2021-03-25 00:00:00+05:30,418.2,419.9,409.55,410.75,869262
2021-03-26 00:00:00+05:30,413.5,417.15,407.05,415.1,762919
2021-03-30 00:00:00+05:30,416.95,425.5,413.8,421.65,949709
2021-03-31 00:00:00+05:30,425.0,429.4,420.2,423.8,796876
2021-04-01 00:00:00+05:30,423.5,428.55,421.95,427.55,690448
2021-04-05 00:00:00+05:30,425.0,425.6,414.45,416.1,742898
2021-04-06 00:00:00+05:30,416.4,421.0,412.95,418.1,627560
2021-04-07 00:00:00+05:30,416.65,424.65,416.3,421.7,971550
2021-04-08 00:00:00+05:30,422.0,428.55,419.4,422.5,1330315
2021-04-09 00:00:00+05:30,422.0,425.7,418.1,422.4,472398
2021-04-12 00:00:00+05:30,418.0,418.0,393.85,400.0,841355
2021-04-13 00:00:00+05:30,397.3,407.15,388.45,397.0,1039223
2021-04-15 00:00:00+05:30,397.0,402.8,394.3,395.5,803461
2021-04-16 00:00:00+05:30,395.5,412.0,395.5,408.7,1961713
2021-04-19 00:00:00+05:30,404.95,404.95,383.15,384.35,999487
2021-04-20 00:00:00+05:30,387.7,393.75,375.5,377.75,1545319
2021-04-22 00:00:00+05:30,379.65,385.2,378.0,384.25,607542
2021-04-23 00:00:00+05:30,386.0,395.9,384.05,394.0,1765436
2021-04-26 00:00:00+05:30,397.0,397.95,388.6,391.45,377310
2021-04-27 00:00:00+05:30,392.0,394.3,387.45,392.85,484802
2021-04-28 00:00:00+05:30,395.0,396.0,390.0,392.45,659718
2021-04-29 00:00:00+05:30,395.7,403.0,388.3,394.65,1248574
2021-04-30 00:00:00+05:30,391.6,399.35,384.4,396.3,518050
2021-05-03 00:00:00+05:30,397.0,415.0,388.25,395.2,1130650
2021-05-04 00:00:00+05:30,397.0,407.35,395.15,404.05,904377
2021-05-05 00:00:00+05:30,406.0,412.7,401.7,410.45,707428
2021-05-06 00:00:00+05:30,412.25,417.95,407.95,412.5,1063819
2021-05-07 00:00:00+05:30,414.0,419.85,411.2,416.05,819608
2021-05-10 00:00:00+05:30,418.2,454.0,417.65,451.2,3096757
2021-05-11 00:00:00+05:30,451.2,457.0,436.75,439.0,2493351
2021-05-12 00:00:00+05:30,440.95,453.6,430.0,435.95,1755211
2021-05-14 00:00:00+05:30,441.3,445.3,426.0,428.3,867556
2021-05-17 00:00:00+05:30,430.6,440.9,426.3,428.15,991524
2021-05-18 00:00:00+05:30,430.4,440.45,429.1,436.85,1327034
2021-05-19 00:00:00+05:30,439.75,444.25,430.0,435.4,1121662
2021-05-20 00:00:00+05:30,435.4,437.55,422.55,430.75,1092535
2021-05-21 00:00:00+05:30,444.0,465.9,426.1,450.6,15661484
2021-05-24 00:00:00+05:30,450.6,450.6,436.5,439.75,1527131
2021-05-25 00:00:00+05:30,442.0,446.4,428.65,434.7,1262347
2021-05-26 00:00:00+05:30,439.5,439.5,423.25,424.85,1288204
2021-05-27 00:00:00+05:30,426.05,431.0,421.0,429.9,1027802
2021-05-28 00:00:00+05:30,430.0,433.25,425.25,429.25,804669
2021-05-31 00:00:00+05:30,429.0,436.4,424.6,432.85,746021
2021-06-01 00:00:00+05:30,432.0,435.95,429.0,432.5,543857
2021-06-02 00:00:00+05:30,431.75,441.8,429.6,435.6,750045
2021-06-03 00:00:00+05:30,435.6,441.9,435.5,439.35,695389
2021-06-04 00:00:00+05:30,440.4,440.9,430.25,431.4,620183
2021-06-07 00:00:00+05:30,433.75,472.0,432.0,461.2,5968231
2021-06-08 00:00:00+05:30,462.0,489.7,461.75,468.5,9024820
2021-06-09 00:00:00+05:30,473.9,508.7,465.0,474.7,12342963
2021-06-10 00:00:00+05:30,479.95,482.95,468.05,470.85,3186303
2021-06-11 00:00:00+05:30,473.9,474.5,461.05,464.65,1698152
2021-06-14 00:00:00+05:30,464.65,464.95,445.85,458.8,2291051
2021-06-15 00:00:00+05:30,455.0,471.8,455.0,462.55,1246448
2021-06-16 00:00:00+05:30,464.9,472.25,455.25,467.8,1624938
2021-06-17 00:00:00+05:30,464.1,469.1,452.25,457.4,1403849
2021-06-18 00:00:00+05:30,458.0,463.0,439.45,455.35,2198717
2021-06-21 00:00:00+05:30,449.75,468.5,446.1,463.35,1676409
2021-06-22 00:00:00+05:30,466.0,471.4,457.05,458.75,1369609
2021-06-23 00:00:00+05:30,460.5,460.5,453.05,457.5,940388
2021-06-24 00:00:00+05:30,453.7,455.0,443.0,447.45,1389341
2021-06-25 00:00:00+05:30,446.95,455.0,444.65,452.0,686591
2021-06-28 00:00:00+05:30,453.5,460.15,445.1,452.4,1174109
2021-06-29 00:00:00+05:30,454.0,456.15,446.6,454.85,698402
2021-06-30 00:00:00+05:30,455.6,462.9,452.65,460.1,1035110
2021-07-01 00:00:00+05:30,462.0,462.0,454.0,458.3,441887
2021-07-02 00:00:00+05:30,455.25,465.75,455.25,464.65,820426
2021-07-05 00:00:00+05:30,469.65,472.0,462.0,468.9,1348370
2021-07-06 00:00:00+05:30,469.0,474.9,464.95,467.25,1150867
2021-07-07 00:00:00+05:30,465.0,471.8,461.2,470.45,445467
2021-07-08 00:00:00+05:30,470.95,475.0,466.65,471.25,1006484
2021-07-09 00:00:00+05:30,471.0,475.95,465.25,475.2,693825
2021-07-12 00:00:00+05:30,476.15,478.95,470.25,476.5,777136
2021-07-13 00:00:00+05:30,476.1,476.85,468.0,474.65,1131416
2021-07-14 00:00:00+05:30,475.0,475.75,470.5,473.2,414137
2021-07-15 00:00:00+05:30,475.7,483.85,472.45,480.1,1490916
2021-07-16 00:00:00+05:30,482.5,482.5,474.5,480.5,627623
2021-07-19 00:00:00+05:30,476.0,482.7,474.0,481.1,677467
2021-07-20 00:00:00+05:30,481.2,481.75,468.55,475.7,890897
2021-07-22 00:00:00+05:30,475.7,475.7,467.1,473.0,929153
2021-07-23 00:00:00+05:30,475.0,475.55,468.5,473.45,376596
2021-07-26 00:00:00+05:30,468.95,471.95,463.0,467.4,955011
2021-07-27 00:00:00+05:30,467.0,470.25,456.2,458.3,573971
2021-07-28 00:00:00+05:30,459.15,459.85,446.0,454.6,833983
2021-07-29 00:00:00+05:30,455.95,456.85,450.5,452.2,331119
2021-07-30 00:00:00+05:30,452.2,456.5,448.05,455.2,409490
2021-08-02 00:00:00+05:30,460.85,468.9,453.25,465.4,1621575
2021-08-03 00:00:00+05:30,469.65,469.65,459.1,464.45,866123
2021-08-04 00:00:00+05:30,464.45,475.5,463.2,471.75,882942
2021-08-05 00:00:00+05:30,475.0,475.4,464.05,473.2,538755
2021-08-06 00:00:00+05:30,476.15,480.0,466.1,475.05,1561862
2021-08-09 00:00:00+05:30,470.0,470.0,446.35,456.4,1921307
2021-08-10 00:00:00+05:30,454.5,462.3,445.1,456.45,1085595
2021-08-11 00:00:00+05:30,455.45,459.05,448.55,457.2,482111
2021-08-12 00:00:00+05:30,457.0,473.35,457.0,468.35,1602107
2021-08-13 00:00:00+05:30,468.0,474.3,462.6,464.25,983232
2021-08-16 00:00:00+05:30,463.95,466.4,458.3,459.95,278189
2021-08-17 00:00:00+05:30,458.5,461.75,450.0,456.15,951862
2021-08-18 00:00:00+05:30,455.5,461.0,451.35,460.1,967129
2021-08-20 00:00:00+05:30,457.0,457.8,443.85,453.1,674279
2021-08-23 00:00:00+05:30,452.1,459.9,437.25,453.55,1028391
2021-08-24 00:00:00+05:30,450.6,463.0,448.1,460.45,560910
2021-08-25 00:00:00+05:30,461.5,475.0,460.05,472.65,1229430
2021-08-26 00:00:00+05:30,475.95,477.65,465.7,473.15,3057691
2021-08-27 00:00:00+05:30,473.15,496.75,472.2,488.15,3236006
2021-08-30 00:00:00+05:30,490.0,499.8,487.55,490.85,2109663
2021-08-31 00:00:00+05:30,494.9,494.9,478.5,481.5,934369
2021-09-01 00:00:00+05:30,483.5,492.6,481.0,487.85,809156
2021-09-02 00:00:00+05:30,490.0,495.0,484.1,485.05,1016752
2021-09-03 00:00:00+05:30,486.0,490.45,483.9,486.25,515555
2021-09-06 00:00:00+05:30,485.05,485.6,478.0,478.85,480998
2021-09-07 00:00:00+05:30,479.65,480.85,470.2,471.7,871115
2021-09-08 00:00:00+05:30,472.05,485.2,464.9,482.55,1025584
2021-09-09 00:00:00+05:30,485.0,487.8,473.25,477.45,1537264
2021-09-13 00:00:00+05:30,477.0,482.95,471.85,480.75,481004
2021-09-14 00:00:00+05:30,480.5,484.25,476.65,482.25,304051
2021-09-15 00:00:00+05:30,481.0,500.0,480.0,488.9,2050714
2021-09-16 00:00:00+05:30,490.0,497.7,488.0,495.0,1172348
2021-09-17 00:00:00+05:30,498.0,498.9,476.2,481.9,1384011
2021-09-20 00:00:00+05:30,481.0,494.0,474.6,484.5,1126158
2021-09-21 00:00:00+05:30,486.0,491.95,477.1,491.0,673106
2021-09-22 00:00:00+05:30,500.0,503.8,485.2,492.95,1966270
