date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,81.2,82.35,80.7,80.95,57739
2021-01-04 00:00:00+05:30,82.45,83.0,80.65,81.4,147516
2021-01-05 00:00:00+05:30,81.8,81.8,79.65,81.2,84755
2021-01-06 00:00:00+05:30,81.95,85.8,80.8,84.25,258088
2021-01-07 00:00:00+05:30,85.0,85.0,82.75,84.1,113497
2021-01-08 00:00:00+05:30,84.1,90.7,83.8,89.0,957291
2021-01-11 00:00:00+05:30,89.9,99.5,89.2,96.3,3198825
2021-01-12 00:00:00+05:30,96.25,99.0,94.3,98.0,589311
2021-01-13 00:00:00+05:30,99.15,99.15,91.7,92.8,337979
2021-01-14 00:00:00+05:30,93.75,96.35,93.75,94.45,285604
2021-01-15 00:00:00+05:30,96.0,96.0,91.45,92.4,105270
2021-01-18 00:00:00+05:30,93.45,93.45,87.95,89.45,95445
2021-01-19 00:00:00+05:30,90.2,92.8,89.15,89.9,63463
2021-01-20 00:00:00+05:30,89.1,91.35,86.1,87.0,143143
2021-01-21 00:00:00+05:30,87.45,87.6,85.0,85.2,150715
2021-01-22 00:00:00+05:30,85.2,89.9,84.5,88.9,532341
2021-01-25 00:00:00+05:30,90.7,90.7,85.4,86.15,54616
2021-01-27 00:00:00+05:30,86.15,86.5,84.0,84.25,60708
2021-01-28 00:00:00+05:30,84.25,85.8,82.75,84.7,29087
2021-01-29 00:00:00+05:30,85.15,86.25,83.45,83.95,31874
2021-02-01 00:00:00+05:30,85.8,85.8,83.5,84.6,40618
2021-02-02 00:00:00+05:30,85.0,89.7,84.6,87.45,744371
2021-02-03 00:00:00+05:30,92.8,92.8,89.05,89.5,430563
2021-02-04 00:00:00+05:30,90.25,91.1,89.15,90.85,334861
2021-02-05 00:00:00+05:30,91.0,92.3,90.2,91.45,205127
2021-02-08 00:00:00+05:30,91.45,96.5,89.8,95.85,744813
2021-02-09 00:00:00+05:30,96.75,99.5,93.45,96.8,381164
2021-02-10 00:00:00+05:30,96.1,102.4,95.1,98.4,600904
