date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,618.5,627.0,618.5,621.9,32430
2021-01-04 00:00:00+05:30,624.7,635.0,622.15,632.25,84560
2021-01-05 00:00:00+05:30,632.0,632.75,617.9,624.2,87000
2021-01-06 00:00:00+05:30,624.5,632.35,615.0,617.0,39530
2021-01-07 00:00:00+05:30,629.9,629.9,610.0,615.9,51890
2021-01-08 00:00:00+05:30,619.0,633.0,610.5,619.05,105940
2021-01-11 00:00:00+05:30,628.0,628.0,611.55,615.75,60540
2021-01-12 00:00:00+05:30,615.75,634.0,610.0,615.35,61300
2021-01-13 00:00:00+05:30,618.0,620.6,606.95,613.0,66410
2021-01-14 00:00:00+05:30,618.0,632.5,615.0,626.25,110770
2021-01-15 00:00:00+05:30,629.0,632.5,607.5,611.55,58190
2021-01-18 00:00:00+05:30,611.25,617.5,592.1,598.1,58510
2021-01-19 00:00:00+05:30,598.2,617.3,597.8,606.8,64880
2021-01-20 00:00:00+05:30,607.9,616.85,600.8,608.35,53680
2021-01-21 00:00:00+05:30,612.9,619.25,602.1,606.4,615370
2021-01-22 00:00:00+05:30,605.55,618.8,596.5,599.15,50010
2021-01-25 00:00:00+05:30,607.0,607.0,590.0,593.65,35140
2021-01-27 00:00:00+05:30,600.0,600.0,585.7,591.9,82630
2021-01-28 00:00:00+05:30,591.9,601.8,582.2,588.3,41260
2021-01-29 00:00:00+05:30,601.0,601.0,590.1,596.2,25140
2021-02-01 00:00:00+05:30,600.0,603.5,586.5,592.1,34970
2021-02-02 00:00:00+05:30,596.0,617.5,595.3,612.8,76500
2021-02-03 00:00:00+05:30,617.2,617.2,597.0,600.6,81390
2021-02-04 00:00:00+05:30,604.4,616.2,600.7,615.0,1584190
2021-02-05 00:00:00+05:30,619.45,620.0,603.5,606.45,97010
2021-02-08 00:00:00+05:30,608.0,611.6,590.9,600.8,181630
2021-02-09 00:00:00+05:30,601.05,605.5,590.0,591.5,68440
2021-02-10 00:00:00+05:30,592.1,709.75,585.1,693.3,3310370
2021-02-11 00:00:00+05:30,690.0,740.0,664.4,723.8,2407000
2021-02-12 00:00:00+05:30,723.7,749.95,690.5,739.0,1046410
2021-02-15 00:00:00+05:30,736.55,744.5,721.1,729.4,369830
2021-02-16 00:00:00+05:30,720.6,740.0,720.6,735.3,164250
2021-02-17 00:00:00+05:30,737.5,740.0,720.15,726.65,85880
2021-02-18 00:00:00+05:30,727.0,729.9,710.0,715.8,107150
2021-02-19 00:00:00+05:30,715.0,734.0,705.1,730.3,363890
2021-02-22 00:00:00+05:30,725.05,729.0,701.55,714.6,76180
2021-02-23 00:00:00+05:30,710.5,719.2,700.0,702.6,49650
2021-02-24 00:00:00+05:30,716.85,716.85,690.1,703.0,57060
2021-02-25 00:00:00+05:30,715.0,766.25,703.0,741.7,432420
2021-02-26 00:00:00+05:30,741.7,741.7,717.5,725.85,91370
2021-03-01 00:00:00+05:30,726.5,742.0,706.1,711.15,72370
2021-03-02 00:00:00+05:30,731.0,808.0,713.75,792.2,648960
2021-03-03 00:00:00+05:30,789.4,791.05,760.1,766.2,150020
2021-03-04 00:00:00+05:30,762.5,766.0,741.0,745.65,117060
2021-03-05 00:00:00+05:30,748.0,774.45,730.0,734.2,151790
2021-03-08 00:00:00+05:30,748.0,771.55,741.5,745.45,139960
2021-03-09 00:00:00+05:30,753.4,775.0,746.7,763.85,188560
2021-03-10 00:00:00+05:30,760.15,770.0,752.5,763.5,82460
2021-03-12 00:00:00+05:30,773.2,773.2,752.5,759.35,102960
2021-03-15 00:00:00+05:30,767.8,768.85,748.55,754.45,37130
2021-03-16 00:00:00+05:30,761.9,762.0,742.0,757.1,244820
2021-03-17 00:00:00+05:30,764.95,764.95,745.6,751.4,37910
2021-03-18 00:00:00+05:30,755.0,758.8,732.5,736.75,65760
2021-03-19 00:00:00+05:30,740.95,743.5,720.0,722.2,69240
2021-03-22 00:00:00+05:30,722.5,736.5,717.5,722.35,50880
2021-03-23 00:00:00+05:30,724.95,734.7,714.85,719.5,38760
2021-03-24 00:00:00+05:30,725.0,734.0,719.8,723.4,47450
2021-03-25 00:00:00+05:30,718.35,733.85,710.0,717.6,43000
2021-03-26 00:00:00+05:30,721.5,725.45,710.5,713.0,20700
2021-03-30 00:00:00+05:30,717.0,738.0,714.05,734.6,45700
2021-03-31 00:00:00+05:30,737.8,737.8,720.5,725.0,57710
2021-04-01 00:00:00+05:30,725.85,733.6,715.2,728.25,61300
2021-04-05 00:00:00+05:30,728.2,734.9,711.5,729.4,50540
2021-04-06 00:00:00+05:30,732.0,734.45,725.0,729.2,47820
2021-04-07 00:00:00+05:30,730.65,737.3,729.5,735.85,20330
2021-04-08 00:00:00+05:30,739.7,743.7,732.2,737.6,52960
2021-04-09 00:00:00+05:30,737.6,762.0,723.8,747.6,121730
2021-04-12 00:00:00+05:30,743.9,743.9,727.35,731.4,335540
2021-04-13 00:00:00+05:30,731.4,764.8,730.0,751.7,195220
2021-04-15 00:00:00+05:30,751.0,751.0,735.55,743.7,238860
2021-04-16 00:00:00+05:30,743.7,749.5,732.0,734.85,24570
2021-04-19 00:00:00+05:30,732.0,749.0,725.55,744.85,234080
2021-04-20 00:00:00+05:30,750.0,777.7,741.75,752.35,67030
2021-04-22 00:00:00+05:30,741.7,755.0,741.7,750.9,167920
2021-04-23 00:00:00+05:30,750.9,789.75,750.0,767.15,180780
2021-04-26 00:00:00+05:30,767.15,774.6,751.5,768.8,65660
2021-04-27 00:00:00+05:30,762.75,768.8,755.0,764.0,43720
2021-04-28 00:00:00+05:30,784.9,784.9,760.4,768.45,49490
2021-04-29 00:00:00+05:30,767.9,768.45,750.0,755.05,45610
2021-04-30 00:00:00+05:30,756.0,776.0,736.8,740.1,112240
2021-05-03 00:00:00+05:30,740.0,765.0,738.9,750.0,73010
2021-05-04 00:00:00+05:30,755.05,755.75,740.0,742.6,50810
2021-05-05 00:00:00+05:30,747.55,748.45,740.0,742.7,26130
2021-05-06 00:00:00+05:30,740.0,757.55,735.4,741.85,90320
2021-05-07 00:00:00+05:30,740.0,747.55,735.0,737.5,23030
2021-05-10 00:00:00+05:30,735.4,740.5,721.0,725.75,69930
2021-05-11 00:00:00+05:30,728.95,737.0,721.05,725.5,32660
2021-05-12 00:00:00+05:30,728.9,735.05,723.8,726.25,65290
2021-05-14 00:00:00+05:30,726.25,734.9,709.5,711.5,51320
2021-05-17 00:00:00+05:30,713.0,730.0,681.5,696.4,356220
2021-05-18 00:00:00+05:30,719.8,719.8,700.1,709.55,58640
2021-05-19 00:00:00+05:30,712.5,712.5,705.0,708.8,63060
2021-05-20 00:00:00+05:30,709.9,727.75,704.85,720.25,60590
2021-05-21 00:00:00+05:30,720.0,727.25,715.05,722.5,23150
2021-05-24 00:00:00+05:30,732.5,745.0,723.5,737.9,81710
2021-05-25 00:00:00+05:30,738.5,866.65,736.5,841.75,4528110
2021-05-26 00:00:00+05:30,849.8,878.6,812.2,826.3,2163480
2021-05-27 00:00:00+05:30,834.8,892.75,813.55,887.0,1167270
2021-05-28 00:00:00+05:30,887.0,896.0,850.05,860.9,306890
2021-05-31 00:00:00+05:30,867.0,898.8,846.05,866.85,515900
2021-06-01 00:00:00+05:30,884.0,884.0,865.0,877.55,228180
2021-06-02 00:00:00+05:30,870.6,928.6,867.5,892.0,488780
2021-06-03 00:00:00+05:30,889.0,905.0,880.2,884.75,195700
2021-06-04 00:00:00+05:30,879.0,899.1,879.0,890.35,167150
2021-06-07 00:00:00+05:30,891.0,897.55,880.0,885.4,69400
2021-06-08 00:00:00+05:30,894.9,912.55,882.3,892.9,217580
2021-06-09 00:00:00+05:30,902.0,908.5,885.0,889.65,153480
2021-06-10 00:00:00+05:30,889.7,898.45,886.0,892.0,45280
2021-06-11 00:00:00+05:30,897.9,899.65,882.15,889.55,61670
2021-06-14 00:00:00+05:30,889.0,897.2,881.5,885.55,357020
2021-06-15 00:00:00+05:30,886.0,897.2,870.0,876.55,92010
2021-06-16 00:00:00+05:30,885.0,885.0,867.5,870.75,43690
2021-06-17 00:00:00+05:30,870.75,880.85,856.3,859.9,46440
2021-06-18 00:00:00+05:30,867.55,882.0,847.7,858.55,120050
2021-06-21 00:00:00+05:30,872.0,877.3,858.8,871.8,52480
2021-06-22 00:00:00+05:30,875.0,882.45,863.1,873.05,106880
2021-06-23 00:00:00+05:30,870.0,903.5,868.3,898.5,380720
2021-06-24 00:00:00+05:30,899.4,905.0,895.0,898.95,129570
2021-06-25 00:00:00+05:30,900.0,904.0,874.8,880.4,68110
2021-06-28 00:00:00+05:30,885.05,919.0,885.05,904.85,69920
2021-06-29 00:00:00+05:30,919.0,946.65,910.9,930.65,592130
2021-06-30 00:00:00+05:30,930.65,943.0,919.0,937.4,152520
2021-07-01 00:00:00+05:30,937.5,942.45,925.0,932.65,104640
2021-07-02 00:00:00+05:30,925.5,943.0,925.5,942.55,106110
2021-07-05 00:00:00+05:30,955.1,958.9,932.5,941.65,76430
2021-07-06 00:00:00+05:30,942.5,950.0,925.5,930.25,33060
2021-07-07 00:00:00+05:30,935.0,940.0,898.0,904.0,94200
2021-07-08 00:00:00+05:30,903.9,955.9,903.9,929.55,187780
2021-07-09 00:00:00+05:30,934.0,934.0,921.1,924.55,24900
2021-07-12 00:00:00+05:30,900.0,941.45,900.0,934.4,60410
2021-07-13 00:00:00+05:30,927.1,935.65,920.0,928.4,26700
2021-07-14 00:00:00+05:30,929.15,932.5,910.0,915.7,94590
2021-07-15 00:00:00+05:30,922.0,939.5,920.85,932.75,110390
2021-07-16 00:00:00+05:30,939.0,939.0,922.1,924.4,19950
2021-07-19 00:00:00+05:30,925.0,932.95,911.0,915.9,27000
2021-07-20 00:00:00+05:30,920.05,923.0,891.4,900.05,51190
2021-07-22 00:00:00+05:30,905.05,919.9,901.0,916.55,51950
2021-07-23 00:00:00+05:30,920.0,934.9,917.0,924.15,61430
2021-07-26 00:00:00+05:30,934.0,944.65,920.0,923.1,93210
2021-07-27 00:00:00+05:30,934.9,953.3,791.1,920.25,1278860
2021-07-28 00:00:00+05:30,920.1,928.45,865.05,883.35,242770
2021-07-29 00:00:00+05:30,880.0,899.05,875.0,878.85,66190
2021-07-30 00:00:00+05:30,880.1,892.45,870.0,874.4,59410
2021-08-02 00:00:00+05:30,885.3,886.5,865.0,868.65,80530
2021-08-03 00:00:00+05:30,877.0,880.0,857.5,860.75,130710
2021-08-04 00:00:00+05:30,864.9,872.0,855.6,865.25,113110
2021-08-05 00:00:00+05:30,860.1,866.8,857.6,864.0,123820
2021-08-06 00:00:00+05:30,865.0,872.5,860.0,866.45,55000
2021-08-09 00:00:00+05:30,872.55,894.25,863.6,886.2,98290
2021-08-10 00:00:00+05:30,879.1,885.6,868.8,872.0,32400
2021-08-11 00:00:00+05:30,876.9,882.2,867.5,878.95,49350
2021-08-12 00:00:00+05:30,879.0,915.0,875.0,910.75,112950
2021-08-13 00:00:00+05:30,911.0,911.0,885.95,891.55,35800
2021-08-16 00:00:00+05:30,892.55,895.0,879.5,881.6,37400
2021-08-17 00:00:00+05:30,878.0,884.1,869.0,877.25,70520
2021-08-18 00:00:00+05:30,880.05,897.5,877.5,889.6,47880
2021-08-20 00:00:00+05:30,879.1,905.0,879.1,895.65,112790
2021-08-23 00:00:00+05:30,908.5,919.0,884.4,896.45,92220
2021-08-24 00:00:00+05:30,909.0,909.0,879.8,881.5,37000
2021-08-25 00:00:00+05:30,886.75,892.4,885.6,887.75,13060
2021-08-26 00:00:00+05:30,888.5,892.0,882.5,889.45,82380
2021-08-27 00:00:00+05:30,894.2,894.2,877.55,879.5,18780
2021-08-30 00:00:00+05:30,887.9,890.1,877.5,880.5,25560
2021-08-31 00:00:00+05:30,888.0,888.0,876.65,882.65,61150
2021-09-01 00:00:00+05:30,881.1,890.0,878.0,882.4,39350
2021-09-02 00:00:00+05:30,882.4,894.9,870.1,871.15,75270
