date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,12.8,13.3,12.75,13.2,4362019
2021-01-04 00:00:00+05:30,13.3,13.4,12.75,13.1,4785012
2021-01-05 00:00:00+05:30,12.95,13.2,12.85,13.05,2334370
2021-01-06 00:00:00+05:30,13.0,13.35,12.85,13.0,2817758
2021-01-07 00:00:00+05:30,13.15,13.2,12.95,13.0,2237602
2021-01-08 00:00:00+05:30,13.15,13.4,12.85,12.95,4291847
2021-01-11 00:00:00+05:30,13.1,13.15,12.85,12.9,1662280
2021-01-12 00:00:00+05:30,12.8,13.55,12.8,13.35,7017794
2021-01-13 00:00:00+05:30,13.35,13.45,13.05,13.25,4381028
2021-01-14 00:00:00+05:30,13.25,13.35,13.05,13.15,2285484
2021-01-15 00:00:00+05:30,13.1,13.25,12.95,13.0,1715239
2021-01-18 00:00:00+05:30,13.05,13.2,12.85,12.9,2194271
2021-01-19 00:00:00+05:30,12.95,13.25,12.95,13.05,2334835
2021-01-20 00:00:00+05:30,13.05,13.25,13.0,13.15,2180650
2021-01-21 00:00:00+05:30,13.15,13.25,12.9,13.0,2045403
2021-01-22 00:00:00+05:30,13.05,13.1,12.75,12.85,1778583
2021-01-25 00:00:00+05:30,13.05,13.6,12.9,13.05,13961962
2021-01-27 00:00:00+05:30,13.2,13.25,12.9,13.0,2830449
2021-01-28 00:00:00+05:30,12.75,12.85,12.65,12.75,1709906
2021-01-29 00:00:00+05:30,12.85,13.05,12.8,12.85,3567275
2021-02-01 00:00:00+05:30,13.0,13.15,12.9,13.0,4810144
2021-02-02 00:00:00+05:30,13.15,13.3,13.0,13.05,3206175
2021-02-03 00:00:00+05:30,13.15,13.4,12.95,13.25,4984754
2021-02-04 00:00:00+05:30,13.3,13.5,13.15,13.4,5677242
2021-02-05 00:00:00+05:30,13.65,14.15,13.25,13.3,12086406
2021-02-08 00:00:00+05:30,13.5,13.55,13.15,13.15,1780567
2021-02-09 00:00:00+05:30,13.15,13.25,13.05,13.1,2048780
2021-02-10 00:00:00+05:30,13.1,13.15,12.95,12.95,1404033
2021-02-11 00:00:00+05:30,13.0,13.15,12.9,12.95,1456366
2021-02-12 00:00:00+05:30,13.0,13.0,12.85,12.9,1522431
2021-02-15 00:00:00+05:30,12.95,13.05,12.8,12.85,1360611
2021-02-16 00:00:00+05:30,13.1,13.45,13.0,13.15,7807937
2021-02-17 00:00:00+05:30,13.1,15.25,13.0,14.25,81771071
2021-02-18 00:00:00+05:30,14.6,15.85,14.6,15.3,77469309
2021-02-19 00:00:00+05:30,15.9,16.35,13.8,14.4,59282527
2021-02-22 00:00:00+05:30,14.5,14.65,13.4,13.85,19444426
2021-02-23 00:00:00+05:30,13.95,15.0,13.75,13.95,7008695
2021-02-24 00:00:00+05:30,14.15,14.85,13.95,14.4,10362576
2021-02-25 00:00:00+05:30,14.75,14.95,14.35,14.4,9719733
2021-02-26 00:00:00+05:30,14.0,14.25,13.8,13.9,6255763
2021-03-01 00:00:00+05:30,14.0,14.25,13.55,13.75,5424526
2021-03-02 00:00:00+05:30,13.9,14.0,13.65,13.75,4046132
2021-03-03 00:00:00+05:30,13.9,14.1,13.7,13.85,6195967
2021-03-04 00:00:00+05:30,13.85,14.25,13.55,13.65,7898882
2021-03-05 00:00:00+05:30,13.75,13.8,13.2,13.3,6495258
2021-03-08 00:00:00+05:30,13.5,13.9,13.3,13.3,9090730
2021-03-09 00:00:00+05:30,13.45,13.6,13.0,13.1,6972154
2021-03-10 00:00:00+05:30,13.15,13.3,12.95,13.0,6692307
2021-03-12 00:00:00+05:30,13.5,13.85,13.2,13.4,14289165
2021-03-15 00:00:00+05:30,14.15,14.75,13.75,14.05,50424843
2021-03-16 00:00:00+05:30,14.15,14.35,13.85,14.05,21091939
2021-03-17 00:00:00+05:30,13.95,14.5,13.55,13.7,19546698
2021-03-18 00:00:00+05:30,13.95,14.1,12.8,13.05,18109879
2021-03-19 00:00:00+05:30,12.95,13.2,12.55,13.0,14724935
2021-03-22 00:00:00+05:30,12.95,13.15,12.4,12.5,17636364
2021-03-23 00:00:00+05:30,12.7,12.95,12.4,12.45,31702810
2021-03-24 00:00:00+05:30,12.5,12.75,11.8,11.9,22964069
2021-03-25 00:00:00+05:30,12.05,12.1,10.8,10.9,34044691
2021-03-26 00:00:00+05:30,11.2,11.35,10.9,10.95,17339622
2021-03-30 00:00:00+05:30,11.05,11.2,10.8,10.95,10869396
2021-03-31 00:00:00+05:30,11.15,11.15,10.9,11.0,11384869
2021-04-01 00:00:00+05:30,11.4,11.5,11.15,11.45,10635549
2021-04-05 00:00:00+05:30,11.45,11.5,11.0,11.2,6314462
2021-04-06 00:00:00+05:30,11.3,11.35,11.1,11.15,4120560
2021-04-07 00:00:00+05:30,11.2,11.55,11.15,11.35,8187970
2021-04-08 00:00:00+05:30,11.45,11.5,11.25,11.3,5649979
2021-04-09 00:00:00+05:30,11.3,12.25,11.15,11.95,29242435
2021-04-12 00:00:00+05:30,11.65,11.65,11.0,11.15,11054408
2021-04-13 00:00:00+05:30,11.25,11.65,11.15,11.5,11182122
2021-04-15 00:00:00+05:30,11.5,11.5,11.1,11.4,8625738
2021-04-16 00:00:00+05:30,11.4,11.65,11.15,11.2,6565267
2021-04-19 00:00:00+05:30,10.95,11.0,10.75,10.9,6400165
2021-04-20 00:00:00+05:30,11.0,11.25,10.85,10.95,6029567
2021-04-22 00:00:00+05:30,10.85,11.0,10.75,10.9,5644652
2021-04-23 00:00:00+05:30,10.9,11.0,10.85,10.9,3628604
2021-04-26 00:00:00+05:30,11.0,11.05,10.95,10.95,3374462
2021-04-27 00:00:00+05:30,11.0,11.1,10.95,11.05,3268716
2021-04-28 00:00:00+05:30,11.1,11.2,11.05,11.1,4007209
2021-04-29 00:00:00+05:30,11.15,11.25,11.0,11.05,4193586
2021-04-30 00:00:00+05:30,10.9,11.1,10.9,11.0,3709688
