date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,376.5,378.0,375.15,377.5,37502
2021-01-04 00:00:00+05:30,377.5,385.0,377.5,383.55,109545
2021-01-05 00:00:00+05:30,380.2,388.9,380.0,384.4,93424
2021-01-06 00:00:00+05:30,386.35,386.85,373.2,375.4,148374
2021-01-07 00:00:00+05:30,378.0,382.0,366.15,372.0,120079
2021-01-08 00:00:00+05:30,375.45,378.9,370.0,371.2,119175
2021-01-11 00:00:00+05:30,371.7,373.05,364.2,365.6,84915
2021-01-12 00:00:00+05:30,364.0,389.9,362.45,383.5,503701
2021-01-13 00:00:00+05:30,383.5,386.5,372.8,377.1,117782
2021-01-14 00:00:00+05:30,379.9,379.9,373.0,376.15,38907
2021-01-15 00:00:00+05:30,373.1,376.7,370.0,372.75,38308
2021-01-18 00:00:00+05:30,373.8,381.1,361.6,365.6,232651
2021-01-19 00:00:00+05:30,374.8,374.8,366.25,371.95,44171
2021-01-20 00:00:00+05:30,373.7,375.65,369.2,370.1,43012
2021-01-21 00:00:00+05:30,372.0,386.0,370.0,371.95,154491
2021-01-22 00:00:00+05:30,374.9,374.9,361.5,365.0,64744
2021-01-25 00:00:00+05:30,368.25,369.9,351.65,356.8,73709
2021-01-27 00:00:00+05:30,354.0,356.6,350.0,352.0,39183
2021-01-28 00:00:00+05:30,347.05,373.4,347.05,366.45,159930
2021-01-29 00:00:00+05:30,372.75,373.0,358.0,359.2,81154
2021-02-01 00:00:00+05:30,359.0,359.0,348.0,349.6,174412
2021-02-02 00:00:00+05:30,352.6,364.9,348.0,349.15,162766
2021-02-03 00:00:00+05:30,349.2,359.0,349.2,352.7,121481
2021-02-04 00:00:00+05:30,352.7,359.4,350.35,351.45,141844
2021-02-05 00:00:00+05:30,352.9,358.0,347.35,348.4,137293
2021-02-08 00:00:00+05:30,348.8,350.1,337.55,338.65,354754
2021-02-09 00:00:00+05:30,340.0,345.05,338.1,339.0,153248
2021-02-10 00:00:00+05:30,341.5,358.3,341.5,351.85,429363
2021-02-11 00:00:00+05:30,355.6,365.0,352.85,363.05,418579
2021-02-12 00:00:00+05:30,364.8,364.8,352.0,353.45,431891
2021-02-15 00:00:00+05:30,354.1,361.5,354.0,354.95,171814
2021-02-16 00:00:00+05:30,357.9,367.0,355.0,357.3,404959
2021-02-17 00:00:00+05:30,357.3,375.0,354.2,367.6,460545
2021-02-18 00:00:00+05:30,379.9,382.4,372.0,373.45,269290
2021-02-19 00:00:00+05:30,374.15,374.15,363.0,368.3,104767
2021-02-22 00:00:00+05:30,370.0,374.5,359.95,361.85,153006
2021-02-23 00:00:00+05:30,363.9,366.35,358.65,362.85,119176
2021-02-24 00:00:00+05:30,364.0,367.55,363.2,366.05,49635
2021-02-25 00:00:00+05:30,368.9,371.5,366.8,368.95,65905
2021-02-26 00:00:00+05:30,366.0,368.9,361.05,362.55,70704
2021-03-01 00:00:00+05:30,367.5,370.0,360.0,364.9,108266
2021-03-02 00:00:00+05:30,364.9,374.8,364.9,368.1,209811
2021-03-03 00:00:00+05:30,371.0,398.0,369.55,389.8,789733
2021-03-04 00:00:00+05:30,384.35,424.0,382.0,420.5,1615614
2021-03-05 00:00:00+05:30,424.0,429.0,400.0,405.95,580800
2021-03-08 00:00:00+05:30,412.9,422.4,406.1,415.3,320710
2021-03-09 00:00:00+05:30,416.85,419.8,400.0,402.9,189909
2021-03-10 00:00:00+05:30,404.5,408.65,399.0,402.4,142479
2021-03-12 00:00:00+05:30,406.45,425.5,405.35,416.25,485696
2021-03-15 00:00:00+05:30,420.2,448.0,417.3,439.0,993814
2021-03-16 00:00:00+05:30,444.0,447.0,430.2,437.1,420435
2021-03-17 00:00:00+05:30,440.6,441.4,406.0,411.3,264370
2021-03-18 00:00:00+05:30,417.55,418.95,386.0,396.7,353306
2021-03-19 00:00:00+05:30,390.25,395.65,380.0,390.2,207500
2021-03-22 00:00:00+05:30,393.0,401.45,388.0,393.6,123636
2021-03-23 00:00:00+05:30,394.2,400.0,389.55,393.2,99883
2021-03-24 00:00:00+05:30,392.0,394.95,380.1,382.55,99552
2021-03-25 00:00:00+05:30,384.5,384.7,370.5,376.45,112443
2021-03-26 00:00:00+05:30,379.95,381.6,373.6,377.45,91553
2021-03-30 00:00:00+05:30,380.0,385.75,368.0,373.7,173767
2021-03-31 00:00:00+05:30,377.0,385.0,375.0,378.05,70003
2021-04-01 00:00:00+05:30,380.9,389.7,378.5,387.6,87162
2021-04-05 00:00:00+05:30,387.0,387.0,375.3,380.25,71732
2021-04-06 00:00:00+05:30,381.0,385.5,377.7,378.95,95287
2021-04-07 00:00:00+05:30,378.0,382.5,375.05,376.1,92976
2021-04-08 00:00:00+05:30,378.0,388.95,378.0,383.4,164690
2021-04-09 00:00:00+05:30,385.4,385.7,379.15,381.6,66795
2021-04-12 00:00:00+05:30,377.9,378.0,354.3,357.5,136031
2021-04-13 00:00:00+05:30,360.0,381.0,352.8,364.85,77204
