date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,81.1,81.95,80.3,80.7,2165755
2021-01-04 00:00:00+05:30,80.9,85.4,80.5,84.55,6598215
2021-01-05 00:00:00+05:30,84.9,86.9,84.65,85.9,3172020
2021-01-06 00:00:00+05:30,86.05,86.7,84.7,85.35,1929735
2021-01-07 00:00:00+05:30,86.45,88.2,85.45,87.6,3462045
2021-01-08 00:00:00+05:30,87.6,90.25,86.5,88.0,2847490
2021-01-11 00:00:00+05:30,88.8,94.8,87.5,88.55,6125190
2021-01-12 00:00:00+05:30,89.3,89.6,85.9,86.1,3292515
2021-01-13 00:00:00+05:30,88.35,88.35,82.05,83.35,5096940
2021-01-14 00:00:00+05:30,82.9,82.9,80.6,81.0,4918450
2021-01-15 00:00:00+05:30,81.2,82.55,79.2,79.6,4218450
2021-01-18 00:00:00+05:30,79.6,80.5,76.9,77.9,2844130
2021-01-19 00:00:00+05:30,78.8,79.9,77.2,77.7,1977475
2021-01-20 00:00:00+05:30,78.2,82.3,78.2,81.5,3896935
2021-01-21 00:00:00+05:30,82.5,83.8,80.2,82.1,5340940
2021-01-22 00:00:00+05:30,82.7,82.7,80.0,80.35,1503945
2021-01-25 00:00:00+05:30,81.1,81.5,78.7,79.35,1574055
2021-01-27 00:00:00+05:30,79.55,82.05,79.1,80.05,3482880
2021-01-28 00:00:00+05:30,79.3,80.0,75.9,76.65,2034385
2021-01-29 00:00:00+05:30,77.0,80.85,76.9,79.9,5681545
2021-02-01 00:00:00+05:30,79.8,81.4,77.8,80.15,2176515
2021-02-02 00:00:00+05:30,80.85,81.05,77.0,77.35,5941570
2021-02-03 00:00:00+05:30,77.75,80.45,77.5,79.7,3679990
2021-02-04 00:00:00+05:30,80.0,80.9,78.25,80.25,3221340
2021-02-05 00:00:00+05:30,80.6,80.9,79.25,80.1,1353595
2021-02-08 00:00:00+05:30,80.2,80.85,78.4,78.9,2064435
2021-02-09 00:00:00+05:30,79.55,80.1,78.5,79.7,1235455
2021-02-10 00:00:00+05:30,80.3,80.9,78.25,79.2,2182155
2021-02-11 00:00:00+05:30,78.85,82.2,78.65,80.4,7241560
2021-02-12 00:00:00+05:30,80.7,81.95,80.45,81.1,1700125
2021-02-15 00:00:00+05:30,81.9,85.6,81.4,84.0,7158600
2021-02-16 00:00:00+05:30,85.15,85.3,79.4,80.15,12573565
2021-02-17 00:00:00+05:30,80.55,84.45,80.5,84.05,10956615
2021-02-18 00:00:00+05:30,84.9,85.15,83.2,84.3,2838555
2021-02-19 00:00:00+05:30,84.9,87.3,84.0,86.6,4760010
2021-02-22 00:00:00+05:30,87.2,95.55,86.8,91.1,21004665
2021-02-23 00:00:00+05:30,94.4,100.45,89.9,91.8,10215420
2021-02-24 00:00:00+05:30,91.95,94.9,90.7,93.1,2184570
2021-02-25 00:00:00+05:30,93.6,94.0,90.7,92.7,4638805
2021-02-26 00:00:00+05:30,91.15,94.2,90.25,92.7,4075270
2021-03-01 00:00:00+05:30,95.1,95.1,89.6,92.9,4356720
2021-03-02 00:00:00+05:30,94.2,94.3,92.05,93.75,2760550
2021-03-03 00:00:00+05:30,94.3,94.7,91.7,93.2,2767000
2021-03-04 00:00:00+05:30,92.35,94.2,92.1,93.35,2512395
2021-03-05 00:00:00+05:30,93.35,93.85,91.5,92.75,2533695
2021-03-08 00:00:00+05:30,92.6,92.6,88.2,88.8,5302480
2021-03-09 00:00:00+05:30,89.5,89.85,87.1,88.3,4954185
2021-03-10 00:00:00+05:30,88.45,89.6,87.65,87.95,1382710
2021-03-12 00:00:00+05:30,88.45,89.2,86.3,86.75,3694680
2021-03-15 00:00:00+05:30,87.75,88.2,85.15,85.6,3018015
2021-03-16 00:00:00+05:30,85.75,89.6,85.75,88.5,3452685
2021-03-17 00:00:00+05:30,89.3,90.3,88.9,89.5,2762395
2021-03-18 00:00:00+05:30,89.5,91.1,86.0,86.7,2494935
2021-03-19 00:00:00+05:30,87.05,89.8,85.35,86.75,17417140
2021-03-22 00:00:00+05:30,87.55,89.3,86.7,88.9,2437035
2021-03-23 00:00:00+05:30,89.7,90.7,87.5,88.8,2277810
2021-03-24 00:00:00+05:30,89.25,91.0,87.3,88.1,4056880
2021-03-25 00:00:00+05:30,88.15,90.2,87.8,88.75,5358175
