date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,635.6,646.5,625.2,630.5,76536
2021-01-04 00:00:00+05:30,625.2,639.4,613.8,620.3,98532
2021-01-05 00:00:00+05:30,631.2,631.2,600.3,617.5,150916
2021-01-06 00:00:00+05:30,625.1,626.2,611.0,615.9,101092
2021-01-07 00:00:00+05:30,619.0,626.0,600.8,605.6,39680
2021-01-08 00:00:00+05:30,607.8,616.6,602.4,614.5,53932
2021-01-11 00:00:00+05:30,621.0,629.7,605.0,614.6,150164
2021-01-12 00:00:00+05:30,605.4,617.6,605.4,613.6,31344
2021-01-13 00:00:00+05:30,616.6,618.0,580.8,610.4,118084
2021-01-14 00:00:00+05:30,610.4,616.0,591.8,604.7,63580
2021-01-15 00:00:00+05:30,607.7,612.5,595.0,603.2,36940
2021-01-18 00:00:00+05:30,600.5,608.8,596.1,603.0,49092
2021-01-19 00:00:00+05:30,606.0,617.6,605.4,611.3,26384
2021-01-20 00:00:00+05:30,614.3,629.0,597.5,601.5,79208
2021-01-21 00:00:00+05:30,613.5,642.5,603.3,618.5,191100
2021-01-22 00:00:00+05:30,623.4,640.0,601.3,625.2,195632
2021-01-25 00:00:00+05:30,646.2,653.1,613.8,624.5,61000
2021-01-27 00:00:00+05:30,627.6,630.0,589.2,594.9,159568
2021-01-28 00:00:00+05:30,595.0,633.3,585.0,608.2,195232
2021-01-29 00:00:00+05:30,608.8,631.2,607.5,613.2,82332
2021-02-01 00:00:00+05:30,616.2,622.3,594.0,617.3,100956
2021-02-02 00:00:00+05:30,630.0,630.0,608.5,612.7,129292
2021-02-03 00:00:00+05:30,623.5,623.5,607.8,614.8,243108
2021-02-04 00:00:00+05:30,617.8,637.0,610.5,624.5,53416
2021-02-05 00:00:00+05:30,624.5,627.6,605.0,620.6,79452
2021-02-08 00:00:00+05:30,622.8,623.9,605.0,617.9,94956
2021-02-09 00:00:00+05:30,620.9,622.9,608.9,612.6,99832
2021-02-10 00:00:00+05:30,607.1,626.2,607.1,622.1,73708
2021-02-11 00:00:00+05:30,622.5,746.6,616.3,746.6,1378924
2021-02-12 00:00:00+05:30,762.5,782.2,706.2,720.2,619480
2021-02-15 00:00:00+05:30,720.5,730.9,701.1,716.3,331892
2021-02-16 00:00:00+05:30,725.0,745.0,685.0,690.9,393744
2021-02-17 00:00:00+05:30,690.9,693.8,672.5,681.3,91796
2021-02-18 00:00:00+05:30,673.3,701.2,673.3,683.0,74856
2021-02-19 00:00:00+05:30,684.5,704.8,663.5,673.9,67572
2021-02-22 00:00:00+05:30,679.8,679.8,643.9,662.1,67976
2021-02-23 00:00:00+05:30,665.6,723.5,665.1,680.8,265308
2021-02-24 00:00:00+05:30,684.0,690.0,652.5,679.6,35028
2021-02-25 00:00:00+05:30,688.8,691.2,666.4,675.2,97132
2021-02-26 00:00:00+05:30,672.0,683.8,652.6,662.0,58424
2021-03-01 00:00:00+05:30,667.2,667.2,650.0,655.2,60556
2021-03-02 00:00:00+05:30,658.5,677.8,653.0,669.6,90508
2021-03-03 00:00:00+05:30,675.0,721.2,675.0,694.4,323788
2021-03-04 00:00:00+05:30,690.8,709.0,683.2,704.9,64856
2021-03-05 00:00:00+05:30,707.5,715.0,688.5,701.8,49456
2021-03-08 00:00:00+05:30,705.0,715.3,693.0,699.0,76944
2021-03-09 00:00:00+05:30,703.5,709.2,682.7,703.1,53888
2021-03-10 00:00:00+05:30,714.5,714.5,686.2,693.9,70132
2021-03-12 00:00:00+05:30,706.2,719.0,698.8,708.4,107920
2021-03-15 00:00:00+05:30,709.5,709.5,679.7,686.4,57632
2021-03-16 00:00:00+05:30,700.0,707.2,680.0,684.7,61464
2021-03-17 00:00:00+05:30,687.0,697.7,678.8,686.6,77520
2021-03-18 00:00:00+05:30,697.4,697.5,663.6,689.2,51776
2021-03-19 00:00:00+05:30,689.2,693.8,668.0,685.4,77272
2021-03-22 00:00:00+05:30,686.2,704.9,678.6,698.1,58768
2021-03-23 00:00:00+05:30,703.4,703.8,689.8,697.6,46152
2021-03-24 00:00:00+05:30,697.2,702.4,672.0,682.3,62492
2021-03-25 00:00:00+05:30,685.1,685.9,652.7,673.4,56124
2021-03-26 00:00:00+05:30,683.8,692.5,674.6,687.0,37940
2021-03-30 00:00:00+05:30,687.5,702.5,687.0,694.9,120856
2021-03-31 00:00:00+05:30,702.2,702.5,687.5,696.4,99704
2021-04-01 00:00:00+05:30,696.4,712.5,692.3,702.1,406136
2021-04-05 00:00:00+05:30,717.0,717.0,693.4,698.7,92260
2021-04-06 00:00:00+05:30,708.8,710.0,690.0,692.8,43864
2021-04-07 00:00:00+05:30,699.8,704.5,693.7,697.3,16108
2021-04-08 00:00:00+05:30,705.5,706.2,697.5,701.6,94596
2021-04-09 00:00:00+05:30,703.8,703.8,695.2,699.3,35204
2021-04-12 00:00:00+05:30,697.5,706.2,672.5,690.5,62828
2021-04-13 00:00:00+05:30,694.0,697.4,687.5,694.2,24568
2021-04-15 00:00:00+05:30,705.0,771.0,688.2,731.6,223220
2021-04-16 00:00:00+05:30,725.2,732.8,700.0,703.6,131484
2021-04-19 00:00:00+05:30,705.0,705.0,650.4,664.8,72508
2021-04-20 00:00:00+05:30,667.2,672.2,652.9,658.0,63472
2021-04-22 00:00:00+05:30,652.1,657.9,623.2,647.5,277696
2021-04-23 00:00:00+05:30,641.3,660.5,637.5,640.2,59524
2021-04-26 00:00:00+05:30,643.4,661.2,641.2,654.2,32812
2021-04-27 00:00:00+05:30,655.2,664.3,652.8,657.6,21520
2021-04-28 00:00:00+05:30,661.0,668.4,657.7,661.4,27116
2021-04-29 00:00:00+05:30,664.9,698.0,657.4,676.0,83180
2021-04-30 00:00:00+05:30,676.0,677.4,660.7,663.2,38968
2021-05-03 00:00:00+05:30,663.0,687.5,657.1,680.5,35496
2021-05-04 00:00:00+05:30,682.5,691.8,677.8,682.5,29992
2021-05-05 00:00:00+05:30,683.8,686.0,672.5,674.2,18288
2021-05-06 00:00:00+05:30,674.2,676.3,667.2,670.5,29988
2021-05-07 00:00:00+05:30,675.0,690.0,670.0,681.1,51788
2021-05-10 00:00:00+05:30,675.0,697.5,670.2,677.0,71620
2021-05-11 00:00:00+05:30,680.4,687.5,670.5,676.9,34988
2021-05-12 00:00:00+05:30,673.0,686.2,665.0,669.1,59376
2021-05-14 00:00:00+05:30,663.0,675.7,640.3,647.1,136444
2021-05-17 00:00:00+05:30,647.5,656.1,640.9,649.7,59772
2021-05-18 00:00:00+05:30,650.0,655.9,638.9,652.7,539292
2021-05-19 00:00:00+05:30,652.8,680.1,652.8,663.5,121748
2021-05-20 00:00:00+05:30,667.5,681.2,667.5,676.5,52120
2021-05-21 00:00:00+05:30,679.8,682.5,668.8,676.4,44556
2021-05-24 00:00:00+05:30,679.8,709.2,669.0,701.7,125992
2021-05-25 00:00:00+05:30,703.8,706.2,689.0,694.1,106792
2021-05-26 00:00:00+05:30,697.5,712.2,687.5,690.1,256608
2021-05-27 00:00:00+05:30,690.1,702.8,690.1,700.0,186648
2021-05-28 00:00:00+05:30,693.3,701.0,667.8,674.3,107808
2021-05-31 00:00:00+05:30,663.1,703.2,663.1,691.5,121148
2021-06-01 00:00:00+05:30,693.8,699.7,681.3,693.7,83676
2021-06-02 00:00:00+05:30,693.5,699.7,687.8,696.0,48316
2021-06-03 00:00:00+05:30,698.5,700.2,692.5,694.6,37872
2021-06-04 00:00:00+05:30,698.1,699.8,686.5,688.1,42432
2021-06-07 00:00:00+05:30,688.3,719.4,688.3,705.5,79628
2021-06-08 00:00:00+05:30,712.5,740.0,703.8,720.6,161636
2021-06-09 00:00:00+05:30,722.2,729.9,702.7,708.6,91292
2021-06-10 00:00:00+05:30,718.8,721.0,708.8,710.8,36016
2021-06-11 00:00:00+05:30,716.2,725.1,691.9,697.8,60688
2021-06-14 00:00:00+05:30,700.2,703.8,689.9,699.9,29156
2021-06-15 00:00:00+05:30,702.5,702.5,690.2,697.2,57728
2021-06-16 00:00:00+05:30,699.4,703.9,691.5,696.6,56188
2021-06-17 00:00:00+05:30,696.9,711.1,696.1,701.0,63888
2021-06-18 00:00:00+05:30,703.4,706.5,692.8,700.0,262396
2021-06-21 00:00:00+05:30,707.5,722.0,700.2,708.9,100412
2021-06-22 00:00:00+05:30,714.9,716.8,702.0,705.4,39608
2021-06-23 00:00:00+05:30,709.0,732.5,709.0,712.6,122280
2021-06-24 00:00:00+05:30,713.0,785.5,693.8,707.3,1668580
2021-06-25 00:00:00+05:30,709.9,723.5,696.0,709.6,215604
2021-06-28 00:00:00+05:30,714.4,732.2,697.7,712.9,121104
2021-06-29 00:00:00+05:30,716.0,716.0,700.2,703.7,41220
2021-06-30 00:00:00+05:30,707.3,717.9,695.3,700.1,110708
2021-07-01 00:00:00+05:30,700.1,717.8,700.1,704.7,117576
2021-07-02 00:00:00+05:30,705.0,715.8,705.0,710.3,43080
2021-07-05 00:00:00+05:30,715.0,724.2,705.6,720.6,107816
2021-07-06 00:00:00+05:30,729.5,761.7,721.7,750.6,406480
2021-07-07 00:00:00+05:30,750.8,766.6,737.5,759.3,93448
2021-07-08 00:00:00+05:30,758.8,760.8,753.2,757.5,35848
2021-07-09 00:00:00+05:30,757.2,803.0,746.8,778.0,261828
2021-07-12 00:00:00+05:30,778.0,802.7,767.9,795.3,114960
2021-07-13 00:00:00+05:30,795.0,902.8,787.5,859.2,2320380
2021-07-14 00:00:00+05:30,857.5,887.5,831.2,865.4,362700
2021-07-15 00:00:00+05:30,860.4,870.0,822.5,831.5,157344
2021-07-16 00:00:00+05:30,837.5,868.7,812.5,821.2,147788
2021-07-19 00:00:00+05:30,820.0,836.6,808.2,825.5,117648
2021-07-20 00:00:00+05:30,825.5,827.0,800.2,810.8,500148
2021-07-22 00:00:00+05:30,811.0,871.2,811.0,847.1,212820
2021-07-23 00:00:00+05:30,847.5,858.0,817.8,838.8,236300
2021-07-26 00:00:00+05:30,842.5,852.9,823.4,838.6,76700
2021-07-27 00:00:00+05:30,847.5,856.2,810.0,817.8,256348
2021-07-28 00:00:00+05:30,824.7,850.0,820.0,846.5,128664
2021-07-29 00:00:00+05:30,855.4,997.0,852.5,963.5,1039844
2021-07-30 00:00:00+05:30,967.5,1021.2,941.2,969.9,845448
2021-08-02 00:00:00+05:30,965.3,1012.5,957.5,989.5,278300
2021-08-03 00:00:00+05:30,987.2,991.5,973.8,984.7,159036
2021-08-04 00:00:00+05:30,984.5,992.0,962.5,970.0,35792
2021-08-05 00:00:00+05:30,981.7,981.7,928.0,930.4,84992
2021-08-06 00:00:00+05:30,962.5,962.5,890.2,939.8,80404
2021-08-09 00:00:00+05:30,942.2,944.1,913.9,917.8,38348
2021-08-10 00:00:00+05:30,913.8,927.6,902.0,908.7,84412
2021-08-11 00:00:00+05:30,888.2,907.7,842.0,856.0,250208
2021-08-12 00:00:00+05:30,888.8,900.0,863.0,889.0,225380
2021-08-13 00:00:00+05:30,876.2,911.0,875.0,884.2,80008
2021-08-16 00:00:00+05:30,885.6,930.9,883.4,906.8,136244
2021-08-17 00:00:00+05:30,911.4,945.0,905.2,932.8,189616
2021-08-18 00:00:00+05:30,920.3,937.5,915.8,928.7,71716
2021-08-20 00:00:00+05:30,931.2,931.2,883.8,913.6,82404
2021-08-23 00:00:00+05:30,913.8,936.6,853.1,872.3,103304
2021-08-24 00:00:00+05:30,873.5,895.9,866.6,885.6,65372
2021-08-25 00:00:00+05:30,885.0,901.8,877.3,895.6,59920
2021-08-26 00:00:00+05:30,909.8,915.0,875.3,884.7,45624
2021-08-27 00:00:00+05:30,884.5,893.5,875.5,881.8,23912
2021-08-30 00:00:00+05:30,883.0,892.5,858.6,875.4,97360
2021-08-31 00:00:00+05:30,887.5,930.8,876.4,898.4,358956
2021-09-01 00:00:00+05:30,909.5,939.9,898.8,905.9,175852
2021-09-02 00:00:00+05:30,916.2,950.0,905.0,910.6,398724
2021-09-03 00:00:00+05:30,912.5,926.2,888.2,898.9,101284
2021-09-06 00:00:00+05:30,911.2,929.5,888.8,893.1,206036
2021-09-07 00:00:00+05:30,902.8,906.2,882.8,885.3,90920
2021-09-08 00:00:00+05:30,890.0,897.7,871.9,883.7,94580
2021-09-09 00:00:00+05:30,896.0,896.0,860.5,868.8,142624
2021-09-13 00:00:00+05:30,879.5,880.0,852.8,868.5,96692
2021-09-14 00:00:00+05:30,868.2,874.8,857.5,862.9,92668
2021-09-15 00:00:00+05:30,867.2,880.1,858.3,873.7,151044
2021-09-16 00:00:00+05:30,878.7,898.7,861.8,873.6,124108
2021-09-17 00:00:00+05:30,880.0,888.0,850.3,855.9,111772
2021-09-20 00:00:00+05:30,855.5,868.9,847.3,851.2,56020
2021-09-21 00:00:00+05:30,854.8,862.2,826.8,856.6,72080
2021-09-22 00:00:00+05:30,856.6,874.2,847.2,865.3,176024
2021-09-23 00:00:00+05:30,869.6,943.8,865.7,897.4,289884
2021-09-24 00:00:00+05:30,921.2,921.2,877.2,883.9,128620
2021-09-27 00:00:00+05:30,888.0,900.0,870.5,874.1,41932
2021-09-28 00:00:00+05:30,882.2,891.5,873.0,877.7,35736
2021-09-29 00:00:00+05:30,868.8,894.9,868.7,880.9,48968
2021-09-30 00:00:00+05:30,885.3,895.0,879.8,887.3,61292
2021-10-01 00:00:00+05:30,891.8,929.8,882.4,913.7,236416
2021-10-04 00:00:00+05:30,934.8,937.5,910.0,924.9,115668
2021-10-05 00:00:00+05:30,924.9,965.0,924.9,951.8,221620
2021-10-06 00:00:00+05:30,960.0,985.0,914.0,930.6,240696
2021-10-07 00:00:00+05:30,931.2,990.8,931.2,952.5,97144
2021-10-08 00:00:00+05:30,962.2,964.2,936.9,950.7,50520
2021-10-11 00:00:00+05:30,956.4,981.2,953.9,968.3,114268
2021-10-12 00:00:00+05:30,969.8,998.1,965.3,989.7,78200
2021-10-13 00:00:00+05:30,989.7,1072.5,985.2,1050.0,514184
2021-10-14 00:00:00+05:30,1050.0,1099.0,1050.0,1081.4,289208
2021-10-18 00:00:00+05:30,1099.4,1141.0,1077.9,1124.2,202676
2021-10-19 00:00:00+05:30,1131.2,1131.2,1062.8,1107.5,168396
2021-10-20 00:00:00+05:30,1095.2,1107.4,1015.5,1028.8,336456
2021-10-21 00:00:00+05:30,1015.0,1036.2,1015.0,1032.2,57800
2021-10-22 00:00:00+05:30,1037.5,1049.5,995.6,1000.9,36328
2021-10-25 00:00:00+05:30,1005.9,1044.5,952.5,960.1,66820
2021-10-26 00:00:00+05:30,962.5,1020.0,956.2,1009.6,65232
2021-10-27 00:00:00+05:30,1010.0,1046.7,1005.0,1010.2,105040
2021-10-28 00:00:00+05:30,1015.2,1044.5,1000.9,1013.2,90652
2021-10-29 00:00:00+05:30,1013.2,1045.0,980.0,1015.5,86576
2021-11-01 00:00:00+05:30,1037.5,1037.5,991.1,1002.6,105992
2021-11-02 00:00:00+05:30,1007.7,1017.4,990.2,1004.5,128528
2021-11-03 00:00:00+05:30,1017.5,1031.2,993.6,1016.1,178844
2021-11-04 00:00:00+05:30,1037.4,1037.4,1003.9,1009.5,13608
2021-11-08 00:00:00+05:30,1022.5,1024.6,997.6,1010.7,253504
2021-11-09 00:00:00+05:30,1013.5,1037.0,1005.8,1025.1,155908
2021-11-10 00:00:00+05:30,1030.0,1065.0,1022.8,1054.1,156148
2021-11-11 00:00:00+05:30,1059.4,1212.2,1054.1,1065.5,296652
2021-11-12 00:00:00+05:30,1074.2,1098.5,1042.8,1085.1,129160
2021-11-15 00:00:00+05:30,1095.0,1095.0,1067.5,1074.6,62756
2021-11-16 00:00:00+05:30,1075.0,1087.5,1046.4,1051.7,156724
2021-11-17 00:00:00+05:30,1053.5,1063.7,1035.0,1042.2,56256
2021-11-18 00:00:00+05:30,1043.4,1043.4,1005.2,1018.8,53516
2021-11-22 00:00:00+05:30,1007.5,1023.6,976.4,999.8,59604
2021-11-23 00:00:00+05:30,981.5,1011.6,977.6,985.7,110624
2021-11-24 00:00:00+05:30,995.0,1009.0,977.8,990.6,30404
2021-11-25 00:00:00+05:30,981.0,1002.7,972.5,992.8,72292
2021-11-26 00:00:00+05:30,986.2,987.4,949.5,958.2,50920
2021-11-29 00:00:00+05:30,943.8,958.0,906.3,924.0,85364
2021-11-30 00:00:00+05:30,927.5,1004.8,927.5,986.9,103452
2021-12-01 00:00:00+05:30,977.5,999.5,953.0,965.5,39380
2021-12-02 00:00:00+05:30,970.3,1000.0,965.0,989.0,63656
2021-12-03 00:00:00+05:30,992.2,1003.5,956.0,963.7,63088
2021-12-06 00:00:00+05:30,975.0,975.0,927.8,933.8,258336
2021-12-07 00:00:00+05:30,938.5,950.0,923.8,946.2,54244
2021-12-08 00:00:00+05:30,947.0,952.9,942.5,947.1,20724
2021-12-09 00:00:00+05:30,949.8,954.8,920.2,926.6,40448
2021-12-10 00:00:00+05:30,929.1,942.5,901.4,910.1,57892
2021-12-13 00:00:00+05:30,928.3,942.6,897.3,902.0,412080
2021-12-14 00:00:00+05:30,905.0,912.5,893.8,905.9,36620
2021-12-15 00:00:00+05:30,898.8,912.5,898.8,906.6,37352
2021-12-16 00:00:00+05:30,906.6,928.8,900.2,911.8,181128
2021-12-17 00:00:00+05:30,911.8,912.3,886.8,890.6,40576
2021-12-20 00:00:00+05:30,895.1,895.1,846.3,862.3,149936
2021-12-21 00:00:00+05:30,866.6,879.5,845.7,865.4,159616
2021-12-22 00:00:00+05:30,868.0,904.8,867.1,894.6,47224
2021-12-23 00:00:00+05:30,894.6,921.4,883.3,898.7,80252
2021-12-24 00:00:00+05:30,892.5,904.8,885.0,894.6,61332
2021-12-27 00:00:00+05:30,885.2,906.2,885.1,894.9,26460
2021-12-28 00:00:00+05:30,899.4,915.8,899.4,908.3,23660
2021-12-29 00:00:00+05:30,896.3,937.5,896.3,924.8,110800
2021-12-30 00:00:00+05:30,915.5,940.0,893.0,907.0,80392
2021-12-31 00:00:00+05:30,918.8,946.2,907.9,933.8,90000
2022-01-03 00:00:00+05:30,932.5,938.5,919.0,926.3,21172
2022-01-04 00:00:00+05:30,926.6,936.2,922.5,928.7,22996
2022-01-05 00:00:00+05:30,932.5,950.0,920.8,941.6,24352
2022-01-06 00:00:00+05:30,941.5,941.5,925.0,933.2,24284
2022-01-07 00:00:00+05:30,925.5,949.5,925.5,943.9,26656
2022-01-10 00:00:00+05:30,960.0,962.2,924.2,947.3,40872
2022-01-11 00:00:00+05:30,962.5,980.0,928.0,973.1,59532
2022-01-12 00:00:00+05:30,977.5,994.2,948.1,972.3,63872
2022-01-13 00:00:00+05:30,974.9,998.8,957.5,968.2,69512
2022-01-14 00:00:00+05:30,976.5,992.5,959.0,985.3,135072
2022-01-17 00:00:00+05:30,992.5,1005.9,980.0,995.8,18436
2022-01-18 00:00:00+05:30,999.8,1036.0,991.4,1017.8,244152
2022-01-19 00:00:00+05:30,1000.5,1037.8,991.4,1022.4,32384
2022-01-20 00:00:00+05:30,1012.8,1022.6,992.4,998.1,27248
2022-01-21 00:00:00+05:30,998.1,1025.0,955.0,991.0,54712
2022-01-24 00:00:00+05:30,996.0,1016.0,919.4,962.5,99768
2022-01-25 00:00:00+05:30,967.0,972.3,920.0,943.3,53960
2022-01-27 00:00:00+05:30,938.1,959.9,912.5,922.0,27640
2022-01-28 00:00:00+05:30,922.5,964.4,918.0,941.4,28576
2022-01-31 00:00:00+05:30,939.8,949.7,925.3,940.6,49420
