date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,206.1,215.0,205.95,211.6,734305
2021-01-04 00:00:00+05:30,212.0,219.0,208.0,211.15,542056
2021-01-05 00:00:00+05:30,209.7,211.6,207.45,208.9,275642
2021-01-06 00:00:00+05:30,210.3,213.8,203.1,205.95,345292
2021-01-07 00:00:00+05:30,207.95,211.65,205.0,206.3,324855
2021-01-08 00:00:00+05:30,207.8,213.75,207.0,209.95,628222
2021-01-11 00:00:00+05:30,211.0,213.0,205.6,208.25,274484
2021-01-12 00:00:00+05:30,207.4,224.5,206.3,219.55,2176373
2021-01-13 00:00:00+05:30,220.75,231.2,212.15,218.25,1385185
2021-01-14 00:00:00+05:30,219.9,223.65,216.3,217.9,364708
2021-01-15 00:00:00+05:30,217.5,219.6,208.85,211.0,389649
2021-01-18 00:00:00+05:30,211.0,213.0,202.7,204.8,352490
2021-01-19 00:00:00+05:30,206.6,213.0,200.6,207.75,1264029
2021-01-20 00:00:00+05:30,201.0,204.75,201.0,203.3,615492
2021-01-21 00:00:00+05:30,204.9,206.0,196.1,198.35,395713
2021-01-22 00:00:00+05:30,198.0,201.0,193.1,194.75,410369
2021-01-25 00:00:00+05:30,196.2,198.25,191.0,191.25,253066
2021-01-27 00:00:00+05:30,191.7,192.0,185.0,186.25,380077
2021-01-28 00:00:00+05:30,185.0,193.9,183.25,192.05,630645
2021-01-29 00:00:00+05:30,193.0,193.6,185.5,187.1,528836
2021-02-01 00:00:00+05:30,188.45,198.4,185.5,194.2,802892
2021-02-02 00:00:00+05:30,195.75,203.3,195.35,200.0,468953
2021-02-03 00:00:00+05:30,202.0,204.5,199.1,201.2,277820
2021-02-04 00:00:00+05:30,202.0,205.75,199.85,201.3,324137
2021-02-05 00:00:00+05:30,202.75,203.5,199.0,199.55,191287
2021-02-08 00:00:00+05:30,201.0,202.65,197.7,200.0,222268
2021-02-09 00:00:00+05:30,201.0,207.7,200.0,200.85,370404
2021-02-10 00:00:00+05:30,202.45,209.6,198.4,206.8,984470
2021-02-11 00:00:00+05:30,209.0,211.35,206.45,207.9,634903
2021-02-12 00:00:00+05:30,218.4,229.25,214.35,220.15,2994873
2021-02-15 00:00:00+05:30,220.15,247.5,215.35,243.75,3563076
2021-02-16 00:00:00+05:30,246.0,249.0,235.35,239.25,1476555
2021-02-17 00:00:00+05:30,240.8,251.3,239.1,244.7,1235102
2021-02-18 00:00:00+05:30,247.6,255.45,242.0,244.3,1316475
2021-02-19 00:00:00+05:30,243.0,248.6,235.2,244.7,715512
2021-02-22 00:00:00+05:30,255.5,262.0,248.5,258.0,2240380
2021-02-23 00:00:00+05:30,259.0,296.95,253.5,283.85,4611228
2021-02-24 00:00:00+05:30,285.4,304.8,284.55,288.85,1933325
2021-02-25 00:00:00+05:30,290.15,294.4,278.85,281.65,1035162
2021-02-26 00:00:00+05:30,273.5,292.7,273.2,285.4,1154706
2021-03-01 00:00:00+05:30,291.0,292.35,275.2,280.8,728785
2021-03-02 00:00:00+05:30,282.55,287.5,270.15,274.35,533433
2021-03-03 00:00:00+05:30,276.5,292.55,275.05,281.65,892010
2021-03-04 00:00:00+05:30,279.65,287.7,276.35,277.55,482015
2021-03-05 00:00:00+05:30,277.6,280.95,264.45,267.95,532974
2021-03-08 00:00:00+05:30,269.55,277.3,265.4,266.8,473501
2021-03-09 00:00:00+05:30,268.7,270.6,258.3,261.75,466438
2021-03-10 00:00:00+05:30,263.65,272.8,262.2,267.0,386809
2021-03-12 00:00:00+05:30,267.1,269.95,258.05,261.1,336920
2021-03-15 00:00:00+05:30,262.0,262.45,248.05,252.7,465963
2021-03-16 00:00:00+05:30,253.0,259.7,250.25,251.55,321731
2021-03-17 00:00:00+05:30,252.2,271.8,252.0,255.35,1018354
2021-03-18 00:00:00+05:30,258.05,261.8,241.2,246.9,557023
2021-03-19 00:00:00+05:30,245.0,249.85,232.6,247.55,532715
2021-03-22 00:00:00+05:30,248.0,252.8,245.3,247.85,221885
2021-03-23 00:00:00+05:30,247.9,258.2,245.65,248.15,371623
2021-03-24 00:00:00+05:30,247.0,249.9,240.3,242.2,239931
2021-03-25 00:00:00+05:30,240.5,242.45,228.35,235.4,528045
2021-03-26 00:00:00+05:30,237.1,244.0,235.4,236.85,378363
2021-03-30 00:00:00+05:30,240.7,249.75,238.8,241.95,470881
2021-03-31 00:00:00+05:30,245.9,256.4,245.45,250.85,715490
2021-04-01 00:00:00+05:30,252.8,261.55,251.45,256.6,573934
2021-04-05 00:00:00+05:30,260.0,260.0,239.15,244.4,482397
2021-04-06 00:00:00+05:30,246.35,247.65,240.5,242.7,298940
2021-04-07 00:00:00+05:30,243.5,263.9,242.7,260.1,956840
2021-04-08 00:00:00+05:30,261.0,271.5,258.0,262.05,791679
2021-04-09 00:00:00+05:30,261.0,262.0,254.65,258.0,364512
2021-04-12 00:00:00+05:30,251.2,253.0,239.0,241.35,543491
2021-04-13 00:00:00+05:30,242.3,249.9,235.0,242.2,500909
2021-04-15 00:00:00+05:30,240.0,247.3,233.85,235.05,407878
2021-04-16 00:00:00+05:30,236.0,244.5,236.0,240.75,284242
2021-04-19 00:00:00+05:30,233.05,240.7,229.45,235.55,433309
2021-04-20 00:00:00+05:30,237.1,244.0,235.0,236.9,337016
2021-04-22 00:00:00+05:30,239.9,254.9,235.4,253.35,923336
2021-04-23 00:00:00+05:30,254.0,255.8,245.1,246.75,409640
