symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,days,
GMDCLTD,10-01-2022,24-01-2022,80.85,96,624,9453.6,14,50450.4
GREAVESCOT,10-01-2022,20-01-2022,209.4,249.65,211,8492.75,10,44183.4
GMDCLTD,10-01-2022,14-01-2022,80.85,109.85,156,4524,4,12612.6
TIMETECHNO,10-01-2022,11-02-2022,38.9,37.1,1526,-2746.8,32,59361.4
GREAVESCOT,10-01-2022,25-01-2022,209.4,201.85,452,-3412.6,15,94648.8
VINATIORGA,10-01-2022,03-02-2022,2100.7,1923.7,29,-5133,24,60920.3
BALRAMCHIN,10-01-2022,21-02-2022,419.9,393,236,-6348.4,42,99096.4
DEEPAKNTR,10-01-2022,25-01-2022,2595.7,2216,24,-9112.8,15,62296.8
REDINGTON,10-01-2022,24-01-2022,170.55,152.8,541,-9602.75,14,92267.55
INDIACEM,10-01-2022,24-01-2022,250.1,212.5,374,-14062.4,14,93537.4
DEEPAKFERT,17-01-2022,19-01-2022,564.95,510.8,90,-4873.5,2,50845.5
PRAJIND,17-01-2022,14-02-2022,427.15,349.85,86,-6647.8,28,36734.9
CHENNPETRO,21-03-2022,02-05-2022,126.85,307.15,560,100968,42,71036
TNPL,21-03-2022,02-05-2022,160.75,216.95,606,34057.2,42,97414.5
ITC,21-03-2022,02-05-2022,207.1,222.95,720,11412,42,149112
TNPL,21-03-2022,05-04-2022,160.75,195,248,8494,15,39866
CHENNPETRO,21-03-2022,05-04-2022,126.85,153.65,261,6994.8,15,33107.85
COROMANDEL,21-03-2022,02-05-2022,854.75,910.1,115,6365.25,42,98296.25
VOLTAS,21-03-2022,02-05-2022,1288.7,1230.95,54,-3118.5,42,69589.8
SOLARINDS,28-03-2022,09-05-2022,2731.1,2983.65,21,5303.55,42,57353.1
UFLEX,28-03-2022,09-05-2022,595.65,611.05,77,1185.8,42,45865.05
MHRIL,28-03-2022,09-05-2022,232.35,234.05,195,331.5,42,45308.25
KEI,28-03-2022,09-05-2022,1200.2,1146.7,20,-1070,42,24004
JSWSTEEL,28-03-2022,09-05-2022,730.1,678.35,52,-2691,42,37965.2
SKFINDIA,11-07-2022,22-08-2022,1763.6,2148.7,45,17329.5,42,79362
SIEMENS,11-07-2022,22-08-2022,2038.25,2190.65,81,12344.4,42,165098.25
HSCL,11-07-2022,22-08-2022,91.2,97.35,1039,6389.85,42,94756.8
SKFINDIA,11-07-2022,01-08-2022,1763.6,2067.9,19,5781.7,21,33508.4
CUMMINSIND,11-07-2022,22-08-2022,1111.25,1201.75,62,5611,42,68897.5
CGPOWER,11-07-2022,22-08-2022,206.35,229.9,229,5392.95,42,
CUMMINSIND,11-07-2022,16-08-2022,1111.25,1261.85,29,4367.4,36,
TIINDIA,11-07-2022,22-08-2022,2056.4,2112.35,39,2182.05,42,
SUNTECK,11-07-2022,22-08-2022,507.05,465.2,108,-4519.8,42,
VSTIND,11-07-2022,14-07-2022,300.2,279.4,303,-6302.4,3,
BOSCHLTD,18-07-2022,29-08-2022,16366.15,17059.9,4,2775,42,
ITI,18-07-2022,29-08-2022,117.35,112.7,325,-1511.25,42,
ASTERDM,18-07-2022,16-08-2022,218,203.45,182,-2648.1,29,
CANFINHOME,16-08-2022,20-09-2022,616.05,565.35,93,-4715.1,35,
DBCORP,22-08-2022,19-09-2022,110,129.6,1383,27106.8,28,
DBCORP,22-08-2022,13-09-2022,110,134.85,396,9840.6,22,
TATACHEM,22-08-2022,03-10-2022,1087.5,1093.7,88,545.6,42,
CENTURYPLY,22-08-2022,03-10-2022,666.8,629.25,160,-6008,42,
BEML,22-08-2022,08-09-2022,915.9,768.6,114,-16792.2,17,
TRITURBINE,29-08-2022,10-10-2022,197.4,260.55,180,11367,42,
RPOWER,29-08-2022,09-09-2022,16.3,19.2,2962,8589.8,11,
RPOWER,29-08-2022,01-09-2022,16.3,20.15,1368,5266.8,3,
TRITURBINE,29-08-2022,19-09-2022,197.4,238.4,84,3444,21,
RCF,29-08-2022,10-10-2022,101.4,97.65,419,-1571.25,42,
REDINGTON,29-08-2022,10-10-2022,149.05,140.95,408,-3304.8,42,
ITDC,29-08-2022,26-09-2022,392.2,350.7,190,-7885,28,
VAKRANGEE,12-09-2022,26-09-2022,40.3,35.95,1577,-6859.95,14,
SYNGENE,31-10-2022,07-12-2022,631.3,590.05,407,-16788.75,37,
NLCINDIA,07-11-2022,19-12-2022,80.1,91.5,1616,18422.4,42,
PFC,21-11-2022,23-12-2022,100.05,105.45,1332,7192.8,32,
PFC,21-11-2022,01-12-2022,100.05,110.8,636,6837,10,
INDOCO,05-12-2022,16-01-2023,393.05,396.75,270,999,42,
SONATSOFTW,05-12-2022,15-12-2022,294.7,270.4,340,-8262,10,
BPCL,12-12-2022,22-12-2022,151.3,141.6,912,-8846.4,10,
AUBANK,12-12-2022,06-01-2023,677.35,625.8,184,-9485.2,25,
LINDEINDIA,02-01-2023,27-01-2023,3540.45,3228.35,49,-15292.9,25,
MAHSEAMLES,10-04-2023,22-05-2023,380.6,435.45,306,16784.1,42,
MINDACORP,10-04-2023,22-05-2023,254.45,279.3,481,11952.85,42,
MAHSEAMLES,10-04-2023,16-05-2023,380.6,453.5,137,9987.3,36,
JKCEMENT,10-04-2023,22-05-2023,2935.05,2979.5,51,2266.95,42,
DLF,17-04-2023,29-05-2023,415.35,482.65,231,15546.3,42,
SYNGENE,17-04-2023,29-05-2023,611.6,714.5,120,12348,42,
EXIDEIND,17-04-2023,29-05-2023,188.1,208.45,307,6247.45,42,
DLF,17-04-2023,16-05-2023,415.35,471.75,109,6147.6,29,
SYNGENE,17-04-2023,28-04-2023,611.6,677,59,3858.6,11,
EXIDEIND,17-04-2023,23-05-2023,188.1,209.4,143,3045.9,36,
OBEROIRLTY,17-04-2023,29-05-2023,916.8,929.65,129,1657.65,42,
JBCHEPHARM,17-04-2023,16-05-2023,1071.9,999.9,56,-4032,29,
IRCON,24-04-2023,05-06-2023,67.75,80.05,327,4022.1,42,
IRCON,24-04-2023,02-05-2023,67.75,86.3,94,1743.7,8,
PRSMJOHNSN,24-04-2023,05-06-2023,123.55,122.55,271,-271,42,
LUPIN,22-05-2023,03-07-2023,774.4,892.3,111,13086.9,42,
ASTRAL,22-05-2023,03-07-2023,1677.45,1964.7,33,9479.25,42,
LUPIN,22-05-2023,21-06-2023,774.4,875.05,45,4529.25,30,
ASTRAL,22-05-2023,05-06-2023,1677.45,1884.85,15,3111,14,
NESCO,22-05-2023,03-07-2023,623.15,627.35,292,1226.4,42,
KRBL,22-05-2023,31-05-2023,411.6,364.7,224,-10505.6,9,
