symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl
DEEPAKFERT,17-01-2022,19-01-2022,564.95,510.8,101,-5469.15
INDIACEM,10-01-2022,24-01-2022,250.1,212.5,286,-10753.6
REDINGTON,10-01-2022,24-01-2022,170.55,152.8,413,-7330.75
SHARDACROP,07-01-2022,25-01-2022,350.45,525.35,53,9269.7
DEEPAKFERT,19-01-2022,04-02-2022,510.8,653.45,19,2710.35
GREAVESCOT,10-01-2022,09-02-2022,209.4,193.65,506,-7969.5
PRAJIND,17-01-2022,14-02-2022,427.15,349.85,96,-7420.8
DEEPAKFERT,19-01-2022,14-02-2022,510.8,533.6,60,1368
CCL,07-01-2022,18-02-2022,425.3,456.9,274,8658.4
SHARDACROP,07-01-2022,18-02-2022,350.45,561.05,290,61074
BALRAMCHIN,10-01-2022,21-02-2022,419.9,393,180,-4842
AAVAS,10-01-2022,21-02-2022,2733.5,3017.2,18,5106.6
SPARC,17-01-2022,22-02-2022,321,282.2,118,-4578.4
HSCL,01-02-2022,22-02-2022,56.8,53.35,865,-2984.25
KARURVYSYA,10-02-2022,22-02-2022,46.15,40.25,1048,-6183.2
CHOLAFIN,01-02-2022,15-03-2022,653.95,685.8,63,2006.55
CHENNPETRO,21-03-2022,06-04-2022,126.85,164,222,8247.3
TNPL,21-03-2022,18-04-2022,160.75,212.55,196,10152.8
RCF,28-03-2022,18-04-2022,81.15,108.2,144,3895.2
TNPL,21-03-2022,02-05-2022,160.75,216.95,723,40632.6
CHENNPETRO,21-03-2022,02-05-2022,126.85,307.15,661,119178.3
VOLTAS,21-03-2022,02-05-2022,1288.7,1230.95,88,-5082
UFLEX,28-03-2022,09-05-2022,595.65,611.05,147,2263.8
MHRIL,28-03-2022,09-05-2022,232.35,234.05,373,634.1
JSWSTEEL,28-03-2022,09-05-2022,730.1,678.35,101,-5226.75
RCF,28-03-2022,09-05-2022,81.15,89.7,457,3907.35
THOMASCOOK,04-04-2022,09-05-2022,76.95,67.4,497,-4746.35
ADANIPORTS,04-04-2022,10-05-2022,818.55,769.1,59,-2917.55
CRISIL,04-04-2022,16-05-2022,3286.3,3673.3,14,5418
HSCL,11-07-2022,22-08-2022,91.2,97.35,1113,6844.95
SIEMENS,11-07-2022,22-08-2022,2038.25,2190.65,86,13106.4
TIINDIA,11-07-2022,22-08-2022,2056.4,2112.35,48,2685.6
ITI,18-07-2022,29-08-2022,117.35,112.7,582,-2706.3
GALAXYSURF,18-07-2022,29-08-2022,3028.05,3249.6,31,6868.05
FEDERALBNK,25-07-2022,05-09-2022,107.35,123.55,1114,18046.8
RPOWER,29-08-2022,05-09-2022,16.3,23.3,841,5887
KARURVYSYA,01-08-2022,08-09-2022,48.95,61.6,408,5161.2
BEML,22-08-2022,08-09-2022,915.9,768.6,95,-13993.5
KARURVYSYA,01-08-2022,12-09-2022,48.95,62.6,1220,16653
YESBANK,01-08-2022,12-09-2022,15.25,17.55,5025,11557.5
RPOWER,29-08-2022,15-09-2022,16.3,18.1,3312,5961.6
