symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,
MAHSEAMLES,10-04-2023,16-05-2023,380.6,453.5,113,8237.7,43007.8
MINDACORP,10-04-2023,22-05-2023,254.45,279.3,263,6535.55,66920.35
MAHSEAMLES,10-04-2023,22-05-2023,380.6,435.45,114,6252.9,43388.4
JKCEMENT,10-04-2023,22-05-2023,2935.05,2979.5,30,1333.5,88051.5
SYNGENE,17-04-2023,28-04-2023,611.6,677,67,4381.8,40977.2
DLF,17-04-2023,16-05-2023,415.35,471.75,106,5978.4,44027.1
JBCHEPHARM,17-04-2023,16-05-2023,1071.9,999.9,53,-3816,56810.7
EXIDEIND,17-04-2023,23-05-2023,188.1,209.4,190,4047,35739
DLF,17-04-2023,29-05-2023,415.35,482.65,106,7133.8,44027.1
SYNGENE,17-04-2023,29-05-2023,611.6,714.5,68,6997.2,41588.8
EXIDEIND,17-04-2023,29-05-2023,188.1,208.45,190,3866.5,35739
OBEROIRLTY,17-04-2023,29-05-2023,916.8,929.65,88,1130.8,80678.4
IRCON,24-04-2023,02-05-2023,67.75,86.3,238,4414.9,16124.5
IRCON,24-04-2023,05-06-2023,67.75,80.05,239,2939.7,16192.25
PRSMJOHNSN,24-04-2023,05-06-2023,123.55,122.55,286,-286,35335.3
KRBL,22-05-2023,31-05-2023,411.6,364.7,141,-6612.9,58035.6
ASTRAL,22-05-2023,05-06-2023,1677.45,1884.85,18,3733.2,30194.1
LUPIN,22-05-2023,21-06-2023,774.4,875.05,53,5334.45,41043.2
LUPIN,22-05-2023,03-07-2023,774.4,892.3,53,6248.7,41043.2
ASTRAL,22-05-2023,03-07-2023,1677.45,1964.7,18,5170.5,30194.1
NESCO,22-05-2023,03-07-2023,623.15,627.35,165,693,102819.75
EDELWEISS,29-05-2023,02-06-2023,46.45,36.75,1184,-11484.8,54996.8
HEROMOTOCO,29-05-2023,04-07-2023,2611.4,2858.1,22,5427.4,57450.8
HEROMOTOCO,29-05-2023,10-07-2023,2611.4,2949.7,23,7780.9,60062.2
ITI,29-05-2023,10-07-2023,106.65,108.4,424,742,45219.6
SUZLON,05-06-2023,07-06-2023,11.4,14.45,2214,6752.7,25239.6
DIXON,05-06-2023,15-06-2023,3980.5,4577,7,4175.5,27863.5
REPCOHOME,05-06-2023,05-07-2023,276.25,329.45,112,5958.4,30940
SUZLON,05-06-2023,17-07-2023,11.4,18.2,2214,15055.2,25239.6
KOLTEPATIL,05-06-2023,17-07-2023,344.05,385.05,143,5863,49199.15
REPCOHOME,05-06-2023,17-07-2023,276.25,314.1,113,4277.05,31216.25
ECLERX,05-06-2023,17-07-2023,857.4,913.8,56,3158.4,48014.4
DIXON,05-06-2023,17-07-2023,3980.5,4333.35,8,2822.8,31844
GILLETTE,03-07-2023,14-07-2023,5014.5,5662,9,5827.5,45130.5
GILLETTE,03-07-2023,14-08-2023,5014.5,5350.5,10,3360,50145
ZEEL,31-07-2023,10-08-2023,237.37,276.55,209,8188.62,49610.33
ZEEL,31-07-2023,11-09-2023,237.37,274.05,210,7702.8,49847.7
IPCALAB,31-07-2023,11-09-2023,873.5,899.7,132,3458.4,115302
TNPL,28-08-2023,05-10-2023,265.4,254.8,376,-3985.6,99790.4
IRB,11-09-2023,14-09-2023,17.08,15.92,6911,-8016.76,118039.88
RADICO,12-11-2023,04-12-2023,1386.6,1649.5,39,10253.1,54077.4
RADICO,12-11-2023,19-12-2023,1386.6,1541.65,39,6046.95,54077.4
WABAG,12-11-2023,26-12-2023,566.8,598.05,179,5593.75,101457.2
BPCL,20-11-2023,30-11-2023,171.2,191.35,328,6609.2,56153.6
HINDPETRO,20-11-2023,04-12-2023,179.1,224.15,236,10631.8,42267.6
HINDPETRO,20-11-2023,01-01-2024,179.1,239.15,237,14231.85,42446.7
BPCL,20-11-2023,01-01-2024,171.2,208.6,329,12304.6,56324.8
APOLLOTYRE,20-11-2023,01-01-2024,425.85,453.25,241,6603.4,102629.85
BDL,04-12-2023,18-12-2023,616.8,764.6,62,9163.6,38241.6
BDL,04-12-2023,15-01-2024,616.8,877.85,62,16185.1,38241.6
AMBUJACEM,11-12-2023,23-01-2024,504,525.05,197,4146.85,99288
INDIACEM,11-12-2023,23-01-2024,269.5,235.35,219,-7478.85,59020.5
CASTROLIND,26-12-2023,17-01-2024,177.43,163.24,485,-6882.15,86053.55
HFCL,26-12-2023,24-01-2024,85.8,105.65,327,6490.95,28056.6
HFCL,26-12-2023,06-02-2024,85.8,103.5,327,5787.9,28056.6
HERITGFOOD,26-12-2023,06-02-2024,303.4,316.5,293,3838.3,88896.2
AVANTIFEED,15-01-2024,23-01-2024,552.25,512.05,173,-6954.6,95539.25
RAIN,29-01-2024,12-02-2024,186,170.9,701,-10585.1,130386
LINDEINDIA,26-03-2024,19-04-2024,6390.7,7372.75,8,7856.4,51125.6
LINDEINDIA,26-03-2024,07-05-2024,6390.7,7983.1,9,14331.6,57516.3
DMART,26-03-2024,07-05-2024,4486.2,4660.45,41,7144.25,183934.2
CARBORUNIV,01-04-2024,02-05-2024,1298.35,1506.6,38,7913.5,49337.3
CARBORUNIV,01-04-2024,13-05-2024,1298.35,1506.75,38,7919.2,49337.3
MUTHOOTFIN,08-04-2024,21-05-2024,1674.2,1703.4,50,1460,83710
HINDZINC,15-04-2024,03-05-2024,407.25,470.1,114,7164.9,46426.5
HINDZINC,15-04-2024,27-05-2024,407.25,706.9,115,34459.75,46833.75
CUB,22-04-2024,22-05-2024,156.7,143.9,456,-5836.8,71455.2
KOLTEPATIL,29-04-2024,10-05-2024,548.15,486.5,58,-3575.7,31792.7
ESCORTS,29-04-2024,16-05-2024,3287.35,3748.55,11,5073.2,36160.85
BHARATFORG,29-04-2024,16-05-2024,1282,1483,22,4422,28204
ESCORTS,29-04-2024,10-06-2024,3287.35,4051.9,11,8410.05,36160.85
BHARATFORG,29-04-2024,10-06-2024,1282,1580.8,22,6573.6,28204
AAVAS,29-04-2024,10-06-2024,1619.7,1735.3,31,3583.6,50210.7
EMAMILTD,21-05-2024,30-05-2024,511.45,611.85,77,7730.8,39381.65
JISLJALEQS,21-05-2024,04-06-2024,64.55,55,718,-6856.9,46346.9
VARROC,21-05-2024,04-06-2024,581.05,512.9,104,-7087.6,60429.2
BALKRISIND,21-05-2024,04-06-2024,3052.7,2897.55,50,-7757.5,152635
EMAMILTD,21-05-2024,02-07-2024,511.45,723.35,77,16316.3,39381.65
BLUEDART,21-05-2024,02-07-2024,7288.85,8218.15,14,13010.2,102043.9
ASTRAZEN,27-05-2024,04-06-2024,6432.8,5639.8,10,-7930,64328
LALPATHLAB,27-05-2024,08-07-2024,1316.2,1453.2,57,7809,75023.4
JKPAPER,10-06-2024,14-06-2024,419.4,490.8,109,7782.6,45714.6
RCF,10-06-2024,20-06-2024,168.1,222.26,241,13052.56,40512.1
RCF,10-06-2024,25-06-2024,168.1,189.18,242,5101.36,40680.2
JKPAPER,10-06-2024,09-07-2024,419.4,562.85,109,15636.05,45714.6
DBCORP,10-06-2024,10-07-2024,306.8,384.85,89,6946.45,27305.2
SUNTECK,10-06-2024,16-07-2024,524.75,630.05,82,8634.6,43029.5
SUNTECK,10-06-2024,22-07-2024,524.75,609.75,83,7055,43554.25
DBCORP,10-06-2024,22-07-2024,306.8,349.6,89,3809.2,27305.2
3MINDIA,18-06-2024,30-07-2024,37068.55,39600.65,2,5064.2,74137.1
JUBLFOOD,18-06-2024,30-07-2024,550.85,580,144,4197.6,79322.4
RKFORGE,24-06-2024,05-08-2024,896.8,844.8,60,-3120,53808
ORIENTCEM,01-07-2024,12-08-2024,314.15,340.7,182,4832.1,57175.3
BAJAJHLDNG,08-07-2024,05-08-2024,9905.15,9121.4,10,-7837.5,99051.5
NIACL,08-07-2024,13-08-2024,275.82,238.8,191,-7070.82,52681.62
PERSISTENT,08-07-2024,19-08-2024,4586.3,4874.5,17,4899.4,77967.1
PCJEWELLER,15-07-2024,26-07-2024,7.07,8.58,4295,6485.45,30365.65
PCJEWELLER,15-07-2024,26-08-2024,7.07,11.98,4295,21088.45,30365.65
APLLTD,29-07-2024,09-08-2024,1239.05,1130.35,68,-7391.6,84255.4
EDELWEISS,26-08-2024,23-09-2024,109.85,140.63,474,14589.72,52068.9
SHK,26-08-2024,24-09-2024,237.77,300.42,230,14409.5,54687.1
SHK,26-08-2024,07-10-2024,237.77,293.85,231,12954.48,54924.87
EDELWEISS,26-08-2024,07-10-2024,109.85,115.4,474,2630.7,52068.9
