equity,,equity,date,
1000000.00,,1000000.00,03-01-2022,00:00:00+05:30
1000000.00,,1000000.00,03-01-2022,00:00:00+05:30
1000000.00,,1000000.00,04-01-2022,00:00:00+05:30
1000000.00,,1000000.00,05-01-2022,00:00:00+05:30
1000000.00,,1000000.00,06-01-2022,00:00:00+05:30
1000000.00,,1000000.00,07-01-2022,00:00:00+05:30
1000000.00,,1000000.00,10-01-2022,00:00:00+05:30
1000000.00,,1000000.00,11-01-2022,00:00:00+05:30
1000000.00,,1000000.00,12-01-2022,00:00:00+05:30
1000000.00,,1000000.00,13-01-2022,00:00:00+05:30
1000000.00,,1000000.00,14-01-2022,00:00:00+05:30
1000000.00,,1000000.00,17-01-2022,00:00:00+05:30
1000000.00,,1000000.00,18-01-2022,00:00:00+05:30
1000000.00,,1000000.00,19-01-2022,00:00:00+05:30
1000000.00,,1000000.00,20-01-2022,00:00:00+05:30
1000000.00,,1000000.00,21-01-2022,00:00:00+05:30
1000000.00,,1000000.00,24-01-2022,00:00:00+05:30
1000000.00,,1000000.00,25-01-2022,00:00:00+05:30
1000000.00,,1000000.00,27-01-2022,00:00:00+05:30
1000000.00,,1000000.00,28-01-2022,00:00:00+05:30
1000000.00,,1000000.00,31-01-2022,00:00:00+05:30
1000000.00,,1000000.00,01-02-2022,00:00:00+05:30
1000000.00,,1000000.00,02-02-2022,00:00:00+05:30
1000000.00,,1000000.00,03-02-2022,00:00:00+05:30
1000000.00,,1000000.00,04-02-2022,00:00:00+05:30
1000000.00,,1000000.00,07-02-2022,00:00:00+05:30
1000000.00,,1000000.00,08-02-2022,00:00:00+05:30
1000000.00,,1000000.00,09-02-2022,00:00:00+05:30
1000000.00,,1000000.00,10-02-2022,00:00:00+05:30
1000000.00,,1000000.00,11-02-2022,00:00:00+05:30
1000000.00,,1000000.00,14-02-2022,00:00:00+05:30
1000000.00,,1000000.00,15-02-2022,00:00:00+05:30
1000000.00,,1000000.00,16-02-2022,00:00:00+05:30
1000000.00,,1000000.00,17-02-2022,00:00:00+05:30
1000000.00,,1000000.00,18-02-2022,00:00:00+05:30
1000000.00,,1000000.00,21-02-2022,00:00:00+05:30
1000000.00,,1000000.00,22-02-2022,00:00:00+05:30
1000000.00,,1000000.00,23-02-2022,00:00:00+05:30
1000000.00,,1000000.00,24-02-2022,00:00:00+05:30
1000000.00,,1000000.00,25-02-2022,00:00:00+05:30
1000000.00,,1000000.00,28-02-2022,00:00:00+05:30
1000000.00,,1000000.00,02-03-2022,00:00:00+05:30
1000000.00,,1000000.00,03-03-2022,00:00:00+05:30
1000000.00,,1000000.00,04-03-2022,00:00:00+05:30
1000000.00,,1000000.00,07-03-2022,00:00:00+05:30
1000000.00,,1000000.00,08-03-2022,00:00:00+05:30
1000000.00,,1000000.00,09-03-2022,00:00:00+05:30
1000000.00,,1000000.00,10-03-2022,00:00:00+05:30
1000000.00,,1000000.00,11-03-2022,00:00:00+05:30
1000000.00,,1000000.00,14-03-2022,00:00:00+05:30
1000000.00,,1000000.00,15-03-2022,00:00:00+05:30
1000000.00,,1000000.00,16-03-2022,00:00:00+05:30
1000000.00,,1000000.00,17-03-2022,00:00:00+05:30
1000000.00,,1000000.00,21-03-2022,00:00:00+05:30
1000000.00,,1000000.00,22-03-2022,00:00:00+05:30
1000000.00,,1000000.00,23-03-2022,00:00:00+05:30
1000000.00,,1000000.00,24-03-2022,00:00:00+05:30
1000000.00,,1000000.00,25-03-2022,00:00:00+05:30
1000000.00,,1000000.00,28-03-2022,00:00:00+05:30
1000000.00,,1000000.00,29-03-2022,00:00:00+05:30
1000000.00,,1000000.00,30-03-2022,00:00:00+05:30
1000000.00,,1000000.00,31-03-2022,00:00:00+05:30
1000000.00,,1000000.00,01-04-2022,00:00:00+05:30
1000000.00,,1000000.00,04-04-2022,00:00:00+05:30
1000000.00,,1000000.00,05-04-2022,00:00:00+05:30
1000000.00,,1000000.00,06-04-2022,00:00:00+05:30
1000000.00,,1000000.00,07-04-2022,00:00:00+05:30
1000000.00,,1000000.00,08-04-2022,00:00:00+05:30
1000000.00,,1000000.00,11-04-2022,00:00:00+05:30
1000000.00,,1000000.00,12-04-2022,00:00:00+05:30
1000000.00,,1000000.00,13-04-2022,00:00:00+05:30
1000000.00,,1000000.00,18-04-2022,00:00:00+05:30
1000000.00,,1000000.00,19-04-2022,00:00:00+05:30
1000000.00,,1000000.00,20-04-2022,00:00:00+05:30
1000000.00,,1000000.00,21-04-2022,00:00:00+05:30
1000000.00,,1000000.00,22-04-2022,00:00:00+05:30
1000000.00,,1000000.00,25-04-2022,00:00:00+05:30
