symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl
GMDCLTD,10-01-2022,2022-01-14 00:00:00+05:30,80.85,109.85,325,9425
GREAVESCOT,10-01-2022,2022-01-20 00:00:00+05:30,209.4,249.65,198,7969.5
INDIACEM,10-01-2022,2022-01-24 00:00:00+05:30,250.1,212.5,251,-9437.6
REDINGTON,10-01-2022,2022-01-24 00:00:00+05:30,170.55,152.8,384,-6816
GMDCLTD,10-01-2022,2022-01-24 00:00:00+05:30,80.85,96,325,4923.75
GREAVESCOT,10-01-2022,2022-01-25 00:00:00+05:30,209.4,201.85,199,-1502.45
DEEPAKNTR,10-01-2022,2022-01-25 00:00:00+05:30,2595.7,2216,18,-6834.6
VINATIORGA,10-01-2022,2022-02-03 00:00:00+05:30,2100.7,1923.7,26,-4602
TIMETECHNO,10-01-2022,2022-02-11 00:00:00+05:30,38.9,37.1,1209,-2176.2
BALRAMCHIN,10-01-2022,2022-02-21 00:00:00+05:30,419.9,393,151,-4061.9
DEEPAKFERT,17-01-2022,2022-01-19 00:00:00+05:30,564.95,510.8,87,-4711.05
PRAJIND,17-01-2022,2022-02-14 00:00:00+05:30,427.15,349.85,89,-6879.7
TNPL,21-03-2022,2022-04-05 00:00:00+05:30,160.75,195,260,8905
CHENNPETRO,21-03-2022,2022-04-05 00:00:00+05:30,126.85,153.65,266,7128.8
TNPL,21-03-2022,2022-05-02 00:00:00+05:30,160.75,216.95,260,14612
CHENNPETRO,21-03-2022,2022-05-02 00:00:00+05:30,126.85,307.15,267,48140.1
ITC,21-03-2022,2022-05-02 00:00:00+05:30,207.1,222.95,495,7845.75
COROMANDEL,21-03-2022,2022-05-02 00:00:00+05:30,854.75,910.1,87,4815.45
VOLTAS,21-03-2022,2022-05-02 00:00:00+05:30,1288.7,1230.95,44,-2541
SOLARINDS,28-03-2022,2022-05-09 00:00:00+05:30,2731.1,2983.65,19,4798.45
UFLEX,28-03-2022,2022-05-09 00:00:00+05:30,595.65,611.05,72,1108.8
MHRIL,28-03-2022,2022-05-09 00:00:00+05:30,232.35,234.05,194,329.8
JSWSTEEL,28-03-2022,2022-05-09 00:00:00+05:30,730.1,678.35,56,-2898
KEI,28-03-2022,2022-05-09 00:00:00+05:30,1200.2,1146.7,23,-1230.5
VSTIND,11-07-2022,2022-07-14 00:00:00+05:30,300.2,279.4,272,-5657.6
SKFINDIA,11-07-2022,2022-08-01 00:00:00+05:30,1763.6,2067.9,24,7303.2
CUMMINSIND,11-07-2022,2022-08-16 00:00:00+05:30,1111.25,1261.85,37,5572.2
HSCL,11-07-2022,2022-08-22 00:00:00+05:30,91.2,97.35,736,4526.4
SIEMENS,11-07-2022,2022-08-22 00:00:00+05:30,2038.25,2190.65,58,8839.2
SKFINDIA,11-07-2022,2022-08-22 00:00:00+05:30,1763.6,2148.7,24,9242.4
TIINDIA,11-07-2022,2022-08-22 00:00:00+05:30,2056.4,2112.35,30,1678.5
CUMMINSIND,11-07-2022,2022-08-22 00:00:00+05:30,1111.25,1201.75,37,3348.5
SUNTECK,11-07-2022,2022-08-22 00:00:00+05:30,507.05,465.2,92,-3850.2
CGPOWER,11-07-2022,2022-08-22 00:00:00+05:30,206.35,229.9,200,4710
ASTERDM,18-07-2022,2022-08-16 00:00:00+05:30,218,203.45,179,-2604.45
ITI,18-07-2022,2022-08-29 00:00:00+05:30,117.35,112.7,292,-1357.8
BOSCHLTD,18-07-2022,2022-08-29 00:00:00+05:30,16366.15,17059.9,3,2081.25
CANFINHOME,16-08-2022,2022-09-20 00:00:00+05:30,616.05,565.35,73,-3701.1
BEML,22-08-2022,2022-09-08 00:00:00+05:30,915.9,768.6,72,-10605.6
DBCORP,22-08-2022,2022-09-13 00:00:00+05:30,110,134.85,511,12698.35
DBCORP,22-08-2022,2022-09-19 00:00:00+05:30,110,129.6,511,10015.6
CENTURYPLY,22-08-2022,2022-10-03 00:00:00+05:30,666.8,629.25,106,-3980.3
TATACHEM,22-08-2022,2022-10-03 00:00:00+05:30,1087.5,1093.7,63,390.6
RPOWER,29-08-2022,2022-09-01 00:00:00+05:30,16.3,20.15,1555,5986.75
RPOWER,29-08-2022,2022-09-09 00:00:00+05:30,16.3,19.2,1555,4509.5
TRITURBINE,29-08-2022,2022-09-19 00:00:00+05:30,197.4,238.4,112,4592
ITDC,29-08-2022,2022-09-26 00:00:00+05:30,392.2,350.7,144,-5976
REDINGTON,29-08-2022,2022-10-10 00:00:00+05:30,149.05,140.95,328,-2656.8
TRITURBINE,29-08-2022,2022-10-10 00:00:00+05:30,197.4,260.55,112,7072.8
