symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl
GMDCLTD,2022-01-10 00:00:00+05:30,2022-01-14 00:00:00+05:30,80.85,109.85,146,4234.0
DEEPAKFERT,2022-01-17 00:00:00+05:30,2022-01-19 00:00:00+05:30,564.95,510.8,101,-5469.150000000003
NEWGEN,2022-01-10 00:00:00+05:30,2022-01-21 00:00:00+05:30,326.1,295.65,226,-6881.70000000001
INDIACEM,2022-01-10 00:00:00+05:30,2022-01-24 00:00:00+05:30,250.1,212.5,357,-13423.199999999997
REDINGTON,2022-01-10 00:00:00+05:30,2022-01-24 00:00:00+05:30,170.55,152.8,530,-9407.5
TATACOMM,2022-01-10 00:00:00+05:30,2022-01-24 00:00:00+05:30,1485.65,1293.35,40,-7692.000000000007
GMDCLTD,2022-01-10 00:00:00+05:30,2022-01-24 00:00:00+05:30,80.85,96.0,586,8877.900000000003
FACT,2022-01-17 00:00:00+05:30,2022-01-24 00:00:00+05:30,146.55,130.6,307,-4896.650000000005
DEEPAKNTR,2022-01-10 00:00:00+05:30,2022-01-25 00:00:00+05:30,2595.7,2216.0,24,-9112.799999999996
TITAGARH,2022-01-17 00:00:00+05:30,2022-02-11 00:00:00+05:30,114.2,103.45,371,-3988.25
BALRAMCHIN,2022-01-10 00:00:00+05:30,2022-02-21 00:00:00+05:30,419.9,393.0,219,-5891.099999999995
CHENNPETRO,2022-03-21 00:00:00+05:30,2022-04-05 00:00:00+05:30,126.85,153.65,240,6432.000000000003
PERSISTENT,2022-03-28 00:00:00+05:30,2022-04-19 00:00:00+05:30,2315.7,2087.0,26,-5946.199999999995
CANFINHOME,2022-04-04 00:00:00+05:30,2022-04-29 00:00:00+05:30,661.9,592.15,58,-4045.5
CHENNPETRO,2022-03-21 00:00:00+05:30,2022-05-02 00:00:00+05:30,126.85,307.15,515,92854.49999999999
COROMANDEL,2022-03-21 00:00:00+05:30,2022-05-02 00:00:00+05:30,854.75,910.1,137,7582.9500000000035
VOLTAS,2022-03-21 00:00:00+05:30,2022-05-02 00:00:00+05:30,1288.7,1230.95,67,-3869.25
KEI,2022-03-28 00:00:00+05:30,2022-05-09 00:00:00+05:30,1200.2,1146.7,49,-2621.5
INDIANB,2022-04-04 00:00:00+05:30,2022-05-12 00:00:00+05:30,157.4,134.3,293,-6768.299999999998
CRISIL,2022-04-04 00:00:00+05:30,2022-05-16 00:00:00+05:30,3286.3,3673.3,17,6579.0
PHOENIXLTD,2022-04-04 00:00:00+05:30,2022-05-16 00:00:00+05:30,539.0,516.45,85,-1916.7499999999961
COLPAL,2022-04-04 00:00:00+05:30,2022-05-16 00:00:00+05:30,1562.25,1581.15,46,869.4000000000042
POWERINDIA,2022-07-18 00:00:00+05:30,2022-07-22 00:00:00+05:30,3590.5,3170.2,16,-6724.800000000003
ASTERDM,2022-07-18 00:00:00+05:30,2022-08-16 00:00:00+05:30,218.0,203.45,248,-3608.400000000003
HSCL,2022-07-11 00:00:00+05:30,2022-08-22 00:00:00+05:30,91.2,97.35,715,4397.249999999994
TIINDIA,2022-07-11 00:00:00+05:30,2022-08-22 00:00:00+05:30,2056.4,2112.35,37,2070.1499999999933
FLUOROCHEM,2022-07-18 00:00:00+05:30,2022-08-29 00:00:00+05:30,3279.6,3264.75,19,-282.1499999999983
ITI,2022-07-18 00:00:00+05:30,2022-08-29 00:00:00+05:30,117.35,112.7,435,-2022.7499999999964
UNOMINDA,2022-07-18 00:00:00+05:30,2022-08-29 00:00:00+05:30,538.25,564.05,120,3095.9999999999945
UBL,2022-07-18 00:00:00+05:30,2022-08-29 00:00:00+05:30,1645.5,1608.0,38,-1425.0
CONCOR,2022-07-18 00:00:00+05:30,2022-08-29 00:00:00+05:30,536.8,550.7,85,1181.5000000000077
CEMPRO,2022-07-25 00:00:00+05:30,2022-08-29 00:00:00+05:30,83.05,104.7,184,3983.6000000000013
RPOWER,2022-08-29 00:00:00+05:30,2022-09-01 00:00:00+05:30,16.3,20.15,1273,4901.049999999997
CEMPRO,2022-07-25 00:00:00+05:30,2022-09-05 00:00:00+05:30,83.05,114.5,501,15756.45
PIIND,2022-07-25 00:00:00+05:30,2022-09-05 00:00:00+05:30,3062.25,3327.8,20,5311.000000000004
BEML,2022-08-22 00:00:00+05:30,2022-09-08 00:00:00+05:30,915.9,768.6,59,-8690.699999999997
RPOWER,2022-08-29 00:00:00+05:30,2022-09-09 00:00:00+05:30,16.3,19.2,2758,7998.199999999996
TARIL,2022-08-22 00:00:00+05:30,2022-09-19 00:00:00+05:30,20.0,25.5,727,3998.5
TRITURBINE,2022-08-29 00:00:00+05:30,2022-09-19 00:00:00+05:30,197.4,238.4,96,3936.0
APTUS,2022-09-05 00:00:00+05:30,2022-09-19 00:00:00+05:30,353.3,309.75,180,-7839.000000000002
CANFINHOME,2022-08-16 00:00:00+05:30,2022-09-20 00:00:00+05:30,616.05,565.35,82,-4157.399999999994
TARIL,2022-08-22 00:00:00+05:30,2022-10-03 00:00:00+05:30,20.0,28.9,1646,14649.399999999998
GRSE,2022-08-29 00:00:00+05:30,2022-10-06 00:00:00+05:30,299.95,400.45,56,5628.0
GRSE,2022-08-29 00:00:00+05:30,2022-10-10 00:00:00+05:30,299.95,450.1,158,23723.700000000004
REDINGTON,2022-08-29 00:00:00+05:30,2022-10-10 00:00:00+05:30,149.05,140.95,452,-3661.2000000000103
TRITURBINE,2022-08-29 00:00:00+05:30,2022-10-10 00:00:00+05:30,197.4,260.55,204,12882.6
TECHNOE,2022-11-28 00:00:00+05:30,2023-01-05 00:00:00+05:30,310.85,362.6,161,8331.75
SHYAMMETL,2023-01-02 00:00:00+05:30,2023-01-06 00:00:00+05:30,326.45,303.1,389,-9083.149999999987
TECHNOE,2022-11-28 00:00:00+05:30,2023-01-09 00:00:00+05:30,310.85,369.15,497,28975.099999999977
NAVA,2023-01-02 00:00:00+05:30,2023-01-25 00:00:00+05:30,129.3,115.0,682,-9752.600000000008
LINDEINDIA,2023-01-02 00:00:00+05:30,2023-01-27 00:00:00+05:30,3540.45,3228.35,28,-8738.799999999997
GALLANTT,2023-01-23 00:00:00+05:30,2023-02-03 00:00:00+05:30,71.0,63.6,1424,-10537.599999999999
GVT&D,2023-04-17 00:00:00+05:30,2023-04-27 00:00:00+05:30,142.6,172.1,210,6195.0
SYNGENE,2023-04-17 00:00:00+05:30,2023-04-28 00:00:00+05:30,611.6,677.0,53,3466.199999999999
IRCON,2023-04-24 00:00:00+05:30,2023-05-02 00:00:00+05:30,67.75,86.3,136,2522.7999999999997
WELSPUNLIV,2023-04-24 00:00:00+05:30,2023-05-02 00:00:00+05:30,83.0,101.05,117,2111.8499999999995
WELSPUNLIV,2023-04-24 00:00:00+05:30,2023-05-10 00:00:00+05:30,83.0,89.5,340,2210.0
ACUTAAS,2023-04-17 00:00:00+05:30,2023-05-15 00:00:00+05:30,501.8,567.8,65,4289.999999999996
MINDACORP,2023-04-10 00:00:00+05:30,2023-05-22 00:00:00+05:30,254.45,279.3,426,10586.10000000001
JKCEMENT,2023-04-10 00:00:00+05:30,2023-05-22 00:00:00+05:30,2935.05,2979.5,47,2089.1499999999915
EXIDEIND,2023-04-17 00:00:00+05:30,2023-05-23 00:00:00+05:30,188.1,209.4,138,2939.4000000000015
GVT&D,2023-04-17 00:00:00+05:30,2023-05-24 00:00:00+05:30,142.6,198.3,537,29910.90000000001
OBEROIRLTY,2023-04-17 00:00:00+05:30,2023-05-29 00:00:00+05:30,916.8,929.65,133,1709.050000000003
ACUTAAS,2023-04-17 00:00:00+05:30,2023-05-29 00:00:00+05:30,501.8,602.8,140,14139.999999999993
SYNGENE,2023-04-17 00:00:00+05:30,2023-05-29 00:00:00+05:30,611.6,714.5,109,11216.099999999997
EXIDEIND,2023-04-17 00:00:00+05:30,2023-05-29 00:00:00+05:30,188.1,208.45,295,6003.249999999998
FACT,2023-04-24 00:00:00+05:30,2023-06-05 00:00:00+05:30,330.7,312.0,74,-1383.7999999999993
IRCON,2023-04-24 00:00:00+05:30,2023-06-05 00:00:00+05:30,67.75,80.05,469,5768.699999999999
SUZLON,2023-06-05 00:00:00+05:30,2023-06-07 00:00:00+05:30,11.4,14.45,1417,4321.8499999999985
CRAFTSMAN,2023-05-29 00:00:00+05:30,2023-06-14 00:00:00+05:30,3446.3,4053.45,10,6071.499999999996
DIXON,2023-06-05 00:00:00+05:30,2023-06-15 00:00:00+05:30,3980.5,4577.0,5,2982.5
JUBLPHARMA,2023-05-29 00:00:00+05:30,2023-06-20 00:00:00+05:30,358.5,417.4,77,4535.299999999998
LUPIN,2023-05-22 00:00:00+05:30,2023-06-21 00:00:00+05:30,774.4,875.05,36,3623.399999999999
ABREL,2023-05-15 00:00:00+05:30,2023-06-26 00:00:00+05:30,808.1,795.95,74,-899.0999999999983
BSOFT,2023-05-22 00:00:00+05:30,2023-07-03 00:00:00+05:30,340.1,354.25,286,4046.8999999999933
LUPIN,2023-05-22 00:00:00+05:30,2023-07-03 00:00:00+05:30,774.4,892.3,88,10375.199999999997
GABRIEL,2023-05-29 00:00:00+05:30,2023-07-07 00:00:00+05:30,176.3,204.35,144,4039.1999999999975
CRAFTSMAN,2023-05-29 00:00:00+05:30,2023-07-10 00:00:00+05:30,3446.3,3972.15,22,11568.699999999997
SAPPHIRE,2023-05-29 00:00:00+05:30,2023-07-10 00:00:00+05:30,263.4,279.95,408,6752.400000000005
JUBLPHARMA,2023-05-29 00:00:00+05:30,2023-07-10 00:00:00+05:30,358.5,385.9,162,4438.7999999999965
GABRIEL,2023-05-29 00:00:00+05:30,2023-07-10 00:00:00+05:30,176.3,202.05,307,7905.25
SUZLON,2023-06-05 00:00:00+05:30,2023-07-17 00:00:00+05:30,11.4,18.2,4221,28702.799999999996
DIXON,2023-06-05 00:00:00+05:30,2023-07-17 00:00:00+05:30,3980.5,4333.35,15,5292.7500000000055
ECLERX,2023-06-05 00:00:00+05:30,2023-07-17 00:00:00+05:30,857.4,913.8,73,4117.199999999998
VIJAYA,2023-06-26 00:00:00+05:30,2023-08-07 00:00:00+05:30,474.35,462.35,151,-1812.0
ZEEL,2023-07-31 00:00:00+05:30,2023-08-10 00:00:00+05:30,237.37,276.55,213,8345.340000000002
ZEEL,2023-07-31 00:00:00+05:30,2023-09-11 00:00:00+05:30,237.37,274.05,434,15919.120000000003
IPCALAB,2023-07-31 00:00:00+05:30,2023-09-11 00:00:00+05:30,873.5,899.7,197,5161.400000000009
HINDPETRO,2023-11-20 00:00:00+05:30,2023-12-04 00:00:00+05:30,179.1,224.15,225,10136.250000000002
BDL,2023-12-04 00:00:00+05:30,2023-12-18 00:00:00+05:30,616.8,764.6,62,9163.600000000004
HINDPETRO,2023-11-20 00:00:00+05:30,2024-01-01 00:00:00+05:30,179.1,239.15,690,41434.50000000001
LICI,2023-12-11 00:00:00+05:30,2024-01-01 00:00:00+05:30,770.95,858.75,83,7287.399999999996
JBMA,2024-01-01 00:00:00+05:30,2024-01-08 00:00:00+05:30,809.7,942.3,46,6099.599999999996
FLUOROCHEM,2023-12-26 00:00:00+05:30,2024-01-09 00:00:00+05:30,3605.15,3427.8,39,-6916.649999999996
BDL,2023-12-04 00:00:00+05:30,2024-01-15 00:00:00+05:30,616.8,877.85,191,49860.55000000001
CASTROLIND,2023-12-26 00:00:00+05:30,2024-01-17 00:00:00+05:30,177.43,163.24,722,-10245.179999999998
LICI,2023-12-11 00:00:00+05:30,2024-01-23 00:00:00+05:30,770.95,875.25,179,18669.699999999993
JBMA,2024-01-01 00:00:00+05:30,2024-02-12 00:00:00+05:30,809.7,1033.4,107,23935.900000000005
DATAPATTNS,2024-02-26 00:00:00+05:30,2024-03-12 00:00:00+05:30,2572.3,2423.85,78,-11579.10000000002
LINDEINDIA,2024-03-26 00:00:00+05:30,2024-04-19 00:00:00+05:30,6390.7,7372.75,8,7856.4000000000015
ICICIPRULI,2024-03-18 00:00:00+05:30,2024-04-29 00:00:00+05:30,565.85,559.9,373,-2219.3500000000167
CARBORUNIV,2024-04-01 00:00:00+05:30,2024-05-02 00:00:00+05:30,1298.35,1506.6,36,7497.0
LINDEINDIA,2024-03-26 00:00:00+05:30,2024-05-07 00:00:00+05:30,6390.7,7983.1,19,30255.60000000001
ELECON,2024-04-22 00:00:00+05:30,2024-05-09 00:00:00+05:30,577.85,504.65,107,-7832.400000000005
CARBORUNIV,2024-04-01 00:00:00+05:30,2024-05-13 00:00:00+05:30,1298.35,1506.75,85,17714.000000000007
POLYCAB,2024-04-08 00:00:00+05:30,2024-05-13 00:00:00+05:30,5281.4,6430.9,5,5747.5
POLYCAB,2024-04-08 00:00:00+05:30,2024-05-21 00:00:00+05:30,5281.4,6693.55,15,21182.250000000007
GRSE,2024-04-29 00:00:00+05:30,2024-05-21 00:00:00+05:30,1001.2,1213.35,22,4667.299999999997
CUB,2024-04-22 00:00:00+05:30,2024-05-22 00:00:00+05:30,156.7,143.9,678,-8678.399999999989
PPLPHARMA,2024-04-15 00:00:00+05:30,2024-05-27 00:00:00+05:30,140.0,149.7,716,6945.199999999992
USHAMART,2024-04-22 00:00:00+05:30,2024-06-03 00:00:00+05:30,368.4,361.55,155,-1061.7499999999948
BALKRISIND,2024-05-21 00:00:00+05:30,2024-06-04 00:00:00+05:30,3052.7,2897.55,71,-11015.649999999974
GRAVITA,2024-05-27 00:00:00+05:30,2024-06-04 00:00:00+05:30,1139.0,985.7,70,-10730.999999999996
KAYNES,2024-05-27 00:00:00+05:30,2024-06-04 00:00:00+05:30,3345.7,2836.8,22,-11195.799999999992
